time/episodes,train/critic_loss,train/ent_coef_loss,time/fps,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/actor_loss,train/n_updates,train/ent_coef,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
4,0.21502482891082764,-1.0501129627227783,118,0.0003,100.0,400,3,-10.272951126098633,299,0.9144351482391357,-145.02799950000002,,
,0.28224748373031616,-1.4045249223709106,,0.0003,,500,,-11.128443717956543,399,0.887424111366272,,100.0,-57.88485438
8,0.19629374146461487,-2.450758457183838,60,0.0003,100.0,800,13,-13.48366928100586,699,0.8111547231674194,-147.600320125,,
,0.14094486832618713,-3.149531841278076,,0.0003,,1000,,-14.926691055297852,899,0.7639796733856201,,100.0,-54.93041831999999
12,0.12452569603919983,-3.8634352684020996,55,0.0003,100.0,1200,21,-16.216686248779297,1099,0.7195338606834412,-149.13298366666666,,
,0.11474405229091644,-4.936533451080322,,0.0003,,1500,,-17.9132080078125,1399,0.6576184034347534,,100.0,-53.705665859999996
16,0.09692829102277756,-5.282120704650879,53,0.0003,100.0,1600,30,-18.492042541503906,1499,0.6381822824478149,-148.91921056249998,,
,0.11401712894439697,-6.673622131347656,,0.0003,,2000,,-19.692100524902344,1899,0.5660284757614136,,100.0,-52.07263082
20,,,51,,100.0,2000,38,,,,-149.44050405,,
24,0.09158360958099365,-7.986517906188965,57,0.0003,100.0,2400,42,-20.68853759765625,2299,0.5021185874938965,-147.69395808333334,,
,0.07858793437480927,-8.409313201904297,,0.0003,,2500,,-21.08736228942871,2399,0.48731938004493713,,100.0,-47.77994407999999
28,0.09149949252605438,-9.439628601074219,55,0.0003,100.0,2800,50,-21.210590362548828,2699,0.44553428888320923,-147.7396469285714,,
,0.08375784754753113,-10.042999267578125,,0.0003,,3000,,-21.214801788330078,2899,0.41973066329956055,,100.0,-50.440152319999996
32,0.0834890827536583,-10.734053611755371,54,0.0003,100.0,3200,58,-21.28204345703125,3099,0.3954465985298157,-146.06608003125,,
,0.07784391939640045,-11.753026962280273,,0.0003,,3500,,-20.971345901489258,3399,0.36169570684432983,,100.0,-54.223983620000006
36,0.05844416096806526,-12.049957275390625,53,0.0003,100.0,3600,67,-20.95355224609375,3499,0.3511090874671936,-144.09313275,,
,0.06569096446037292,-13.302982330322266,,0.0003,,4000,,-20.568883895874023,3899,0.31188470125198364,,100.0,-55.455394
40,,,52,,100.0,4000,75,,,,-142.20854930000002,,
44,0.06321115046739578,-14.460869789123535,55,0.0003,100.0,4400,79,-19.873355865478516,4299,0.2772042453289032,-140.08390877272726,,
,0.055856142193078995,-14.7575101852417,,0.0003,,4500,,-19.669801712036133,4399,0.26918402314186096,,100.0,-51.09065646000001
48,0.05313056707382202,-15.517915725708008,54,0.0003,100.0,4800,87,-19.02741241455078,4699,0.24654118716716766,-137.81927610416668,,
,0.03646881878376007,-16.0601749420166,,0.0003,,5000,,-18.509225845336914,4899,0.2325565665960312,,100.0,-51.88639488
52,0.04184011369943619,-16.460548400878906,54,0.0003,100.0,5200,95,-17.94341278076172,5099,0.21940220892429352,-135.7331905,,
,0.041150882840156555,-17.124202728271484,,0.0003,,5500,,-16.91002655029297,5399,0.20112867653369904,,100.0,-47.80658116000001
56,0.040357742458581924,-17.22915267944336,53,0.0003,100.0,5600,104,-16.94839096069336,5499,0.19539891183376312,-133.45887816071428,,
,0.03723326325416565,-18.166500091552734,,0.0003,,6000,,-15.610211372375488,5899,0.17414644360542297,,100.0,-48.3886247
60,,,53,,100.0,6000,112,,,,-131.4654909,,
64,0.02860354259610176,-18.932165145874023,54,0.0003,100.0,6400,116,-14.164055824279785,6299,0.15531669557094574,-129.497344828125,,
,0.0294053852558136,-19.236101150512695,,0.0003,,6500,,-14.005029678344727,6399,0.15095490217208862,,100.0,-52.413098999999995
68,0.02698986604809761,-19.265968322753906,54,0.0003,100.0,6800,125,-12.889575004577637,6699,0.13862654566764832,-127.63604910294116,,
