rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/n_updates,time/fps,time/time_elapsed,time/episodes,train/ent_coef,eval/mean_ep_length,eval/mean_reward
,12000,,0.01495434995740652,-18.54294204711914,0.0003,3.298001766204834,11899,,,,0.0342339426279068,100.0,-39.9425882
-89.25847612999998,12000,100.0,,,,,,37,323,120,,,
-85.69463999000001,12400,100.0,0.017493020743131638,-17.057086944580078,0.0003,4.311007022857666,12299,37,328,124,0.030921535566449165,,
,12500,,0.016245072707533836,-17.615413665771484,0.0003,4.637654781341553,12399,,,,0.03015081025660038,100.0,-40.929368939999996
-82.01589651,12800,100.0,0.014391165226697922,-17.255945205688477,0.0003,5.571671009063721,12699,37,341,128,0.027966154739260674,,
,13000,,0.015472999773919582,-16.250558853149414,0.0003,6.042207717895508,12899,,,,0.026602452620863914,100.0,-42.653625659999996
-79.08570404000001,13200,100.0,0.015008866786956787,-16.03870391845703,0.0003,6.205288887023926,13099,37,353,132,0.025317728519439697,,
,13500,,0.014928750693798065,-15.380946159362793,0.0003,6.870060920715332,13399,,,,0.023526715114712715,100.0,-39.27030006
-75.58163165,13600,100.0,0.016242530196905136,-14.161605834960938,0.0003,7.069645881652832,13499,37,365,136,0.02296009100973606,,
,14000,,0.01648665964603424,-13.473986625671387,0.0003,8.083046913146973,13899,,,,0.020861638709902763,100.0,-40.085669159999995
-72.73395615999999,14000,100.0,,,,,,37,378,140,,,
-69.88669902999999,14400,100.0,0.01431370247155428,-12.702613830566406,0.0003,8.828725814819336,14299,37,383,144,0.01899983361363411,,
,14500,,0.014025086537003517,-12.790945053100586,0.0003,9.113590240478516,14399,,,,0.018569130450487137,100.0,-40.45962428
-67.37425607,14800,100.0,0.017069661989808083,-11.480521202087402,0.0003,9.729527473449707,14699,37,395,148,0.01733938604593277,,
,15000,,0.012418817728757858,-11.689902305603027,0.0003,9.932388305664062,14899,,,,0.016577988862991333,100.0,-39.41111925999999
-65.29377424,15200,100.0,0.01367313601076603,-10.644221305847168,0.0003,10.35752010345459,15099,37,408,152,0.01586567796766758,,
,15500,,0.014735600911080837,-9.124473571777344,0.0003,10.864404678344727,15399,,,,0.01487945020198822,100.0,-41.62101228
-62.85387407000001,15600,100.0,0.013342387974262238,-9.030826568603516,0.0003,11.35639476776123,15499,37,421,156,0.014572812244296074,,
,16000,,0.013810303993523121,-6.916025161743164,0.0003,11.61890697479248,15899,,,,0.013425738550722599,100.0,-43.194824739999994
-60.821955120000005,16000,100.0,,,,,,36,433,160,,,
-58.91684285999999,16400,100.0,0.012776819989085197,-6.69696569442749,0.0003,12.364053726196289,16299,37,438,164,0.012413852848112583,,
,16500,,0.013086464256048203,-7.959310531616211,0.0003,12.552016258239746,16399,,,,0.01218026876449585,100.0,-46.12438862000001
-57.36645407000001,16800,100.0,0.014731083996593952,-7.2401885986328125,0.0003,13.029694557189941,16699,37,450,168,0.011528423987329006,,
,17000,,0.012950288131833076,-4.414669036865234,0.0003,13.863410949707031,16899,,,,0.011126703582704067,100.0,-41.80936446
-55.82009157999999,17200,100.0,0.013346604071557522,-4.670299530029297,0.0003,13.864422798156738,17099,37,463,172,0.010767280124127865,,
,17500,,0.014797925017774105,-3.6071372032165527,0.0003,14.311485290527344,17399,,,,0.01027406845241785,100.0,-40.46437418
-54.480677990000004,17600,100.0,0.012489987537264824,-4.102784156799316,0.0003,14.597082138061523,17499,36,476,176,0.01012465637177229,,
,18000,,0.01786857470870018,-1.8741567134857178,0.0003,15.10092544555664,17899,,,,0.009593034163117409,100.0,-39.379156560000006
-53.685486309999995,18000,100.0,,,,,,36,488,180,,,
-52.18258524,18400,100.0,0.011432887986302376,-1.453152060508728,0.0003,15.497936248779297,18299,37,493,184,0.009167797863483429,,
,18500,,0.013991732150316238,-1.612234354019165,0.0003,15.793415069580078,18399,,,,0.00908702053129673,100.0,-39.671903900000004
-51.020597179999996,18800,100.0,0.01166851818561554,-2.0025343894958496,0.0003,16.40703010559082,18699,37,506,188,0.008878217078745365,,
,19000,,0.012028180062770844,-1.5966005325317383,0.0003,16.216819763183594,18899,,,,0.008761642500758171,100.0,-41.35060635999999
-50.19816398999999,19200,100.0,0.01754029653966427,0.0898287445306778,0.0003,16.77524185180664,19099,37,518,192,0.008642100729048252,,
,19500,,0.015704510733485222,0.6448341012001038,0.0003,17.019451141357422,19399,,,,0.00853130966424942,100.0,-46.11396428
-49.43451102,19600,100.0,0.012300292029976845,0.4530494511127472,0.0003,17.618366241455078,19499,36,530,196,0.008512516506016254,,
,20000,,0.014191249385476112,0.48814019560813904,0.0003,17.996437072753906,19899,,,,0.008463486097753048,100.0,-42.545894700000005
-48.84718027000001,20000,100.0,,,,,,36,543,200,,,
-48.37831000999999,20400,100.0,0.015680799260735512,0.12302273511886597,0.0003,18.367828369140625,20299,37,548,204,0.008415673859417439,,
,20500,,0.015968121588230133,0.4347686469554901,0.0003,18.627769470214844,20399,,,,0.008401592262089252,100.0,-41.557993499999995
-48.022669220000004,20800,100.0,0.019927315413951874,-0.12293738126754761,0.0003,19.073078155517578,20699,37,561,208,0.00838947482407093,,
,21000,,0.013643013313412666,0.30789488554000854,0.0003,19.231517791748047,20899,,,,0.008424213156104088,100.0,-39.851839299999995
-47.55755013000001,21200,100.0,0.01674029417335987,-0.48018255829811096,0.0003,19.33355712890625,21099,36,574,212,0.008430996909737587,,
,21500,,0.01437368243932724,-0.5660842657089233,0.0003,19.92276382446289,21399,,,,0.00841890461742878,100.0,-40.64416956
-47.128482279999986,21600,100.0,0.015474945306777954,-1.0745514631271362,0.0003,20.003068923950195,21499,36,586,216,0.008384003303945065,,
,22000,,0.024937372654676437,0.6304396986961365,0.0003,20.330533981323242,21899,,,,0.00837466586381197,100.0,-39.290254839999996
-46.77548690999999,22000,100.0,,,,,,36,598,220,,,
-46.40506569999999,22400,100.0,0.013547755777835846,0.27958762645721436,0.0003,20.895841598510742,22299,37,603,224,0.008329913020133972,,
,22500,,0.012373080477118492,2.95477032661438,0.0003,20.940784454345703,22399,,,,0.008331744000315666,100.0,-39.68784288
-46.085788,22800,100.0,0.014218155294656754,-1.2402194738388062,0.0003,21.26873016357422,22699,36,616,228,0.00835622102022171,,
,23000,,0.013948739506304264,0.6569796800613403,0.0003,21.322351455688477,22899,,,,0.008322722278535366,100.0,-39.524035440000006
-45.568676589999995,23200,100.0,0.012318466790020466,0.7971881628036499,0.0003,22.027986526489258,23099,36,629,232,0.008286290802061558,,
,23500,,0.0142014529556036,0.1093277633190155,0.0003,22.18853759765625,23399,,,,0.008273613639175892,100.0,-38.81462146
-45.47180310999999,23600,100.0,0.015836942940950394,0.15032179653644562,0.0003,22.104736328125,23499,36,641,236,0.008257335983216763,,
,24000,,0.014546937309205532,-1.535849690437317,0.0003,22.611652374267578,23899,,,,0.008199654519557953,100.0,-39.446336300000006
-45.06920536,24000,100.0,,,,,,36,653,240,,,
-45.1983765,24400,100.0,0.015184881165623665,0.30010879039764404,0.0003,23.025840759277344,24299,37,659,244,0.008155125193297863,,
,24500,,0.014152947813272476,-0.1961190551519394,0.0003,23.129714965820312,24399,,,,0.008162136189639568,100.0,-40.40181918
-44.77522051,24800,100.0,0.017471225932240486,-0.3606230616569519,0.0003,23.208492279052734,24699,36,671,248,0.008138960227370262,,
,25000,,0.012627793475985527,-0.5994065999984741,0.0003,23.629043579101562,24899,,,,0.00815813522785902,100.0,-39.75856144
-44.457250800000004,25200,100.0,0.01397213526070118,-0.14765524864196777,0.0003,23.99793243408203,25099,36,684,252,0.008121510967612267,,
,25500,,0.014408325776457787,-0.49356138706207275,0.0003,24.31195068359375,25399,,,,0.008087672293186188,100.0,-39.063889100000004
-44.64847760000001,25600,100.0,0.012900393456220627,-1.4738439321517944,0.0003,24.368175506591797,25499,36,697,256,0.00807073712348938,,
,26000,,0.013646086677908897,-0.27386438846588135,0.0003,24.630977630615234,25899,,,,0.008012521080672741,100.0,-40.583093399999996
-44.37755562,26000,100.0,,,,,,36,709,260,,,
-44.10414677,26400,100.0,0.01328379474580288,0.581289529800415,0.0003,25.037853240966797,26299,36,714,264,0.008008774369955063,,
,26500,,0.0139218270778656,-0.5005103945732117,0.0003,24.89137840270996,26399,,,,0.00801547896116972,100.0,-38.65431718
-43.84469187,26800,100.0,0.014286990277469158,-0.885714590549469,0.0003,25.50210952758789,26699,36,727,268,0.007967039942741394,,
,27000,,0.013163192197680473,0.14933395385742188,0.0003,25.81924057006836,26899,,,,0.007973439991474152,100.0,-39.50704012
-43.726018229999994,27200,100.0,0.01328981202095747,-0.5090469121932983,0.0003,25.840076446533203,27099,36,740,272,0.007941191084682941,,
,27500,,0.012771552428603172,2.3439176082611084,0.0003,25.952468872070312,27399,,,,0.007907452061772346,100.0,-40.4116385
-43.60350184000001,27600,100.0,0.02128790318965912,-0.9004390239715576,0.0003,26.188507080078125,27499,36,752,276,0.00794635433703661,,
,28000,,0.017927026376128197,0.8488302230834961,0.0003,26.407854080200195,27899,,,,0.007959696464240551,100.0,-41.73057500000001
-43.19669827999999,28000,100.0,,,,,,36,764,280,,,
-43.45131919000001,28400,100.0,0.014733661897480488,-0.68654465675354,0.0003,27.03428840637207,28299,36,769,284,0.008015342056751251,,
,28500,,0.02011309191584587,-1.169100046157837,0.0003,26.90679168701172,28399,,,,0.007957665249705315,100.0,-38.3026029
