train/learning_rate,time/time_elapsed,train/actor_loss,train/critic_loss,rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/ent_coef_loss,time/fps,eval/mean_ep_length,eval/mean_reward
0.0003,113,-19.259281158447266,0.05275329202413559,100.0,4400,44,-139.62895327272724,0.2772523760795593,4299,-14.60145378112793,38,,
0.0003,,-18.92874526977539,0.051465071737766266,,4500,,,0.2692300081253052,4399,-14.564759254455566,,100.0,-45.791571839999996
0.0003,126,-18.260427474975586,0.04945875704288483,100.0,4800,48,-137.604102125,0.2465810477733612,4699,-15.553092956542969,38,,
0.0003,,-17.82162094116211,0.04160848259925842,,5000,,,0.2325964719057083,4899,-16.058740615844727,,100.0,-47.28816182
0.0003,138,-17.297359466552734,0.042061902582645416,100.0,5200,52,-134.78539176923076,0.21944907307624817,5099,-16.589080810546875,37,,
0.0003,,-16.426441192626953,0.038204990327358246,,5500,,,0.20119799673557281,5399,-17.242956161499023,,100.0,-45.302701039999995
0.0003,151,-16.261066436767578,0.032286521047353745,100.0,5600,56,-131.80334551785714,0.19547916948795319,5499,-17.465145111083984,37,,
0.0003,,-14.886350631713867,0.03445915877819061,,6000,,,0.17426374554634094,5899,-18.060588836669922,,100.0,-44.5527867
,163,,,100.0,6000,60,-129.3920175833333,,,,36,,
0.0003,168,-13.645581245422363,0.02573004551231861,100.0,6400,64,-126.89738221875,0.15547938644886017,6299,-18.78744125366211,38,,
0.0003,,-13.593865394592285,0.02254447713494301,,6500,,,0.1511334329843521,6399,-19.155513763427734,,100.0,-45.299555819999995
0.0003,180,-12.312686920166016,0.02774304896593094,100.0,6800,68,-124.37390270588233,0.13885213434696198,6699,-19.422683715820312,37,,
0.0003,,-11.691478729248047,0.023301981389522552,,7000,,,0.13125945627689362,6899,-19.60112762451172,,100.0,-42.278377340000006
0.0003,192,-10.963892936706543,0.02705538272857666,100.0,7200,72,-122.06890080555556,0.12410585582256317,7099,-20.125560760498047,37,,
0.0003,,-9.966556549072266,0.02436894178390503,,7500,,,0.11414780467748642,7399,-20.078353881835938,,100.0,-42.589710460000006
0.0003,205,-9.362004280090332,0.023703983053565025,100.0,7600,76,-119.57283135526318,0.11102107912302017,7499,-20.032390594482422,37,,
0.0003,,-8.204038619995117,0.02159191109240055,,8000,,,0.09940581768751144,7899,-20.088523864746094,,100.0,-43.923931599999996
,217,,,100.0,8000,80,-117.445758325,,,,36,,
0.0003,222,-7.082182884216309,0.023512477055191994,100.0,8400,84,-115.18019809523808,0.08906655013561249,8299,-20.594440460205078,37,,
0.0003,,-6.751418113708496,0.018728379160165787,,8500,,,0.08666200190782547,8399,-20.464309692382812,,100.0,-45.73563204
0.0003,234,-5.539422035217285,0.02201104536652565,100.0,8800,88,-113.01883946590907,0.07985379546880722,8699,-20.248756408691406,37,,
