train/critic_loss,train/n_updates,time/time_elapsed,time/total_timesteps,train/actor_loss,train/learning_rate,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,eval/mean_ep_length,eval/mean_reward
0.022266052663326263,299,1,400,1.9507755041122437,0.001,4,-124.1730735,100.0,233,,
0.023113582283258438,399,,500,1.9336997270584106,0.001,,,,,100.0,-76.42707106
0.00928657315671444,699,6,800,2.406768798828125,0.001,8,-98.73764012500001,100.0,114,,
0.010663110762834549,899,,1000,2.7138617038726807,0.001,,,,,100.0,-64.4888668
0.01186392828822136,1099,12,1200,2.9399044513702393,0.001,12,-86.89395458333335,100.0,97,,
0.012593233957886696,1399,,1500,3.336142063140869,0.001,,,,,100.0,-64.23958945999999
0.012600241228938103,1499,17,1600,3.463233232498169,0.001,16,-80.65659550000001,100.0,90,,
0.01796562783420086,1899,,2000,4.058359622955322,0.001,,,,,100.0,-65.12141608
,,24,2000,,,20,-76.71102810000001,100.0,83,,
0.022482644766569138,2299,26,2400,4.672717094421387,0.001,24,-74.18601233333334,100.0,90,,
0.02218516543507576,2399,,2500,4.995950698852539,0.001,,,,,100.0,-61.27904326000001
0.016176028177142143,2699,33,2800,5.436187267303467,0.001,28,-72.6263592857143,100.0,84,,
0.01444906834512949,2899,,3000,5.770476818084717,0.001,,,,,100.0,-62.971895460000006
0.016807684674859047,3099,39,3200,6.109995365142822,0.001,32,-71.17042821874999,100.0,81,,
0.020332733169198036,3399,,3500,6.567558288574219,0.001,,,,,100.0,-66.34194366000001
0.017351489514112473,3499,45,3600,6.734519958496094,0.001,36,-70.31561752777777,100.0,78,,
0.01933343894779682,3899,,4000,7.3585100173950195,0.001,,,,,100.0,-56.04502735999999
,,52,4000,,,40,-69.34699164999999,100.0,76,,
0.024370277300477028,4299,54,4400,8.104680061340332,0.001,44,-67.93977438636364,100.0,80,,
0.02739771455526352,4399,,4500,8.204456329345703,0.001,,,,,100.0,-65.05148538
0.02196119911968708,4699,61,4800,8.759431838989258,0.001,48,-67.17303454166667,100.0,78,,
0.01985950395464897,4899,,5000,9.196737289428711,0.001,,,,,100.0,-58.547393619999994
0.023197058588266373,5099,67,5200,9.30581283569336,0.001,52,-66.74534203846154,100.0,77,,
0.020666886121034622,5399,,5500,9.857391357421875,0.001,,,,,100.0,-58.40729746000001
0.02705761045217514,5499,73,5600,9.99997329711914,0.001,56,-66.42923910714286,100.0,75,,
0.020529894158244133,5899,,6000,10.678579330444336,0.001,,,,,100.0,-61.21778267999999
