time/time_elapsed,time/episodes,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/ent_coef,time/total_timesteps,rollout/ep_len_mean,time/fps,train/actor_loss,eval/mean_ep_length,eval/mean_reward
3,4,0.0003,299,0.24976496398448944,-1.052935242652893,-151.87829775,0.9144538044929504,400,100.0,118,-10.003195762634277,,
,,0.0003,399,0.19686467945575714,-1.4036310911178589,,0.8874275088310242,500,,,-10.932918548583984,100.0,-61.030447759999994
15,8,0.0003,699,0.1456526219844818,-2.450404644012451,-152.51907325,0.8111544251441956,800,100.0,50,-13.308233261108398,,
,,0.0003,899,0.16341891884803772,-3.1438589096069336,,0.7640078067779541,1000,,,-14.631641387939453,100.0,-53.66081574
28,12,0.0003,1099,0.13505643606185913,-3.860048294067383,-152.61103725,0.7195919752120972,1200,100.0,41,-15.7542724609375,,
,,0.0003,1399,0.13848084211349487,-4.90279483795166,,0.6577141880989075,1500,,,-17.566137313842773,100.0,-49.15647602
41,16,0.0003,1499,0.1060531958937645,-5.2638750076293945,-152.6101584375,0.6382814049720764,1600,100.0,38,-18.016483306884766,,
,,0.0003,1899,0.10324759036302567,-6.669957637786865,,0.5661441683769226,2000,,,-19.34988021850586,100.0,-43.313418600000006
53,20,,,,,-151.15788709999998,,2000,100.0,37,,,
58,24,0.0003,2299,0.09687027335166931,-8.040592193603516,-150.29642604166668,0.5022019147872925,2400,100.0,41,-20.241493225097656,,
,,0.0003,2399,0.08890610933303833,-8.382579803466797,,0.4873882532119751,2500,,,-20.426124572753906,100.0,-45.09665488
71,28,0.0003,2699,0.07855741679668427,-9.441633224487305,-148.64379192857146,0.4455682933330536,2800,100.0,39,-20.879384994506836,,
,,0.0003,2899,0.09419900178909302,-10.091225624084473,,0.4197459816932678,3000,,,-21.027862548828125,100.0,-45.52107657999999
83,32,0.0003,3099,0.06628277897834778,-10.747681617736816,-146.20108121875,0.39544275403022766,3200,100.0,38,-21.017635345458984,,
,,0.0003,3399,0.06874798238277435,-11.703723907470703,,0.3616766333580017,3500,,,-21.005992889404297,100.0,-44.362829659999996
