time/fps,train/critic_loss,rollout/ep_len_mean,train/learning_rate,train/actor_loss,train/ent_coef_loss,time/time_elapsed,train/n_updates,rollout/ep_rew_mean,time/episodes,time/total_timesteps,train/ent_coef,eval/mean_reward,eval/mean_ep_length
,0.014623915776610374,,0.0003,-3.9061219692230225,-20.8377685546875,,9399,,,9500,0.06599574536085129,-40.3909123,100.0
36,0.015885615721344948,100.0,0.0003,-3.51481294631958,-21.183303833007812,261,9499,-110.53853818750001,96,9600,0.06424662470817566,,
,0.016802899539470673,,0.0003,-2.2253565788269043,-20.844388961791992,,9899,,,10000,0.057729437947273254,-39.214281660000005,100.0
36,,100.0,,,,273,,-108.65437863,100,10000,,,
37,0.017938926815986633,100.0,0.0003,-1.0246199369430542,-20.309043884277344,279,10299,-104.72125246999998,104,10400,0.0519099123775959,,
,0.013917898759245872,,0.0003,-0.8500270843505859,-19.355886459350586,,10399,,,10500,0.050558023154735565,-38.58707532,100.0
37,0.018031034618616104,100.0,0.0003,0.08820460736751556,-19.32019805908203,291,10699,-100.51834824000001,108,10800,0.04672371223568916,,
,0.017065368592739105,,0.0003,0.6593926548957825,-19.615379333496094,,10899,,,11000,0.04434727132320404,-38.11140864,100.0
36,0.019362986087799072,100.0,0.0003,1.0960021018981934,-20.34648895263672,304,11099,-96.70866863,112,11200,0.042098261415958405,,
,0.014492862857878208,,0.0003,2.081636428833008,-19.040843963623047,,11399,,,11500,0.03896080330014229,-37.62533872,100.0
36,0.016436060890555382,100.0,0.0003,2.3243274688720703,-18.301149368286133,316,11499,-92.40250443999999,116,11600,0.03797068074345589,,
,0.016202986240386963,,0.0003,3.0761966705322266,-18.32952308654785,,11899,,,12000,0.03427634388208389,-40.77973972,100.0
36,,100.0,,,,329,,-88.61384282999998,120,12000,,,
37,0.01994367688894272,100.0,0.0003,3.9439175128936768,-17.011655807495117,334,12299,-84.87737377000002,124,12400,0.030979005619883537,,
,0.014106585644185543,,0.0003,4.333748817443848,-17.064834594726562,,12399,,,12500,0.030208805575966835,-39.62076778,100.0
36,0.012871730141341686,100.0,0.0003,5.2037353515625,-17.17562484741211,347,12699,-81.06310599,128,12800,0.028016792610287666,,
,0.01637887954711914,,0.0003,5.705375671386719,-16.744873046875,,12899,,,13000,0.026660356670618057,-37.97401068,100.0
36,0.017579589039087296,100.0,0.0003,5.970525741577148,-15.79722785949707,359,13099,-78.06995543,132,13200,0.025369063019752502,,
,0.015607139095664024,,0.0003,6.482637405395508,-15.135539054870605,,13399,,,13500,0.023569585755467415,-38.20758348,100.0
36,0.014807850122451782,100.0,0.0003,6.759254455566406,-14.187742233276367,372,13499,-74.6476829,136,13600,0.02300284616649151,,
,0.013352332636713982,,0.0003,7.765593528747559,-13.3201322555542,,13899,,,14000,0.02089502103626728,-37.154627,100.0
36,,100.0,,,,384,,-71.80785148,140,14000,,,
36,0.012628155760467052,100.0,0.0003,8.42957592010498,-12.712296485900879,389,14299,-68.75187337000001,144,14400,0.019019246101379395,,
,0.013288773596286774,,0.0003,8.646982192993164,-12.448100090026855,,14399,,,14500,0.018586905673146248,-38.159880560000005,100.0
36,0.013771016150712967,100.0,0.0003,9.363309860229492,-12.059698104858398,402,14699,-66.12686292000001,148,14800,0.017354166135191917,,
,0.011602193117141724,,0.0003,9.514925003051758,-11.789536476135254,,14899,,,15000,0.01658661663532257,-37.308858879999995,100.0
36,0.012473860755562782,100.0,0.0003,9.981681823730469,-10.125298500061035,415,15099,-63.89591344,152,15200,0.01586727425456047,,
,0.015424719080328941,,0.0003,10.40718936920166,-9.787996292114258,,15399,,,15500,0.014868521131575108,-38.17163598,100.0
36,0.012409289367496967,100.0,0.0003,11.02061653137207,-9.785150527954102,427,15499,-61.28312771,156,15600,0.014550724998116493,,
,0.011640605516731739,,0.0003,11.263996124267578,-8.252199172973633,,15899,,,16000,0.013379748910665512,-36.910803460000004,100.0
36,,100.0,,,,440,,-59.1124501,160,16000,,,
36,0.014147726818919182,100.0,0.0003,11.95992660522461,-7.218674659729004,445,16299,-57.00734197999999,164,16400,0.01234665047377348,,
,0.013351714238524437,,0.0003,12.158388137817383,-8.220664978027344,,16399,,,16500,0.012109003961086273,-37.66236566,100.0
36,0.01391369104385376,100.0,0.0003,12.527929306030273,-6.117929458618164,457,16699,-55.23634221999999,168,16800,0.011436635628342628,,
,0.014234917238354683,,0.0003,13.327491760253906,-4.474152088165283,,16899,,,17000,0.01103146281093359,-37.66881966,100.0
36,0.012505430728197098,100.0,0.0003,13.499459266662598,-4.576718807220459,470,17099,-53.601301959999994,172,17200,0.010652906261384487,,
,0.012889798730611801,,0.0003,13.827448844909668,-3.1791412830352783,,17399,,,17500,0.010141374543309212,-38.0362826,100.0
36,0.014361802488565445,100.0,0.0003,14.091032028198242,-4.5152482986450195,483,17499,-52.12254908999999,176,17600,0.00999292079359293,,
,0.011873234994709492,,0.0003,14.71597671508789,-1.904201865196228,,17899,,,18000,0.009422383271157742,-38.11720302,100.0
36,,100.0,,,,495,,-51.06725676999999,180,18000,,,
36,0.010423689149320126,100.0,0.0003,15.036931991577148,-1.9350292682647705,500,18299,-49.42589128,184,18400,0.008950747549533844,,
,0.010691100731492043,,0.0003,15.422088623046875,-1.1709680557250977,,18399,,,18500,0.00885013397783041,-36.846200380000006,100.0
36,0.011366237886250019,100.0,0.0003,15.891216278076172,-2.5870280265808105,512,18699,-48.051669180000005,188,18800,0.00858151912689209,,
,0.009789830073714256,,0.0003,15.748262405395508,-1.7257142066955566,,18899,,,19000,0.008420458063483238,-36.73393864,100.0
36,0.017618779093027115,100.0,0.0003,16.27499771118164,-0.6562708616256714,525,19099,-46.909060069999995,192,19200,0.00829421728849411,,
,0.010610302910208702,,0.0003,16.471046447753906,0.4213919937610626,,19399,,,19500,0.00812843069434166,-37.040689640000004,100.0
36,0.010131781920790672,100.0,0.0003,17.0489501953125,-1.6512095928192139,537,19499,-45.892335790000004,196,19600,0.008080675266683102,,
,0.011001449078321457,,0.0003,17.41354751586914,0.7034387588500977,,19899,,,20000,0.007948802784085274,-36.23577736,100.0
36,,100.0,,,,550,,-45.02533388000002,200,20000,,,
36,0.008956888690590858,100.0,0.0003,17.77303123474121,-0.6236594319343567,555,20299,-44.412933100000004,204,20400,0.007917269133031368,,
,0.010592358186841011,,0.0003,18.059001922607422,1.588133692741394,,20399,,,20500,0.007902661338448524,-37.10876608,100.0
36,0.013144927099347115,100.0,0.0003,18.436809539794922,-0.1584385186433792,568,20699,-44.00517607,208,20800,0.007912755943834782,,
