time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,train/n_updates,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
176,-52.16003036,0.04921244457364082,12800,12699,100.0,72,128,18.297462463378906,0.001,,
,,0.04819197207689285,13000,12899,,,,18.38525390625,0.001,-48.35256762,100.0
182,-51.919262509999996,0.053995512425899506,13200,13099,100.0,72,132,18.902639389038086,0.001,,
,,0.04270068556070328,13500,13399,,,,19.20656967163086,0.001,-48.542628539999995,100.0
188,-51.74585922,0.0544964075088501,13600,13499,100.0,72,136,19.194164276123047,0.001,,
,,0.054659709334373474,14000,13899,,,,19.776805877685547,0.001,-47.29982068,100.0
195,-51.522145920000014,,14000,,100.0,71,140,,,,
197,-51.21955272,0.04937287047505379,14400,14299,100.0,72,144,20.283369064331055,0.001,,
,,0.055340077728033066,14500,14399,,,,20.371477127075195,0.001,-47.423236239999994,100.0
203,-50.635111099999996,0.052568480372428894,14800,14699,100.0,72,148,20.685089111328125,0.001,,
,,0.045069366693496704,15000,14899,,,,20.80702781677246,0.001,-49.43793118000001,100.0
210,-50.38180344000001,0.05952392518520355,15200,15099,100.0,72,152,20.96708106994629,0.001,,
,,0.07627321034669876,15500,15399,,,,21.283706665039062,0.001,-47.56993506,100.0
216,-50.11779136999999,0.05212021991610527,15600,15499,100.0,71,156,21.42896270751953,0.001,,
,,0.052749477326869965,16000,15899,,,,21.90317726135254,0.001,-46.53107296000001,100.0
223,-49.814372889999994,,16000,,100.0,71,160,,,,
225,-49.56225762999998,0.0541423074901104,16400,16299,100.0,72,164,22.251197814941406,0.001,,
,,0.06808555871248245,16500,16399,,,,22.432510375976562,0.001,-50.97474268,100.0
232,-49.21279129,0.04540811479091644,16800,16699,100.0,72,168,22.677709579467773,0.001,,
,,0.04641467705368996,17000,16899,,,,22.769760131835938,0.001,-44.72131572,100.0
238,-48.86263456,0.056991830468177795,17200,17099,100.0,72,172,23.00653648376465,0.001,,
,,0.08371292054653168,17500,17399,,,,23.382984161376953,0.001,-45.396094860000005,100.0
