time/time_elapsed,time/episodes,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/ent_coef,time/total_timesteps,rollout/ep_len_mean,time/fps,train/actor_loss,eval/mean_ep_length,eval/mean_reward
,,0.0003,4399,0.04827100783586502,-14.794205665588379,,0.2691933810710907,4500,,,-19.574735641479492,100.0,-55.535851740000005
112,48,0.0003,4699,0.04905425012111664,-15.245954513549805,-135.72136870833333,0.24653369188308716,4800,100.0,42,-19.28976821899414,,
,,0.0003,4899,0.04440603405237198,-16.037296295166016,,0.23255135118961334,5000,,,-18.492534637451172,100.0,-55.181132940000005
125,52,0.0003,5099,0.043288446962833405,-16.574970245361328,-133.3313821153846,0.21939979493618011,5200,100.0,41,-18.030481338500977,,
,,0.0003,5399,0.03217474743723869,-17.112037658691406,,0.2011345624923706,5500,,,-17.230947494506836,100.0,-53.517959819999994
137,56,0.0003,5499,0.038820333778858185,-17.428407669067383,-131.24864733928572,0.1954135298728943,5600,100.0,40,-17.055261611938477,,
,,0.0003,5899,0.03701452910900116,-18.079853057861328,,0.1741890162229538,6000,,,-15.863323211669922,100.0,-52.70183936
149,60,,,,,-128.85887695000002,,6000,100.0,40,,,
154,64,0.0003,6299,0.024533823132514954,-18.738550186157227,-126.67495206250001,0.15540680289268494,6400,100.0,41,-14.700481414794922,,
,,0.0003,6399,0.02645185776054859,-18.925636291503906,,0.1510603129863739,6500,,,-14.270357131958008,100.0,-49.84549924000001
167,68,0.0003,6699,0.025102466344833374,-19.171661376953125,-123.98868605882353,0.1387794315814972,6800,100.0,40,-13.233735084533691,,
,,0.0003,6899,0.022606559097766876,-19.439250946044922,,0.13119375705718994,7000,,,-12.733356475830078,100.0,-49.04590729999999
180,72,0.0003,7099,0.023725010454654694,-19.911197662353516,-121.874739625,0.12405131012201309,7200,100.0,39,-12.156782150268555,,
,,0.0003,7399,0.025261327624320984,-20.197736740112305,,0.11410132795572281,7500,,,-10.89529037475586,100.0,-46.490000959999996
192,76,0.0003,7499,0.019262779504060745,-19.913938522338867,-119.44105907894736,0.11097881197929382,7600,100.0,39,-10.746648788452148,,
,,0.0003,7899,0.01799996942281723,-19.70507049560547,,0.09935736656188965,8000,,,-9.43738079071045,100.0,-43.695553020000006
205,80,,,,,-117.30566630000001,,8000,100.0,39,,,
210,84,0.0003,8299,0.017266202718019485,-20.592370986938477,-115.2026785595238,0.08900439739227295,8400,100.0,39,-8.055473327636719,,
,,0.0003,8399,0.01724894531071186,-20.131187438964844,,0.08659469336271286,8500,,,-7.902356147766113,100.0,-47.10715258000001
222,88,0.0003,8699,0.018788747489452362,-21.199020385742188,-113.0960059090909,0.07978036254644394,8800,100.0,39,-6.821450233459473,,
,,0.0003,8899,0.019154507666826248,-21.150907516479492,,0.07555732876062393,9000,,,-6.211661338806152,100.0,-40.36335154
235,92,0.0003,9099,0.015561825595796108,-20.435283660888672,-110.8949554673913,0.07157102972269058,9200,100.0,39,-5.485501289367676,,
,,0.0003,9399,0.015762988477945328,-20.458683013916016,,0.06600707769393921,9500,,,-4.667023658752441,100.0,-41.489833180000005
247,96,0.0003,9499,0.012717626988887787,-20.764808654785156,-108.81124364583331,0.06425832211971283,9600,100.0,38,-4.186607360839844,,
,,0.0003,9899,0.016104189679026604,-19.89333724975586,,0.057743728160858154,10000,,,-2.967979669570923,100.0,-40.549969100000006
260,100,,,,,-106.71100216999997,,10000,100.0,38,,,
265,104,0.0003,10299,0.01601986214518547,-20.092805862426758,-103.07968075999999,0.05191616341471672,10400,100.0,39,-1.8465510606765747,,
,,0.0003,10399,0.015591206960380077,-20.229034423828125,,0.05056203529238701,10500,,,-1.663032054901123,100.0,-39.22423618
