time/fps,train/actor_loss,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/episodes,time/total_timesteps,train/critic_loss,train/learning_rate,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
192,1.8899269104003906,-121.75916650000002,299,100.0,4,400,0.01360697764903307,0.001,2,,
,1.9607725143432617,,399,,,500,0.008508671075105667,0.001,,-65.82517290000001,100.0
86,2.371155023574829,-94.47673525,699,100.0,8,800,0.006614682264626026,0.001,9,,
,2.714526653289795,,899,,,1000,0.006740514654666185,0.001,,-66.92307398,100.0
73,3.0556321144104004,-86.84499383333333,1099,100.0,12,1200,0.007384845521301031,0.001,16,,
,3.417691707611084,,1399,,,1500,0.009274907410144806,0.001,,-80.726111,100.0
67,3.5966954231262207,-81.15644381250002,1499,100.0,16,1600,0.01036310475319624,0.001,23,,
,4.287192344665527,,1899,,,2000,0.014276371337473392,0.001,,-62.9371209,100.0
64,,-78.90480675,,100.0,20,2000,,,30,,
71,4.966208457946777,-76.202212125,2299,100.0,24,2400,0.013308050110936165,0.001,33,,
,5.174199104309082,,2399,,,2500,0.01767539605498314,0.001,,-58.68258256,100.0
68,5.580454349517822,-74.24899839285715,2699,100.0,28,2800,0.018716534599661827,0.001,40,,
,5.975458145141602,,2899,,,3000,0.014318017289042473,0.001,,-63.33510284,100.0
66,6.4504780769348145,-73.04991734375,3099,100.0,32,3200,0.020479317754507065,0.001,48,,
,7.069648742675781,,3399,,,3500,0.0183010995388031,0.001,,-66.2223044,100.0
65,7.262556076049805,-72.99910224999999,3499,100.0,36,3600,0.017424866557121277,0.001,55,,
,7.832735061645508,,3899,,,4000,0.021523920819163322,0.001,,-64.21400218,100.0
64,,-71.424049075,,100.0,40,4000,,,62,,
67,8.667442321777344,-70.76397570454543,4299,100.0,44,4400,0.018426332622766495,0.001,65,,
,8.58048152923584,,4399,,,4500,0.033596739172935486,0.001,,-61.38678189999999,100.0
66,8.987908363342285,-69.5287145625,4699,100.0,48,4800,0.021862272173166275,0.001,72,,
,9.41153335571289,,4899,,,5000,0.01712922938168049,0.001,,-57.54600189999999,100.0
65,9.760607719421387,-68.52163073076923,5099,100.0,52,5200,0.01972438022494316,0.001,79,,
,10.156769752502441,,5399,,,5500,0.02106780931353569,0.001,,-58.09515502,100.0
64,10.431711196899414,-67.76411235714285,5499,100.0,56,5600,0.026962019503116608,0.001,86,,
,10.911502838134766,,5899,,,6000,0.0264748428016901,0.001,,-58.33403268,100.0
64,,-67.07824281666666,,100.0,60,6000,,,93,,
66,11.48829174041748,-66.38685346875,6299,100.0,64,6400,0.022873949259519577,0.001,96,,
,11.841517448425293,,6399,,,6500,0.02682827040553093,0.001,,-54.73887004,100.0
65,12.211310386657715,-65.53464888235295,6699,100.0,68,6800,0.02573877014219761,0.001,103,,
,12.320938110351562,,6899,,,7000,0.02749650925397873,0.001,,-55.35590724000001,100.0
64,12.433671951293945,-64.38130344444446,7099,100.0,72,7200,0.028491489589214325,0.001,110,,
,13.074689865112305,,7399,,,7500,0.02228163182735443,0.001,,-53.018800580000004,100.0
64,13.184700965881348,-63.74780688157897,7499,100.0,76,7600,0.02337377332150936,0.001,117,,
,13.7559814453125,,7899,,,8000,0.02584041655063629,0.001,,-52.46281014,100.0
63,,-63.16984195,,100.0,80,8000,,,125,,
65,14.15394115447998,-62.46832592857142,8299,100.0,84,8400,0.05290200561285019,0.001,128,,
,14.19906234741211,,8399,,,8500,0.022842325270175934,0.001,,-50.95582286,100.0
64,14.672266960144043,-62.02926402272727,8699,100.0,88,8800,0.028470806777477264,0.001,135,,
,14.927347183227539,,8899,,,9000,0.024633564054965973,0.001,,-52.96299906,100.0
64,15.44624137878418,-61.64252,9099,100.0,92,9200,0.0317477285861969,0.001,142,,
,15.958257675170898,,9399,,,9500,0.03289003297686577,0.001,,-51.437357420000005,100.0
64,15.75232982635498,-61.37450529166667,9499,100.0,96,9600,0.02858714573085308,0.001,149,,
,16.634925842285156,,9899,,,10000,0.029611822217702866,0.001,,-49.32946254,100.0
63,,-60.9132064,,100.0,100,10000,,,156,,
65,16.706222534179688,-57.89942148,10299,100.0,104,10400,0.033113785088062286,0.001,159,,
,16.854663848876953,,10399,,,10500,0.028321223333477974,0.001,,-47.29547698,100.0
64,17.553733825683594,-57.02968316,10699,100.0,108,10800,0.03236529603600502,0.001,166,,
,17.410324096679688,,10899,,,11000,0.03999017924070358,0.001,,-49.55108688,100.0
64,17.569774627685547,-55.95791109000001,11099,100.0,112,11200,0.04512809216976166,0.001,173,,
,18.3292236328125,,11399,,,11500,0.057253412902355194,0.001,,-49.8143239,100.0
64,18.287748336791992,-55.35651982999999,11499,100.0,116,11600,0.046457380056381226,0.001,181,,
,18.905237197875977,,11899,,,12000,0.049041278660297394,0.001,,-48.948119000000005,100.0
63,,-54.397090209999995,,100.0,120,12000,,,188,,
64,19.09368896484375,-53.92602092,12299,100.0,124,12400,0.049532465636730194,0.001,190,,
,19.223857879638672,,12399,,,12500,0.05734938383102417,0.001,,-58.45548516000001,100.0
64,19.99216079711914,-53.42287698,12699,100.0,128,12800,0.05717187374830246,0.001,197,,
,20.387493133544922,,12899,,,13000,0.04995700716972351,0.001,,-50.92168331999999,100.0
64,20.163509368896484,-52.89532716000001,13099,100.0,132,13200,0.04795270785689354,0.001,205,,
,20.485797882080078,,13399,,,13500,0.043276771903038025,0.001,,-54.47407964,100.0
64,20.97585105895996,-52.04178669000001,13499,100.0,136,13600,0.060729142278432846,0.001,212,,
,21.49761962890625,,13899,,,14000,0.05277187377214432,0.001,,-51.02337741999999,100.0
63,,-51.81631143,,100.0,140,14000,,,219,,
64,21.779788970947266,-51.02673931000001,14299,100.0,144,14400,0.06105074658989906,0.001,222,,
,22.127567291259766,,14399,,,14500,0.06974874436855316,0.001,,-49.64433588000001,100.0
64,22.207185745239258,-50.761748880000006,14699,100.0,148,14800,0.05645960569381714,0.001,229,,
,22.33246612548828,,14899,,,15000,0.07815490663051605,0.001,,-50.87465068,100.0
64,22.734867095947266,-50.55279565000001,15099,100.0,152,15200,0.07267004251480103,0.001,236,,
,22.76583480834961,,15399,,,15500,0.0694660097360611,0.001,,-50.66352989999999,100.0
64,22.888492584228516,-50.14925429,15499,100.0,156,15600,0.0725913718342781,0.001,243,,
,23.416179656982422,,15899,,,16000,0.09213412553071976,0.001,,-48.82008375999999,100.0
63,,-49.61769231,,100.0,160,16000,,,250,,
64,23.566051483154297,-49.393558110000015,16299,100.0,164,16400,0.06936817616224289,0.001,253,,
,23.91854476928711,,16399,,,16500,0.07820051908493042,0.001,,-49.90092516,100.0
64,24.12680435180664,-49.38611788,16699,100.0,168,16800,0.07687178999185562,0.001,260,,
