time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length
156,6,1103,68.70848332,8.59,161,0.001,1002,3.1343908309936523,-19.500682830810547,,
160,7,1144,71.07179677,8.84,161,0.001,1043,4.014033794403076,-19.74078941345215,,
164,7,1183,73.22914619,9.07,161,0.001,1082,3.16847562789917,-21.37274742126465,,
168,7,1225,73.70529108,9.12,162,0.001,1124,3.969407081604004,-21.248910903930664,,
172,7,1268,74.74825171000002,9.23,162,0.001,1167,4.653450965881348,-22.047330856323242,,
176,8,1321,77.28928432000002,9.5,162,0.001,1220,2.8134307861328125,-23.440523147583008,,
180,8,1379,80.58148112,9.85,162,0.001,1278,2.3630218505859375,-24.13269805908203,,
184,8,1439,83.75360112999999,10.19,163,0.001,1338,2.051865816116333,-24.90111541748047,,
,,1500,,,,0.001,1399,3.656360149383545,-27.226707458496094,147.96933254,17.1
188,9,1503,87.03965309000002,10.54,152,0.001,1402,2.472965955734253,-25.772750854492188,,
192,10,1593,93.65999743999998,11.25,153,0.001,1492,3.5840260982513428,-26.422698974609375,,
196,10,1667,98.24635932,11.74,153,0.001,1566,2.4953532218933105,-26.84450912475586,,
200,11,1721,100.77408055,12.01,154,0.001,1620,2.6342053413391113,-29.103103637695312,,
204,11,1785,104.31591555000001,12.39,154,0.001,1684,3.9021172523498535,-28.841537475585938,,
208,12,1875,110.47433817999999,13.05,154,0.001,1774,2.8746163845062256,-32.17722702026367,,
212,12,1958,115.79796245,13.62,153,0.001,1857,4.233913421630859,-32.859004974365234,,
,,2000,,,,0.001,1899,3.136256217956543,-32.732547760009766,158.45440348000002,18.18
216,14,2035,118.80299364000001,13.94,143,0.001,1934,3.693324089050293,-33.00919723510742,,
220,14,2104,121.14071226999998,14.19,143,0.001,2003,3.3392882347106934,-34.319236755371094,,
224,15,2200,124.87730147,14.59,144,0.001,2099,3.6968026161193848,-36.54412078857422,,
228,15,2296,129.08995134,15.04,144,0.001,2195,2.699936866760254,-37.491310119628906,,
232,16,2375,131.98104639,15.35,144,0.001,2274,6.209572792053223,-38.17646026611328,,
236,16,2472,137.0068535,15.89,145,0.001,2371,2.440556526184082,-41.99595642089844,,
,,2500,,,,0.001,2399,3.421541213989258,-41.03644561767578,198.86813844,22.54
240,18,2588,143.80653175,16.62,139,0.001,2487,3.140928268432617,-41.140647888183594,,
244,19,2667,146.95176439,16.96,140,0.001,2566,2.148240804672241,-43.22457504272461,,
248,19,2769,152.43926236,17.55,141,0.001,2668,3.2787091732025146,-43.959938049316406,,
252,20,2889,159.70876249,18.33,142,0.001,2788,3.0266246795654297,-45.66584014892578,,
,,3000,,,,0.001,2899,3.7804315090179443,-48.22189712524414,260.39220028,29.16
256,22,3017,167.25256636999998,19.14,135,0.001,2916,2.8358683586120605,-46.50853729248047,,
260,23,3157,176.47826705000003,20.13,135,0.001,3056,4.132846832275391,-48.30065155029297,,
264,24,3331,189.06008481000003,21.48,136,0.001,3230,3.4665796756744385,-50.532894134521484,,
,,3500,,,,0.001,3399,3.7136380672454834,-53.80984115600586,356.28882454000006,39.4
268,27,3517,202.46304638,22.92,129,0.001,3416,3.814851760864258,-53.57549285888672,,
272,28,3681,213.72961487,24.13,130,0.001,3580,7.129391193389893,-58.454864501953125,,
276,28,3819,221.64463734,24.98,132,0.001,3718,11.040790557861328,-59.87724304199219,,
280,29,3963,229.64693690000004,25.84,133,0.001,3862,4.256272315979004,-61.43778610229492,,
,,4000,,,,0.001,3899,5.439131736755371,-62.232948303222656,386.91271572000005,42.7
284,32,4133,239.91480396000003,26.94,126,0.001,4032,17.079330444335938,-64.98135375976562,,
288,33,4328,252.14219816999997,28.25,127,0.001,4227,12.845094680786133,-69.64450073242188,,
292,34,4458,255.88883523999996,28.65,128,0.001,4357,6.953790187835693,-66.76007080078125,,
,,4500,,,,0.001,4399,7.327847003936768,-70.98424530029297,405.21072858,44.64
296,37,4636,265.61084308,29.69,123,0.001,4535,11.101947784423828,-75.47955322265625,,
300,38,4817,277.48441944,30.96,124,0.001,4716,9.102136611938477,-76.0428466796875,,
304,39,4987,287.40423305,32.02,126,0.001,4886,9.073190689086914,-80.1015853881836,,
,,5000,,,,0.001,4899,9.915852546691895,-77.04148864746094,402.20267007999996,44.34
308,42,5174,296.46069374,32.99,122,0.001,5073,8.64956283569336,-79.42371368408203,,
312,43,5336,303.83648777999997,33.78,123,0.001,5235,13.029243469238281,-84.26301574707031,,
,,5500,,,,0.001,5399,11.868097305297852,-82.41934967041016,392.4951555800001,43.28
316,46,5519,313.72868450999994,34.84,119,0.001,5418,9.582141876220703,-82.597412109375,,
320,47,5703,324.45254576,35.99,121,0.001,5602,16.50463104248047,-88.44800567626953,,
324,48,5928,336.4982241,37.28,122,0.001,5827,11.468842506408691,-86.5970687866211,,
,,6000,,,,0.001,5899,9.549123764038086,-89.02919006347656,359.78222989999995,39.78
328,50,6085,342.18415660999995,37.89,119,0.001,5984,13.258533477783203,-90.90003204345703,,
332,51,6246,349.8318830799999,38.71,120,0.001,6145,12.364640235900879,-93.29148864746094,,
336,52,6450,359.8032326199999,39.78,121,0.001,6349,12.631759643554688,-92.44953918457031,,
,,6500,,,,0.001,6399,12.269693374633789,-98.63645935058594,376.14851956000007,41.58
340,55,6575,360.62485195,39.87,118,0.001,6474,15.6204833984375,-99.14619445800781,,
344,56,6729,367.6212538699999,40.62,119,0.001,6628,30.436233520507812,-102.49781799316406,,
348,57,6871,371.34235485,41.02,120,0.001,6770,9.817106246948242,-101.64448547363281,,
,,7000,,,,0.001,6899,21.9023380279541,-101.75480651855469,378.6472934000001,41.86
352,60,7112,382.59436680999994,42.23,118,0.001,7011,23.23990249633789,-101.6915512084961,,
356,61,7298,387.97708155999993,42.81,119,0.001,7197,16.045883178710938,-97.47025299072266,,
360,62,7446,388.71016807,42.89,119,0.001,7345,21.305809020996094,-108.76338195800781,,
,,7500,,,,0.001,7399,23.1048583984375,-101.2647476196289,416.08095263999996,45.86
364,65,7662,392.60867412999994,43.31,117,0.001,7561,17.756135940551758,-104.29924011230469,,
368,66,7842,392.05443683,43.25,118,0.001,7741,18.33139991760254,-103.4583740234375,,
,,8000,,,,0.001,7899,16.84130096435547,-113.2625503540039,425.08144146,46.84
372,69,8049,396.06210539,43.68,115,0.001,7948,14.882928848266602,-114.81913757324219,,
376,71,8330,409.39656298999995,45.11,116,0.001,8229,30.818096160888672,-111.33245849609375,,
,,8500,,,,0.001,8399,34.341590881347656,-120.32734680175781,510.24584222000004,55.96
380,76,8717,432.0536458700001,47.54,114,0.001,8616,52.95350646972656,-119.61428833007812,,
384,76,8874,430.84551426999997,47.41,115,0.001,8773,22.750751495361328,-116.00234985351562,,
,,9000,,,,0.001,8899,26.915815353393555,-121.12973022460938,455.2898794,50.04
388,79,9031,427.27505148999995,47.03,113,0.001,8930,24.796791076660156,-119.0975341796875,,
392,82,9430,452.35452879,49.72,114,0.001,9329,56.25737762451172,-121.09976196289062,,
,,9500,,,,0.001,9399,32.72026062011719,-124.09109497070312,489.9064666400001,53.76
396,86,9828,472.84587491999997,51.92,113,0.001,9727,32.98861312866211,-132.1472930908203,,
,,10000,,,,0.001,9899,42.590354919433594,-126.81800842285156,632.0581362400001,68.98
400,90,10079,479.36366281000005,52.62,111,0.001,9978,31.406871795654297,-121.48344421386719,,
,,10500,,,,0.001,10399,66.18287658691406,-129.75814819335938,869.3697515800002,94.44
404,97,10519,504.51193493000005,55.32,108,0.001,10418,58.60533905029297,-142.56512451171875,,
408,99,10854,518.29981516,56.8,109,0.001,10753,62.95274353027344,-135.8748779296875,,
,,11000,,,,0.001,10899,96.47442626953125,-135.885009765625,554.04665522,60.64
412,103,11130,528.91934286,57.94,107,0.001,11029,54.33985900878906,-130.84051513671875,,
416,105,11483,544.7515730499999,59.64,108,0.001,11382,53.79862594604492,-136.21673583984375,,
,,11500,,,,0.001,11399,54.62712860107422,-133.92404174804688,596.57792076,65.2
420,109,11750,552.47244823,60.47,107,0.001,11649,74.32520294189453,-143.81378173828125,,
,,12000,,,,0.001,11899,65.40811157226562,-143.943603515625,508.28932432,55.72
424,113,12046,559.0856741299999,61.18,106,0.001,11945,84.781494140625,-138.33062744140625,,
428,115,12319,569.9139658399998,62.34,106,0.001,12218,35.25075912475586,-144.81259155273438,,
,,12500,,,,0.001,12399,63.97461700439453,-152.48170471191406,535.44275964,58.64
432,119,12601,581.19542101,63.55,105,0.001,12500,76.38381958007812,-150.15158081054688,,
436,120,12860,586.31092292,64.1,106,0.001,12759,110.43167114257812,-149.11978149414062,,
,,13000,,,,0.001,12899,69.77647399902344,-149.16629028320312,1042.6155057800001,113.04
440,126,13161,602.73203363,65.86,103,0.001,13060,68.91768646240234,-157.2427978515625,,
444,128,13455,615.79282909,67.26,104,0.001,13354,66.95331573486328,-158.8763427734375,,
,,13500,,,,0.001,13399,59.698760986328125,-156.99319458007812,1047.7048102600002,113.58
448,135,13900,644.04435905,70.29,102,0.001,13799,61.033573150634766,-149.22149658203125,,
,,14000,,,,0.001,13899,67.42172241210938,-148.47021484375,499.052754,54.74
452,139,14207,650.2206863700001,70.95,101,0.001,14106,97.43911743164062,-155.93463134765625,,
,,14500,,,,0.001,14399,87.4354248046875,-157.11639404296875,655.2051655,71.48
456,146,14913,698.7197509599999,76.15,101,0.001,14812,96.82160949707031,-165.29937744140625,,
,,15000,,,,0.001,14899,182.67098999023438,-162.6268310546875,893.8688072,97.08
,,15500,,,,0.001,15399,113.09879302978516,-172.70339965820312,1018.06270968,110.38
,,16000,,,,0.001,15899,149.03533935546875,-174.5567626953125,8974.577983419998,962.88
460,199,16098,795.50747643,86.52,80,0.001,15997,177.99208068847656,-175.59397888183594,,
,,16500,,,,0.001,16399,107.0134506225586,-170.731201171875,9138.576228760001,980.54
,,17000,,,,0.001,16899,351.1584777832031,-179.60321044921875,9137.95346568,980.54
,,17500,,,,0.001,17399,79.68578338623047,-183.30670166015625,8078.61196154,866.82
,,18000,,,,0.001,17899,91.6930923461914,-186.75338745117188,9139.75083992,980.56
,,18500,,,,0.001,18399,99.84129333496094,-197.54275512695312,9139.52261366,980.74
,,19000,,,,0.001,18899,117.58297729492188,-209.47515869140625,9141.2700788,980.66
,,19500,,,,0.001,19399,139.8763885498047,-204.0610809326172,9141.99689936,980.76
,,20000,,,,0.001,19899,130.8990020751953,-201.62057495117188,9139.6167718,980.7
464,521,20098,1148.6940573100003,124.36,38,0.001,19997,127.97280883789062,-212.0894317626953,,
,,20500,,,,0.001,20399,101.50316619873047,-209.44033813476562,9141.444572,980.72
,,21000,,,,0.001,20899,146.16427612304688,-226.83489990234375,9139.47459772,980.68
,,21500,,,,0.001,21399,96.35842895507812,-217.23541259765625,9140.21129932,980.74
,,22000,,,,0.001,21899,99.14701843261719,-218.46856689453125,9143.9578318,980.66
,,22500,,,,0.001,22399,160.19256591796875,-221.96707153320312,9135.01500952,980.62
,,23000,,,,0.001,22899,119.8739013671875,-235.291015625,9143.649816559999,980.88
,,23500,,,,0.001,23399,137.35296630859375,-227.20867919921875,9140.97081144,980.74
,,24000,,,,0.001,23899,121.59881591796875,-234.94546508789062,9142.446683900002,980.78
468,847,24098,1505.1999669,162.56,28,0.001,23997,240.8263397216797,-235.416748046875,,
,,24500,,,,0.001,24399,102.29368591308594,-238.55245971679688,9143.87180704,980.94
,,25000,,,,0.001,24899,118.46543884277344,-248.39280700683594,9137.1521933,980.44
,,25500,,,,0.001,25399,149.3888702392578,-243.76107788085938,9138.14291816,980.48
,,26000,,,,0.001,25899,157.5987548828125,-256.6551513671875,9138.030121,980.44
,,26500,,,,0.001,26399,94.12064361572266,-255.84762573242188,9142.78377228,981.04
,,27000,,,,0.001,26899,102.47055053710938,-253.63534545898438,9137.949378559999,980.48
,,27500,,,,0.001,27399,128.59710693359375,-256.54254150390625,9137.56095794,980.44
,,28000,,,,0.001,27899,206.8562469482422,-264.95196533203125,9136.305820999998,980.34
472,1175,28098,1859.1712810899999,200.49,23,0.001,27997,365.6415100097656,-253.421875,,
,,28500,,,,0.001,28399,100.68187713623047,-269.28924560546875,9137.286166319998,980.38
,,29000,,,,0.001,28899,146.54443359375,-269.8473815917969,9137.067431700001,980.34
,,29500,,,,0.001,29399,126.26471710205078,-273.41754150390625,9136.5644011,980.32
,,30000,,,,0.001,29899,140.3487548828125,-270.7303771972656,9134.81714168,980.34
