time/fps,train/critic_loss,rollout/ep_len_mean,train/learning_rate,train/actor_loss,train/ent_coef_loss,time/time_elapsed,train/n_updates,rollout/ep_rew_mean,time/episodes,time/total_timesteps,train/ent_coef,eval/mean_reward,eval/mean_ep_length
111,0.2415776252746582,100.0,0.0003,-10.204719543457031,-1.0557222366333008,3,299,-149.22879175,4,400,0.9143975973129272,,
,0.237240731716156,,0.0003,-10.98696517944336,-1.4079703092575073,,399,,,500,0.8873758912086487,-53.4864104,100.0
49,0.1267697513103485,100.0,0.0003,-13.257362365722656,-2.4554176330566406,16,699,-152.206942125,8,800,0.8110737800598145,,
,0.1196100264787674,,0.0003,-14.80318832397461,-3.1598663330078125,,899,,,1000,0.7639307379722595,-54.53703208000001,100.0
42,0.12216795235872269,100.0,0.0003,-16.103153228759766,-3.8572440147399902,28,1099,-150.49192533333334,12,1200,0.7195305824279785,,
,0.10914769023656845,,0.0003,-17.79454803466797,-4.921451568603516,,1399,,,1500,0.6576679944992065,-53.48067721999999,100.0
38,0.10923756659030914,100.0,0.0003,-18.208271026611328,-5.257155418395996,41,1499,-149.924894875,16,1600,0.6382313966751099,,
,0.1176653504371643,,0.0003,-19.797889709472656,-6.660012245178223,,1899,,,2000,0.5661163330078125,-48.488199640000005,100.0
37,,100.0,,,,53,,-148.92550720000003,20,2000,,,
41,0.10318289697170258,100.0,0.0003,-20.788150787353516,-8.063213348388672,58,2299,-147.52380841666664,24,2400,0.5021872520446777,,
,0.08116830885410309,,0.0003,-20.964895248413086,-8.405879974365234,,2399,,,2500,0.4873848557472229,-49.66767427999999,100.0
39,0.09151799976825714,100.0,0.0003,-21.273399353027344,-9.434365272521973,70,2699,-145.74493457142856,28,2800,0.4455701410770416,,
,0.0812738835811615,,0.0003,-21.43266487121582,-10.114420890808105,,2899,,,3000,0.4197451174259186,-50.88962638,100.0
38,0.08151606470346451,100.0,0.0003,-21.47062873840332,-10.774370193481445,83,3099,-144.88261903125002,32,3200,0.39543524384498596,,
,0.07061401009559631,,0.0003,-21.389057159423828,-11.663278579711914,,3399,,,3500,0.36164963245391846,-49.121255680000004,100.0
37,0.06955152750015259,100.0,0.0003,-21.20125961303711,-12.073840141296387,95,3499,-143.61435333333338,36,3600,0.3510648310184479,,
,0.06985218822956085,,0.0003,-20.616832733154297,-13.412432670593262,,3899,,,4000,0.3118072748184204,-49.24419175999999,100.0
37,,100.0,,,,107,,-141.603236875,40,4000,,,
