time/episodes,time/fps,train/actor_loss,train/ent_coef,train/n_updates,time/time_elapsed,train/ent_coef_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
68,37,-12.280778884887695,0.1388847827911377,6699,179,-19.51333999633789,100.0,0.032529331743717194,6800,0.0003,-124.50447797058823,,
,,-11.72171688079834,0.13129569590091705,6899,,-19.55599021911621,,0.024254903197288513,7000,0.0003,,-42.639694199999994,100.0
72,37,-10.926058769226074,0.12414338439702988,7099,192,-20.24156951904297,100.0,0.024344347417354584,7200,0.0003,-122.18558206944444,,
,,-9.891643524169922,0.1141754612326622,7399,,-20.010231018066406,,0.026295572519302368,7500,0.0003,,-43.79263398000001,100.0
76,37,-9.368690490722656,0.11104347556829453,7499,205,-19.986608505249023,100.0,0.026359975337982178,7600,0.0003,-119.68241627631578,,
,,-8.21844482421875,0.09940896928310394,7899,,-20.161495208740234,,0.021030530333518982,8000,0.0003,,-45.06056178,100.0
80,36,,,,217,,100.0,,8000,,-117.59382452499999,,
84,37,-7.1332902908325195,0.08905810117721558,8299,222,-20.51396369934082,100.0,0.02151128649711609,8400,0.0003,-115.24390713095238,,
,,-6.783796310424805,0.08665598928928375,8399,,-20.402992248535156,,0.02116747573018074,8500,0.0003,,-42.1305551,100.0
88,37,-5.616925239562988,0.07984047383069992,8699,234,-20.40536880493164,100.0,0.019589863717556,8800,0.0003,-113.04200354545455,,
,,-5.027382850646973,0.07561168074607849,8899,,-20.766178131103516,,0.020905110985040665,9000,0.0003,,-41.805302760000004,100.0
92,37,-4.522523880004883,0.07162826508283615,9099,247,-19.983261108398438,100.0,0.01905236393213272,9200,0.0003,-110.80571657608697,,
,,-3.1769282817840576,0.06605738401412964,9399,,-20.262287139892578,,0.021636366844177246,9500,0.0003,,-41.99025443999999,100.0
96,36,-3.103580951690674,0.06430390477180481,9499,259,-19.892343521118164,100.0,0.025908002629876137,9600,0.0003,-108.78251198958333,,
,,-2.043808937072754,0.057779766619205475,9899,,-20.263370513916016,,0.018263934180140495,10000,0.0003,,-40.60933324,100.0
100,36,,,,272,,100.0,,10000,,-106.89074075999999,,
104,37,-0.8945755958557129,0.05194255709648132,10299,277,-19.838932037353516,100.0,0.01983131282031536,10400,0.0003,-103.28912435999999,,
,,-0.43069180846214294,0.05058654770255089,10399,,-19.977569580078125,,0.019596271216869354,10500,0.0003,,-40.9431954,100.0
108,37,0.31783026456832886,0.04673895239830017,10699,289,-20.117265701293945,100.0,0.021694499999284744,10800,0.0003,-99.55415565999998,,
,,0.9530029296875,0.04435654729604721,10899,,-19.13939666748047,,0.019401922821998596,11000,0.0003,,-40.44598884,100.0
112,37,1.548248052597046,0.042105529457330704,11099,302,-18.609363555908203,100.0,0.018139399588108063,11200,0.0003,-95.67784023,,
,,2.66713547706604,0.038967713713645935,11399,,-18.90601348876953,,0.018057670444250107,11500,0.0003,,-40.26988408,100.0
116,36,2.8953099250793457,0.03797955811023712,11499,314,-18.607398986816406,100.0,0.020661018788814545,11600,0.0003,-91.97910159000001,,
,,3.6457788944244385,0.03430415689945221,11899,,-17.913320541381836,,0.015990611165761948,12000,0.0003,,-40.587976239999996,100.0
120,36,,,,327,,100.0,,12000,,-88.13348274000002,,
124,37,4.633901119232178,0.03102114051580429,12299,331,-17.053396224975586,100.0,0.016125904396176338,12400,0.0003,-84.33689909,,
,,5.075144290924072,0.03026050329208374,12399,,-16.49005126953125,,0.019747188314795494,12500,0.0003,,-40.55188068,100.0
