time/episodes,rollout/ep_len_mean,train/actor_loss,train/learning_rate,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,time/fps,time/time_elapsed,train/n_updates,eval/mean_ep_length,eval/mean_reward
4,100.0,1.8653409481048584,0.001,-110.019397,400,0.010181190446019173,270,1,299,,
,,1.9365234375,0.001,,500,0.003870329586789012,,,399,100.0,-85.01865905999999
8,100.0,2.3920235633850098,0.001,-92.00211275,800,0.005879177711904049,138,5,699,,
,,2.670315980911255,0.001,,1000,0.007248105015605688,,,899,100.0,-70.12674106
12,100.0,2.9713850021362305,0.001,-83.21635008333332,1200,0.007514440920203924,118,10,1099,,
,,3.3700103759765625,0.001,,1500,0.013576851226389408,,,1399,100.0,-62.964445260000005
16,100.0,3.6733689308166504,0.001,-79.59186256250001,1600,0.008503174409270287,104,15,1499,,
,,4.341540336608887,0.001,,2000,0.010879659093916416,,,1899,100.0,-66.362375
20,100.0,,,-78.89340315000001,2000,,96,20,,,
24,100.0,4.965012550354004,0.001,-76.44213154166665,2400,0.010825496166944504,106,22,2299,,
,,5.186906814575195,0.001,,2500,0.009940491989254951,,,2399,100.0,-63.15122248000001
28,100.0,5.650752067565918,0.001,-74.53655542857143,2800,0.011121643707156181,100,27,2699,,
,,5.999349117279053,0.001,,3000,0.010686255991458893,,,2899,100.0,-63.07823138
32,100.0,6.285367012023926,0.001,-72.80999396875,3200,0.011521712876856327,94,33,3099,,
,,6.682046890258789,0.001,,3500,0.015406815335154533,,,3399,100.0,-62.08912050000001
36,100.0,6.88060998916626,0.001,-71.49289375000001,3600,0.014295014552772045,89,40,3499,,
,,7.587132453918457,0.001,,4000,0.011898216791450977,,,3899,100.0,-62.54078306
40,100.0,,,-70.583887125,4000,,85,46,,,
44,100.0,8.245611190795898,0.001,-69.99006727272727,4400,0.016853783279657364,89,49,4299,,
,,8.341419219970703,0.001,,4500,0.01496577076613903,,,4399,100.0,-63.4532967
48,100.0,8.81613540649414,0.001,-69.21449014583334,4800,0.016076378524303436,86,55,4699,,
,,9.200443267822266,0.001,,5000,0.017112987115979195,,,4899,100.0,-61.97745358
52,100.0,9.40983772277832,0.001,-68.73578644230768,5200,0.028668710961937904,83,62,5099,,
,,9.906949043273926,0.001,,5500,0.020035717636346817,,,5399,100.0,-64.28962214
56,100.0,10.075605392456055,0.001,-68.29069619642857,5600,0.01975707896053791,81,68,5499,,
,,10.757125854492188,0.001,,6000,0.018978340551257133,,,5899,100.0,-61.18985982
60,100.0,,,-67.86470883333332,6000,,79,75,,,
64,100.0,11.510444641113281,0.001,-67.21398789062499,6400,0.02224086783826351,82,77,6299,,
,,11.605592727661133,0.001,,6500,0.025005584582686424,,,6399,100.0,-61.19184922
68,100.0,12.093124389648438,0.001,-66.62341670588235,6800,0.02055901102721691,81,83,6699,,
,,12.438101768493652,0.001,,7000,0.02300737053155899,,,6899,100.0,-59.55987618
72,100.0,12.558403015136719,0.001,-66.17328831944444,7200,0.022708065807819366,79,90,7099,,
,,12.958324432373047,0.001,,7500,0.029244955629110336,,,7399,100.0,-56.95670424000001
76,100.0,13.027628898620605,0.001,-65.60471842105262,7600,0.02650953084230423,78,96,7499,,
,,13.791587829589844,0.001,,8000,0.024681108072400093,,,7899,100.0,-55.25121891999999
80,100.0,,,-65.07060797499999,8000,,77,103,,,
84,100.0,14.182605743408203,0.001,-64.55564865476188,8400,0.0236729234457016,79,105,8299,,
,,14.38830852508545,0.001,,8500,0.032114915549755096,,,8399,100.0,-61.92409534
88,100.0,14.882913589477539,0.001,-64.41320192045454,8800,0.02989753894507885,78,112,8699,,
,,15.235544204711914,0.001,,9000,0.028915083035826683,,,8899,100.0,-57.35257089999999
92,100.0,15.628944396972656,0.001,-63.88112683695651,9200,0.025402426719665527,77,118,9099,,
,,15.916770935058594,0.001,,9500,0.024058278650045395,,,9399,100.0,-58.80385314000001
96,100.0,16.044933319091797,0.001,-63.30520383333333,9600,0.028314869850873947,76,125,9499,,
,,16.533405303955078,0.001,,10000,0.027368221431970596,,,9899,100.0,-60.63963718
100,100.0,,,-63.01210639000001,10000,,75,131,,,
104,100.0,17.181652069091797,0.001,-60.58709798999999,10400,0.025821618735790253,77,134,10299,,
,,17.109172821044922,0.001,,10500,0.02441638708114624,,,10399,100.0,-51.43560055999999
108,100.0,17.434648513793945,0.001,-59.48679887999999,10800,0.02396642230451107,76,140,10699,,
,,17.680335998535156,0.001,,11000,0.023317556828260422,,,10899,100.0,-50.15860659999999
112,100.0,18.06797218322754,0.001,-58.84424801,11200,0.04196254909038544,76,147,11099,,
,,18.280946731567383,0.001,,11500,0.026585794985294342,,,11399,100.0,-49.48148656
116,100.0,18.36492156982422,0.001,-57.89420242,11600,0.037929099053144455,75,153,11499,,
,,18.854366302490234,0.001,,12000,0.032242268323898315,,,11899,100.0,-49.6998305
120,100.0,,,-56.90961595000001,12000,,74,160,,,
124,100.0,19.22262191772461,0.001,-56.40254406,12400,0.03514328598976135,76,162,12299,,
,,19.411813735961914,0.001,,12500,0.030490631237626076,,,12399,100.0,-50.495480879999995
128,100.0,19.268943786621094,0.001,-55.896717040000006,12800,0.03561059758067131,75,169,12699,,
,,20.119901657104492,0.001,,13000,0.05746065080165863,,,12899,100.0,-53.24312508
132,100.0,20.051366806030273,0.001,-55.74736987000002,13200,0.046125441789627075,74,176,13099,,
,,20.466655731201172,0.001,,13500,0.03550436720252037,,,13399,100.0,-48.2367976
136,100.0,20.770200729370117,0.001,-55.283117329999996,13600,0.036623161286115646,74,182,13499,,
,,21.191852569580078,0.001,,14000,0.026494864374399185,,,13899,100.0,-59.904916060000005
140,100.0,,,-54.894355969999985,14000,,73,189,,,
144,100.0,21.700302124023438,0.001,-54.32536296999999,14400,0.060380786657333374,75,191,14299,,
,,21.723979949951172,0.001,,14500,0.04444069787859917,,,14399,100.0,-49.20973824
148,100.0,22.321090698242188,0.001,-53.9638189,14800,0.03299940004944801,74,197,14699,,
,,21.905834197998047,0.001,,15000,0.03402256220579147,,,14899,100.0,-49.3527902
152,100.0,22.513519287109375,0.001,-53.524588439999995,15200,0.04195811599493027,74,204,15099,,
,,22.932296752929688,0.001,,15500,0.04320961982011795,,,15399,100.0,-49.772809640000006
156,100.0,22.85293197631836,0.001,-52.75392225999999,15600,0.041724398732185364,73,211,15499,,
,,23.106769561767578,0.001,,16000,0.04722067713737488,,,15899,100.0,-48.22825796
160,100.0,,,-52.38088864999999,16000,,73,217,,,
164,100.0,23.247032165527344,0.001,-51.8268108,16400,0.040845029056072235,74,220,16299,,
,,23.281007766723633,0.001,,16500,0.04889575392007828,,,16399,100.0,-50.40052646
168,100.0,23.908145904541016,0.001,-51.73031564,16800,0.04978347569704056,74,226,16699,,
,,23.956310272216797,0.001,,17000,0.04894464090466499,,,16899,100.0,-54.213721379999996
172,100.0,24.40862464904785,0.001,-51.55379055,17200,0.06527803838253021,73,233,17099,,
,,24.37694549560547,0.001,,17500,0.05255470424890518,,,17399,100.0,-57.70939824
176,100.0,24.462886810302734,0.001,-51.4174732,17600,0.06800343096256256,73,239,17499,,
,,24.71434783935547,0.001,,18000,0.06855878978967667,,,17899,100.0,-53.418579460000004
180,100.0,,,-51.507653790000006,18000,,73,246,,,
184,100.0,25.267581939697266,0.001,-51.32487045,18400,0.07089304178953171,73,248,18299,,
,,25.520904541015625,0.001,,18500,0.07474417984485626,,,18399,100.0,-53.17956391999999
188,100.0,25.632732391357422,0.001,-50.98548123,18800,0.07162611186504364,73,255,18699,,
,,25.959915161132812,0.001,,19000,0.08934012800455093,,,18899,100.0,-56.03308258
192,100.0,25.965330123901367,0.001,-51.43598612000001,19200,0.0625334084033966,73,261,19099,,
,,26.378807067871094,0.001,,19500,0.11508822441101074,,,19399,100.0,-56.86870248
196,100.0,26.673246383666992,0.001,-51.423192400000005,19600,0.05228215456008911,73,268,19499,,
,,27.108531951904297,0.001,,20000,0.06359018385410309,,,19899,100.0,-50.319305400000005
200,100.0,,,-51.542689290000006,20000,,72,275,,,
204,100.0,27.327320098876953,0.001,-51.66405944000001,20400,0.04943360015749931,73,277,20299,,
,,27.62248992919922,0.001,,20500,0.0864659994840622,,,20399,100.0,-48.781589860000004
208,100.0,27.820127487182617,0.001,-51.723689560000004,20800,0.08548183739185333,73,283,20699,,
,,27.900381088256836,0.001,,21000,0.07275921106338501,,,20899,100.0,-46.762261900000006
212,100.0,27.909698486328125,0.001,-51.78484610999999,21200,0.06550267338752747,72,290,21099,,
,,28.349849700927734,0.001,,21500,0.08367595076560974,,,21399,100.0,-47.04138964
216,100.0,28.333816528320312,0.001,-51.61978191,21600,0.08801299333572388,72,297,21499,,
,,28.68451690673828,0.001,,22000,0.10475722700357437,,,21899,100.0,-45.49943246
220,100.0,,,-51.66984966999999,22000,,72,303,,,
224,100.0,29.01227569580078,0.001,-51.51006898000001,22400,0.06855703890323639,73,306,22299,,
,,29.55767059326172,0.001,,22500,0.07987441122531891,,,22399,100.0,-45.98504878
228,100.0,29.509075164794922,0.001,-51.39757031999999,22800,0.07322801649570465,72,312,22699,,
,,29.815370559692383,0.001,,23000,0.07737305760383606,,,22899,100.0,-48.19913616000001
232,100.0,30.276363372802734,0.001,-50.926890969999995,23200,0.07885488867759705,72,319,23099,,
,,30.092174530029297,0.001,,23500,0.11066478490829468,,,23399,100.0,-45.913088900000005
236,100.0,30.329286575317383,0.001,-50.79491819,23600,0.07425826787948608,72,325,23499,,
,,30.427406311035156,0.001,,24000,0.10095679014921188,,,23899,100.0,-45.66752407999999
240,100.0,,,-50.29786697,24000,,72,332,,,
244,100.0,31.035663604736328,0.001,-50.209131049999996,24400,0.07735253870487213,72,334,24299,,
,,31.11245346069336,0.001,,24500,0.08708524703979492,,,24399,100.0,-45.71303328
248,100.0,31.112430572509766,0.001,-49.682175050000005,24800,0.10496154427528381,72,340,24699,,
,,31.272083282470703,0.001,,25000,0.12202519178390503,,,24899,100.0,-44.45840468
252,100.0,31.512645721435547,0.001,-49.379769020000005,25200,0.11718878149986267,72,347,25099,,
,,31.770055770874023,0.001,,25500,0.15744420886039734,,,25399,100.0,-45.615936860000005
256,100.0,32.10694122314453,0.001,-49.76541422,25600,0.11541435867547989,72,354,25499,,
,,32.51102828979492,0.001,,26000,0.09973861277103424,,,25899,100.0,-48.31059464
260,100.0,,,-49.390268930000005,26000,,72,360,,,
264,100.0,32.86444091796875,0.001,-49.17838391000001,26400,0.1435849368572235,72,362,26299,,
,,32.91877365112305,0.001,,26500,0.16220125555992126,,,26399,100.0,-47.64297246
268,100.0,33.04103088378906,0.001,-48.779415660000005,26800,0.1929924488067627,72,369,26699,,
,,33.72223663330078,0.001,,27000,0.15871722996234894,,,26899,100.0,-49.65673763999999
272,100.0,33.40790557861328,0.001,-48.34319364000001,27200,0.19371852278709412,72,375,27099,,
,,33.200843811035156,0.001,,27500,0.22293955087661743,,,27399,100.0,-48.05785146
276,100.0,33.57887268066406,0.001,-48.23222761000001,27600,0.17292580008506775,72,382,27499,,
,,34.294830322265625,0.001,,28000,0.16280663013458252,,,27899,100.0,-48.38992515999999
280,100.0,,,-47.72878976999999,28000,,72,388,,,
284,100.0,34.389366149902344,0.001,-48.03060352000001,28400,0.2201327383518219,72,390,28299,,
,,34.17884826660156,0.001,,28500,0.1817946881055832,,,28399,100.0,-54.1914253
288,100.0,34.91200256347656,0.001,-48.3357247,28800,0.18056100606918335,72,397,28699,,
,,35.005130767822266,0.001,,29000,0.1624150276184082,,,28899,100.0,-54.040296500000004
292,100.0,35.175228118896484,0.001,-47.99467745,29200,0.149857759475708,72,404,29099,,
,,35.2957763671875,0.001,,29500,0.23655857145786285,,,29399,100.0,-51.52436644
296,100.0,35.710289001464844,0.001,-47.918813199999995,29600,0.14987894892692566,72,410,29499,,
,,35.64372253417969,0.001,,30000,0.14260315895080566,,,29899,100.0,-48.66160798000001
300,100.0,,,-47.557647190000004,30000,,71,417,,,
304,100.0,36.04578399658203,0.001,-47.38614406999999,30400,0.1134537011384964,72,419,30299,,
,,36.334678649902344,0.001,,30500,0.1395220160484314,,,30399,100.0,-49.83652787999999
308,100.0,36.73711013793945,0.001,-47.45116469999998,30800,0.10102635622024536,72,425,30699,,
,,36.63312911987305,0.001,,31000,0.1505645513534546,,,30899,100.0,-48.18528294
312,100.0,36.86431121826172,0.001,-47.21118794,31200,0.11008360981941223,72,432,31099,,
,,36.72002410888672,0.001,,31500,0.10096730291843414,,,31399,100.0,-49.00932316
316,100.0,37.31300354003906,0.001,-47.458514029999996,31600,0.11482273042201996,71,438,31499,,
,,37.421871185302734,0.001,,32000,0.12300783395767212,,,31899,100.0,-50.706451619999996
320,100.0,,,-47.25129602,32000,,71,445,,,
324,100.0,37.625244140625,0.001,-47.34445764000001,32400,0.08737087994813919,72,447,32299,,
,,38.09135055541992,0.001,,32500,0.09782792627811432,,,32399,100.0,-56.48277452
328,100.0,37.88992691040039,0.001,-47.755994900000005,32800,0.13921116292476654,72,454,32699,,
,,38.09576416015625,0.001,,33000,0.158141627907753,,,32899,100.0,-58.52727586
332,100.0,38.30035400390625,0.001,-48.19382675,33200,0.09586989879608154,72,460,33099,,
,,38.35614013671875,0.001,,33500,0.17443743348121643,,,33399,100.0,-52.074622600000005
336,100.0,38.653648376464844,0.001,-48.35827483,33600,0.10669872909784317,71,467,33499,,
,,38.54145812988281,0.001,,34000,0.10426223278045654,,,33899,100.0,-49.22708404
340,100.0,,,-48.69730489,34000,,71,474,,,
344,100.0,38.83750915527344,0.001,-48.811845579999996,34400,0.11332827806472778,72,476,34299,,
,,38.4979248046875,0.001,,34500,0.10489818453788757,,,34399,100.0,-52.5539523
348,100.0,39.01738739013672,0.001,-49.312414999999994,34800,0.11231304705142975,72,482,34699,,
,,39.24351501464844,0.001,,35000,0.10019297897815704,,,34899,100.0,-47.57330474
352,100.0,39.51035690307617,0.001,-49.27970302,35200,0.08655180782079697,71,489,35099,,
,,39.62992858886719,0.001,,35500,0.15560957789421082,,,35399,100.0,-49.7726703
356,100.0,39.80388641357422,0.001,-49.08814089999999,35600,0.10816970467567444,71,495,35499,,
,,40.06838607788086,0.001,,36000,0.08535136282444,,,35899,100.0,-47.72203008
360,100.0,,,-49.19489374,36000,,71,502,,,
364,100.0,39.957801818847656,0.001,-49.34340609,36400,0.10995890200138092,72,504,36299,,
,,40.123390197753906,0.001,,36500,0.10806435346603394,,,36399,100.0,-47.65069584
368,100.0,40.55772399902344,0.001,-49.164882309999996,36800,0.10493331402540207,71,511,36699,,
,,40.517948150634766,0.001,,37000,0.08809775859117508,,,36899,100.0,-46.53797232000001
372,100.0,40.568817138671875,0.001,-49.544155249999996,37200,0.12023112177848816,71,517,37099,,
,,40.860496520996094,0.001,,37500,0.11906163394451141,,,37399,100.0,-46.14710436
376,100.0,41.09239196777344,0.001,-49.47220522,37600,0.09318244457244873,71,524,37499,,
,,41.465599060058594,0.001,,38000,0.10240409523248672,,,37899,100.0,-47.0899118
380,100.0,,,-49.40744930000001,38000,,71,530,,,
384,100.0,41.18260192871094,0.001,-48.84874938,38400,0.11060759425163269,72,533,38299,,
,,41.41717529296875,0.001,,38500,0.09269759058952332,,,38399,100.0,-48.30028718
388,100.0,41.69862365722656,0.001,-48.41643646999999,38800,0.09245356172323227,71,539,38699,,
,,41.88121795654297,0.001,,39000,0.141178160905838,,,38899,100.0,-47.09449934
392,100.0,42.23308181762695,0.001,-48.21321465999999,39200,0.0795816034078598,71,546,39099,,
,,42.26354217529297,0.001,,39500,0.08854439109563828,,,39399,100.0,-46.68115100000001
396,100.0,42.316734313964844,0.001,-47.946768580000004,39600,0.09476359933614731,71,552,39499,,
,,42.16725158691406,0.001,,40000,0.12691161036491394,,,39899,100.0,-45.822680059999996
400,100.0,,,-47.7641497,40000,,71,559,,,
404,100.0,42.53376770019531,0.001,-47.71931112999999,40400,0.09223473072052002,71,561,40299,,
,,42.97394561767578,0.001,,40500,0.1129985898733139,,,40399,100.0,-46.41228486000001
