rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss,eval/mean_reward,eval/mean_ep_length
57.09844025,168,19,2501,126,14.97,2400,-19.786640167236328,0.001,0.99824059009552,,
57.312526019999986,172,20,2561,127,14.97,2460,-20.214508056640625,0.001,0.9344456195831299,,
57.539791810000004,176,20,2621,127,14.97,2520,-22.93195343017578,0.001,0.6156211495399475,,
57.76504517999999,180,20,2681,128,14.97,2580,-21.661720275878906,0.001,1.0054209232330322,,
57.91705926,184,21,2741,128,14.97,2640,-23.45970916748047,0.001,0.5588511228561401,,
58.06449524,188,21,2801,129,14.98,2700,-21.97197151184082,0.001,0.5844002962112427,,
58.19943494,192,22,2861,129,14.98,2760,-22.56768798828125,0.001,0.452528715133667,,
58.38854813000001,196,22,2921,130,14.99,2820,-22.907161712646484,0.001,1.193652629852295,,
58.49938993000001,200,22,2981,130,14.99,2880,-24.13412094116211,0.001,0.7050970196723938,,
,,,3000,,,2899,-23.624425888061523,0.001,1.1707494258880615,59.61989229999999,15.0
58.67730409999999,204,23,3041,127,14.99,2940,-23.233732223510742,0.001,0.631688117980957,,
58.94161527999999,208,24,3101,127,14.99,3000,-23.405197143554688,0.001,0.7914004325866699,,
59.17972016999999,212,24,3161,128,15.0,3060,-22.759387969970703,0.001,0.474709153175354,,
59.28230057,216,25,3221,128,15.0,3120,-23.741443634033203,0.001,0.6398981809616089,,
59.31746857,220,25,3281,128,14.99,3180,-24.523250579833984,0.001,0.6030946373939514,,
59.408332400000006,224,25,3341,129,14.98,3240,-24.395902633666992,0.001,0.5205830931663513,,
59.537764710000005,228,26,3401,129,14.99,3300,-24.12165641784668,0.001,0.3922029733657837,,
59.61392889,232,26,3461,130,15.0,3360,-25.232860565185547,0.001,0.5000554919242859,,
,,,3500,,,3399,-24.490501403808594,0.001,0.4148324429988861,59.746226539999995,15.0
59.63472678000001,236,27,3521,126,15.0,3420,-25.371980667114258,0.001,0.6593910455703735,,
59.636012329999986,240,28,3581,126,15.0,3480,-24.98944091796875,0.001,0.888005256652832,,
59.65932975,244,28,3641,127,15.0,3540,-24.938024520874023,0.001,0.5087195038795471,,
59.657797550000005,248,29,3701,127,15.0,3600,-24.7219181060791,0.001,0.4041183590888977,,
59.666389249999995,252,29,3761,127,15.0,3660,-25.238346099853516,0.001,0.5829452276229858,,
59.67218008999999,256,29,3821,128,15.0,3720,-26.854413986206055,0.001,0.5814549922943115,,
59.64902736999999,260,30,3881,128,15.0,3780,-27.691638946533203,0.001,0.33069682121276855,,
59.64461692999999,264,30,3941,129,15.0,3840,-24.48733901977539,0.001,0.6477279663085938,,
,,,4000,,,3899,-26.624767303466797,0.001,0.5156651735305786,59.746226539999995,15.0
59.64549317000001,268,31,4001,126,15.0,3900,-26.347713470458984,0.001,0.3329523801803589,,
59.64024155999999,272,32,4061,126,15.0,3960,-25.122854232788086,0.001,0.47717204689979553,,
59.64116967000001,276,32,4121,127,15.0,4020,-25.192472457885742,0.001,0.927785336971283,,
59.65636294,280,32,4181,127,15.0,4080,-24.78119468688965,0.001,0.3973793685436249,,
59.66226493000001,284,33,4241,127,15.0,4140,-25.327051162719727,0.001,0.5268488526344299,,
59.65643865999999,288,33,4301,128,15.0,4200,-25.53302764892578,0.001,0.30075180530548096,,
59.657652920000004,292,33,4361,128,15.0,4260,-28.07625961303711,0.001,0.2967014014720917,,
59.669833229999995,296,34,4421,128,15.0,4320,-27.246047973632812,0.001,0.4643901288509369,,
59.67483917,300,34,4481,129,15.0,4380,-25.265857696533203,0.001,0.4275067448616028,,
,,,4500,,,4399,-26.317699432373047,0.001,0.8820393085479736,59.746226539999995,15.0
59.67486403999998,304,35,4541,126,15.0,4440,-28.75506591796875,0.001,0.5414793491363525,,
59.67767030999998,308,36,4601,126,15.0,4500,-26.7104434967041,0.001,0.37275558710098267,,
59.671504230000004,312,36,4661,126,15.0,4560,-26.515281677246094,0.001,0.42327675223350525,,
59.668847050000004,316,37,4721,126,15.0,4620,-25.235897064208984,0.001,1.4060308933258057,,
59.66572777,320,37,4781,127,15.0,4680,-28.31243896484375,0.001,0.4863146245479584,,
59.6654089,324,38,4841,127,15.0,4740,-29.189315795898438,0.001,0.24119557440280914,,
