train/critic_loss,train/n_updates,time/time_elapsed,time/total_timesteps,train/actor_loss,train/learning_rate,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,eval/mean_ep_length,eval/mean_reward
0.014237189665436745,299,1,400,1.991343379020691,0.001,4,-124.365247,100.0,228,,
0.027156159281730652,399,,500,2.04443359375,0.001,,,,,100.0,-74.60384830000001
0.009169371798634529,699,6,800,2.3790786266326904,0.001,8,-101.70416725,100.0,115,,
0.00873500294983387,899,,1000,2.6836133003234863,0.001,,,,,100.0,-69.22969634
0.01128528080880642,1099,12,1200,2.9066786766052246,0.001,12,-90.71685241666667,100.0,98,,
0.013189844787120819,1399,,1500,3.5014238357543945,0.001,,,,,100.0,-77.05842786
0.0139470174908638,1499,17,1600,3.6085386276245117,0.001,16,-87.9210670625,100.0,91,,
0.01483333669602871,1899,,2000,4.440338134765625,0.001,,,,,100.0,-70.93062732
,,22,2000,,,20,-84.6428542,100.0,88,,
0.016014717519283295,2299,24,2400,5.214191436767578,0.001,24,-82.26161925,100.0,97,,
0.021215204149484634,2399,,2500,5.317997932434082,0.001,,,,,100.0,-70.92627494
0.0172516368329525,2699,29,2800,5.895063400268555,0.001,28,-80.97460950000001,100.0,93,,
0.019184794276952744,2899,,3000,6.394262313842773,0.001,,,,,100.0,-67.53131204
0.020323041826486588,3099,34,3200,6.729946136474609,0.001,32,-78.66895159375,100.0,93,,
0.016122622415423393,3399,,3500,7.318169116973877,0.001,,,,,100.0,-61.97476446
0.01997617818415165,3499,38,3600,7.482456207275391,0.001,36,-76.7840221111111,100.0,93,,
0.023999666795134544,3899,,4000,8.097551345825195,0.001,,,,,100.0,-60.86871446
,,42,4000,,,40,-75.339559175,100.0,93,,
0.020784171298146248,4299,44,4400,8.805490493774414,0.001,44,-74.16984661363637,100.0,98,,
0.022549457848072052,4399,,4500,9.070306777954102,0.001,,,,,100.0,-63.04467922
0.02893753908574581,4699,48,4800,9.517656326293945,0.001,48,-72.97615097916666,100.0,98,,
0.032045118510723114,4899,,5000,9.884895324707031,0.001,,,,,100.0,-61.57666914000001
0.0245310440659523,5099,53,5200,10.178987503051758,0.001,52,-72.06392805769231,100.0,97,,
0.026293586939573288,5399,,5500,10.666882514953613,0.001,,,,,100.0,-68.84199274
0.03389772027730942,5499,57,5600,10.821331977844238,0.001,56,-71.00415058928571,100.0,97,,
0.040066398680210114,5899,,6000,11.291762351989746,0.001,,,,,100.0,-50.68214773999999
,,61,6000,,,60,-69.97864401666668,100.0,97,,
0.025312194600701332,6299,63,6400,11.898334503173828,0.001,64,-69.305233671875,100.0,100,,
0.03407417610287666,6399,,6500,12.181758880615234,0.001,,,,,100.0,-52.90519146
0.0367620550096035,6699,67,6800,12.588896751403809,0.001,68,-68.70740241176472,100.0,100,,
0.031995728611946106,6899,,7000,12.767696380615234,0.001,,,,,100.0,-49.11951026
0.03536175191402435,7099,72,7200,13.158578872680664,0.001,72,-67.53613254166666,100.0,99,,
0.03490035980939865,7399,,7500,13.397778511047363,0.001,,,,,100.0,-49.19745327999999
0.03839228302240372,7499,76,7600,13.64283561706543,0.001,76,-66.27072036842105,100.0,99,,
0.03255326673388481,7899,,8000,14.050933837890625,0.001,,,,,100.0,-50.46205952
,,80,8000,,,80,-65.144287775,100.0,99,,
0.03462889790534973,8299,82,8400,14.247919082641602,0.001,84,-64.58821057142858,100.0,101,,
0.04289589077234268,8399,,8500,14.486434936523438,0.001,,,,,100.0,-52.18304552000001
0.03570524975657463,8699,86,8800,14.780522346496582,0.001,88,-64.0557950340909,100.0,101,,
0.0412730872631073,8899,,9000,15.166474342346191,0.001,,,,,100.0,-57.80803484
0.041056156158447266,9099,91,9200,15.357563018798828,0.001,92,-63.40656377173914,100.0,100,,
0.045640431344509125,9399,,9500,15.520666122436523,0.001,,,,,100.0,-45.8516426
0.04366657882928848,9499,95,9600,15.7062406539917,0.001,96,-62.78360115624999,100.0,100,,
0.04576615244150162,9899,,10000,16.331443786621094,0.001,,,,,100.0,-50.26639932
,,100,10000,,,100,-62.168768409999984,100.0,99,,
0.05062904208898544,10299,101,10400,16.880199432373047,0.001,104,-59.4645045,100.0,102,,
0.04194960370659828,10399,,10500,17.20258140563965,0.001,,,,,100.0,-50.453687179999996
0.07644045352935791,10699,106,10800,17.041942596435547,0.001,108,-58.429933039999995,100.0,101,,
0.046893082559108734,10899,,11000,17.531307220458984,0.001,,,,,100.0,-54.93151516
0.052254900336265564,11099,110,11200,17.856327056884766,0.001,112,-57.47990469999999,100.0,101,,
0.06392692774534225,11399,,11500,18.137195587158203,0.001,,,,,100.0,-54.74255649999999
0.0549154132604599,11499,115,11600,18.217626571655273,0.001,116,-56.421616749999984,100.0,100,,
0.04303951933979988,11899,,12000,18.81763458251953,0.001,,,,,100.0,-52.92019969999999
,,119,12000,,,120,-55.77801305,100.0,100,,
0.05518887937068939,12299,121,12400,19.539100646972656,0.001,124,-54.91124651000001,100.0,102,,
0.06876733899116516,12399,,12500,19.347457885742188,0.001,,,,,100.0,-48.921706199999996
0.0688212439417839,12699,125,12800,19.69179916381836,0.001,128,-53.917979429999995,100.0,101,,
0.0727887749671936,12899,,13000,19.93895721435547,0.001,,,,,100.0,-49.12725854
0.07331690937280655,13099,129,13200,20.326839447021484,0.001,132,-53.38458147,100.0,101,,
0.0842282623052597,13399,,13500,20.635513305664062,0.001,,,,,100.0,-53.47222119999999
0.09997034072875977,13499,134,13600,20.57415771484375,0.001,136,-52.705508200000004,100.0,101,,
