train/ent_coef_loss,time/total_timesteps,train/actor_loss,train/ent_coef,train/n_updates,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,rollout/ep_rew_mean
-3.3624536991119385,500,-102.52342224121094,0.8858627080917358,399,1000.0,30559.878119179997,0.0003,13.643305778503418,,,,,
-7.39064884185791,1000,-177.898681640625,0.7610641121864319,899,1000.0,27886.74337066,0.0003,18.957853317260742,,,,,
-9.345552444458008,1500,-291.9861755371094,0.6582894325256348,1399,1000.0,124123.47489679999,0.0003,68.3548812866211,,,,,
-7.633161544799805,2000,-489.15423583984375,0.589908242225647,1899,1000.0,91392.51989583999,0.0003,49.890106201171875,,,,,
-4.997583866119385,2500,-736.8350219726562,0.543562650680542,2399,1000.0,139896.92476567999,0.0003,57.19200897216797,,,,,
-2.8667001724243164,3000,-992.998779296875,0.5148552656173706,2899,1000.0,113170.54760528002,0.0003,64.61119842529297,,,,,
-0.38538694381713867,3500,-1281.6654052734375,0.4957121014595032,3399,1000.0,83825.28349026,0.0003,100.63223266601562,,,,,
-0.6022334098815918,4000,-1577.4278564453125,0.4853475093841553,3899,1000.0,90100.98496746001,0.0003,109.658935546875,,,,,
,4000,,,,,,,,1000.0,799,5,4,97979.50311575
0.9848757982254028,4500,-1698.43359375,0.4844340980052948,4399,1000.0,119767.23019448001,0.0003,228.2571563720703,,,,,
0.10259447246789932,5000,-1886.522705078125,0.49057459831237793,4899,1000.0,139601.67428644,0.0003,297.2341003417969,,,,,
1.146588921546936,5500,-2162.934326171875,0.5029647946357727,5399,1000.0,125938.10887618002,0.0003,212.65194702148438,,,,,
0.5143176317214966,6000,-2439.814208984375,0.5205162167549133,5899,1000.0,139437.9727972,0.0003,228.81565856933594,,,,,
0.5086542963981628,6500,-2630.606201171875,0.5329650044441223,6399,1000.0,139828.20287906,0.0003,456.3979187011719,,,,,
0.1659187376499176,7000,-2996.314453125,0.5554929375648499,6899,1000.0,139668.9271981,0.0003,273.05316162109375,,,,,
-0.12162942439317703,7500,-3167.27490234375,0.5664523839950562,7399,1000.0,139605.98449222,0.0003,233.6566925048828,,,,,
0.406732976436615,8000,-3403.31689453125,0.5560871958732605,7899,1000.0,139797.17874318,0.0003,319.7939147949219,,,,,
,8000,,,,,,,,1000.0,1574,5,8,108840.773770375
0.61275315284729,8500,-3653.36572265625,0.5432323813438416,8399,1000.0,139718.91795464,0.0003,313.97265625,,,,,
0.6712003350257874,9000,-3828.31103515625,0.5221060514450073,8899,1000.0,103332.02872586,0.0003,515.082275390625,,,,,
-0.6810400485992432,9500,-4007.818603515625,0.5024895668029785,9399,1000.0,127252.39143318002,0.0003,462.537841796875,,,,,
0.24554862082004547,10000,-4157.46875,0.4911677837371826,9899,1000.0,134707.41176952,0.0003,790.19384765625,,,,,
0.3115227520465851,10500,-4412.802734375,0.4991106390953064,10399,1000.0,137720.57235132,0.0003,823.0852661132812,,,,,
0.29533541202545166,11000,-4625.7138671875,0.517311155796051,10899,1000.0,139594.62764248,0.0003,847.1776733398438,,,,,
-0.474780410528183,11500,-4689.89111328125,0.5383058786392212,11399,1000.0,139523.98845618,0.0003,1060.1923828125,,,,,
0.3029705882072449,12000,-5029.7119140625,0.5425801873207092,11899,1000.0,137216.50882414,0.0003,712.96142578125,,,,,
,12000,,,,,,,,1000.0,2367,5,12,113581.36657391668
0.6707497835159302,12500,-5100.5654296875,0.5584891438484192,12399,1000.0,137455.98557908,0.0003,766.0285034179688,,,,,
-0.4513489603996277,13000,-5278.01171875,0.5457685589790344,12899,1000.0,136270.86199672,0.0003,1243.931396484375,,,,,
0.3032272458076477,13500,-5450.78857421875,0.5441698431968689,13399,1000.0,136058.09122012,0.0003,1800.053955078125,,,,,
0.2643774151802063,14000,-5563.61181640625,0.5804435014724731,13899,1000.0,39034.421992660005,0.0003,5918.5625,,,,,
0.08900913596153259,14500,-5770.73046875,0.5613721609115601,14399,1000.0,45944.232033600005,0.0003,3013.509033203125,,,,,
0.23330819606781006,15000,-5746.650390625,0.5654555559158325,14899,1000.0,139651.8913529,0.0003,2570.397216796875,,,,,
0.4115711450576782,15500,-5921.484375,0.6215446591377258,15399,1000.0,138472.49138105998,0.0003,1514.1710205078125,,,,,
-0.6559455394744873,16000,-6009.61083984375,0.6086418032646179,15899,1000.0,106607.28799254,0.0003,1545.7679443359375,,,,,
,16000,,,,,,,,1000.0,3162,5,16,114048.9574761875
-0.18622367084026337,16500,-6194.80712890625,0.5859201550483704,16399,1000.0,139346.0175597,0.0003,2815.349853515625,,,,,
-0.06245569884777069,17000,-6253.5078125,0.5616599917411804,16899,1000.0,131670.19519988,0.0003,2801.91650390625,,,,,
0.030093003064393997,17500,-6471.671875,0.6018224358558655,17399,1000.0,124609.45659719998,0.0003,3331.92578125,,,,,
-0.043000102043151855,18000,-6509.50390625,0.6135250329971313,17899,1000.0,131261.65399770002,0.0003,1713.042236328125,,,,,
-0.1570259928703308,18500,-6623.54931640625,0.5938407778739929,18399,1000.0,130271.43511918,0.0003,1575.791015625,,,,,
0.30035290122032166,19000,-6719.7587890625,0.5960237383842468,18899,1000.0,130975.49772601998,0.0003,1654.73974609375,,,,,
0.040852174162864685,19500,-6966.390625,0.6166273951530457,19399,1000.0,118550.26080174,0.0003,2492.95361328125,,,,,
-0.047784097492694855,20000,-6958.7587890625,0.6589164137840271,19899,1000.0,90013.61856043998,0.0003,3790.71728515625,,,,,
,20000,,,,,,,,1000.0,3947,5,20,111033.36710325003
