rollout/ep_len_mean,train/ent_coef_loss,time/fps,train/actor_loss,rollout/ep_rew_mean,time/episodes,train/ent_coef,time/total_timesteps,train/critic_loss,time/time_elapsed,train/n_updates,train/learning_rate,eval/mean_ep_length,eval/mean_reward
100.0,-1.0490484237670898,106,-9.917162895202637,-151.52543025,4,0.9144083857536316,400,0.23382385075092316,3,299,0.0003,,
,-1.410531759262085,,-10.676352500915527,,,0.8873878717422485,500,0.2193475365638733,,399,0.0003,100.0,-54.64388724000001
100.0,-2.4572434425354004,49,-13.119617462158203,-154.413068875,8,0.8110982775688171,800,0.13883495330810547,16,699,0.0003,,
,-3.151115655899048,,-14.667712211608887,,,0.7639195322990417,1000,0.1487915962934494,,899,0.0003,100.0,-57.390734939999994
100.0,-3.849945545196533,41,-15.73733139038086,-153.59334883333335,12,0.7194876074790955,1200,0.11265350878238678,28,1099,0.0003,,
,-4.909753799438477,,-17.307588577270508,,,0.6576030254364014,1500,0.09597630798816681,,1399,0.0003,100.0,-60.82735248
100.0,-5.278417587280273,38,-17.887845993041992,-151.8424054375,16,0.6381690502166748,1600,0.1056724563241005,41,1499,0.0003,,
,-6.651075839996338,,-19.301231384277344,,,0.5660349726676941,2000,0.07978741079568863,,1899,0.0003,100.0,-57.393450980000004
100.0,,37,,-151.54647525000001,20,,2000,,53,,,,
100.0,-8.072076797485352,40,-20.263294219970703,-149.9407545,24,0.502116322517395,2400,0.08014731109142303,58,2299,0.0003,,
,-8.394980430603027,,-20.283388137817383,,,0.48731428384780884,2500,0.09101049602031708,,2399,0.0003,100.0,-57.58125344
100.0,-9.430843353271484,39,-20.681550979614258,-149.18639660714285,28,0.44552305340766907,2800,0.07177437841892242,71,2699,0.0003,,
,-10.091663360595703,,-20.709718704223633,,,0.4197092652320862,3000,0.07820536196231842,,2899,0.0003,100.0,-57.76458598
100.0,-10.734638214111328,38,-20.74532699584961,-147.92023671875,32,0.3954195976257324,3200,0.06391695141792297,83,3099,0.0003,,
,-11.78232479095459,,-20.6893367767334,,,0.361666202545166,3500,0.06239122897386551,,3399,0.0003,100.0,-57.81127292
