rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/n_updates,time/fps,time/time_elapsed,time/episodes,train/ent_coef,eval/mean_ep_length,eval/mean_reward
-149.22879175,400,100.0,0.2415776252746582,-1.0557222366333008,0.0003,-10.204719543457031,299,108,3,4,0.9143975973129272,,
,500,,0.237240731716156,-1.4079703092575073,0.0003,-10.98696517944336,399,,,,0.8873758912086487,100.0,-53.4864104
-152.206942125,800,100.0,0.1267697513103485,-2.4554176330566406,0.0003,-13.257362365722656,699,49,16,8,0.8110737800598145,,
,1000,,0.12037412822246552,-3.159614086151123,0.0003,-14.788422584533691,899,,,,0.76393061876297,100.0,-54.53376648
-150.24288541666667,1200,100.0,0.11981415748596191,-3.858631134033203,0.0003,-16.094654083251953,1099,41,28,12,0.719529390335083,,
,1500,,0.107305146753788,-4.923225402832031,0.0003,-17.82728385925293,1399,,,,0.6576598882675171,100.0,-54.1981307
-149.94694856249998,1600,100.0,0.10730725526809692,-5.257068157196045,0.0003,-18.206262588500977,1499,39,40,16,0.6382215023040771,,
,2000,,0.09782791137695312,-6.669386863708496,0.0003,-19.77327537536621,1899,,,,0.5660901069641113,100.0,-48.87457126
-149.12366834999997,2000,100.0,,,,,,37,53,20,,,
-147.535181875,2400,100.0,0.10595957934856415,-8.071271896362305,0.0003,-20.748214721679688,2299,41,58,24,0.5021548867225647,,
,2500,,0.0801449567079544,-8.408641815185547,0.0003,-20.948514938354492,2399,,,,0.4873524010181427,100.0,-49.03285182
-145.6569775,2800,100.0,0.09163898974657059,-9.440900802612305,0.0003,-21.291004180908203,2699,39,70,28,0.44554680585861206,,
,3000,,0.08207859843969345,-10.120569229125977,0.0003,-21.416767120361328,2899,,,,0.4197279214859009,100.0,-49.48335592
-144.681951875,3200,100.0,0.07746832072734833,-10.764745712280273,0.0003,-21.478721618652344,3099,38,82,32,0.39542821049690247,,
,3500,,0.07340775430202484,-11.64175796508789,0.0003,-21.406944274902344,3399,,,,0.3616518974304199,100.0,-46.65907917999999
-143.39106472222224,3600,100.0,0.06994058191776276,-12.069476127624512,0.0003,-21.193885803222656,3499,37,95,36,0.3510686159133911,,
,4000,,0.06271206587553024,-13.428983688354492,0.0003,-20.677474975585938,3899,,,,0.31181299686431885,100.0,-48.7261496
-141.4002385,4000,100.0,,,,,,37,107,40,,,
-139.4059895,4400,100.0,0.05287931114435196,-14.438636779785156,0.0003,-20.035608291625977,4299,39,112,44,0.27708175778388977,,
,4500,,0.05677482485771179,-14.797877311706543,0.0003,-19.4625186920166,4399,,,,0.26905158162117004,100.0,-47.475527299999996
-136.9542944375,4800,100.0,0.05247911065816879,-15.472925186157227,0.0003,-19.040237426757812,4699,38,125,48,0.24639037251472473,,
,5000,,0.0430140420794487,-16.123668670654297,0.0003,-18.52320098876953,4899,,,,0.23240618407726288,100.0,-47.12725662
-134.97387598076924,5200,100.0,0.043747417628765106,-16.443056106567383,0.0003,-17.997135162353516,5099,37,137,52,0.21925419569015503,,
,5500,,0.04159411042928696,-17.24142074584961,0.0003,-16.980636596679688,5399,,,,0.20099255442619324,100.0,-45.858592019999996
-132.70145401785715,5600,100.0,0.03412189334630966,-17.125232696533203,0.0003,-16.69332504272461,5499,37,150,56,0.19527442753314972,,
,6000,,0.033459752798080444,-18.39238929748535,0.0003,-15.435064315795898,5899,,,,0.17406824231147766,100.0,-46.447871879999994
-130.50548353333335,6000,100.0,,,,,,36,162,60,,,
-128.162780921875,6400,100.0,0.025325432419776917,-19.019338607788086,0.0003,-14.30383014678955,6299,38,167,64,0.15528537333011627,,
,6500,,0.024075854569673538,-18.900127410888672,0.0003,-13.808588981628418,6399,,,,0.1509341299533844,100.0,-45.367895579999995
-126.0888825882353,6800,100.0,0.031079798936843872,-19.589954376220703,0.0003,-12.572619438171387,6699,37,179,68,0.1386503279209137,,
