train/ent_coef,train/critic_loss,time/episodes,time/fps,time/time_elapsed,train/ent_coef_loss,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,train/learning_rate,rollout/ep_rew_mean,train/n_updates,eval/mean_reward,eval/mean_ep_length
0.00873977318406105,0.013468440622091293,,,,-2.4012980461120605,,26500,23.190876007080078,0.0003,,26399,-35.60752606,100.0
0.008779487572610378,0.011256926693022251,268,37,719,-1.8585437536239624,100.0,26800,23.305320739746094,0.0003,-39.68770405,26699,,
0.00877370871603489,0.009576267562806606,,,,-0.8848463892936707,,27000,23.38454818725586,0.0003,,26899,-36.6605683,100.0
0.008857928216457367,0.012538444250822067,272,37,732,0.18803717195987701,100.0,27200,23.404491424560547,0.0003,-39.656878320000004,27099,,
0.008835148997604847,0.008671419695019722,,,,-1.3456330299377441,,27500,23.899005889892578,0.0003,,27399,-36.387975940000004,100.0
0.008850720711052418,0.013448955491185188,276,37,744,-1.0244852304458618,100.0,27600,24.022851943969727,0.0003,-39.40261251,27499,,
0.008901914581656456,0.01201543863862753,,,,0.5445914268493652,,28000,24.331594467163086,0.0003,,27899,-36.38713424,100.0
,,280,36,757,,100.0,28000,,,-39.15997318000001,,,
0.008987906388938427,0.009166037663817406,284,37,762,0.7053699493408203,100.0,28400,24.453372955322266,0.0003,-38.80382891,28299,,
0.008987686596810818,0.009236217476427555,,,,-2.1021347045898438,,28500,24.755634307861328,0.0003,,28399,-36.16499106,100.0
0.008968666195869446,0.01068330742418766,288,37,774,1.1948072910308838,100.0,28800,24.88597869873047,0.0003,-38.633529069999994,28699,,
0.009002471342682838,0.01097770407795906,,,,-0.4155842065811157,,29000,24.95005226135254,0.0003,,28899,-35.899098599999995,100.0
0.009088840335607529,0.011010895483195782,292,37,787,-0.422114759683609,100.0,29200,25.124544143676758,0.0003,-38.43304227000001,29099,,
0.009122264571487904,0.01068616472184658,,,,1.074371099472046,,29500,25.313125610351562,0.0003,,29399,-36.335935760000005,100.0
0.009123926050961018,0.013908409513533115,296,36,800,-1.1755305528640747,100.0,29600,25.454261779785156,0.0003,-38.35236816000001,29499,,
0.009138708002865314,0.01578565314412117,,,,-1.09951913356781,,30000,25.889896392822266,0.0003,,29899,-35.681285599999995,100.0
,,300,36,812,,100.0,30000,,,-37.93881177,,,
0.00917318556457758,0.012260956689715385,304,37,817,1.2710866928100586,100.0,30400,26.110782623291016,0.0003,-37.99458734,30299,,
0.00920973438769579,0.009876267053186893,,,,-0.26434454321861267,,30500,26.154144287109375,0.0003,,30399,-35.908319739999996,100.0
0.009108681231737137,0.010449236258864403,308,37,829,0.8927421569824219,100.0,30800,26.059154510498047,0.0003,-37.95394375,30699,,
0.009140778332948685,0.01936393603682518,,,,-0.2447987198829651,,31000,26.561126708984375,0.0003,,30899,-35.98319504,100.0
0.009094194509088993,0.013330134563148022,312,37,842,0.4895821511745453,100.0,31200,26.959083557128906,0.0003,-37.7574759,31099,,
0.009112711995840073,0.011321647092700005,,,,0.6692739725112915,,31500,27.078529357910156,0.0003,,31399,-36.08668658,100.0
0.009129147976636887,0.0117837218567729,316,36,854,-0.2617323100566864,100.0,31600,26.847110748291016,0.0003,-37.89570539,31499,,
0.009061409160494804,0.010689670220017433,,,,0.9295555353164673,,32000,27.47376251220703,0.0003,,31899,-36.18356824000001,100.0
,,320,36,866,,100.0,32000,,,-37.705523289999995,,,
0.009080025367438793,0.01635526865720749,324,37,871,0.3553159236907959,100.0,32400,27.812057495117188,0.0003,-37.78529872,32299,,
0.009106314741075039,0.012312735430896282,,,,0.5568181872367859,,32500,27.755226135253906,0.0003,,32399,-35.1464133,100.0
0.009063009172677994,0.012978113256394863,328,37,884,0.703391969203949,100.0,32800,27.87391471862793,0.0003,-37.91236213,32699,,
0.009050337597727776,0.011836261488497257,,,,-0.7239561080932617,,33000,28.15426254272461,0.0003,,32899,-35.78028572,100.0
