train/learning_rate,train/n_updates,rollout/ep_rew_mean,time/total_timesteps,train/actor_loss,rollout/ep_len_mean,time/episodes,time/fps,train/critic_loss,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
0.001,15499,-50.29021932,15600,22.51581382751465,100.0,156,71,0.05705588310956955,219,,
0.001,15899,,16000,23.049755096435547,,,,0.05226790904998779,,-47.904829559999996,100.0
,,-49.771473799999995,16000,,100.0,160,70,,225,,
0.001,16299,-49.48205116,16400,23.469980239868164,100.0,164,71,0.045561783015728,228,,
0.001,16399,,16500,23.47916603088379,,,,0.05610313266515732,,-52.4954221,100.0
0.001,16699,-49.49331344,16800,24.005634307861328,100.0,168,71,0.06474187970161438,234,,
0.001,16899,,17000,24.128658294677734,,,,0.062248170375823975,,-52.23698284,100.0
0.001,17099,-49.48776959,17200,24.30010986328125,100.0,172,71,0.0633092001080513,241,,
0.001,17399,,17500,24.57324981689453,,,,0.0763498842716217,,-58.4861076,100.0
0.001,17499,-49.70477564,17600,24.534486770629883,100.0,176,71,0.05334039032459259,247,,
0.001,17899,,18000,25.328102111816406,,,,0.06297429651021957,,-55.630586519999994,100.0
,,-49.974867409999995,18000,,100.0,180,70,,253,,
0.001,18299,-50.294305660000006,18400,25.37456703186035,100.0,184,71,0.06630762666463852,256,,
0.001,18399,,18500,25.599773406982422,,,,0.056054506450891495,,-60.30216093999999,100.0
0.001,18699,-51.11699969,18800,26.172046661376953,100.0,188,71,0.07002671808004379,263,,
0.001,18899,,19000,26.39017105102539,,,,0.07711073011159897,,-53.01132729999999,100.0
0.001,19099,-51.477543479999994,19200,26.558780670166016,100.0,192,71,0.05994623154401779,269,,
0.001,19399,,19500,27.03628921508789,,,,0.0970098078250885,,-57.201169959999994,100.0
0.001,19499,-51.698595420000004,19600,27.13782501220703,100.0,196,71,0.114051952958107,276,,
0.001,19899,,20000,27.36595916748047,,,,0.09401004761457443,,-62.15196871999999,100.0
,,-52.08413346,20000,,100.0,200,70,,282,,
0.001,20299,-52.441010819999995,20400,27.77139663696289,100.0,204,71,0.08974757790565491,284,,
0.001,20399,,20500,27.934276580810547,,,,0.08840857446193695,,-52.207926259999994,100.0
0.001,20699,-52.54278687,20800,28.283592224121094,100.0,208,71,0.10842586308717728,291,,
0.001,20899,,21000,28.259857177734375,,,,0.08250044286251068,,-49.671551900000004,100.0
0.001,21099,-52.75301037,21200,28.281898498535156,100.0,212,71,0.07006926089525223,297,,
0.001,21399,,21500,28.997936248779297,,,,0.09234016388654709,,-48.19594713999999,100.0
0.001,21499,-52.74584301000001,21600,28.934917449951172,100.0,216,71,0.12507638335227966,304,,
0.001,21899,,22000,29.385345458984375,,,,0.08831895142793655,,-48.327063179999996,100.0
,,-52.628150520000005,22000,,100.0,220,70,,310,,
0.001,22299,-53.22772524999999,22400,29.758678436279297,100.0,224,71,0.08074171841144562,313,,
0.001,22399,,22500,29.820302963256836,,,,0.1315711885690689,,-68.30923250000001,100.0
0.001,22699,-53.66597496,22800,29.94139289855957,100.0,228,71,0.09672649204730988,319,,
0.001,22899,,23000,30.120359420776367,,,,0.07706090807914734,,-52.94984403999999,100.0
0.001,23099,-54.19238948000001,23200,30.174480438232422,100.0,232,71,0.07473620772361755,325,,
0.001,23399,,23500,30.738595962524414,,,,0.08472117781639099,,-49.423887779999994,100.0
0.001,23499,-54.131727850000004,23600,30.860809326171875,100.0,236,70,0.11885954439640045,332,,
0.001,23899,,24000,30.826398849487305,,,,0.1032899022102356,,-48.5740782,100.0
,,-53.42537343000001,24000,,100.0,240,70,,338,,
0.001,24299,-53.38390557,24400,31.35712432861328,100.0,244,71,0.08400335907936096,341,,
0.001,24399,,24500,31.267019271850586,,,,0.0966816321015358,,-46.66278262,100.0
0.001,24699,-52.80323863,24800,31.338573455810547,100.0,248,71,0.11837859451770782,347,,
0.001,24899,,25000,31.78506088256836,,,,0.08256116509437561,,-49.73298112,100.0
0.001,25099,-52.55395518,25200,31.645732879638672,100.0,252,71,0.09017032384872437,354,,
0.001,25399,,25500,32.045928955078125,,,,0.09242938458919525,,-47.62006988000001,100.0
0.001,25499,-52.20209254000001,25600,32.044151306152344,100.0,256,70,0.11758527159690857,360,,
0.001,25899,,26000,31.960962295532227,,,,0.062014732509851456,,-52.66103458,100.0
,,-52.084643590000006,26000,,100.0,260,70,,367,,
0.001,26299,-52.14184204,26400,32.237937927246094,100.0,264,71,0.081154003739357,369,,
0.001,26399,,26500,32.49935531616211,,,,0.07359492778778076,,-48.21011046,100.0
0.001,26699,-51.867031700000005,26800,32.40525817871094,100.0,268,71,0.07969379425048828,376,,
0.001,26899,,27000,32.54310607910156,,,,0.07450681924819946,,-46.857286880000004,100.0
0.001,27099,-51.700322310000004,27200,32.53449249267578,100.0,272,71,0.09555520862340927,382,,
0.001,27399,,27500,33.24277877807617,,,,0.12723812460899353,,-48.710085639999996,100.0
0.001,27499,-51.26098809,27600,33.161128997802734,100.0,276,70,0.1033966913819313,389,,
0.001,27899,,28000,33.499366760253906,,,,0.07957164943218231,,-51.47320038,100.0
,,-51.097368960000004,28000,,100.0,280,70,,395,,
0.001,28299,-50.521737439999995,28400,33.85382843017578,100.0,284,71,0.1316516101360321,398,,
0.001,28399,,28500,33.94480895996094,,,,0.11556854844093323,,-53.01091672,100.0
0.001,28699,-49.889200029999984,28800,33.86235046386719,100.0,288,71,0.11739964783191681,404,,
0.001,28899,,29000,33.950767517089844,,,,0.1143045574426651,,-52.30248888,100.0
0.001,29099,-49.119834260000005,29200,34.10188293457031,100.0,292,71,0.12448230385780334,410,,
0.001,29399,,29500,34.47095489501953,,,,0.12074749916791916,,-47.1616755,100.0
0.001,29499,-48.61938271,29600,34.424652099609375,100.0,296,70,0.11913785338401794,417,,
0.001,29899,,30000,34.88008117675781,,,,0.1280297338962555,,-51.45046926,100.0
,,-48.29267640999999,30000,,100.0,300,70,,423,,
0.001,30299,-48.17136240999999,30400,34.92561340332031,100.0,304,71,0.12444829940795898,426,,
0.001,30399,,30500,35.17180633544922,,,,0.12343942373991013,,-48.430796339999986,100.0
0.001,30699,-48.24681505,30800,35.07097625732422,100.0,308,71,0.13099528849124908,432,,
0.001,30899,,31000,34.876983642578125,,,,0.11289028823375702,,-50.60925016,100.0
0.001,31099,-47.80030513,31200,35.28076171875,100.0,312,71,0.10164077579975128,439,,
0.001,31399,,31500,35.40549087524414,,,,0.09452259540557861,,-50.161398479999995,100.0
0.001,31499,-47.74869525,31600,35.7081413269043,100.0,316,70,0.14164242148399353,445,,
0.001,31899,,32000,35.52388000488281,,,,0.1194964349269867,,-48.66023155999999,100.0
,,-47.720169260000006,32000,,100.0,320,70,,452,,
0.001,32299,-46.887474659999995,32400,36.108829498291016,100.0,324,71,0.12652356922626495,454,,
0.001,32399,,32500,35.86394119262695,,,,0.11568651348352432,,-47.217080159999995,100.0
0.001,32699,-46.263595940000016,32800,36.07478332519531,100.0,328,71,0.11193686723709106,461,,
0.001,32899,,33000,36.321659088134766,,,,0.11875765770673752,,-54.701086399999994,100.0
0.001,33099,-45.69041409000001,33200,36.29762649536133,100.0,332,71,0.12253524363040924,467,,
0.001,33399,,33500,36.36530303955078,,,,0.10536471009254456,,-49.42080508000001,100.0
0.001,33499,-45.66056966,33600,36.761199951171875,100.0,336,70,0.17506098747253418,474,,
0.001,33899,,34000,36.8203125,,,,0.08639296889305115,,-48.57773336000001,100.0
,,-45.91816392000001,34000,,100.0,340,70,,480,,
0.001,34299,-45.785298659999995,34400,36.996856689453125,100.0,344,71,0.09633555263280869,483,,
0.001,34399,,34500,37.223907470703125,,,,0.10726729035377502,,-46.937831620000004,100.0
0.001,34699,-46.017398269999994,34800,37.387550354003906,100.0,348,71,0.12209354341030121,489,,
0.001,34899,,35000,37.49402618408203,,,,0.09731104224920273,,-45.9709455,100.0
0.001,35099,-46.067122479999995,35200,37.80202865600586,100.0,352,70,0.12280560284852982,496,,
0.001,35399,,35500,37.998695373535156,,,,0.10230322182178497,,-49.95217735999999,100.0
0.001,35499,-46.16576406999999,35600,37.640769958496094,100.0,356,70,0.09975313395261765,502,,
0.001,35899,,36000,37.59870910644531,,,,0.09742753207683563,,-48.8835296,100.0
,,-46.04007509,36000,,100.0,360,70,,509,,
0.001,36299,-45.94516894,36400,38.22850799560547,100.0,364,71,0.09020005166530609,511,,
0.001,36399,,36500,38.29174041748047,,,,0.08036306500434875,,-48.943130780000004,100.0
0.001,36699,-45.950244439999985,36800,38.23612976074219,100.0,368,71,0.08669459819793701,517,,
0.001,36899,,37000,37.927337646484375,,,,0.08881950378417969,,-49.64259191999999,100.0
0.001,37099,-46.175589980000005,37200,39.005699157714844,100.0,372,70,0.19425779581069946,524,,
0.001,37399,,37500,38.448768615722656,,,,0.10892726480960846,,-49.285055699999994,100.0
0.001,37499,-46.147146580000005,37600,38.75071716308594,100.0,376,70,0.09106552600860596,530,,
0.001,37899,,38000,38.910118103027344,,,,0.09957244992256165,,-49.03994256,100.0
,,-45.93244662,38000,,100.0,380,70,,537,,
0.001,38299,-45.963552529999994,38400,38.911685943603516,100.0,384,71,0.10170324146747589,539,,
0.001,38399,,38500,39.35343551635742,,,,0.14073848724365234,,-49.54879946,100.0
0.001,38699,-46.06335598999999,38800,39.49818420410156,100.0,388,71,0.10614200681447983,546,,
0.001,38899,,39000,39.55329132080078,,,,0.11085698008537292,,-48.134274139999995,100.0
0.001,39099,-46.20333432,39200,39.308868408203125,100.0,392,70,0.09992100298404694,552,,
0.001,39399,,39500,39.621795654296875,,,,0.12440371513366699,,-46.498839079999996,100.0
0.001,39499,-46.20093494999999,39600,39.7503547668457,100.0,396,70,0.08848989754915237,559,,
0.001,39899,,40000,40.024627685546875,,,,0.1292528510093689,,-47.32674975999999,100.0
,,-46.15994979,40000,,100.0,400,70,,565,,
0.001,40299,-45.990521529999995,40400,40.150787353515625,100.0,404,71,0.1029280573129654,567,,
0.001,40399,,40500,40.21479034423828,,,,0.11647956073284149,,-46.304639480000006,100.0
0.001,40699,-46.14765138,40800,40.13901901245117,100.0,408,71,0.11045345664024353,574,,
0.001,40899,,41000,40.787841796875,,,,0.13267287611961365,,-49.59592686,100.0
0.001,41099,-46.245168970000016,41200,40.52973937988281,100.0,412,70,0.189451202750206,580,,
0.001,41399,,41500,40.95524978637695,,,,0.10761752724647522,,-46.48920436,100.0
0.001,41499,-46.07812360999999,41600,40.94203186035156,100.0,416,70,0.1085561215877533,587,,
0.001,41899,,42000,41.37349319458008,,,,0.13115593791007996,,-46.96119137999999,100.0
,,-45.90041106999999,42000,,100.0,420,70,,593,,
0.001,42299,-45.950867839999994,42400,41.62423324584961,100.0,424,71,0.12567809224128723,596,,
0.001,42399,,42500,41.358421325683594,,,,0.1322421133518219,,-46.925803779999995,100.0
0.001,42699,-46.09827464000001,42800,41.50413513183594,100.0,428,71,0.15491381287574768,602,,
0.001,42899,,43000,41.725799560546875,,,,0.18360012769699097,,-46.509062760000006,100.0
0.001,43099,-45.840996280000006,43200,41.52995300292969,100.0,432,70,0.11910323798656464,609,,
0.001,43399,,43500,41.818695068359375,,,,0.15761953592300415,,-48.76246523999998,100.0
0.001,43499,-45.96383228999999,43600,41.9446907043457,100.0,436,70,0.14587052166461945,615,,
0.001,43899,,44000,42.169532775878906,,,,0.12675774097442627,,-46.71328098,100.0
,,-45.939418939999996,44000,,100.0,440,70,,622,,
0.001,44299,-45.95293523999999,44400,42.20442199707031,100.0,444,71,0.11834367364645004,624,,
0.001,44399,,44500,42.541778564453125,,,,0.1109997034072876,,-46.805775139999994,100.0
0.001,44699,-45.80140692999999,44800,42.5582275390625,100.0,448,70,0.12515421211719513,631,,
0.001,44899,,45000,42.81604766845703,,,,0.13689549267292023,,-46.67608668,100.0
0.001,45099,-45.646905939999996,45200,42.80806350708008,100.0,452,70,0.128400981426239,637,,
0.001,45399,,45500,42.79603576660156,,,,0.13601714372634888,,-48.90881974,100.0
0.001,45499,-45.54565737,45600,42.972957611083984,100.0,456,70,0.13495022058486938,644,,
0.001,45899,,46000,43.23973846435547,,,,0.13572070002555847,,-47.97157156,100.0
,,-45.43934838,46000,,100.0,460,70,,650,,
0.001,46299,-45.10248372,46400,43.469261169433594,100.0,464,71,0.15774957835674286,653,,
0.001,46399,,46500,43.28643035888672,,,,0.1500834822654724,,-45.88384868000001,100.0
0.001,46699,-44.636378619999995,46800,43.705078125,100.0,468,70,0.12842142581939697,659,,
0.001,46899,,47000,43.89139938354492,,,,0.11738179624080658,,-47.92628086,100.0
0.001,47099,-44.53987943999999,47200,43.582698822021484,100.0,472,70,0.14324845373630524,666,,
0.001,47399,,47500,43.72624969482422,,,,0.09115217626094818,,-43.76458654000001,100.0
0.001,47499,-44.464777080000005,47600,44.01433563232422,100.0,476,70,0.13271287083625793,672,,
0.001,47899,,48000,43.944454193115234,,,,0.1251429319381714,,-45.44251058,100.0
,,-44.23045909,48000,,100.0,480,70,,678,,
0.001,48299,-43.985218669999995,48400,43.795310974121094,100.0,484,71,0.1419076770544052,681,,
0.001,48399,,48500,44.32961654663086,,,,0.14155036211013794,,-43.75043742,100.0
0.001,48699,-43.47329721,48800,44.373748779296875,100.0,488,70,0.12087268382310867,687,,
0.001,48899,,49000,44.35005187988281,,,,0.1257030963897705,,-43.9089758,100.0
0.001,49099,-43.10331709,49200,44.380401611328125,100.0,492,70,0.10786780714988708,694,,
0.001,49399,,49500,44.10382843017578,,,,0.12753908336162567,,-43.51473454,100.0
0.001,49499,-43.14217630999999,49600,44.92232131958008,100.0,496,70,0.14339247345924377,700,,
0.001,49899,,50000,44.56620788574219,,,,0.13199454545974731,,-42.78273138,100.0
,,-43.04485638,50000,,100.0,500,70,,707,,
0.001,50299,-42.69194285,50400,44.88819122314453,100.0,504,71,0.12560135126113892,709,,
0.001,50399,,50500,44.971866607666016,,,,0.13180191814899445,,-43.157588700000005,100.0
0.001,50699,-42.08108179,50800,44.639625549316406,100.0,508,70,0.12623998522758484,716,,
0.001,50899,,51000,45.32171630859375,,,,0.11567816883325577,,-44.51020614,100.0
0.001,51099,-42.17092713000001,51200,45.239585876464844,100.0,512,70,0.1356930434703827,722,,
0.001,51399,,51500,45.24295425415039,,,,0.16331282258033752,,-43.484924359999994,100.0
0.001,51499,-42.32170091,51600,45.563663482666016,100.0,516,70,0.14057400822639465,728,,
0.001,51899,,52000,46.06196212768555,,,,0.11857081949710846,,-43.93427412000001,100.0
,,-42.45277187000001,52000,,100.0,520,70,,735,,
0.001,52299,-42.47420365,52400,45.44015121459961,100.0,524,71,0.28362810611724854,737,,
0.001,52399,,52500,45.7879638671875,,,,0.223631352186203,,-44.67131038,100.0
0.001,52699,-42.70520906000001,52800,45.76499938964844,100.0,528,70,0.10913746058940887,744,,
0.001,52899,,53000,45.95248031616211,,,,0.09034856408834457,,-43.354648319999995,100.0
0.001,53099,-42.62722257,53200,45.973106384277344,100.0,532,70,0.21701347827911377,750,,
0.001,53399,,53500,45.89192581176758,,,,0.19069507718086243,,-45.11368629999999,100.0
0.001,53499,-42.32910852,53600,45.88115692138672,100.0,536,70,0.19125202298164368,757,,
0.001,53899,,54000,46.12344741821289,,,,0.1636832058429718,,-48.57539256000001,100.0
,,-42.06276036000001,54000,,100.0,540,70,,763,,
0.001,54299,-41.85199083000001,54400,46.478641510009766,100.0,544,70,0.16615527868270874,766,,
0.001,54399,,54500,46.7199592590332,,,,0.12188857793807983,,-44.235393000000016,100.0
0.001,54699,-42.00023401000001,54800,46.433528900146484,100.0,548,70,0.11472368985414505,772,,
0.001,54899,,55000,46.30110168457031,,,,0.16101941466331482,,-41.98311222,100.0
0.001,55099,-41.8627006,55200,46.46588134765625,100.0,552,70,0.10285453498363495,779,,
0.001,55399,,55500,46.64473342895508,,,,0.1361289620399475,,-42.44960336,100.0
0.001,55499,-41.80130846,55600,46.886932373046875,100.0,556,70,0.14701445400714874,785,,
0.001,55899,,56000,47.083656311035156,,,,0.12289746105670929,,-44.804811580000006,100.0
,,-42.09286322,56000,,100.0,560,70,,791,,
0.001,56299,-42.428854109999996,56400,47.05067443847656,100.0,564,70,0.13236890733242035,794,,
0.001,56399,,56500,47.191646575927734,,,,0.19732725620269775,,-44.94215163999999,100.0
0.001,56699,-42.84775435,56800,47.11646270751953,100.0,568,70,0.12822040915489197,800,,
0.001,56899,,57000,46.964874267578125,,,,0.15802836418151855,,-42.25319016,100.0
0.001,57099,-42.58832556999999,57200,47.425010681152344,100.0,572,70,0.12196178734302521,807,,
0.001,57399,,57500,46.94226837158203,,,,0.14403745532035828,,-41.55186024,100.0
0.001,57499,-42.49068013,57600,47.50981140136719,100.0,576,70,0.22342386841773987,813,,
