train/learning_rate,train/critic_loss,eval/mean_reward,time/total_timesteps,train/n_updates,eval/mean_ep_length,train/actor_loss,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/time_elapsed
0.001,0.07116205990314484,27.48021494,34500,34399,1000.0,-41.65448760986328,,,,,
0.001,0.09896080940961838,29.09469952,35000,34899,1000.0,-42.880043029785156,,,,,
0.001,0.11292991042137146,30.233313220000003,35500,35399,1000.0,-43.09693908691406,,,,,
0.001,0.0848236232995987,44.54608878,36000,35899,1000.0,-43.06550598144531,,,,,
,,,36000,,,,11,26.654963249999998,1000.0,36,3079
0.001,0.13104361295700073,19.49574894,36500,36399,1000.0,-44.56832504272461,,,,,
0.001,0.1040208488702774,26.323183940000003,37000,36899,1000.0,-43.66449737548828,,,,,
0.001,0.07480919361114502,28.99510812,37500,37399,1000.0,-44.08008575439453,,,,,
0.001,0.1044052392244339,35.88113609999999,38000,37899,1000.0,-44.151527404785156,,,,,
0.001,0.12819644808769226,31.761243280000002,38500,38399,1000.0,-44.337501525878906,,,,,
0.001,0.0821496918797493,23.083068019999995,39000,38899,1000.0,-44.75389099121094,,,,,
0.001,0.08504663407802582,34.51069054,39500,39399,1000.0,-44.089439392089844,,,,,
0.001,0.1011013388633728,33.6807748,40000,39899,1000.0,-44.93879699707031,,,,,
,,,40000,,,,11,27.371446924999997,1000.0,40,3420
0.001,0.15039610862731934,30.3346371,40500,40399,1000.0,-44.24693298339844,,,,,
0.001,0.10536561906337738,21.42696668,41000,40899,1000.0,-45.837486267089844,,,,,
0.001,0.06933093070983887,36.623484579999996,41500,41399,1000.0,-45.000980377197266,,,,,
0.001,0.10644949227571487,40.344774220000005,42000,41899,1000.0,-44.66465759277344,,,,,
0.001,0.08462843298912048,41.744440319999995,42500,42399,1000.0,-44.731475830078125,,,,,
0.001,0.09822067618370056,52.621277140000004,43000,42899,1000.0,-46.27606201171875,,,,,
0.001,0.0918104350566864,37.03085306,43500,43399,1000.0,-44.09988021850586,,,,,
0.001,0.09042976051568985,47.01203502000001,44000,43899,1000.0,-45.85823059082031,,,,,
,,,44000,,,,11,28.411616181818182,1000.0,44,3759
0.001,0.09179642051458359,56.93060566,44500,44399,1000.0,-45.411598205566406,,,,,
0.001,0.08499108254909515,38.75468308,45000,44899,1000.0,-45.113006591796875,,,,,
0.001,0.10487723350524902,69.3933766,45500,45399,1000.0,-44.92955017089844,,,,,
0.001,0.09120722860097885,20.04540212,46000,45899,1000.0,-44.94526672363281,,,,,
0.001,0.10314202308654785,20.165612879999998,46500,46399,1000.0,-45.084991455078125,,,,,
0.001,0.0890960693359375,18.50095622,47000,46899,1000.0,-45.689170837402344,,,,,
0.001,0.08516170084476471,17.204826660000002,47500,47399,1000.0,-45.64808654785156,,,,,
0.001,0.09305639564990997,17.2388362,48000,47899,1000.0,-44.964256286621094,,,,,
,,,48000,,,,11,29.661787479166662,1000.0,48,4097
0.001,0.09909878671169281,16.15890324,48500,48399,1000.0,-46.63578796386719,,,,,
0.001,0.15129637718200684,-5.8042089,49000,48899,1000.0,-45.0279655456543,,,,,
0.001,0.16625884175300598,16.55218266,49500,49399,1000.0,-45.689598083496094,,,,,
0.001,0.08818702399730682,-2.7700491,50000,49899,1000.0,-46.41507339477539,,,,,
0.001,0.08735841512680054,12.500716400000002,50500,50399,1000.0,-44.54667282104492,,,,,
0.001,0.08258946239948273,17.248177719999997,51000,50899,1000.0,-45.99742126464844,,,,,
0.001,0.1322937309741974,9.8610207,51500,51399,1000.0,-46.00534439086914,,,,,
0.001,0.09770514070987701,14.921981620000002,52000,51899,1000.0,-45.09722137451172,,,,,
,,,52000,,,,11,28.06394336538461,1000.0,52,4438
0.001,0.09330116212368011,21.5224129,52500,52399,1000.0,-45.72703552246094,,,,,
0.001,0.06551875174045563,17.332379019999998,53000,52899,1000.0,-45.838890075683594,,,,,
0.001,0.08763480931520462,14.22520576,53500,53399,1000.0,-45.94696044921875,,,,,
0.001,0.09169809520244598,24.5397858,54000,53899,1000.0,-45.980464935302734,,,,,
0.001,0.0743444561958313,37.9833201,54500,54399,1000.0,-46.73509216308594,,,,,
0.001,0.07714325934648514,39.298021559999995,55000,54899,1000.0,-45.271583557128906,,,,,
0.001,0.05853557959198952,38.8236229,55500,55399,1000.0,-46.13845443725586,,,,,
0.001,0.0670270323753357,43.79803848,56000,55899,1000.0,-46.91851043701172,,,,,
,,,56000,,,,11,27.43649471428571,1000.0,56,4782
0.001,0.05403813719749451,39.14580698,56500,56399,1000.0,-45.584632873535156,,,,,
0.001,0.0656534731388092,39.859477180000006,57000,56899,1000.0,-45.334686279296875,,,,,
0.001,0.04855964332818985,41.964081539999995,57500,57399,1000.0,-44.734954833984375,,,,,
0.001,0.06994876265525818,35.15799178,58000,57899,1000.0,-46.03227996826172,,,,,
0.001,0.04675832390785217,33.04763148,58500,58399,1000.0,-44.590118408203125,,,,,
0.001,0.05701327323913574,-9.343154420000001,59000,58899,1000.0,-46.1700439453125,,,,,
0.001,0.058284942060709,-11.95357284,59500,59399,1000.0,-45.425594329833984,,,,,
0.001,0.050482138991355896,-2.34354032,60000,59899,1000.0,-46.50946807861328,,,,,
,,,60000,,,,11,27.257267133333333,1000.0,60,5126
0.001,0.08538620173931122,19.50734128,60500,60399,1000.0,-46.165443420410156,,,,,
0.001,0.076120525598526,10.944373780000001,61000,60899,1000.0,-46.18580627441406,,,,,
0.001,0.06177368760108948,37.98419292,61500,61399,1000.0,-45.720603942871094,,,,,
0.001,0.08165542036294937,44.11726972,62000,61899,1000.0,-47.75099182128906,,,,,
0.001,0.0845988318324089,45.444751720000006,62500,62399,1000.0,-44.872093200683594,,,,,
0.001,0.07096273452043533,40.49304484,63000,62899,1000.0,-45.5855598449707,,,,,
0.001,0.056196391582489014,33.70891342,63500,63399,1000.0,-45.87966537475586,,,,,
0.001,0.06495735794305801,35.04313274,64000,63899,1000.0,-46.2830924987793,,,,,
,,,64000,,,,11,27.4305585625,1000.0,64,5473
0.001,0.08442119508981705,28.589227419999997,64500,64399,1000.0,-45.11203384399414,,,,,
0.001,0.10556617379188538,37.872657059999995,65000,64899,1000.0,-44.76490783691406,,,,,
0.001,0.06605632603168488,38.7340214,65500,65399,1000.0,-46.09247589111328,,,,,
0.001,0.08847904205322266,40.91885856,66000,65899,1000.0,-46.47852325439453,,,,,
0.001,0.06016286462545395,42.34090912,66500,66399,1000.0,-47.45661926269531,,,,,
0.001,0.07520798593759537,36.63072442,67000,66899,1000.0,-47.77771759033203,,,,,
0.001,0.09866490960121155,41.37063216000001,67500,67399,1000.0,-46.6622314453125,,,,,
0.001,0.05208209902048111,34.4076392,68000,67899,1000.0,-48.53748321533203,,,,,
,,,68000,,,,11,27.99326713235294,1000.0,68,5816
0.001,0.05676236376166344,35.09872318000001,68500,68399,1000.0,-49.18851852416992,,,,,
0.001,0.06544394791126251,31.14967862,69000,68899,1000.0,-48.194915771484375,,,,,
0.001,0.05069638416171074,38.86523954,69500,69399,1000.0,-48.368385314941406,,,,,
0.001,0.13721531629562378,94.71170124,70000,69899,1000.0,-48.283607482910156,,,,,
0.001,0.11054164171218872,51.28470587999999,70500,70399,1000.0,-49.09733581542969,,,,,
0.001,0.061968810856342316,64.24691764,71000,70899,1000.0,-49.17090606689453,,,,,
0.001,0.0710795447230339,42.51554905999999,71500,71399,1000.0,-48.14140319824219,,,,,
0.001,0.08878852427005768,48.884110960000015,72000,71899,1000.0,-48.310386657714844,,,,,
,,,72000,,,,11,29.03593511111111,1000.0,72,6157
0.001,0.07818308472633362,77.04449082000001,72500,72399,1000.0,-48.785099029541016,,,,,
0.001,0.053832046687603,96.72809976000002,73000,72899,1000.0,-50.693458557128906,,,,,
0.001,0.08984541893005371,61.89504211999999,73500,73399,1000.0,-49.15053939819336,,,,,
0.001,0.052549466490745544,-14.96601036,74000,73899,1000.0,-50.586456298828125,,,,,
0.001,0.07962921261787415,-16.17783606,74500,74399,1000.0,-49.16064453125,,,,,
0.001,0.1114303395152092,-16.19187068,75000,74899,1000.0,-50.649715423583984,,,,,
0.001,0.05652526766061783,7.915046519999999,75500,75399,1000.0,-51.844032287597656,,,,,
0.001,0.05894872546195984,-2.430317,76000,75899,1000.0,-53.42426681518555,,,,,
,,,76000,,,,11,28.638642960526315,1000.0,76,6496
0.001,0.04600103944540024,-8.187658820000001,76500,76399,1000.0,-52.8192024230957,,,,,
0.001,0.06360150873661041,-10.53031246,77000,76899,1000.0,-50.776702880859375,,,,,
0.001,0.05011366680264473,-19.29888644,77500,77399,1000.0,-52.97941589355469,,,,,
0.001,0.055745016783475876,-19.009613839999997,78000,77899,1000.0,-53.80413055419922,,,,,
0.001,0.0621371790766716,-18.998136620000004,78500,78399,1000.0,-55.317413330078125,,,,,
0.001,0.0691775530576706,-19.981031499999997,79000,78899,1000.0,-52.01740646362305,,,,,
0.001,0.045305393636226654,-19.81712234,79500,79399,1000.0,-54.68107604980469,,,,,
0.001,0.07867532968521118,-8.00325918,80000,79899,1000.0,-54.26652145385742,,,,,
,,,80000,,,,11,26.201754649999998,1000.0,80,6836
0.001,0.06787234544754028,-10.34378412,80500,80399,1000.0,-55.00627517700195,,,,,
0.001,0.061046332120895386,-12.617801739999999,81000,80899,1000.0,-55.46247863769531,,,,,
0.001,0.09608866274356842,23.3002396,81500,81399,1000.0,-54.19528579711914,,,,,
0.001,0.05999816954135895,44.69827092,82000,81899,1000.0,-55.29480743408203,,,,,
0.001,0.05556201934814453,27.758031860000003,82500,82399,1000.0,-54.48020553588867,,,,,
0.001,0.05625893920660019,27.1550686,83000,82899,1000.0,-56.39158630371094,,,,,
0.001,0.058651987463235855,33.843575920000006,83500,83399,1000.0,-57.234153747558594,,,,,
0.001,0.055138587951660156,36.46802898,84000,83899,1000.0,-55.470863342285156,,,,,
,,,84000,,,,11,25.527230130952383,1000.0,84,7174
0.001,0.08752910792827606,35.683301359999994,84500,84399,1000.0,-55.998252868652344,,,,,
0.001,0.05187201499938965,34.11180922,85000,84899,1000.0,-56.41969680786133,,,,,
0.001,0.0684976801276207,35.968576399999996,85500,85399,1000.0,-54.39558410644531,,,,,
0.001,0.05908554047346115,36.3935119,86000,85899,1000.0,-57.231651306152344,,,,,
0.001,0.05057749152183533,29.561976020000003,86500,86399,1000.0,-56.958980560302734,,,,,
0.001,0.04207739979028702,39.655442640000004,87000,86899,1000.0,-57.13329315185547,,,,,
0.001,0.09681758284568787,42.213576679999996,87500,87399,1000.0,-55.19242858886719,,,,,
0.001,0.045448072254657745,17.12716008,88000,87899,1000.0,-55.133785247802734,,,,,
,,,88000,,,,11,26.11397709090909,1000.0,88,7515
0.001,0.08284223824739456,18.44262868,88500,88399,1000.0,-53.554107666015625,,,,,
0.001,0.06716185808181763,22.520373539999994,89000,88899,1000.0,-56.686065673828125,,,,,
0.001,0.06727844476699829,43.10566828000001,89500,89399,1000.0,-54.50896072387695,,,,,
0.001,0.05919119343161583,32.239545039999996,90000,89899,1000.0,-55.71295166015625,,,,,
0.001,0.04390617460012436,46.52680574000001,90500,90399,1000.0,-55.42591857910156,,,,,
0.001,0.046686843037605286,37.862664,91000,90899,1000.0,-55.865440368652344,,,,,
0.001,0.03997901454567909,45.70329828,91500,91399,1000.0,-55.33436584472656,,,,,
0.001,0.10982488840818405,55.12222678,92000,91899,1000.0,-56.74544143676758,,,,,
,,,92000,,,,11,26.354352923913044,1000.0,92,7854
0.001,0.03919779509305954,53.92894424,92500,92399,1000.0,-55.49358367919922,,,,,
0.001,0.047494348138570786,41.74020286,93000,92899,1000.0,-58.377403259277344,,,,,
0.001,0.049420543015003204,90.13716518000001,93500,93399,1000.0,-56.59495544433594,,,,,
0.001,0.04769057780504227,80.0661628,94000,93899,1000.0,-55.384742736816406,,,,,
0.001,0.041948169469833374,143.50886742,94500,94399,1000.0,-56.675270080566406,,,,,
0.001,0.04182228446006775,72.29950410000001,95000,94899,1000.0,-55.420684814453125,,,,,
0.001,0.11462268233299255,19.775946819999998,95500,95399,1000.0,-54.29877471923828,,,,,
0.001,0.05612105503678322,45.25685508000001,96000,95899,1000.0,-56.56613540649414,,,,,
,,,96000,,,,11,27.775364718749998,1000.0,96,8189
0.001,0.05749067664146423,48.542140079999996,96500,96399,1000.0,-55.97014617919922,,,,,
0.001,0.0825435221195221,100.99971187999999,97000,96899,1000.0,-57.28156280517578,,,,,
0.001,0.047814011573791504,-4.2450133800000005,97500,97399,1000.0,-57.10200500488281,,,,,
0.001,0.05037663131952286,-2.2450872,98000,97899,1000.0,-56.8489990234375,,,,,
0.001,0.06204472482204437,1.93276546,98500,98399,1000.0,-55.86287307739258,,,,,
0.001,0.0530627965927124,4.54322036,99000,98899,1000.0,-56.38960266113281,,,,,
0.001,0.07312697172164917,-4.691561399999999,99500,99399,1000.0,-58.37810134887695,,,,,
0.001,0.04439016059041023,-5.2387823000000004,100000,99899,1000.0,-57.49483108520508,,,,,
,,,100000,,,,11,27.627439919999997,1000.0,100,8475
0.001,0.049841754138469696,-6.578169880000001,100500,100399,1000.0,-57.43828201293945,,,,,
0.001,0.068255215883255,-6.82900132,101000,100899,1000.0,-59.218048095703125,,,,,
0.001,0.07797840237617493,-2.3258113,101500,101399,1000.0,-57.554317474365234,,,,,
0.001,0.07267054915428162,25.25998228,102000,101899,1000.0,-57.14015197753906,,,,,
0.001,0.052660368382930756,-3.22244874,102500,102399,1000.0,-58.37196350097656,,,,,
0.001,0.049616143107414246,-0.6762798199999999,103000,102899,1000.0,-57.624473571777344,,,,,
0.001,0.04640932381153107,-4.86381126,103500,103399,1000.0,-59.13301467895508,,,,,
0.001,0.04302015155553818,-6.180245080000001,104000,103899,1000.0,-59.966827392578125,,,,,
,,,104000,,,,11,26.154412519999997,1000.0,104,8803
0.001,0.058244962245225906,-7.642576700000001,104500,104399,1000.0,-58.581520080566406,,,,,
0.001,0.06505195796489716,-1.6818107000000004,105000,104899,1000.0,-59.56221008300781,,,,,
0.001,0.052674904465675354,55.4663081,105500,105399,1000.0,-57.6511116027832,,,,,
0.001,0.04648066312074661,106.80434938,106000,105899,1000.0,-59.207984924316406,,,,,
0.001,0.06714862585067749,92.74470482000001,106500,106399,1000.0,-60.51459503173828,,,,,
0.001,0.05215480923652649,77.90969623999999,107000,106899,1000.0,-59.824615478515625,,,,,
0.001,0.08007195591926575,119.45446274000001,107500,107399,1000.0,-62.38701629638672,,,,,
0.001,0.0615883469581604,91.84802515999999,108000,107899,1000.0,-60.676246643066406,,,,,
,,,108000,,,,11,27.30016005,1000.0,108,9165
0.001,0.03634881600737572,99.94563986000001,108500,108399,1000.0,-60.60841751098633,,,,,
0.001,0.05665676295757294,104.84458771999999,109000,108899,1000.0,-60.019020080566406,,,,,
0.001,0.050071701407432556,87.92623757999999,109500,109399,1000.0,-60.91431427001953,,,,,
0.001,0.04933948069810867,10.555823659999998,110000,109899,1000.0,-61.43998718261719,,,,,
0.001,0.08875501155853271,129.56916284,110500,110399,1000.0,-61.47661209106445,,,,,
0.001,0.05903899669647217,68.07917394,111000,110899,1000.0,-59.829307556152344,,,,,
0.001,0.05797722935676575,214.49386123999997,111500,111399,1000.0,-60.942909240722656,,,,,
0.001,0.0766989067196846,56.93367038,112000,111899,1000.0,-63.057823181152344,,,,,
,,,112000,,,,11,29.7557649,1000.0,112,9526
0.001,0.07632246613502502,218.6248923,112500,112399,1000.0,-62.98481750488281,,,,,
0.001,0.07505623996257782,72.23419056,113000,112899,1000.0,-63.623382568359375,,,,,
0.001,0.058103594928979874,83.47240345999998,113500,113399,1000.0,-62.196990966796875,,,,,
0.001,0.06346301734447479,103.35490167999998,114000,113899,1000.0,-60.24813461303711,,,,,
0.001,0.05015242099761963,201.73886900000002,114500,114399,1000.0,-63.38627624511719,,,,,
0.001,0.07284802198410034,168.41862952,115000,114899,1000.0,-62.646697998046875,,,,,
0.001,0.05618347227573395,208.03003532000002,115500,115399,1000.0,-63.03655242919922,,,,,
0.001,0.06868362426757812,199.54802766000003,116000,115899,1000.0,-64.20005798339844,,,,,
,,,116000,,,,11,33.83612057,1000.0,116,9886
0.001,0.05195590853691101,269.1262399,116500,116399,1000.0,-64.2740707397461,,,,,
0.001,0.0561487190425396,216.68241658,117000,116899,1000.0,-63.67683410644531,,,,,
0.001,0.05795079469680786,227.99928357999997,117500,117399,1000.0,-64.8995590209961,,,,,
0.001,0.07019004225730896,193.38537192,118000,117899,1000.0,-64.59236145019531,,,,,
0.001,0.0729856789112091,175.11364286,118500,118399,1000.0,-63.675445556640625,,,,,
