time/fps,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/critic_loss,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
2240,75,4,87.85098875,0,18.75,,,,,,
350,142,8,80.685748,0,17.75,41,12.155298233032227,-3.685011625289917,0.001,,
301,195,12,71.24013616666669,0,16.25,94,6.707132339477539,-4.29752254486084,0.001,,
277,250,16,67.31224781249999,0,15.625,149,3.254793643951416,-5.123292446136475,0.001,,
268,303,20,64.62026274999998,1,15.15,202,1.5110454559326172,-4.781377792358398,0.001,,
262,354,24,62.47291625,1,14.75,253,1.637660026550293,-5.799233436584473,0.001,,
257,407,28,61.29485892857143,1,14.535714285714286,306,4.380409240722656,-6.66900634765625,0.001,,
251,466,32,61.34025853125,1,14.5625,365,2.1113972663879395,-6.4449357986450195,0.001,,
,500,,,,,399,1.842311978340149,-7.476390838623047,0.001,14.0,58.478515200000004
201,522,36,61.05470694444443,2,14.5,421,0.937637209892273,-7.478630542755127,0.001,,
204,580,40,60.783576700000005,2,14.5,479,1.5609095096588135,-7.665971279144287,0.001,,
209,644,44,60.6604658409091,3,14.636363636363637,543,2.8090786933898926,-8.507394790649414,0.001,,
212,705,48,60.367306562500005,3,14.6875,604,1.222891926765442,-8.748126983642578,0.001,,
215,765,52,60.12890132692308,3,14.711538461538462,664,0.8719943761825562,-9.291095733642578,0.001,,
218,825,56,59.84741796428572,3,14.732142857142858,724,0.8244645595550537,-9.918377876281738,0.001,,
220,884,60,59.50992083333333,4,14.733333333333333,783,0.4352269768714905,-10.620034217834473,0.001,,
222,943,64,59.240856734375,4,14.734375,842,0.8388346433639526,-11.019309043884277,0.001,,
,1000,,,,,899,0.489518940448761,-10.86328125,0.001,14.96,56.25917136
203,1003,68,59.060334455882355,4,14.75,902,1.1404061317443848,-11.589722633361816,0.001,,
205,1063,72,58.881369722222225,5,14.76388888888889,962,0.43397390842437744,-11.556787490844727,0.001,,
206,1121,76,58.620768434210525,5,14.75,1020,0.38510510325431824,-11.879993438720703,0.001,,
207,1181,80,58.4982758375,5,14.7625,1080,0.543980598449707,-12.330047607421875,0.001,,
208,1241,84,58.40692216666666,5,14.773809523809524,1140,0.6604971289634705,-12.517322540283203,0.001,,
