rollout/ep_rew_mean,train/n_updates,train/actor_loss,time/time_elapsed,train/learning_rate,time/episodes,time/total_timesteps,rollout/ep_len_mean,time/fps,train/critic_loss,eval/mean_reward,eval/mean_ep_length
-146.72638125,299,2.197976589202881,2,0.001,4,400,100.0,190,0.010421897284686565,,
,399,2.332350015640259,,0.001,,500,,,0.00790441781282425,-91.63461788,100.0
-117.182171875,699,2.8347206115722656,8,0.001,8,800,100.0,89,0.004112446680665016,,
,899,3.1257948875427246,,0.001,,1000,,,0.00829857587814331,-64.38381618,100.0
-101.11422958333333,1099,3.2972888946533203,15,0.001,12,1200,100.0,77,0.006927688140422106,,
,1399,3.6506290435791016,,0.001,,1500,,,0.010327578522264957,-60.81215518000001,100.0
-91.38233775,1499,3.7685532569885254,22,0.001,16,1600,100.0,71,0.009750775061547756,,
,1899,4.456145286560059,,0.001,,2000,,,0.016420070081949234,-56.71353428,100.0
-84.51311955,,,28,,20,2000,100.0,69,,,
-80.00669470833333,2299,4.9329423904418945,31,0.001,24,2400,100.0,76,0.021752849221229553,,
,2399,5.210843563079834,,0.001,,2500,,,0.0180431567132473,-58.20217954,100.0
-77.15146942857142,2699,5.629328727722168,37,0.001,28,2800,100.0,74,0.019075172021985054,,
,2899,5.963092803955078,,0.001,,3000,,,0.016799524426460266,-59.90484962000001,100.0
-74.6252836875,3099,6.319985389709473,44,0.001,32,3200,100.0,71,0.021494638174772263,,
,3399,6.733245849609375,,0.001,,3500,,,0.022416573017835617,-60.047445999999994,100.0
-72.91358041666666,3499,6.99294376373291,51,0.001,36,3600,100.0,70,0.018304388970136642,,
,3899,7.509555339813232,,0.001,,4000,,,0.022756624966859818,-47.39034832,100.0
-71.26117507500001,,,57,,40,4000,100.0,69,,,
-69.2491048409091,4299,8.012674331665039,59,0.001,44,4400,100.0,73,0.02620912715792656,,
,4399,8.290876388549805,,0.001,,4500,,,0.02623583935201168,-59.0999695,100.0
-68.5302935,4699,8.896322250366211,66,0.001,48,4800,100.0,72,0.024016793817281723,,
,4899,9.045222282409668,,0.001,,5000,,,0.0289019625633955,-59.27316642000001,100.0
-67.62074528846153,5099,9.416985511779785,72,0.001,52,5200,100.0,71,0.029007595032453537,,
,5399,9.776872634887695,,0.001,,5500,,,0.025714371353387833,-51.54324742,100.0
-66.47814233928571,5499,10.00224494934082,79,0.001,56,5600,100.0,70,0.021076029166579247,,
,5899,10.686043739318848,,0.001,,6000,,,0.02482987940311432,-49.48196767999999,100.0
-65.76425283333334,,,86,,60,6000,100.0,69,,,
-64.40920440624998,6299,11.148818969726562,89,0.001,64,6400,100.0,71,0.032041266560554504,,
,6399,11.284479141235352,,0.001,,6500,,,0.0277264304459095,-46.52172496,100.0
-63.037775220588216,6699,11.568313598632812,95,0.001,68,6800,100.0,70,0.02675454691052437,,
,6899,11.532878875732422,,0.001,,7000,,,0.052914902567863464,-66.63482026,100.0
-61.98507233333334,7099,11.869890213012695,102,0.001,72,7200,100.0,70,0.02793324738740921,,
,7399,12.384383201599121,,0.001,,7500,,,0.036715149879455566,-53.3748637,100.0
