time/time_elapsed,time/episodes,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/ent_coef,time/total_timesteps,rollout/ep_len_mean,time/fps,train/actor_loss,eval/mean_ep_length,eval/mean_reward
2,4,0.0003,299,0.23508021235466003,-1.055356740951538,-154.11380549999998,0.9144220352172852,400,100.0,154,-10.046932220458984,,
,,0.0003,399,0.20433221757411957,-1.39884352684021,,0.8873912692070007,500,,,-10.782350540161133,100.0,-59.64010712
10,8,0.0003,699,0.15180331468582153,-2.451007843017578,-152.76745262499998,0.81107097864151,800,100.0,73,-13.110649108886719,,
,,0.0003,899,0.15462937951087952,-3.1788456439971924,,0.7639070153236389,1000,,,-14.614883422851562,100.0,-54.540905820000006
19,12,0.0003,1099,0.11900963634252548,-3.866372585296631,-153.47434366666667,0.7194562554359436,1200,100.0,62,-15.806142807006836,,
,,0.0003,1399,0.09101283550262451,-4.914536476135254,,0.6575673818588257,1500,,,-17.246742248535156,100.0,-53.27152736000001
27,16,0.0003,1499,0.0913863331079483,-5.264709949493408,-151.6558768125,0.6381389498710632,1600,100.0,57,-17.84181785583496,,
,,0.0003,1899,0.09228356927633286,-6.648378372192383,,0.5660158395767212,2000,,,-19.18998146057129,100.0,-49.39799849999999
35,20,,,,,-151.14012314999997,,2000,100.0,55,,,
39,24,0.0003,2299,0.08979450166225433,-8.061649322509766,-148.95343375,0.5021377205848694,2400,100.0,60,-20.102516174316406,,
,,0.0003,2399,0.10138675570487976,-8.383333206176758,,0.48735329508781433,2500,,,-20.355548858642578,100.0,-43.257934180000014
48,28,0.0003,2699,0.08714818209409714,-9.350980758666992,-146.27036489285712,0.44560444355010986,2800,100.0,58,-20.870969772338867,,
,,0.0003,2899,0.07124703377485275,-10.043523788452148,,0.41981637477874756,3000,,,-20.808345794677734,100.0,-44.945160400000006
56,32,0.0003,3099,0.07647109031677246,-10.730447769165039,-144.38006428125001,0.3955611288547516,3200,100.0,56,-20.769725799560547,,
,,0.0003,3399,0.06574640423059464,-11.70047664642334,,0.3618439733982086,3500,,,-20.73293685913086,100.0,-47.66027613999999
65,36,0.0003,3499,0.06376844644546509,-12.057517051696777,-141.95988469444444,0.35127151012420654,3600,100.0,55,-20.784101486206055,,
,,0.0003,3899,0.05262508988380432,-13.252663612365723,,0.312065452337265,4000,,,-20.32221221923828,100.0,-47.12386432
73,40,,,,,-140.152466725,,4000,100.0,54,,,
77,44,0.0003,4299,0.05445537716150284,-14.399174690246582,-137.83329636363638,0.27736717462539673,4400,100.0,57,-19.688919067382812,,
,,0.0003,4399,0.04790264368057251,-14.802901268005371,,0.26934024691581726,4500,,,-19.480148315429688,100.0,-48.6359423
85,48,0.0003,4699,0.03891778737306595,-15.469125747680664,-135.829089125,0.24667753279209137,4800,100.0,56,-18.852161407470703,,
,,0.0003,4899,0.04812982678413391,-16.018672943115234,,0.23268966376781464,5000,,,-18.33774185180664,100.0,-47.52441988
94,52,0.0003,5099,0.044389769434928894,-16.5668888092041,-133.58187790384616,0.21953748166561127,5200,100.0,55,-17.723676681518555,,
