rollout/ep_len_mean,train/ent_coef_loss,time/fps,train/actor_loss,rollout/ep_rew_mean,time/episodes,train/ent_coef,time/total_timesteps,train/critic_loss,time/time_elapsed,train/n_updates,train/learning_rate,eval/mean_ep_length,eval/mean_reward
100.0,-1.049318790435791,93,-9.995790481567383,-157.117059,4,0.9144313931465149,400,0.29757821559906006,4,299,0.0003,,
,-1.4086077213287354,,-10.816183090209961,,,0.8874123096466064,500,0.2039223313331604,,399,0.0003,100.0,-56.377248519999995
100.0,-2.4548277854919434,51,-13.083073616027832,-153.4802535,8,0.8111026883125305,800,0.12297526001930237,15,699,0.0003,,
,-3.15653657913208,,-14.449552536010742,,,0.7639023661613464,1000,0.11935321986675262,,899,0.0003,100.0,-60.7295962
100.0,-3.8689637184143066,43,-15.653005599975586,-153.6239211666667,12,0.7194122672080994,1200,0.095072440803051,27,1099,0.0003,,
,-4.936136722564697,,-17.281503677368164,,,0.6574950218200684,1500,0.1287500262260437,,1399,0.0003,100.0,-58.86586046
100.0,-5.277134895324707,39,-17.700878143310547,-152.6289270625,16,0.6380683779716492,1600,0.09304982423782349,40,1499,0.0003,,
,-6.669623374938965,,-19.118988037109375,,,0.5659933686256409,2000,0.10634689033031464,,1899,0.0003,100.0,-56.39099418
100.0,,37,,-150.93182494999996,20,,2000,,52,,,,
100.0,-8.042118072509766,41,-20.149154663085938,-149.37988625,24,0.5021395683288574,2400,0.09303825348615646,57,2299,0.0003,,
,-8.383131980895996,,-20.23299789428711,,,0.4873516857624054,2500,0.07656441628932953,,2399,0.0003,100.0,-54.743623660000004
100.0,-9.402053833007812,39,-20.507381439208984,-147.7632162142857,28,0.4455896019935608,2800,0.0746670588850975,70,2699,0.0003,,
,-10.105460166931152,,-20.549745559692383,,,0.41979363560676575,3000,0.07630348205566406,,2899,0.0003,100.0,-50.16710784
100.0,-10.772242546081543,39,-20.69386100769043,-146.27233125,32,0.3955119252204895,3200,0.08086824417114258,81,3099,0.0003,,
,-11.643454551696777,,-20.40976905822754,,,0.36176779866218567,3500,0.0567835196852684,,3399,0.0003,100.0,-47.64365744
100.0,-12.064939498901367,38,-20.27762794494629,-143.96659030555557,36,0.3511888384819031,3600,0.05747213587164879,94,3499,0.0003,,
,-13.272040367126465,,-19.866573333740234,,,0.31196334958076477,4000,0.059151288121938705,,3899,0.0003,100.0,-48.598379539999996
100.0,,37,,-142.371942425,40,,4000,,106,,,,
100.0,-14.478734970092773,39,-19.12225914001465,-140.34835572727272,44,0.277265727519989,4400,0.056043460965156555,111,4299,0.0003,,
,-14.624723434448242,,-18.893049240112305,,,0.2692399322986603,4500,0.052195146679878235,,4399,0.0003,100.0,-48.17045486
100.0,-15.240398406982422,38,-18.039756774902344,-138.04716514583333,48,0.2465904802083969,4800,0.04484957456588745,123,4699,0.0003,,
,-16.036832809448242,,-17.57672119140625,,,0.23261666297912598,5000,0.038332585245370865,,4899,0.0003,100.0,-46.48661296
100.0,-16.626834869384766,38,-17.12369155883789,-135.32062009615385,52,0.21947389841079712,5200,0.042838212102651596,136,5099,0.0003,,
,-17.24652862548828,,-16.36493682861328,,,0.20121730864048004,5500,0.04414403438568115,,5399,0.0003,100.0,-45.65387426
100.0,-17.08809471130371,37,-15.861077308654785,-132.859594625,56,0.19549359381198883,5600,0.03666086494922638,148,5499,0.0003,,
,-18.095962524414062,,-14.509284973144531,,,0.17427489161491394,6000,0.03233183175325394,,5899,0.0003,100.0,-46.29062738000002
100.0,,37,,-130.41931843333333,60,,6000,,160,,,,
100.0,-18.987468719482422,38,-13.344266891479492,-128.1002991875,64,0.15547004342079163,6400,0.031188951805233955,165,6299,0.0003,,
,-18.738832473754883,,-13.064712524414062,,,0.1511162519454956,6500,0.0285966694355011,,6399,0.0003,100.0,-45.47569166000001
100.0,-19.435548782348633,38,-12.108811378479004,-125.95446072058824,68,0.1388157606124878,6800,0.02670731581747532,178,6699,0.0003,,
,-19.53556251525879,,-11.484102249145508,,,0.13120153546333313,7000,0.020148582756519318,,6899,0.0003,100.0,-49.3650926
100.0,-20.0241756439209,37,-10.62275505065918,-123.63544901388887,72,0.12402800470590591,7200,0.021582666784524918,190,7099,0.0003,,
,-20.556941986083984,,-9.814584732055664,,,0.11403276771306992,7500,0.020263351500034332,,7399,0.0003,100.0,-43.94715280000001
100.0,-20.803056716918945,37,-9.229769706726074,-121.42548734210526,76,0.11089467257261276,7600,0.021862104535102844,203,7499,0.0003,,
,-20.83041763305664,,-8.027948379516602,,,0.09924426674842834,8000,0.018761318176984787,,7899,0.0003,100.0,-45.16738054
100.0,,37,,-119.51040156250001,80,,8000,,215,,,,
100.0,-20.941905975341797,38,-6.6786909103393555,-117.42628288095239,84,0.08887650817632675,8400,0.014997453428804874,221,8299,0.0003,,
,-20.994449615478516,,-6.4461259841918945,,,0.08646713197231293,8500,0.01623360998928547,,8399,0.0003,100.0,-42.04288994
100.0,-21.076595306396484,37,-5.2917022705078125,-115.046281125,88,0.07966842502355576,8800,0.018425311893224716,233,8699,0.0003,,
,-20.245201110839844,,-4.869933128356934,,,0.07546816021203995,9000,0.016791213303804398,,8899,0.0003,100.0,-40.70245388
100.0,-21.086153030395508,37,-3.983182430267334,-112.93018581521737,92,0.07150768488645554,9200,0.015001246705651283,246,9099,0.0003,,
,-20.929061889648438,,-2.8867998123168945,,,0.06597694009542465,9500,0.02168869413435459,,9399,0.0003,100.0,-39.44378173999999
100.0,-20.642702102661133,37,-2.675027847290039,-110.79935359375001,96,0.0642416775226593,9600,0.01610947586596012,258,9499,0.0003,,
,-19.982887268066406,,-1.4684181213378906,,,0.05775635316967964,10000,0.015253938734531403,,9899,0.0003,100.0,-40.15421152
100.0,,36,,-108.73044019999999,100,,10000,,270,,,,
