rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,eval/mean_reward,eval/mean_ep_length
100.0,92,10.996002197265625,6699,0.001,0.02069200575351715,-60.00154223529412,6800,68,73,,
,,11.139688491821289,6899,0.001,0.02918698824942112,,7000,,,-51.615039859999996,100.0
100.0,99,11.547683715820312,7099,0.001,0.019612427800893784,-59.78883406944445,7200,72,72,,
,,11.975591659545898,7399,0.001,0.027354588732123375,,7500,,,-49.28495590000001,100.0
100.0,106,12.130940437316895,7499,0.001,0.02500399574637413,-59.24623993421053,7600,76,71,,
,,12.601861953735352,7899,0.001,0.04014729708433151,,8000,,,-52.78618188,100.0
100.0,112,,,,,-58.987488425,8000,80,71,,
100.0,114,13.257410049438477,8299,0.001,0.0322611927986145,-58.618469333333344,8400,84,73,,
,,13.344389915466309,8399,0.001,0.02576294355094433,,8500,,,-51.27077396,100.0
100.0,121,13.716387748718262,8699,0.001,0.01989530399441719,-58.28240547727273,8800,88,72,,
,,13.875547409057617,8899,0.001,0.02988436445593834,,9000,,,-50.27157819999999,100.0
100.0,127,14.265010833740234,9099,0.001,0.030348097905516624,-57.770895489130446,9200,92,71,,
,,14.573179244995117,9399,0.001,0.02549801766872406,,9500,,,-54.16534384,100.0
100.0,134,14.617303848266602,9499,0.001,0.0316338837146759,-57.463895552083336,9600,96,71,,
,,15.320843696594238,9899,0.001,0.03167632222175598,,10000,,,-51.7930615,100.0
100.0,141,,,,,-57.05545653,10000,100,70,,
100.0,143,15.68607234954834,10299,0.001,0.02861727587878704,-54.02032169000001,10400,104,72,,
,,15.696165084838867,10399,0.001,0.033581510186195374,,10500,,,-53.04569420000001,100.0
100.0,150,16.21023941040039,10699,0.001,0.04188022017478943,-53.60487698000001,10800,108,71,,
,,16.411365509033203,10899,0.001,0.030462302267551422,,11000,,,-48.23149394000001,100.0
100.0,156,16.60047149658203,11099,0.001,0.035141535103321075,-53.149304870000016,11200,112,71,,
,,16.800491333007812,11399,0.001,0.06536787748336792,,11500,,,-49.82807129999999,100.0
100.0,163,17.17494010925293,11499,0.001,0.0317012257874012,-53.063099920000006,11600,116,71,,
,,17.431255340576172,11899,0.001,0.034428153187036514,,12000,,,-48.36956042,100.0
100.0,169,,,,,-52.69675776,12000,120,70,,
100.0,172,18.023258209228516,12299,0.001,0.033274970948696136,-52.289664410000015,12400,124,72,,
,,18.073476791381836,12399,0.001,0.03897593915462494,,12500,,,-47.804989459999994,100.0
100.0,178,18.402843475341797,12699,0.001,0.03841342404484749,-51.97927852,12800,128,71,,
,,18.533935546875,12899,0.001,0.03850596398115158,,13000,,,-48.52640718000001,100.0
100.0,185,18.986129760742188,13099,0.001,0.03633417189121246,-51.79830786999999,13200,132,71,,
,,19.239742279052734,13399,0.001,0.030927347019314766,,13500,,,-51.21470682,100.0
100.0,191,19.1470947265625,13499,0.001,0.040533728897571564,-51.38761539,13600,136,70,,
,,19.798931121826172,13899,0.001,0.047017280012369156,,14000,,,-48.646298580000014,100.0
100.0,198,,,,,-51.360724809999994,14000,140,70,,
100.0,200,20.316246032714844,14299,0.001,0.03560706973075867,-50.92027272999999,14400,144,71,,
,,20.4882755279541,14399,0.001,0.03999936953186989,,14500,,,-45.97292192,100.0
100.0,207,20.634586334228516,14699,0.001,0.04415610432624817,-50.30706178,14800,148,71,,
,,20.7895450592041,14899,0.001,0.04320565238595009,,15000,,,-46.046304619999994,100.0
100.0,213,21.071775436401367,15099,0.001,0.03730601817369461,-50.20465051,15200,152,71,,
,,21.34250831604004,15399,0.001,0.050717394798994064,,15500,,,-48.17026685999999,100.0
100.0,220,21.37384605407715,15499,0.001,0.05034922808408737,-50.12921891,15600,156,70,,
,,22.002126693725586,15899,0.001,0.05241137742996216,,16000,,,-46.89083810000001,100.0
100.0,226,,,,,-49.74724131999999,16000,160,70,,
100.0,229,22.38599967956543,16299,0.001,0.03753061592578888,-49.47954271,16400,164,71,,
,,22.652111053466797,16399,0.001,0.05265086144208908,,16500,,,-49.79867182000001,100.0
100.0,235,22.838891983032227,16699,0.001,0.040636271238327026,-49.18413528999999,16800,168,71,,
,,22.889331817626953,16899,0.001,0.05401788651943207,,17000,,,-46.61399740000001,100.0
100.0,242,23.06241798400879,17099,0.001,0.05415469780564308,-48.98829876,17200,172,71,,
,,23.775239944458008,17399,0.001,0.0574011504650116,,17500,,,-48.16784694,100.0
100.0,248,23.557802200317383,17499,0.001,0.051353391259908676,-49.023824989999994,17600,176,70,,
,,24.026113510131836,17899,0.001,0.044984832406044006,,18000,,,-46.39734178,100.0
100.0,255,,,,,-48.58511844,18000,180,70,,
100.0,257,24.222816467285156,18299,0.001,0.06193557381629944,-48.49016018,18400,184,71,,
,,24.540616989135742,18399,0.001,0.06678888201713562,,18500,,,-47.08214324000001,100.0
100.0,264,24.83213233947754,18699,0.001,0.052699945867061615,-48.218321040000006,18800,188,71,,
,,25.15227508544922,18899,0.001,0.08133416622877121,,19000,,,-45.48557722,100.0
100.0,270,25.332271575927734,19099,0.001,0.05541983246803284,-48.17490967999999,19200,192,70,,
,,25.710315704345703,19399,0.001,0.0564730241894722,,19500,,,-47.61276616000001,100.0
100.0,277,25.58102798461914,19499,0.001,0.0493616983294487,-48.00284809000001,19600,196,70,,
,,25.862747192382812,19899,0.001,0.05308385193347931,,20000,,,-46.62640578,100.0
100.0,283,,,,,-47.85250691000001,20000,200,70,,
100.0,285,26.708999633789062,20299,0.001,0.06210269406437874,-47.28214269,20400,204,71,,
,,26.33777618408203,20399,0.001,0.045391995459795,,20500,,,-50.28389164000001,100.0
100.0,292,26.778165817260742,20699,0.001,0.05869375169277191,-46.98437683999999,20800,208,71,,
,,26.981040954589844,20899,0.001,0.06998506188392639,,21000,,,-47.91872894,100.0
100.0,299,27.320037841796875,21099,0.001,0.06111207604408264,-47.023663129999996,21200,212,70,,
,,27.601978302001953,21399,0.001,0.05271214619278908,,21500,,,-48.31209396,100.0
100.0,305,27.439876556396484,21499,0.001,0.10189004987478256,-46.977540630000014,21600,216,70,,
,,27.847009658813477,21899,0.001,0.07168179005384445,,22000,,,-51.93724623999999,100.0
100.0,312,,,,,-46.769921180000004,22000,220,70,,
100.0,314,28.173908233642578,22299,0.001,0.05630568414926529,-46.83623061000002,22400,224,71,,
,,28.394332885742188,22399,0.001,0.07158320397138596,,22500,,,-47.73343102,100.0
100.0,320,28.885108947753906,22699,0.001,0.1508713960647583,-46.89969106,22800,228,71,,
,,28.917606353759766,22899,0.001,0.07348963618278503,,23000,,,-44.21890098000001,100.0
100.0,327,29.180030822753906,23099,0.001,0.06743960827589035,-46.68805193,23200,232,70,,
,,29.184782028198242,23399,0.001,0.0635819286108017,,23500,,,-44.37970542,100.0
100.0,333,29.629749298095703,23499,0.001,0.06295909732580185,-46.6496824,23600,236,70,,
,,30.03144073486328,23899,0.001,0.08404877036809921,,24000,,,-46.300770920000005,100.0
100.0,340,,,,,-46.713547670000004,24000,240,70,,
100.0,342,30.50941276550293,24299,0.001,0.0722191110253334,-46.68037595999999,24400,244,71,,
,,30.591548919677734,24399,0.001,0.13822591304779053,,24500,,,-46.66210544,100.0
100.0,349,30.572633743286133,24699,0.001,0.0684407651424408,-46.80599503999999,24800,248,71,,
,,30.86762237548828,24899,0.001,0.06899213790893555,,25000,,,-48.49346721999999,100.0
100.0,355,31.175539016723633,25099,0.001,0.08045649528503418,-46.83668466,25200,252,70,,
,,31.29568862915039,25399,0.001,0.08094426989555359,,25500,,,-51.06756538,100.0
100.0,362,31.281457901000977,25499,0.001,0.08300501108169556,-46.81320821,25600,256,70,,
,,31.315414428710938,25899,0.001,0.08285557478666306,,26000,,,-44.42796860000001,100.0
100.0,368,,,,,-46.88279765,26000,260,70,,
100.0,371,31.621355056762695,26299,0.001,0.08025364577770233,-46.76627975,26400,264,71,,
,,31.84262466430664,26399,0.001,0.07100938260555267,,26500,,,-46.900044179999995,100.0
100.0,377,32.21607971191406,26699,0.001,0.0571461021900177,-46.55127632000001,26800,268,70,,
,,32.51249694824219,26899,0.001,0.07082092761993408,,27000,,,-47.98598468,100.0
100.0,384,32.4732551574707,27099,0.001,0.10643716156482697,-46.22523286,27200,272,70,,
,,32.67549514770508,27399,0.001,0.07047481834888458,,27500,,,-48.4821069,100.0
100.0,390,32.60679626464844,27499,0.001,0.07026717811822891,-45.797854,27600,276,70,,
,,33.03343963623047,27899,0.001,0.07874079048633575,,28000,,,-47.94068298,100.0
100.0,397,,,,,-45.958232169999995,28000,280,70,,
100.0,399,33.4898567199707,28299,0.001,0.06941960752010345,-45.92801547000001,28400,284,71,,
,,33.422874450683594,28399,0.001,0.06973283737897873,,28500,,,-48.11294056,100.0
100.0,405,33.67280578613281,28699,0.001,0.09967724978923798,-45.82078377,28800,288,70,,
,,34.127227783203125,28899,0.001,0.11791107058525085,,29000,,,-45.072284980000006,100.0
100.0,412,33.81354522705078,29099,0.001,0.06990813463926315,-45.857834950000004,29200,292,70,,
,,34.08478927612305,29399,0.001,0.08533638715744019,,29500,,,-46.233817679999994,100.0
100.0,418,34.48906707763672,29499,0.001,0.0617271289229393,-45.6115475,29600,296,70,,
,,34.3799934387207,29899,0.001,0.11316988617181778,,30000,,,-48.98338640000001,100.0
100.0,425,,,,,-46.043375329999996,30000,300,70,,
100.0,427,34.66552734375,30299,0.001,0.10723583400249481,-46.27302542,30400,304,71,,
,,34.64746856689453,30399,0.001,0.09963420033454895,,30500,,,-46.659282780000005,100.0
100.0,434,35.11322784423828,30699,0.001,0.08985729515552521,-46.469906359999996,30800,308,70,,
,,35.350830078125,30899,0.001,0.0826670229434967,,31000,,,-47.43603382000001,100.0
100.0,440,35.41861343383789,31099,0.001,0.06360112130641937,-46.35578062,31200,312,70,,
,,35.60205841064453,31399,0.001,0.07155019044876099,,31500,,,-47.44967552,100.0
100.0,447,35.70713806152344,31499,0.001,0.06961435824632645,-46.10049217999999,31600,316,70,,
,,36.16124725341797,31899,0.001,0.08258439600467682,,32000,,,-46.38397586,100.0
100.0,453,,,,,-46.26289196,32000,320,70,,
100.0,456,36.337013244628906,32299,0.001,0.07224495708942413,-46.10109444,32400,324,71,,
,,36.37696838378906,32399,0.001,0.07629387080669403,,32500,,,-45.65885838,100.0
100.0,462,36.602359771728516,32699,0.001,0.057212404906749725,-46.16496619999999,32800,328,70,,
,,36.89836883544922,32899,0.001,0.07998895645141602,,33000,,,-45.387419,100.0
100.0,468,36.799713134765625,33099,0.001,0.0822489857673645,-45.94643736999999,33200,332,70,,
,,37.17317581176758,33399,0.001,0.05599290132522583,,33500,,,-45.11986734,100.0
100.0,475,37.32284164428711,33499,0.001,0.057470694184303284,-45.748660300000004,33600,336,70,,
,,37.57952880859375,33899,0.001,0.0854707807302475,,34000,,,-47.02566686,100.0
100.0,481,,,,,-45.513372870000005,34000,340,70,,
100.0,484,37.962581634521484,34299,0.001,0.08856703341007233,-45.433275380000005,34400,344,71,,
,,37.790184020996094,34399,0.001,0.07185693085193634,,34500,,,-45.764953600000005,100.0
100.0,490,38.04054641723633,34699,0.001,0.11472442746162415,-45.414983899999996,34800,348,70,,
,,38.22782897949219,34899,0.001,0.11935579776763916,,35000,,,-43.84646602000001,100.0
100.0,497,37.920326232910156,35099,0.001,0.100568026304245,-45.088571019999996,35200,352,70,,
,,38.271209716796875,35399,0.001,0.10919614136219025,,35500,,,-43.78722083999999,100.0
100.0,503,38.62826156616211,35499,0.001,0.12889999151229858,-44.91853734,35600,356,70,,
,,38.680294036865234,35899,0.001,0.0911603718996048,,36000,,,-44.25548330000001,100.0
100.0,510,,,,,-44.79312857,36000,360,70,,
100.0,512,39.10826110839844,36299,0.001,0.12076014280319214,-44.95546120000001,36400,364,70,,
,,39.02989959716797,36399,0.001,0.13070932030677795,,36500,,,-44.699317240000006,100.0
100.0,519,39.672882080078125,36699,0.001,0.1302802711725235,-45.147337580000006,36800,368,70,,
,,39.623046875,36899,0.001,0.13350564241409302,,37000,,,-44.83269576,100.0
100.0,525,39.86809539794922,37099,0.001,0.12741470336914062,-45.20868446999999,37200,372,70,,
,,40.3942756652832,37399,0.001,0.1369597464799881,,37500,,,-44.50356315999999,100.0
100.0,532,40.01434326171875,37499,0.001,0.09849405288696289,-45.48818823000001,37600,376,70,,
,,40.22514724731445,37899,0.001,0.1100088357925415,,38000,,,-43.9230747,100.0
100.0,538,,,,,-45.401097959999994,38000,380,70,,
100.0,541,40.31101608276367,38299,0.001,0.11825615167617798,-45.35504678,38400,384,70,,
,,40.74232864379883,38399,0.001,0.10210943222045898,,38500,,,-43.84577588,100.0
100.0,547,41.018836975097656,38699,0.001,0.07797151058912277,-45.57184227,38800,388,70,,
,,41.08310317993164,38899,0.001,0.0896918773651123,,39000,,,-44.26946053999999,100.0
100.0,554,40.891727447509766,39099,0.001,0.08322376012802124,-45.48804291000001,39200,392,70,,
,,41.18231201171875,39399,0.001,0.11460141837596893,,39500,,,-49.63143908000001,100.0
100.0,560,41.21131134033203,39499,0.001,0.11515817791223526,-45.87787008,39600,396,70,,
,,41.67906188964844,39899,0.001,0.078079454600811,,40000,,,-43.974253520000005,100.0
100.0,566,,,,,-45.612431250000014,40000,400,70,,
100.0,569,41.6563720703125,40299,0.001,0.09596989303827286,-45.381604620000005,40400,404,70,,
,,41.83245849609375,40399,0.001,0.14093554019927979,,40500,,,-45.48587818000001,100.0
100.0,575,42.05060577392578,40699,0.001,0.09157661348581314,-45.291648800000004,40800,408,70,,
,,42.17200469970703,40899,0.001,0.0844622254371643,,41000,,,-45.134035839999996,100.0
100.0,582,42.2767333984375,41099,0.001,0.06978277117013931,-45.48297722999999,41200,412,70,,
,,42.20148468017578,41399,0.001,0.07393240183591843,,41500,,,-43.19061560000001,100.0
100.0,588,42.24524688720703,41499,0.001,0.07478049397468567,-45.41059727999999,41600,416,70,,
,,42.778263092041016,41899,0.001,0.12595492601394653,,42000,,,-43.5728801,100.0
100.0,595,,,,,-45.42262010999999,42000,420,70,,
100.0,597,42.94892120361328,42299,0.001,0.06593339145183563,-45.204561299999995,42400,424,70,,
,,42.90437316894531,42399,0.001,0.07733172178268433,,42500,,,-44.692604759999995,100.0
100.0,604,43.024009704589844,42699,0.001,0.07798977941274643,-44.90066026999999,42800,428,70,,
,,43.027008056640625,42899,0.001,0.10562050342559814,,43000,,,-44.37120008,100.0
100.0,610,43.410953521728516,43099,0.001,0.1350591778755188,-44.84631374,43200,432,70,,
,,43.90541076660156,43399,0.001,0.07963118702173233,,43500,,,-42.6802062,100.0
100.0,617,43.93210983276367,43499,0.001,0.09132212400436401,-45.049546410000005,43600,436,70,,
,,43.708736419677734,43899,0.001,0.08802515268325806,,44000,,,-43.986153900000005,100.0
100.0,624,,,,,-44.941932019999996,44000,440,70,,
100.0,626,43.95857620239258,44299,0.001,0.06991821527481079,-44.986370980000004,44400,444,70,,
,,44.20892333984375,44399,0.001,0.08561529219150543,,44500,,,-42.83466058,100.0
100.0,633,44.52876281738281,44699,0.001,0.09716926515102386,-44.91947166,44800,448,70,,
,,44.09376525878906,44899,0.001,0.08059476315975189,,45000,,,-42.8955969,100.0
100.0,639,44.529014587402344,45099,0.001,0.0759408175945282,-44.90188388000001,45200,452,70,,
,,44.63475036621094,45399,0.001,0.07935208082199097,,45500,,,-43.668374879999995,100.0
100.0,646,44.86000061035156,45499,0.001,0.07366853952407837,-44.89774351,45600,456,70,,
,,44.92961883544922,45899,0.001,0.07789985090494156,,46000,,,-41.77291518,100.0
100.0,652,,,,,-44.989190560000004,46000,460,70,,
100.0,655,45.2174186706543,46299,0.001,0.09692872315645218,-44.627586390000005,46400,464,70,,
,,45.027862548828125,46399,0.001,0.11706266552209854,,46500,,,-42.191227600000005,100.0
100.0,661,45.222564697265625,46699,0.001,0.09677255153656006,-44.286354870000004,46800,468,70,,
,,45.192955017089844,46899,0.001,0.08102262020111084,,47000,,,-41.896670019999995,100.0
100.0,668,45.873992919921875,47099,0.001,0.08337076008319855,-44.34931191,47200,472,70,,
,,45.684104919433594,47399,0.001,0.11108283698558807,,47500,,,-42.947751020000005,100.0
100.0,674,45.683380126953125,47499,0.001,0.11399255692958832,-44.20391389999999,47600,476,70,,
,,45.737037658691406,47899,0.001,0.10064305365085602,,48000,,,-41.80954274,100.0
100.0,681,,,,,-44.270484210000006,48000,480,70,,
100.0,683,45.970760345458984,48299,0.001,0.07515452802181244,-44.20781695000001,48400,484,70,,
,,46.16136169433594,48399,0.001,0.07967286556959152,,48500,,,-42.463408980000004,100.0
100.0,690,45.886802673339844,48699,0.001,0.09753313660621643,-43.91438972000001,48800,488,70,,
,,45.925193786621094,48899,0.001,0.08312588185071945,,49000,,,-42.686633539999995,100.0
100.0,696,45.912322998046875,49099,0.001,0.0695478618144989,-43.60652584,49200,492,70,,
,,45.99663543701172,49399,0.001,0.08130946010351181,,49500,,,-42.766326660000004,100.0
100.0,702,46.3416862487793,49499,0.001,0.08877228200435638,-43.24787271000001,49600,496,70,,
,,46.332305908203125,49899,0.001,0.07644334435462952,,50000,,,-43.100929820000005,100.0
100.0,709,,,,,-43.150809470000006,50000,500,70,,
100.0,712,46.35582733154297,50299,0.001,0.08259579539299011,-42.82141045,50400,504,70,,
,,46.75916290283203,50399,0.001,0.07694067060947418,,50500,,,-44.487097240000004,100.0
100.0,718,46.76600646972656,50699,0.001,0.12676779925823212,-42.72490269,50800,508,70,,
,,46.67894744873047,50899,0.001,0.09488321840763092,,51000,,,-42.22453514,100.0
100.0,724,46.29872512817383,51099,0.001,0.05934445932507515,-42.45795698,51200,512,70,,
,,46.81077575683594,51399,0.001,0.06577488780021667,,51500,,,-42.12359372,100.0
100.0,731,46.84961700439453,51499,0.001,0.06922806799411774,-42.51993972,51600,516,70,,
,,47.34357452392578,51899,0.001,0.06195801869034767,,52000,,,-42.14859116,100.0
100.0,737,,,,,-42.17260610999999,52000,520,70,,
100.0,740,47.31066131591797,52299,0.001,0.07237889617681503,-42.37605025999999,52400,524,70,,
,,47.438228607177734,52399,0.001,0.06350956112146378,,52500,,,-41.74595418,100.0
100.0,746,47.4813232421875,52699,0.001,0.06436826288700104,-42.42152751,52800,528,70,,
,,47.11789321899414,52899,0.001,0.09512631595134735,,53000,,,-42.20094602,100.0
100.0,753,47.92864227294922,53099,0.001,0.06361289322376251,-42.42207507,53200,532,70,,
,,47.44566345214844,53399,0.001,0.0646735429763794,,53500,,,-41.65167286,100.0
100.0,759,47.774688720703125,53499,0.001,0.07957619428634644,-42.28279807999999,53600,536,70,,
,,48.07050323486328,53899,0.001,0.06283233314752579,,54000,,,-41.7646899,100.0
100.0,766,,,,,-42.30710686999999,54000,540,70,,
100.0,768,47.87232208251953,54299,0.001,0.06796073913574219,-42.14308341,54400,544,70,,
,,47.61317443847656,54399,0.001,0.0762806385755539,,54500,,,-42.706377200000006,100.0
100.0,774,47.81197738647461,54699,0.001,0.08035827428102493,-42.07077184,54800,548,70,,
,,48.15304946899414,54899,0.001,0.0706443339586258,,55000,,,-43.19509265999999,100.0
100.0,781,48.11262512207031,55099,0.001,0.06314488500356674,-42.24752901,55200,552,70,,
,,48.163665771484375,55399,0.001,0.07510757446289062,,55500,,,-42.41532212,100.0
100.0,787,48.0445671081543,55499,0.001,0.07989275455474854,-42.201869640000005,55600,556,70,,
,,48.886566162109375,55899,0.001,0.07269783318042755,,56000,,,-41.786892959999996,100.0
100.0,794,,,,,-42.05575309000001,56000,560,70,,
100.0,796,48.44416046142578,56299,0.001,0.08242219686508179,-42.13315877,56400,564,70,,
,,48.331581115722656,56399,0.001,0.0890885591506958,,56500,,,-40.95784506,100.0
100.0,803,48.68048858642578,56699,0.001,0.08689701557159424,-42.34424693999999,56800,568,70,,
,,48.82353210449219,56899,0.001,0.07048118114471436,,57000,,,-47.1009368,100.0
100.0,809,49.00373840332031,57099,0.001,0.06754061579704285,-42.203009220000006,57200,572,70,,
,,48.96873474121094,57399,0.001,0.060128096491098404,,57500,,,-42.643158539999995,100.0
100.0,816,48.645843505859375,57499,0.001,0.06267906725406647,-42.23030578,57600,576,70,,
,,49.064762115478516,57899,0.001,0.05753898248076439,,58000,,,-43.53683545999999,100.0
100.0,822,,,,,-42.01383873999999,58000,580,70,,
100.0,824,49.1596794128418,58299,0.001,0.09586131572723389,-41.887262570000004,58400,584,70,,
,,49.14775848388672,58399,0.001,0.06216258555650711,,58500,,,-41.96732492,100.0
100.0,831,49.154457092285156,58699,0.001,0.0827687457203865,-41.65673194,58800,588,70,,
,,49.058929443359375,58899,0.001,0.09239715337753296,,59000,,,-44.51760244,100.0
100.0,837,49.30677032470703,59099,0.001,0.051885075867176056,-41.76663619,59200,592,70,,
,,49.01077651977539,59399,0.001,0.05087800323963165,,59500,,,-41.985447359999995,100.0
100.0,844,48.979007720947266,59499,0.001,0.06967471539974213,-41.90483955,59600,596,70,,
,,49.42171859741211,59899,0.001,0.05573081970214844,,60000,,,-43.76899832,100.0
100.0,850,,,,,-41.839533669999994,60000,600,70,,
100.0,852,49.56576156616211,60299,0.001,0.09310145676136017,-42.056524630000006,60400,604,70,,
,,49.45879364013672,60399,0.001,0.06949762254953384,,60500,,,-43.95555399999999,100.0
100.0,859,49.44750213623047,60699,0.001,0.07209973782300949,-42.01928164,60800,608,70,,
,,49.494285583496094,60899,0.001,0.10705895721912384,,61000,,,-43.397501520000006,100.0
100.0,865,50.00180435180664,61099,0.001,0.05838930606842041,-41.89588117,61200,612,70,,
,,49.47868347167969,61399,0.001,0.05268001928925514,,61500,,,-42.67338452,100.0
100.0,872,49.95002365112305,61499,0.001,0.0619082972407341,-41.957525,61600,616,70,,
,,49.694129943847656,61899,0.001,0.09276658296585083,,62000,,,-42.20124826,100.0
100.0,878,,,,,-42.20035704,62000,620,70,,
100.0,881,49.989402770996094,62299,0.001,0.06917791068553925,-42.33626042000001,62400,624,70,,
,,50.32199478149414,62399,0.001,0.058008257299661636,,62500,,,-42.12345724,100.0
100.0,887,49.967594146728516,62699,0.001,0.06177735701203346,-42.27696281000001,62800,628,70,,
,,49.950538635253906,62899,0.001,0.06863588094711304,,63000,,,-43.62785284,100.0
100.0,894,50.33467483520508,63099,0.001,0.06502706557512283,-42.25514021,63200,632,70,,
,,50.3564567565918,63399,0.001,0.08127418160438538,,63500,,,-42.29981294,100.0
100.0,900,50.33080291748047,63499,0.001,0.07608234882354736,-42.16791011,63600,636,70,,
,,50.3214111328125,63899,0.001,0.06864465028047562,,64000,,,-43.4328632,100.0
100.0,907,,,,,-42.201820180000006,64000,640,70,,
100.0,909,50.47943878173828,64299,0.001,0.06769425421953201,-42.486127859999996,64400,644,70,,
,,50.54651641845703,64399,0.001,0.07384712249040604,,64500,,,-40.99522492,100.0
100.0,916,50.42435073852539,64699,0.001,0.08374744653701782,-42.26546311,64800,648,70,,
,,50.32454299926758,64899,0.001,0.10390200465917587,,65000,,,-42.76565468,100.0
100.0,922,50.05667495727539,65099,0.001,0.05781383067369461,-41.9796699,65200,652,70,,
,,50.465606689453125,65399,0.001,0.07819026708602905,,65500,,,-40.195895760000006,100.0
100.0,929,50.54383850097656,65499,0.001,0.06707149744033813,-41.95883313000001,65600,656,70,,
,,50.655128479003906,65899,0.001,0.06483514606952667,,66000,,,-40.73846696,100.0
100.0,935,,,,,-41.769752270000005,66000,660,70,,
100.0,938,50.92613983154297,66299,0.001,0.052132926881313324,-41.798525250000004,66400,664,70,,
,,50.3228759765625,66399,0.001,0.1042250394821167,,66500,,,-46.175023700000004,100.0
100.0,944,50.29122543334961,66699,0.001,0.10725900530815125,-41.81929177,66800,668,70,,
