time/episodes,train/critic_loss,train/ent_coef_loss,time/fps,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/actor_loss,train/n_updates,train/ent_coef,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
,0.025761708617210388,-2.379652261734009,,0.0003,,28000,,27.03036880493164,27899,0.008306412026286125,,100.0,-43.68704476
280,,,36,,100.0,28000,761,,,,-47.68945943,,
284,0.0290934257209301,-1.659017562866211,37,0.0003,100.0,28400,766,27.11557388305664,28299,0.008376055397093296,-47.44524902999999,,
,0.02514059841632843,-1.6144657135009766,,0.0003,,28500,,27.06317710876465,28399,0.008422634564340115,,100.0,-52.94012052
288,0.025596410036087036,0.6873779296875,36,0.0003,100.0,28800,778,27.64965057373047,28699,0.008382324129343033,-47.84211347999999,,
,0.023577574640512466,1.1335588693618774,,0.0003,,29000,,27.652503967285156,28899,0.008437448181211948,,100.0,-53.682030860000005
292,0.026703178882598877,1.0083954334259033,36,0.0003,100.0,29200,791,27.45292854309082,29099,0.008442526683211327,-48.279444000000005,,
,0.022067390382289886,-1.7022217512130737,,0.0003,,29500,,28.605167388916016,29399,0.00846440251916647,,100.0,-41.77715028000001
296,0.026470152661204338,2.67182993888855,36,0.0003,100.0,29600,803,28.299203872680664,29499,0.00845123827457428,-48.362143509999996,,
,0.024130867794156075,0.09339255094528198,,0.0003,,30000,,28.256040573120117,29899,0.008511124178767204,,100.0,-44.43464569999999
300,,,36,,100.0,30000,816,,,,-48.45208748,,
304,0.02797050029039383,-0.7933070659637451,36,0.0003,100.0,30400,821,28.628765106201172,30299,0.008566068485379219,-48.29589838999999,,
,0.02433459460735321,0.001992747187614441,,0.0003,,30500,,29.10311508178711,30399,0.008603791706264019,,100.0,-43.07096818
308,0.025201279670000076,-0.23823441565036774,36,0.0003,100.0,30800,834,29.876157760620117,30699,0.008654014207422733,-48.39922668000001,,
,0.03089001402258873,-1.3772294521331787,,0.0003,,31000,,30.106857299804688,30899,0.00867519248276949,,100.0,-44.25741263999999
312,0.027166735380887985,-1.2282238006591797,36,0.0003,100.0,31200,846,29.99818229675293,31099,0.00871327891945839,-48.365416069999995,,
,0.025646449998021126,-1.2862282991409302,,0.0003,,31500,,29.709564208984375,31399,0.008736710995435715,,100.0,-43.19417541999999
316,0.01945832371711731,0.02545398473739624,36,0.0003,100.0,31600,858,29.752182006835938,31499,0.008739306591451168,-48.429460739999996,,
,0.029331764206290245,0.2148556113243103,,0.0003,,32000,,30.689462661743164,31899,0.008801715448498726,,100.0,-41.5606805
320,,,36,,100.0,32000,871,,,,-48.32839923,,
324,0.022102737799286842,-0.1102270856499672,36,0.0003,100.0,32400,876,30.34017562866211,32299,0.008844051510095596,-48.160599690000005,,
,0.034664593636989594,0.08084949851036072,,0.0003,,32500,,30.695058822631836,32399,0.008834020234644413,,100.0,-42.945548120000005
328,0.025880156084895134,-0.1408117562532425,36,0.0003,100.0,32800,888,30.51262092590332,32699,0.008812067098915577,-47.96189913999999,,
,0.030055973678827286,2.93560528755188,,0.0003,,33000,,31.162796020507812,32899,0.00881583709269762,,100.0,-41.69070794
332,0.03215709701180458,0.9831865429878235,36,0.0003,100.0,33200,900,31.076324462890625,33099,0.008836434222757816,-47.63096050000001,,
,0.02309224382042885,-0.4810073673725128,,0.0003,,33500,,31.76943016052246,33399,0.008881872519850731,,100.0,-41.99009694
336,0.03413595259189606,-0.7454369068145752,36,0.0003,100.0,33600,913,31.64258575439453,33499,0.008860170841217041,-46.83118836,,
,0.020086543634533882,2.266782760620117,,0.0003,,34000,,31.54188346862793,33899,0.008887985721230507,,100.0,-41.9845842
340,,,36,,100.0,34000,925,,,,-46.343320299999995,,
344,0.029683144763112068,-1.118840217590332,36,0.0003,100.0,34400,930,32.0421257019043,34299,0.008842765353620052,-45.9099777,,
,0.03174139931797981,-0.4134591221809387,,0.0003,,34500,,31.708955764770508,34399,0.008841020055115223,,100.0,-41.61145570000001
348,0.04446561262011528,-0.7623261213302612,36,0.0003,100.0,34800,942,32.52971649169922,34699,0.008908593095839024,-45.690117279999996,,
,0.02522810362279415,0.35337263345718384,,0.0003,,35000,,32.73527526855469,34899,0.00890982523560524,,100.0,-41.714154019999995
352,0.02371569350361824,-2.4433131217956543,36,0.0003,100.0,35200,955,32.39963912963867,35099,0.008909252472221851,-45.354787259999995,,
,0.030613796785473824,0.47218525409698486,,0.0003,,35500,,32.39949417114258,35399,0.008884570561349392,,100.0,-43.29617122
356,0.02109929546713829,1.277799367904663,36,0.0003,100.0,35600,968,32.6409912109375,35499,0.008909796364605427,-45.169447410000004,,
,0.026378067210316658,0.43249574303627014,,0.0003,,36000,,33.36262512207031,35899,0.00890523474663496,,100.0,-44.43568032
360,,,36,,100.0,36000,980,,,,-45.124893629999995,,
364,0.022456321865320206,-1.7647731304168701,36,0.0003,100.0,36400,985,33.00104522705078,36299,0.008866511285305023,-44.95610256999999,,
,0.025942688807845116,-0.7871086597442627,,0.0003,,36500,,33.1947135925293,36399,0.00886828638613224,,100.0,-42.41247474
368,0.03318474069237709,0.6842672824859619,36,0.0003,100.0,36800,997,33.39399719238281,36699,0.008854216895997524,-44.60934482,,
,0.033661797642707825,1.6325541734695435,,0.0003,,37000,,33.556678771972656,36899,0.008789263665676117,,100.0,-41.05460808
372,0.032207515090703964,-1.2906067371368408,36,0.0003,100.0,37200,1010,33.552589416503906,37099,0.008748178370296955,-44.693397010000005,,
,0.03120887652039528,-0.7545192241668701,,0.0003,,37500,,34.010231018066406,37399,0.00870829913765192,,100.0,-40.5119491
376,0.0276911873370409,-0.6093429327011108,36,0.0003,100.0,37600,1022,34.14407730102539,37499,0.008711014874279499,-44.57972763000001,,
,0.019230403006076813,0.6276103258132935,,0.0003,,38000,,34.323429107666016,37899,0.008609426207840443,,100.0,-42.55859262
380,,,36,,100.0,38000,1034,,,,-44.28864891999999,,
384,0.02574647217988968,-0.9211961030960083,36,0.0003,100.0,38400,1039,33.96110534667969,38299,0.008649380877614021,-44.550266650000005,,
,0.025442784652113914,0.25477367639541626,,0.0003,,38500,,34.10796356201172,38399,0.008654657751321793,,100.0,-42.82343894
388,0.027554702013731003,-0.5289264917373657,36,0.0003,100.0,38800,1051,34.452693939208984,38699,0.008598488755524158,-43.93804234999999,,
,0.02923882193863392,-1.0753244161605835,,0.0003,,39000,,34.5323486328125,38899,0.008578618057072163,,100.0,-44.39284006
392,0.03230239450931549,-0.43922871351242065,36,0.0003,100.0,39200,1064,34.01691436767578,39099,0.008582922630012035,-43.63823704000001,,
,0.031924426555633545,1.4415481090545654,,0.0003,,39500,,34.156959533691406,39399,0.008523096330463886,,100.0,-42.57766374
396,0.04456802085042,-0.5381957292556763,36,0.0003,100.0,39600,1076,34.26225280761719,39499,0.008517351932823658,-43.27198199,,
,0.02501794509589672,-1.151932954788208,,0.0003,,40000,,34.96995544433594,39899,0.00847738515585661,,100.0,-40.4961489
400,,,36,,100.0,40000,1088,,,,-43.42667711,,
404,0.04060335084795952,1.6127257347106934,36,0.0003,100.0,40400,1093,34.50574493408203,40299,0.00835551880300045,-43.4121174,,
,0.02689681015908718,0.8941134214401245,,0.0003,,40500,,35.11052322387695,40399,0.008414622396230698,,100.0,-40.72818386
408,0.036063097417354584,-0.4374983012676239,36,0.0003,100.0,40800,1106,34.7083625793457,40699,0.00843776948750019,-43.20695193,,
,0.029531290754675865,0.14023226499557495,,0.0003,,41000,,35.54071044921875,40899,0.008467502892017365,,100.0,-41.06409646
412,0.0235222689807415,0.014387369155883789,36,0.0003,100.0,41200,1118,35.336578369140625,41099,0.008410013280808926,-43.159744260000004,,
,0.02436729520559311,1.8762162923812866,,0.0003,,41500,,35.33186340332031,41399,0.008298367261886597,,100.0,-41.39212254
416,0.031385406851768494,-0.6546016335487366,36,0.0003,100.0,41600,1130,35.246124267578125,41499,0.008288207463920116,-42.919143489999996,,
,0.029744179919362068,-0.3926379382610321,,0.0003,,42000,,35.499168395996094,41899,0.008323762565851212,,100.0,-41.95889984
420,,,36,,100.0,42000,1143,,,,-42.929907620000016,,
424,0.039787065237760544,-0.5849577188491821,36,0.0003,100.0,42400,1148,35.130882263183594,42299,0.008360915817320347,-43.11826816,,
,0.03460872173309326,-0.432537317276001,,0.0003,,42500,,34.895118713378906,42399,0.0083509786054492,,100.0,-43.70945576
428,0.046841345727443695,-0.9428717494010925,36,0.0003,100.0,42800,1160,35.768165588378906,42699,0.008317984640598297,-43.11909977000001,,
,0.03932014852762222,0.40023890137672424,,0.0003,,43000,,35.799617767333984,42899,0.00834699347615242,,100.0,-42.88339462
432,0.022187059745192528,-0.11956515908241272,36,0.0003,100.0,43200,1172,35.58183670043945,43099,0.00840737484395504,-43.15239668,,
,0.0426376610994339,0.8244824409484863,,0.0003,,43500,,36.66926193237305,43399,0.00838301982730627,,100.0,-42.66302192
436,0.026357870548963547,-0.9209423065185547,36,0.0003,100.0,43600,1185,36.392398834228516,43499,0.008424815721809864,-43.502301390000014,,
,0.0362023264169693,4.541253089904785,,0.0003,,44000,,36.55006408691406,43899,0.008377792313694954,,100.0,-44.1789207
440,,,36,,100.0,44000,1197,,,,-43.36729067000001,,
444,0.030276905745267868,-0.9085978269577026,36,0.0003,100.0,44400,1202,36.636024475097656,44299,0.00846930406987667,-43.39327183,,
,0.04160785675048828,0.19873139262199402,,0.0003,,44500,,36.14139175415039,44399,0.008485379628837109,,100.0,-42.99969482
448,0.05109095573425293,-1.6545122861862183,36,0.0003,100.0,44800,1215,37.51057434082031,44699,0.008531383238732815,-43.47159744,,
,0.03257162868976593,0.02744390070438385,,0.0003,,45000,,36.71152114868164,44899,0.008562642149627209,,100.0,-42.66319942
452,0.04409032315015793,-0.41102832555770874,36,0.0003,100.0,45200,1227,37.24116516113281,45099,0.008631384000182152,-43.58499806,,
,0.0358586385846138,-0.5636881589889526,,0.0003,,45500,,37.066009521484375,45399,0.008613335900008678,,100.0,-43.57684786000001
456,0.03743208944797516,-2.647916316986084,36,0.0003,100.0,45600,1239,37.131370544433594,45499,0.008584301918745041,-43.78873941999999,,
,0.03847082704305649,-0.7256226539611816,,0.0003,,46000,,36.503543853759766,45899,0.008675307966768742,,100.0,-42.91421864000001
460,,,36,,100.0,46000,1252,,,,-43.69440702,,
464,0.036363717168569565,0.6574134826660156,36,0.0003,100.0,46400,1257,37.2354736328125,46299,0.008742611855268478,-43.81597205,,
,0.0491587333381176,0.3864240050315857,,0.0003,,46500,,37.50896453857422,46399,0.008756943047046661,,100.0,-44.06387696000001
468,0.03722326457500458,-0.08958306908607483,36,0.0003,100.0,46800,1270,36.655616760253906,46699,0.008731924928724766,-43.995084739999996,,
,0.045353472232818604,1.3117121458053589,,0.0003,,47000,,37.55204391479492,46899,0.00872449204325676,,100.0,-42.465033219999995
472,0.0508280023932457,-1.8137245178222656,36,0.0003,100.0,47200,1282,37.03469467163086,47099,0.008715543895959854,-44.00333539999999,,
,0.041025202721357346,-0.15410929918289185,,0.0003,,47500,,37.01145935058594,47399,0.008728095330297947,,100.0,-43.546103840000015
476,0.02848542295396328,-1.275789737701416,36,0.0003,100.0,47600,1294,37.67076110839844,47499,0.008765828795731068,-44.04525888999999,,
,0.05528814345598221,2.0517921447753906,,0.0003,,48000,,37.348243713378906,47899,0.008852152153849602,,100.0,-43.17991946
480,,,36,,100.0,48000,1307,,,,-44.193330859999996,,
484,0.03893383592367172,-0.5616666078567505,36,0.0003,100.0,48400,1312,37.93556213378906,48299,0.008863179944455624,-44.00397471000001,,
,0.03995642811059952,-0.4545646011829376,,0.0003,,48500,,37.97553253173828,48399,0.008851650170981884,,100.0,-43.97493933999999
488,0.03606501221656799,1.0618611574172974,36,0.0003,100.0,48800,1324,37.56782531738281,48699,0.008821274153888226,-44.23483873,,
,0.04717641323804855,1.692474603652954,,0.0003,,49000,,37.304344177246094,48899,0.008786393329501152,,100.0,-43.511430020000006
492,0.039376333355903625,-0.30277979373931885,36,0.0003,100.0,49200,1337,37.72763442993164,49099,0.008830511942505836,-44.104985649999996,,
,0.03890560567378998,-0.22393912076950073,,0.0003,,49500,,37.98542404174805,49399,0.008790341205894947,,100.0,-42.87963766
496,0.047529932111501694,0.030398309230804443,36,0.0003,100.0,49600,1349,37.97587966918945,49499,0.008819625712931156,-44.26341094,,
