time/episodes,train/critic_loss,train/ent_coef_loss,time/fps,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/actor_loss,train/n_updates,train/ent_coef,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
4,0.23382385075092316,-1.0490484237670898,110,0.0003,100.0,400,3,-9.917162895202637,299,0.9144083857536316,-151.52543025,,
,0.2193475365638733,-1.410531759262085,,0.0003,,500,,-10.676352500915527,399,0.8873878717422485,,100.0,-54.64388724000001
8,0.13883495330810547,-2.4572434425354004,49,0.0003,100.0,800,16,-13.119617462158203,699,0.8110982775688171,-154.413068875,,
,0.1487915962934494,-3.151115655899048,,0.0003,,1000,,-14.667712211608887,899,0.7639195322990417,,100.0,-57.390734939999994
12,0.11265350878238678,-3.849945545196533,42,0.0003,100.0,1200,28,-15.73733139038086,1099,0.7194876074790955,-153.59334883333335,,
,0.09597630798816681,-4.909753799438477,,0.0003,,1500,,-17.307588577270508,1399,0.6576030254364014,,100.0,-60.82735360000001
16,0.10567428916692734,-5.2784223556518555,39,0.0003,100.0,1600,40,-17.8878231048584,1499,0.6381690502166748,-151.842241,,
,0.08375927060842514,-6.650062561035156,,0.0003,,2000,,-19.29852867126465,1899,0.5660353302955627,,100.0,-57.2160674
20,,,37,,100.0,2000,53,,,,-151.51271930000001,,
24,0.08239862322807312,-8.07107925415039,41,0.0003,100.0,2400,58,-20.26742935180664,2299,0.5021170973777771,-149.86270508333334,,
,0.08675223588943481,-8.395509719848633,,0.0003,,2500,,-20.299226760864258,2399,0.4873148500919342,,100.0,-56.88676493999999
28,0.07404273748397827,-9.432458877563477,39,0.0003,100.0,2800,70,-20.71921157836914,2699,0.44552475214004517,-149.1176877142857,,
,0.07565631717443466,-10.092325210571289,,0.0003,,3000,,-20.711484909057617,2899,0.4197102189064026,,100.0,-57.93047764
32,0.06105593591928482,-10.744613647460938,38,0.0003,100.0,3200,83,-20.79133415222168,3099,0.3954199254512787,-147.8810558125,,
,0.06570422649383545,-11.783366203308105,,0.0003,,3500,,-20.68047523498535,3399,0.3616665005683899,,100.0,-58.96936294000001
36,0.06834074854850769,-12.047025680541992,37,0.0003,100.0,3600,95,-20.441923141479492,3499,0.3510875105857849,-145.4112790277778,,
,0.05864839255809784,-13.339001655578613,,0.0003,,4000,,-20.142093658447266,3899,0.3118647634983063,,100.0,-55.589701999999996
40,,,37,,100.0,4000,107,,,,-143.29185497499998,,
44,0.042750321328639984,-14.536806106567383,39,0.0003,100.0,4400,112,-19.40781593322754,4299,0.2771751284599304,-141.3125080681818,,
,0.04906485974788666,-14.838716506958008,,0.0003,,4500,,-19.129215240478516,4399,0.26915520429611206,,100.0,-52.07553736
48,0.04595906287431717,-15.637605667114258,38,0.0003,100.0,4800,125,-18.299575805664062,4699,0.24650083482265472,-139.19699572916667,,
,0.046805240213871,-16.091766357421875,,0.0003,,5000,,-17.98470687866211,4899,0.23252293467521667,,100.0,-49.59819192
52,0.03790166974067688,-16.430805206298828,37,0.0003,100.0,5200,137,-17.124576568603516,5099,0.21937543153762817,-137.06255776923075,,
,0.03612051159143448,-17.26211166381836,,0.0003,,5500,,-16.44982147216797,5399,0.2011246234178543,,100.0,-51.03522714
56,0.03455064818263054,-17.152267456054688,37,0.0003,100.0,5600,149,-16.21142578125,5499,0.19540828466415405,-134.64456001785715,,
,0.03441154956817627,-18.252338409423828,,0.0003,,6000,,-15.097151756286621,5899,0.1742136925458908,,100.0,-48.25286852
60,,,36,,100.0,6000,162,,,,-132.17729425000002,,
64,0.023369111120700836,-18.939613342285156,38,0.0003,100.0,6400,167,-13.712932586669922,6299,0.15545997023582458,-129.639076125,,
,0.025231454521417618,-18.800540924072266,,0.0003,,6500,,-13.169503211975098,6399,0.15111663937568665,,100.0,-51.36056764
68,0.02848842181265354,-19.29544448852539,37,0.0003,100.0,6800,179,-12.262659072875977,6699,0.13883467018604279,-127.07596248529411,,
,0.027866948395967484,-19.56471061706543,,0.0003,,7000,,-11.932892799377441,6899,0.1312524974346161,,100.0,-53.24480066
72,0.024202985689044,-19.769264221191406,37,0.0003,100.0,7200,191,-11.066248893737793,7099,0.12410280853509903,-124.68120858333333,,
,0.020337052643299103,-20.010665893554688,,0.0003,,7500,,-10.320870399475098,7399,0.11416132748126984,,100.0,-50.68200985999999
76,0.02444021962583065,-20.266706466674805,37,0.0003,100.0,7600,204,-9.85441780090332,7499,0.11103915423154831,-122.67109311842103,,
,0.019001610577106476,-19.92830467224121,,0.0003,,8000,,-8.289315223693848,7899,0.09941937774419785,,100.0,-47.854212020000006
80,,,36,,100.0,8000,216,,,,-120.49526377499998,,
84,0.01801174134016037,-20.635116577148438,37,0.0003,100.0,8400,221,-7.099661827087402,8299,0.08907938003540039,-118.17825542857142,,
,0.02050270140171051,-20.7362003326416,,0.0003,,8500,,-6.817416191101074,8399,0.08667266368865967,,100.0,-48.146566700000015
88,0.022257309406995773,-20.504825592041016,37,0.0003,100.0,8800,233,-5.679304122924805,8699,0.07986002415418625,-116.19369397727273,,
,0.01945730671286583,-20.373212814331055,,0.0003,,9000,,-5.286184310913086,8899,0.07563203573226929,,100.0,-47.61414552
92,0.017608635127544403,-20.529056549072266,37,0.0003,100.0,9200,246,-4.357889175415039,9099,0.07163824141025543,-114.15268029347827,,
,0.018764741718769073,-20.544145584106445,,0.0003,,9500,,-3.354067802429199,9399,0.06605231016874313,,100.0,-44.48141124
96,0.018095016479492188,-20.443504333496094,37,0.0003,100.0,9600,258,-3.220500946044922,9499,0.0642988309264183,-112.19600295833334,,
,0.017526250332593918,-19.67983627319336,,0.0003,,10000,,-1.8091766834259033,9899,0.05775405094027519,,100.0,-42.12531792000001
100,,,36,,100.0,10000,271,,,,-110.08526066,,
104,0.016348231583833694,-20.217037200927734,37,0.0003,100.0,10400,276,-0.44187039136886597,10299,0.051934387534856796,-106.23679466000002,,
,0.018750440329313278,-19.79076385498047,,0.0003,,10500,,-0.3151063919067383,10399,0.05058532953262329,,100.0,-42.15474198000001
108,0.016914332285523415,-18.935958862304688,37,0.0003,100.0,10800,288,0.3490254282951355,10699,0.046754900366067886,-102.13449879000001,,
,0.01996799185872078,-19.251991271972656,,0.0003,,11000,,0.8680261969566345,10899,0.04438333585858345,,100.0,-43.92027426
112,0.01770741119980812,-19.411571502685547,37,0.0003,100.0,11200,301,1.3879187107086182,11099,0.04214739054441452,-98.25368693,,
,0.018616868183016777,-18.19985008239746,,0.0003,,11500,,2.4325695037841797,11399,0.03902962803840637,,100.0,-44.04453812
116,0.01915391907095909,-17.97040557861328,37,0.0003,100.0,11600,313,2.490302085876465,11499,0.038045477122068405,-94.62642861999998,,
,0.017163844779133797,-18.142845153808594,,0.0003,,12000,,3.586338520050049,11899,0.03439054265618324,,100.0,-41.981053679999995
120,,,36,,100.0,12000,325,,,,-90.60171580000001,,
124,0.017902370542287827,-17.164133071899414,37,0.0003,100.0,12400,330,4.5194244384765625,12299,0.03112264722585678,-87.03274198,,
,0.015931658446788788,-15.536321640014648,,0.0003,,12500,,4.957705497741699,12399,0.030360201373696327,,100.0,-41.19531194
128,0.016827642917633057,-16.544601440429688,37,0.0003,100.0,12800,343,5.401653289794922,12699,0.028194334357976913,-83.25582892,,
,0.021333111450076103,-15.349193572998047,,0.0003,,13000,,5.938241958618164,12899,0.026847589761018753,,100.0,-41.313703059999995
132,0.017509587109088898,-15.232122421264648,37,0.0003,100.0,13200,355,6.324211597442627,13099,0.025572698563337326,-79.71288895999999,,
,0.01696854457259178,-14.487213134765625,,0.0003,,13500,,6.909280776977539,13399,0.023788345977663994,,100.0,-40.099307200000005
136,0.01677439734339714,-13.81993293762207,37,0.0003,100.0,13600,367,7.244867324829102,13499,0.023227181285619736,-76.71361521,,
,0.018250957131385803,-13.008925437927246,,0.0003,,14000,,7.9722900390625,13899,0.021125050261616707,,100.0,-41.20245102
140,,,36,,100.0,14000,379,,,,-73.73213154,,
144,0.018901482224464417,-11.52217960357666,37,0.0003,100.0,14400,384,9.030981063842773,14299,0.01925046369433403,-70.49227426,,
,0.015849819406867027,-11.707210540771484,,0.0003,,14500,,9.078400611877441,14399,0.018819252029061317,,100.0,-40.62454936
148,0.0174617450684309,-10.747970581054688,37,0.0003,100.0,14800,397,9.724315643310547,14699,0.01759207993745804,-67.60087911,,
,0.01588664948940277,-10.539283752441406,,0.0003,,15000,,10.158082962036133,14899,0.016842586919665337,,100.0,-40.400874560000005
152,0.016059109941124916,-10.214826583862305,37,0.0003,100.0,15200,409,10.282081604003906,15099,0.016130387783050537,-65.06945271,,
,0.015958130359649658,-9.178665161132812,,0.0003,,15500,,11.111152648925781,15399,0.015146709978580475,,100.0,-40.92922256
156,0.0174570195376873,-8.22325325012207,36,0.0003,100.0,15600,422,11.008756637573242,15499,0.01483276765793562,-62.78913967000001,,
,0.01681678369641304,-9.079334259033203,,0.0003,,16000,,12.135025978088379,15899,0.013668965548276901,,100.0,-40.42727
160,,,36,,100.0,16000,434,,,,-60.49011062,,
164,0.017972679808735847,-6.88478422164917,37,0.0003,100.0,16400,439,12.464775085449219,16299,0.012663784436881542,-58.61262201,,
,0.019686132669448853,-6.6572160720825195,,0.0003,,16500,,12.42402172088623,16399,0.012435555458068848,,100.0,-41.655305840000004
168,0.014630088582634926,-5.941420555114746,37,0.0003,100.0,16800,451,13.095552444458008,16699,0.011784834787249565,-57.02227791999999,,
,0.015170592814683914,-4.568088054656982,,0.0003,,17000,,13.21347427368164,16899,0.011389653198421001,,100.0,-41.23557212
172,0.019613094627857208,-3.6740963459014893,37,0.0003,100.0,17200,463,13.567571640014648,17099,0.011023880913853645,-55.306960149999995,,
,0.019170217216014862,-1.9762721061706543,,0.0003,,17500,,14.227415084838867,17399,0.010536455549299717,,100.0,-41.697415
176,0.014500569552183151,-3.7339916229248047,36,0.0003,100.0,17600,476,13.987409591674805,17499,0.01038809958845377,-53.618049979999995,,
,0.01781519129872322,-3.4867894649505615,,0.0003,,18000,,14.576841354370117,17899,0.009853947907686234,,100.0,-41.119085299999995
180,,,36,,100.0,18000,488,,,,-52.119502419999996,,
184,0.019204366952180862,0.737350583076477,37,0.0003,100.0,18400,493,15.572158813476562,18299,0.009429638274013996,-51.08097853000001,,
,0.01713298074901104,-3.7135820388793945,,0.0003,,18500,,15.166788101196289,18399,0.009346985258162022,,100.0,-40.99060318
188,0.01828242652118206,-1.7835195064544678,37,0.0003,100.0,18800,506,15.832449913024902,18699,0.009083411656320095,-49.88208087000001,,
,0.018536383286118507,-1.1884068250656128,,0.0003,,19000,,16.175914764404297,18899,0.008945699781179428,,100.0,-43.251153779999996
192,0.017031855881214142,-0.8421978950500488,37,0.0003,100.0,19200,518,16.381263732910156,19099,0.008821362629532814,-48.811754220000005,,
,0.01731995865702629,0.4181721806526184,,0.0003,,19500,,16.792999267578125,19399,0.008646795526146889,,100.0,-41.63707038
196,0.018687203526496887,-1.1164491176605225,36,0.0003,100.0,19600,530,16.72592544555664,19499,0.008596078492701054,-48.03268674000001,,
,0.022642217576503754,-0.0013921260833740234,,0.0003,,20000,,17.157550811767578,19899,0.008444524370133877,,100.0,-41.96051315999999
200,,,36,,100.0,20000,543,,,,-47.52314874000002,,
204,0.017788905650377274,-0.8069758415222168,37,0.0003,100.0,20400,548,17.983131408691406,20299,0.008369140326976776,-47.23372612,,
,0.01599748060107231,-0.7078540325164795,,0.0003,,20500,,18.006580352783203,20399,0.008337029255926609,,100.0,-42.966154620000005
208,0.027554690837860107,0.2805182635784149,37,0.0003,100.0,20800,560,18.467464447021484,20699,0.008282344788312912,-46.7724056,,
,0.021644122898578644,-1.1265742778778076,,0.0003,,21000,,18.82162857055664,20899,0.008245909586548805,,100.0,-42.01483788
212,0.020057160407304764,-1.055793285369873,37,0.0003,100.0,21200,572,18.887779235839844,21099,0.008231468498706818,-46.39258119000001,,
,0.022116541862487793,0.4225030541419983,,0.0003,,21500,,19.173072814941406,21399,0.008157357573509216,,100.0,-42.017357739999994
216,0.020069681107997894,0.44224026799201965,36,0.0003,100.0,21600,585,19.471834182739258,21499,0.008182094432413578,-45.84400654,,
,0.020538602024316788,-0.48296743631362915,,0.0003,,22000,,19.95001983642578,21899,0.008119446225464344,,100.0,-42.73393333999999
220,,,36,,100.0,22000,597,,,,-45.61626390000001,,
224,0.017201095819473267,-2.0019071102142334,37,0.0003,100.0,22400,602,20.37548065185547,22299,0.00814557634294033,-45.271134769999996,,
,0.02543863095343113,0.1569104790687561,,0.0003,,22500,,20.426532745361328,22399,0.008142197504639626,,100.0,-46.34463582
228,0.020127765834331512,-0.3928370773792267,37,0.0003,100.0,22800,614,20.67062759399414,22699,0.008120906539261341,-45.13311381,,
,0.021313410252332687,0.7838114500045776,,0.0003,,23000,,21.32107162475586,22899,0.008114488795399666,,100.0,-55.91875220000001
232,0.025778431445360184,2.2472124099731445,36,0.0003,100.0,23200,627,21.175167083740234,23099,0.008090846240520477,-45.27328660000001,,
,0.018071718513965607,-0.5964902639389038,,0.0003,,23500,,22.041717529296875,23399,0.008098725229501724,,100.0,-52.122366979999995
236,0.020603930577635765,1.7781589031219482,36,0.0003,100.0,23600,639,21.878732681274414,23499,0.008086897432804108,-45.624309740000015,,
,0.019924264401197433,0.6747552752494812,,0.0003,,24000,,22.014659881591797,23899,0.00818514171987772,,100.0,-48.27186551999999
240,,,36,,100.0,24000,652,,,,-45.88419454000001,,
244,0.018867064267396927,-0.807000994682312,37,0.0003,100.0,24400,657,22.764131546020508,24299,0.008217589929699898,-46.42085857,,
,0.0171620175242424,-1.5009410381317139,,0.0003,,24500,,22.807968139648438,24399,0.008224911987781525,,100.0,-47.302170319999995
248,0.028631141409277916,-1.1355136632919312,37,0.0003,100.0,24800,669,23.200550079345703,24699,0.008210107684135437,-46.65638792,,
,0.02148246206343174,0.3582102656364441,,0.0003,,25000,,23.064685821533203,24899,0.008194033987820148,,100.0,-47.86831376
252,0.018976610153913498,-0.8860243558883667,36,0.0003,100.0,25200,682,23.810617446899414,25099,0.008211909793317318,-46.68447625999999,,
,0.02024681866168976,1.2583794593811035,,0.0003,,25500,,23.942066192626953,25399,0.008206683211028576,,100.0,-49.17150986000001
256,0.020870905369520187,-0.487949013710022,36,0.0003,100.0,25600,694,24.317676544189453,25499,0.008172939531505108,-46.74243922000001,,
,0.020369574427604675,-1.3483153581619263,,0.0003,,26000,,24.88998794555664,25899,0.008102750405669212,,100.0,-47.892276040000006
260,,,36,,100.0,26000,707,,,,-47.00657456999999,,
264,0.019109390676021576,-1.0751110315322876,37,0.0003,100.0,26400,712,25.00628662109375,26299,0.00817166082561016,-47.09649219,,
,0.02334209531545639,1.5305066108703613,,0.0003,,26500,,25.099096298217773,26399,0.008171828463673592,,100.0,-45.598866480000005
268,0.028729405254125595,-2.016981840133667,37,0.0003,100.0,26800,724,25.40924835205078,26699,0.008195304311811924,-47.23122120000001,,
,0.026882201433181763,0.9106688499450684,,0.0003,,27000,,25.755041122436523,26899,0.008211839012801647,,100.0,-41.22348984
272,0.02408640831708908,-0.23855818808078766,36,0.0003,100.0,27200,736,26.032516479492188,27099,0.008257639594376087,-47.28334890000002,,
,0.028402311727404594,-0.7088003158569336,,0.0003,,27500,,25.998069763183594,27399,0.008297045715153217,,100.0,-43.18234837999999
276,0.020973030477762222,-0.7014458179473877,36,0.0003,100.0,27600,748,26.44670867919922,27499,0.008294849656522274,-47.39661675,,
