rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/critic_loss,train/learning_rate,time/time_elapsed,train/actor_loss,train/n_updates,time/total_timesteps,time/episodes,eval/mean_ep_length,eval/mean_reward
,,,0.027451898902654648,0.001,,5.518353462219238,8399,8500,,50.0,-8.261362519999999
-8.501110899999999,100,50.0,0.03528997674584389,0.001,85,5.657060623168945,8499,8600,172,,
-8.574386070000001,101,50.0,0.03716573119163513,0.001,86,5.747069358825684,8699,8800,176,,
,,,0.04457535594701767,0.001,,5.89328670501709,8899,9000,,50.0,-8.185906280000001
-8.55137577,100,50.0,,,89,,,9000,180,,
-8.586254700000001,101,50.0,0.02613503485918045,0.001,91,6.043459415435791,9099,9200,184,,
-8.60565084,101,50.0,0.036721233278512955,0.001,92,6.156551361083984,9299,9400,188,,
,,,0.02889144793152809,0.001,,6.1448445320129395,9399,9500,,50.0,-8.20509548
-8.56251119,100,50.0,0.031918253749608994,0.001,95,6.336668014526367,9499,9600,192,,
-8.6166818,101,50.0,0.02929266169667244,0.001,96,6.377079010009766,9699,9800,196,,
,,,0.029098965227603912,0.001,,6.526643753051758,9899,10000,,50.0,-7.78008678
-8.645087089999999,99,50.0,,,100,,,10000,200,,
-8.611219779999999,100,50.0,0.038608044385910034,0.001,101,6.511884689331055,10099,10200,204,,
-8.499334480000002,101,50.0,0.029518062248826027,0.001,102,6.604373455047607,10299,10400,208,,
,,,0.030071306973695755,0.001,,6.640246391296387,10399,10500,,50.0,-8.990447900000001
-8.43416579,100,50.0,0.02684568241238594,0.001,105,6.797605514526367,10499,10600,212,,
-8.328700690000002,100,50.0,0.03142504766583443,0.001,107,6.775461196899414,10699,10800,216,,
,,,0.034413330256938934,0.001,,6.878261566162109,10899,11000,,50.0,-9.44758532
-8.27998085,99,50.0,,,110,,,11000,220,,
-8.39612589,100,50.0,0.03901365026831627,0.001,111,6.963642120361328,11099,11200,224,,
-8.54189775,101,50.0,0.036908671259880066,0.001,112,7.1208038330078125,11299,11400,228,,
,,,0.02842966839671135,0.001,,7.166818141937256,11399,11500,,50.0,-10.425314540000002
-8.56931638,100,50.0,0.03487463295459747,0.001,115,7.272661209106445,11499,11600,232,,
