time/episodes,train/critic_loss,train/ent_coef_loss,time/fps,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/actor_loss,train/n_updates,train/ent_coef,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
44,0.04868413880467415,-14.461862564086914,39,0.0003,100.0,4400,111,-19.195999145507812,4299,0.277260422706604,-140.35726331818182,,
,0.04763755947351456,-14.638313293457031,,0.0003,,4500,,-18.932693481445312,4399,0.26923269033432007,,100.0,-47.836957440000006
48,0.03969472274184227,-15.252138137817383,38,0.0003,100.0,4800,123,-18.094959259033203,4699,0.2465766817331314,-138.20934972916666,,
,0.0406884029507637,-16.067935943603516,,0.0003,,5000,,-17.64923095703125,4899,0.23259368538856506,,100.0,-47.74447562
52,0.04067005589604378,-16.594940185546875,38,0.0003,100.0,5200,136,-17.1562557220459,5099,0.21944686770439148,-135.4052659423077,,
,0.04194013029336929,-17.270980834960938,,0.0003,,5500,,-16.373703002929688,5399,0.20118555426597595,,100.0,-45.51179554
56,0.032639648765325546,-17.14734649658203,37,0.0003,100.0,5600,148,-15.914098739624023,5499,0.19546081125736237,-133.0948555357143,,
,0.02987644635140896,-18.110641479492188,,0.0003,,6000,,-14.514505386352539,5899,0.17424555122852325,,100.0,-47.15516518
60,,,37,,100.0,6000,161,,,,-130.68395089999999,,
64,0.027099084109067917,-18.909236907958984,38,0.0003,100.0,6400,166,-13.43351936340332,6299,0.1554509997367859,-128.291838875,,
,0.02377460151910782,-18.70565414428711,,0.0003,,6500,,-13.089080810546875,6399,0.1511009931564331,,100.0,-46.08166438
68,0.023574450984597206,-19.414600372314453,38,0.0003,100.0,6800,178,-12.119665145874023,6699,0.13881169259548187,-126.23462177941174,,
,0.017545554786920547,-19.525897979736328,,0.0003,,7000,,-11.476245880126953,6899,0.13120567798614502,,100.0,-44.935902559999995
72,0.021429002285003662,-20.008617401123047,37,0.0003,100.0,7200,191,-10.618856430053711,7099,0.12404341250658035,-123.86706197222222,,
,0.018345333635807037,-20.54525375366211,,0.0003,,7500,,-9.841845512390137,7399,0.11406803876161575,,100.0,-44.66201828000001
76,0.022070854902267456,-20.741621017456055,37,0.0003,100.0,7600,204,-9.25384521484375,7499,0.11093806475400925,-121.70029381578945,,
,0.01797224022448063,-20.798871994018555,,0.0003,,8000,,-8.073823928833008,7899,0.0992896556854248,,100.0,-46.8753713
80,,,36,,100.0,8000,216,,,,-119.75683777499998,,
84,0.016383856534957886,-20.873125076293945,37,0.0003,100.0,8400,221,-6.647805213928223,8299,0.08892790973186493,-117.57816523809522,,
,0.016589932143688202,-20.89130401611328,,0.0003,,8500,,-6.468011379241943,8399,0.0865170806646347,,100.0,-42.888904919999995
88,0.016449760645627975,-21.14919090270996,37,0.0003,100.0,8800,234,-5.251053810119629,8699,0.0797099620103836,-115.08705197727274,,
,0.015480583533644676,-20.434642791748047,,0.0003,,9000,,-4.88542366027832,8899,0.07550074905157089,,100.0,-44.70126090000001
92,0.01515882182866335,-20.914506912231445,37,0.0003,100.0,9200,246,-4.062269687652588,9099,0.07153303176164627,-112.9821838804348,,
,0.016127189621329308,-21.039840698242188,,0.0003,,9500,,-2.977509021759033,9399,0.0659826472401619,,100.0,-43.4628923
96,0.014506769366562366,-20.333465576171875,37,0.0003,100.0,9600,259,-2.764051675796509,9499,0.06423883885145187,-110.89425390625001,,
,0.01829482987523079,-19.92516326904297,,0.0003,,10000,,-1.5302916765213013,9899,0.057742487639188766,,100.0,-42.55037598
100,,,36,,100.0,10000,271,,,,-108.85425602000004,,
104,0.01821305975317955,-19.17044448852539,37,0.0003,100.0,10400,276,-0.5012849569320679,10299,0.05194501206278801,-104.89677205000002,,
,0.015648599714040756,-20.28885841369629,,0.0003,,10500,,-0.09549351036548615,10399,0.050604283809661865,,100.0,-43.19234022
108,0.018933996558189392,-19.43807601928711,37,0.0003,100.0,10800,289,0.6830398440361023,10699,0.04678896814584732,-101.09337209000002,,
,0.016844380646944046,-18.738304138183594,,0.0003,,11000,,1.0553417205810547,10899,0.0444302037358284,,100.0,-41.92388037999999
112,0.016117457300424576,-18.763715744018555,37,0.0003,100.0,11200,301,1.8667303323745728,11099,0.0421944335103035,-97.30239779,,
,0.017022322863340378,-17.676300048828125,,0.0003,,11500,,2.648131847381592,11399,0.03906681016087532,,100.0,-41.04168979999999
116,0.017137564718723297,-18.712398529052734,36,0.0003,100.0,11600,314,2.998760461807251,11499,0.03808358311653137,-93.72196797000001,,
,0.019593382254242897,-19.303152084350586,,0.0003,,12000,,3.757843494415283,11899,0.034389033913612366,,100.0,-40.78939356
120,,,36,,100.0,12000,326,,,,-90.33407289,,
124,0.017286300659179688,-16.864919662475586,37,0.0003,100.0,12400,331,4.697046279907227,12299,0.03108181059360504,-86.55766995,,
,0.014347217977046967,-16.893611907958984,,0.0003,,12500,,5.10215950012207,12399,0.030314603820443153,,100.0,-39.72601036000001
128,0.01665607839822769,-16.400123596191406,37,0.0003,100.0,12800,344,5.666303634643555,12699,0.028139950707554817,-83.01527827,,
,0.020026056095957756,-16.1640682220459,,0.0003,,13000,,6.279677867889404,12899,0.026793811470270157,,100.0,-40.28323158
132,0.017497839406132698,-15.204760551452637,37,0.0003,100.0,13200,356,6.84218692779541,13099,0.025516927242279053,-79.51742496000001,,
,0.01707296073436737,-15.573735237121582,,0.0003,,13500,,7.1230950355529785,13399,0.02374069020152092,,100.0,-41.37280502000001
136,0.016207389533519745,-14.895707130432129,36,0.0003,100.0,13600,369,7.553126335144043,13499,0.02317822352051735,-76.71606499,,
,0.015460284426808357,-12.184478759765625,,0.0003,,14000,,8.177793502807617,13899,0.021093714982271194,,100.0,-40.856165919999995
140,,,36,,100.0,14000,381,,,,-73.38107186,,
144,0.021408310160040855,-12.808455467224121,37,0.0003,100.0,14400,386,9.088619232177734,14299,0.019235970452427864,-70.28352501,,
,0.014601947739720345,-11.275259017944336,,0.0003,,14500,,9.36099624633789,14399,0.018804989755153656,,100.0,-41.10698902
148,0.01507312711328268,-11.13150691986084,37,0.0003,100.0,14800,398,9.886730194091797,14699,0.017581982538104057,-67.5440514,,
,0.01348459254950285,-9.969820976257324,,0.0003,,15000,,10.172142028808594,14899,0.016828153282403946,,100.0,-41.86070762
152,0.016941603273153305,-9.687294960021973,36,0.0003,100.0,15200,411,10.592286109924316,15099,0.016114527359604836,-65.40649631999999,,
,0.0159149132668972,-9.405961990356445,,0.0003,,15500,,11.252100944519043,15399,0.015113076195120811,,100.0,-41.11798162
156,0.015075569041073322,-8.36524772644043,36,0.0003,100.0,15600,424,11.427154541015625,15499,0.01479366421699524,-63.30210382,,
,0.017321258783340454,-8.105600357055664,,0.0003,,16000,,12.235980987548828,15899,0.013629225082695484,,100.0,-40.86591412
160,,,36,,100.0,16000,436,,,,-61.229067840000006,,
164,0.015319131314754486,-7.8440728187561035,37,0.0003,100.0,16400,441,12.858539581298828,16299,0.01260438933968544,-59.35064923000001,,
,0.01601504534482956,-6.913787841796875,,0.0003,,16500,,13.183761596679688,16399,0.012364519760012627,,100.0,-40.510662939999996
168,0.018374448642134666,-4.916929244995117,36,0.0003,100.0,16800,454,13.49508285522461,16699,0.011698322370648384,-57.311908300000006,,
,0.016815003007650375,-4.6361236572265625,,0.0003,,17000,,13.77407169342041,16899,0.011296175420284271,,100.0,-42.89536488000001
172,0.0187611635774374,-3.543729782104492,36,0.0003,100.0,17200,467,14.183589935302734,17099,0.010922441259026527,-55.88432002,,
,0.0168658085167408,-3.0725905895233154,,0.0003,,17500,,14.673662185668945,17399,0.01041056402027607,,100.0,-39.32959354
176,0.023814186453819275,-2.7046475410461426,36,0.0003,100.0,17600,479,14.393402099609375,17499,0.010258564725518227,-54.198977000000006,,
,0.018499363213777542,-2.521254062652588,,0.0003,,18000,,15.282703399658203,17899,0.00970656331628561,,100.0,-41.07023536
180,,,36,,100.0,18000,492,,,,-52.613869329999986,,
184,0.016419297084212303,-1.7349244356155396,36,0.0003,100.0,18400,497,15.942802429199219,18299,0.009266520850360394,-51.37850954,,
,0.017296645790338516,-3.249178409576416,,0.0003,,18500,,16.118972778320312,18399,0.00917943473905325,,100.0,-41.21710544
188,0.019087109714746475,-1.6086883544921875,36,0.0003,100.0,18800,509,16.457265853881836,18699,0.00893725361675024,-50.604427730000005,,
,0.01578666642308235,-0.12715139985084534,,0.0003,,19000,,17.231571197509766,18899,0.008814736269414425,,100.0,-41.82921854
192,0.01414710283279419,-0.5804076194763184,36,0.0003,100.0,19200,522,17.247072219848633,19099,0.008712814189493656,-49.28536826,,
,0.014803022146224976,-1.280611276626587,,0.0003,,19500,,17.5283203125,19399,0.008597787469625473,,100.0,-39.932989340000006
196,0.01606343686580658,0.39620858430862427,36,0.0003,100.0,19600,534,17.427906036376953,19499,0.008561641909182072,-48.398663889999995,,
,0.016667984426021576,-1.7835088968276978,,0.0003,,20000,,18.065170288085938,19899,0.008482285775244236,,100.0,-40.002247239999996
200,,,36,,100.0,20000,547,,,,-47.669922150000005,,
204,0.016238462179899216,1.6843409538269043,36,0.0003,100.0,20400,552,18.326509475708008,20299,0.008424313738942146,-47.21397136,,
,0.017333121970295906,0.5517925024032593,,0.0003,,20500,,18.736400604248047,20399,0.008434430696070194,,100.0,-39.77372295999999
208,0.014212915673851967,0.4488300681114197,36,0.0003,100.0,20800,565,18.811294555664062,20699,0.00843038596212864,-46.5670322,,
,0.015747955068945885,0.004370152950286865,,0.0003,,21000,,19.5268611907959,20899,0.008381364867091179,,100.0,-43.09205951999999
212,0.01658632792532444,-1.936640977859497,36,0.0003,100.0,21200,577,19.334190368652344,21099,0.008377409540116787,-45.91526181000001,,
,0.013272501528263092,1.2813891172409058,,0.0003,,21500,,20.05033302307129,21399,0.008358444087207317,,100.0,-41.549753439999996
216,0.013081520795822144,-0.857720136642456,36,0.0003,100.0,21600,590,20.130619049072266,21499,0.00837439764291048,-45.33422674000001,,
,0.015315842814743519,-1.2457053661346436,,0.0003,,22000,,20.506752014160156,21899,0.008431805297732353,,100.0,-41.803093520000004
220,,,36,,100.0,22000,603,,,,-44.877366840000015,,
