time/fps,train/actor_loss,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/episodes,time/total_timesteps,train/critic_loss,train/learning_rate,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
,10.678579330444336,,5899,,,6000,0.020529894158244133,0.001,,-61.21778267999999,100.0
50,,-65.67974966666667,,100.0,60,6000,,,117,,
53,11.242080688476562,-65.14937696874999,6299,100.0,64,6400,0.03223542496562004,0.001,120,,
,11.36368465423584,,6399,,,6500,0.018353719264268875,0.001,,-64.45063618,100.0
53,11.891538619995117,-64.94484760294117,6699,100.0,68,6800,0.02176121063530445,0.001,127,,
,12.193695068359375,,6899,,,7000,0.017620185390114784,0.001,,-59.37898018,100.0
53,12.363393783569336,-64.70962620833333,7099,100.0,72,7200,0.024589084088802338,0.001,134,,
,12.923460006713867,,7399,,,7500,0.02731461077928543,0.001,,-60.130346259999996,100.0
53,13.100397109985352,-64.30315640789475,7499,100.0,76,7600,0.029470456764101982,0.001,141,,
,13.502845764160156,,7899,,,8000,0.025361496955156326,0.001,,-60.003969319999996,100.0
53,,-64.213117125,,100.0,80,8000,,,149,,
55,14.242033004760742,-64.13547634523809,8299,100.0,84,8400,0.02451813966035843,0.001,152,,
,14.289859771728516,,8399,,,8500,0.030636701732873917,0.001,,-60.63720418,100.0
55,14.847816467285156,-63.787445738636364,8699,100.0,88,8800,0.023984722793102264,0.001,159,,
,14.988960266113281,,8899,,,9000,0.02687462978065014,0.001,,-63.18953676000001,100.0
55,15.446683883666992,-63.4889257173913,9099,100.0,92,9200,0.03322426229715347,0.001,166,,
,15.77836799621582,,9399,,,9500,0.0265352725982666,0.001,,-59.878244480000006,100.0
55,15.913190841674805,-63.186347958333336,9499,100.0,96,9600,0.028698129579424858,0.001,173,,
,16.583066940307617,,9899,,,10000,0.024134399369359016,0.001,,-57.6063725,100.0
55,,-62.95709581000001,,100.0,100,10000,,,181,,
56,16.927974700927734,-60.43858201,10299,100.0,104,10400,0.03820427879691124,0.001,183,,
,16.960176467895508,,10399,,,10500,0.028568323701620102,0.001,,-59.55530004,100.0
56,17.69635772705078,-59.73365703999999,10699,100.0,108,10800,0.025832798331975937,0.001,190,,
,17.786062240600586,,10899,,,11000,0.022987376898527145,0.001,,-55.66346104,100.0
56,18.020551681518555,-59.66759375000001,11099,100.0,112,11200,0.039245299994945526,0.001,198,,
,18.42657470703125,,11399,,,11500,0.03221398591995239,0.001,,-53.673953000000004,100.0
56,18.582927703857422,-59.70951308000001,11499,100.0,116,11600,0.027820192277431488,0.001,205,,
,19.103008270263672,,11899,,,12000,0.027097396552562714,0.001,,-57.745214960000006,100.0
56,,-59.580734070000005,,100.0,120,12000,,,213,,
57,19.669071197509766,-59.34200338000001,12299,100.0,124,12400,0.02662825584411621,0.001,215,,
,19.726089477539062,,12399,,,12500,0.05209467560052872,0.001,,-56.83317979999999,100.0
57,20.26795196533203,-59.16245922000001,12699,100.0,128,12800,0.029884260147809982,0.001,223,,
,20.588520050048828,,12899,,,13000,0.03901442885398865,0.001,,-58.940784859999994,100.0
57,20.684846878051758,-58.87050030999999,13099,100.0,132,13200,0.03327546641230583,0.001,230,,
,21.111732482910156,,13399,,,13500,0.049465592950582504,0.001,,-53.467197899999995,100.0
57,21.441911697387695,-58.64406629,13499,100.0,136,13600,0.036107733845710754,0.001,237,,
,21.80689811706543,,13899,,,14000,0.04617421329021454,0.001,,-51.74335766,100.0
57,,-58.192921619999986,,100.0,140,14000,,,244,,
58,22.19549560546875,-57.91486051999999,14299,100.0,144,14400,0.0395272821187973,0.001,247,,
,22.276273727416992,,14399,,,14500,0.0517963171005249,0.001,,-50.38588188000001,100.0
57,22.671981811523438,-57.53180153000001,14699,100.0,148,14800,0.04038839787244797,0.001,255,,
,22.81284523010254,,14899,,,15000,0.04049732908606529,0.001,,-50.37382592,100.0
57,23.15221405029297,-57.175381390000005,15099,100.0,152,15200,0.03790360689163208,0.001,262,,
,23.464282989501953,,15399,,,15500,0.03237267956137657,0.001,,-51.73148311999999,100.0
57,23.359926223754883,-56.85977817,15499,100.0,156,15600,0.037793464958667755,0.001,269,,
,23.837905883789062,,15899,,,16000,0.029455676674842834,0.001,,-53.97744682,100.0
57,,-57.01727613999999,,100.0,160,16000,,,277,,
58,24.115646362304688,-56.66098028,16299,100.0,164,16400,0.04139510169625282,0.001,279,,
,24.170461654663086,,16399,,,16500,0.041134972125291824,0.001,,-50.67153966,100.0
58,24.60851287841797,-56.14103058,16699,100.0,168,16800,0.03772920370101929,0.001,286,,
,24.69049644470215,,16899,,,17000,0.03704949468374252,0.001,,-51.43132849999999,100.0
58,24.883752822875977,-55.97806943,17099,100.0,172,17200,0.03763444721698761,0.001,294,,
,25.333969116210938,,17399,,,17500,0.05097980424761772,0.001,,-49.72204998,100.0
58,25.202180862426758,-55.58387920999999,17499,100.0,176,17600,0.041790783405303955,0.001,301,,
,25.783111572265625,,17899,,,18000,0.053022898733615875,0.001,,-51.493499,100.0
58,,-55.298116929999985,,100.0,180,18000,,,309,,
58,26.12277603149414,-54.808869810000004,18299,100.0,184,18400,0.06645147502422333,0.001,311,,
,26.387229919433594,,18399,,,18500,0.05317142605781555,0.001,,-51.46049693999999,100.0
58,26.527854919433594,-54.696831949999996,18699,100.0,188,18800,0.043565236032009125,0.001,319,,
,26.603883743286133,,18899,,,19000,0.05492881312966347,0.001,,-48.94712856,100.0
58,26.8505859375,-54.51342328,19099,100.0,192,19200,0.06067640706896782,0.001,326,,
,27.267852783203125,,19399,,,19500,0.053491611033678055,0.001,,-52.58659254,100.0
58,27.24307632446289,-54.24430307000001,19499,100.0,196,19600,0.09199528396129608,0.001,333,,
,27.425201416015625,,19899,,,20000,0.048378024250268936,0.001,,-49.98787478,100.0
58,,-53.76613471,,100.0,200,20000,,,340,,
59,28.01557159423828,-53.395011030000006,20299,100.0,204,20400,0.0568404495716095,0.001,343,,
,27.834897994995117,,20399,,,20500,0.05127771571278572,0.001,,-55.13993976,100.0
59,28.161447525024414,-53.26971329,20699,100.0,208,20800,0.05796780437231064,0.001,350,,
,27.942333221435547,,20899,,,21000,0.05755561217665672,0.001,,-55.42715384,100.0
59,28.55713653564453,-52.87998738,21099,100.0,212,21200,0.04992581158876419,0.001,358,,
,28.234039306640625,,21399,,,21500,0.05647742748260498,0.001,,-59.973039639999996,100.0
59,28.55245018005371,-52.754609460000005,21499,100.0,216,21600,0.04516438767313957,0.001,365,,
,28.726938247680664,,21899,,,22000,0.05194621533155441,0.001,,-52.48815842,100.0
59,,-52.70784165,,100.0,220,22000,,,372,,
59,29.28354263305664,-52.666835420000005,22299,100.0,224,22400,0.07613711059093475,0.001,375,,
,29.256484985351562,,22399,,,22500,0.053578972816467285,0.001,,-50.07191366,100.0
59,29.548892974853516,-52.56878239999999,22699,100.0,228,22800,0.04907096177339554,0.001,382,,
,29.70734405517578,,22899,,,23000,0.06118080019950867,0.001,,-55.03489025999999,100.0
59,29.733579635620117,-52.70303929000001,23099,100.0,232,23200,0.0614318810403347,0.001,389,,
,29.978404998779297,,23399,,,23500,0.0691291019320488,0.001,,-55.0228923,100.0
59,30.14523696899414,-52.38530674999999,23499,100.0,236,23600,0.053033217787742615,0.001,396,,
,30.51955223083496,,23899,,,24000,0.06679728627204895,0.001,,-56.51503886,100.0
59,,-52.6081987,,100.0,240,24000,,,404,,
59,30.828245162963867,-52.90040750000001,24299,100.0,244,24400,0.05086655914783478,0.001,407,,
,30.82373046875,,24399,,,24500,0.054270386695861816,0.001,,-51.9937471,100.0
59,31.01611328125,-52.84116675999999,24699,100.0,248,24800,0.055944330990314484,0.001,414,,
,31.044919967651367,,24899,,,25000,0.07738844305276871,0.001,,-56.529922379999995,100.0
59,31.092998504638672,-52.917231380000004,25099,100.0,252,25200,0.054393090307712555,0.001,421,,
,31.404752731323242,,25399,,,25500,0.11716124415397644,0.001,,-53.05243754,100.0
59,31.649446487426758,-52.742380950000005,25499,100.0,256,25600,0.09618926048278809,0.001,428,,
,31.500022888183594,,25899,,,26000,0.0730120837688446,0.001,,-54.14088232000001,100.0
59,,-52.587456689999996,,100.0,260,26000,,,435,,
60,31.784587860107422,-52.96544182999999,26299,100.0,264,26400,0.09636473655700684,0.001,438,,
,31.6444091796875,,26399,,,26500,0.08837200701236725,0.001,,-43.49410234,100.0
60,32.15925979614258,-52.96579382999998,26699,100.0,268,26800,0.10020294785499573,0.001,445,,
,32.31856155395508,,26899,,,27000,0.08620008826255798,0.001,,-52.60975904,100.0
59,32.508506774902344,-52.38963415999999,27099,100.0,272,27200,0.11076083779335022,0.001,453,,
,32.59397888183594,,27399,,,27500,0.11845311522483826,0.001,,-43.9187045,100.0
59,32.7174072265625,-52.258128680000006,27499,100.0,276,27600,0.10167788714170456,0.001,460,,
,33.08736801147461,,27899,,,28000,0.08837425708770752,0.001,,-42.03046708,100.0
59,,-51.975553500000004,,100.0,280,28000,,,467,,
60,32.9311408996582,-51.713843179999984,28299,100.0,284,28400,0.09237820655107498,0.001,470,,
,33.28086471557617,,28399,,,28500,0.11524011939764023,0.001,,-45.398558200000004,100.0
60,33.382164001464844,-51.26922043000001,28699,100.0,288,28800,0.12246610224246979,0.001,477,,
,33.75263595581055,,28899,,,29000,0.15259355306625366,0.001,,-46.981570439999985,100.0
60,33.65126037597656,-50.88801656999999,29099,100.0,292,29200,0.13295742869377136,0.001,484,,
,33.69961929321289,,29399,,,29500,0.10188530385494232,0.001,,-49.567653639999996,100.0
60,34.076480865478516,-50.77955975,29499,100.0,296,29600,0.12237467616796494,0.001,491,,
,34.18209457397461,,29899,,,30000,0.12769116461277008,0.001,,-49.27910305999999,100.0
60,,-50.84863584,,100.0,300,30000,,,499,,
60,34.38772964477539,-50.651086219999996,30299,100.0,304,30400,0.15016667544841766,0.001,502,,
,34.66175079345703,,30399,,,30500,0.12578123807907104,0.001,,-46.977991839999994,100.0
60,34.44152069091797,-50.47861258999999,30699,100.0,308,30800,0.17157605290412903,0.001,509,,
,34.56932830810547,,30899,,,31000,0.11869116872549057,0.001,,-50.50495674,100.0
60,34.684349060058594,-50.5653825,31099,100.0,312,31200,0.1400580257177353,0.001,516,,
,35.21269226074219,,31399,,,31500,0.10542836785316467,0.001,,-48.46040668,100.0
60,34.92195510864258,-50.15412979,31499,100.0,316,31600,0.1258011907339096,0.001,523,,
,35.27269744873047,,31899,,,32000,0.14736062288284302,0.001,,-51.355526360000006,100.0
60,,-49.953311479999996,,100.0,320,32000,,,531,,
60,35.31330871582031,-49.512562120000005,32299,100.0,324,32400,0.1337428092956543,0.001,533,,
,35.4042854309082,,32399,,,32500,0.12120604515075684,0.001,,-45.37874664000001,100.0
60,35.626041412353516,-49.05893842,32699,100.0,328,32800,0.12197025120258331,0.001,540,,
,35.776580810546875,,32899,,,33000,0.1170356497168541,0.001,,-45.27235984,100.0
60,35.925445556640625,-48.62150627999999,33099,100.0,332,33200,0.11604242026805878,0.001,548,,
,35.81186294555664,,33399,,,33500,0.12814073264598846,0.001,,-43.25043502,100.0
60,36.25291442871094,-48.31788028000001,33499,100.0,336,33600,0.13770169019699097,0.001,555,,
,36.2918701171875,,33899,,,34000,0.10990976542234421,0.001,,-43.21365573999999,100.0
60,,-47.932784560000016,,100.0,340,34000,,,562,,
60,36.40467071533203,-47.38441504,34299,100.0,344,34400,0.1211063414812088,0.001,565,,
,36.43266677856445,,34399,,,34500,0.12892815470695496,0.001,,-43.055514880000004,100.0
60,36.83784866333008,-47.08065992000001,34699,100.0,348,34800,0.11697085201740265,0.001,572,,
,36.81462860107422,,34899,,,35000,0.12133439630270004,0.001,,-44.93373144,100.0
60,37.18109130859375,-46.488399369999996,35099,100.0,352,35200,0.12712320685386658,0.001,580,,
,36.92878341674805,,35399,,,35500,0.12720094621181488,0.001,,-46.69965652,100.0
60,37.21714782714844,-46.57498472999999,35499,100.0,356,35600,0.11427604407072067,0.001,587,,
,37.6385498046875,,35899,,,36000,0.19170135259628296,0.001,,-49.82955690000001,100.0
60,,-46.08789081,,100.0,360,36000,,,594,,
60,38.010841369628906,-45.327935399999994,36299,100.0,364,36400,0.14258548617362976,0.001,597,,
,37.69469451904297,,36399,,,36500,0.15025252103805542,0.001,,-41.48601076,100.0
60,37.98150634765625,-45.109778479999996,36699,100.0,368,36800,0.14131055772304535,0.001,605,,
,38.36751937866211,,36899,,,37000,0.1345660388469696,0.001,,-41.495647319999996,100.0
60,38.104713439941406,-45.135937600000005,37099,100.0,372,37200,0.1116856187582016,0.001,612,,
,38.5533332824707,,37399,,,37500,0.14469394087791443,0.001,,-43.526513859999994,100.0
60,38.492431640625,-45.15267496000001,37499,100.0,376,37600,0.11676681786775589,0.001,619,,
,38.55864715576172,,37899,,,38000,0.11993692070245743,0.001,,-43.108299339999995,100.0
60,,-44.795581620000014,,100.0,380,38000,,,626,,
61,39.079010009765625,-44.683454469999994,38299,100.0,384,38400,0.14595815539360046,0.001,629,,
,38.837196350097656,,38399,,,38500,0.10352467000484467,0.001,,-43.01987564,100.0
60,39.35669708251953,-44.56531674000001,38699,100.0,388,38800,0.09952975809574127,0.001,636,,
,39.48567199707031,,38899,,,39000,0.10367965698242188,0.001,,-43.087991239999994,100.0
60,39.801734924316406,-44.523326229999995,39099,100.0,392,39200,0.12707270681858063,0.001,643,,
,39.37345886230469,,39399,,,39500,0.13417434692382812,0.001,,-43.25447228,100.0
60,39.88115692138672,-44.290195029999985,39499,100.0,396,39600,0.10930381715297699,0.001,651,,
,39.86389923095703,,39899,,,40000,0.11542106419801712,0.001,,-45.235509920000005,100.0
60,,-44.107772319999995,,100.0,400,40000,,,658,,
61,39.94696044921875,-43.89183828000001,40299,100.0,404,40400,0.08474133908748627,0.001,660,,
,40.36125183105469,,40399,,,40500,0.10782121121883392,0.001,,-47.099666,100.0
61,40.67821502685547,-43.60413971999999,40699,100.0,408,40800,0.117547407746315,0.001,667,,
,40.698394775390625,,40899,,,41000,0.13868364691734314,0.001,,-43.95230034000001,100.0
61,40.930206298828125,-43.00297375,41099,100.0,412,41200,0.14797265827655792,0.001,674,,
,40.89616394042969,,41399,,,41500,0.15666240453720093,0.001,,-42.08279478,100.0
61,40.79057693481445,-42.72670808,41499,100.0,416,41600,0.13628648221492767,0.001,681,,
,41.00799560546875,,41899,,,42000,0.13576024770736694,0.001,,-39.95004478,100.0
60,,-42.36489192000001,,100.0,420,42000,,,689,,
61,41.343833923339844,-42.23948765,42299,100.0,424,42400,0.11433348059654236,0.001,691,,
,41.26129913330078,,42399,,,42500,0.11508280038833618,0.001,,-41.41803588,100.0
61,41.393836975097656,-41.95497385000001,42699,100.0,428,42800,0.10494321584701538,0.001,699,,
,41.676692962646484,,42899,,,43000,0.1463589072227478,0.001,,-41.25530680000001,100.0
61,41.867156982421875,-41.83609503,43099,100.0,432,43200,0.10678063333034515,0.001,706,,
,41.87395477294922,,43399,,,43500,0.11065247654914856,0.001,,-40.12034142,100.0
61,41.94951629638672,-41.76776414,43499,100.0,436,43600,0.10202760994434357,0.001,713,,
,42.16190719604492,,43899,,,44000,0.136567622423172,0.001,,-40.67753332,100.0
61,,-41.45379636,,100.0,440,44000,,,721,,
61,42.64451599121094,-41.32684249,44299,100.0,444,44400,0.14702096581459045,0.001,723,,
,42.2644157409668,,44399,,,44500,0.13662225008010864,0.001,,-47.0980182,100.0
61,42.6125373840332,-41.40875249,44699,100.0,448,44800,0.12957772612571716,0.001,730,,
,42.727264404296875,,44899,,,45000,0.1424390822649002,0.001,,-39.96136988,100.0
61,42.543617248535156,-41.44947665000001,45099,100.0,452,45200,0.1844446063041687,0.001,737,,
,43.05145263671875,,45399,,,45500,0.15769168734550476,0.001,,-42.18755529999999,100.0
61,43.420257568359375,-40.70927856,45499,100.0,456,45600,0.18308299779891968,0.001,745,,
,42.853790283203125,,45899,,,46000,0.1641743779182434,0.001,,-40.41681266,100.0
61,,-40.694595570000004,,100.0,460,46000,,,753,,
61,43.21662139892578,-41.00856551,46299,100.0,464,46400,0.12928901612758636,0.001,755,,
,43.30409622192383,,46399,,,46500,0.12911872565746307,0.001,,-42.281471120000006,100.0
61,43.930721282958984,-41.048800500000006,46699,100.0,468,46800,0.17620766162872314,0.001,762,,
,44.074005126953125,,46899,,,47000,0.18852996826171875,0.001,,-42.40511182,100.0
61,44.074920654296875,-41.14059376,47099,100.0,472,47200,0.18258458375930786,0.001,770,,
,43.935951232910156,,47399,,,47500,0.25479382276535034,0.001,,-43.87835442000001,100.0
61,44.347999572753906,-41.04820274000001,47499,100.0,476,47600,0.16362030804157257,0.001,777,,
,44.09381103515625,,47899,,,48000,0.21397481858730316,0.001,,-42.78901562000001,100.0
61,,-41.08802396,,100.0,480,48000,,,784,,
