train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss,rollout/ep_len_mean,train/actor_loss,time/fps,train/ent_coef_loss,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,eval/mean_ep_length,eval/mean_reward
0.9144091010093689,0.0003,299,0.2612174451351166,100.0,-10.248212814331055,122,-1.0532841682434082,4,-151.46677449999999,3,400,,
0.887391984462738,0.0003,399,0.2198573350906372,,-10.900752067565918,,-1.402362585067749,,,,500,100.0,-48.23731724000001
0.8110917210578918,0.0003,699,0.15642207860946655,100.0,-13.209362030029297,51,-2.4576473236083984,8,-150.66220562499998,15,800,,
0.7639230489730835,0.0003,899,0.1289743185043335,,-14.709760665893555,,-3.1554412841796875,,,,1000,100.0,-57.37780914
0.7194940447807312,0.0003,1099,0.12023060768842697,100.0,-16.035871505737305,42,-3.8605942726135254,12,-151.24410874999998,28,1200,,
0.6576101779937744,0.0003,1399,0.11954505741596222,,-17.64520263671875,,-4.897624492645264,,,,1500,100.0,-53.43883292
0.6381826400756836,0.0003,1499,0.1322993040084839,100.0,-18.06127166748047,39,-5.26129674911499,16,-151.30024225,40,1600,,
0.5660690665245056,0.0003,1899,0.08806918561458588,,-19.655839920043945,,-6.667618274688721,,,,2000,100.0,-47.760186600000004
,,,,100.0,,37,,20,-149.42340635,53,2000,,
0.5021551251411438,0.0003,2299,0.09639769792556763,100.0,-20.416257858276367,41,-8.107386589050293,24,-147.90410820833333,57,2400,,
0.487358957529068,0.0003,2399,0.08736449480056763,,-20.63338851928711,,-8.393692970275879,,,,2500,100.0,-45.37295405999999
0.4455709755420685,0.0003,2699,0.09267184138298035,100.0,-21.081220626831055,39,-9.37828254699707,28,-146.86771835714285,70,2800,,
0.41976499557495117,0.0003,2899,0.08174033463001251,,-21.012147903442383,,-10.049324035644531,,,,3000,100.0,-45.20856074
0.39549046754837036,0.0003,3099,0.07932280004024506,100.0,-21.158924102783203,38,-10.708948135375977,32,-145.24915865625002,82,3200,,
0.3617461025714874,0.0003,3399,0.07467992603778839,,-21.24432373046875,,-11.73265266418457,,,,3500,100.0,-46.046797960000006
0.3511704206466675,0.0003,3499,0.07427273690700531,100.0,-20.848413467407227,37,-12.07272720336914,36,-142.49013097222223,95,3600,,
0.3119499981403351,0.0003,3899,0.062057435512542725,,-20.756444931030273,,-13.330528259277344,,,,4000,100.0,-46.55014793999999
,,,,100.0,,37,,40,-140.285967875,107,4000,,
0.2772553265094757,0.0003,4299,0.05447358638048172,100.0,-19.859764099121094,39,-14.365373611450195,44,-137.57777,112,4400,,
0.26922890543937683,0.0003,4399,0.046377524733543396,,-19.581443786621094,,-14.783894538879395,,,,4500,100.0,-51.548119079999985
0.24656642973423004,0.0003,4699,0.048930153250694275,100.0,-19.287099838256836,38,-15.228429794311523,48,-135.35036233333332,124,4800,,
0.2325732409954071,0.0003,4899,0.04550499469041824,,-18.532426834106445,,-16.017820358276367,,,,5000,100.0,-49.59779716
0.21941424906253815,0.0003,5099,0.04933775216341019,100.0,-18.045547485351562,37,-16.572254180908203,52,-132.82409119230766,137,5200,,
0.20113277435302734,0.0003,5399,0.03748471289873123,,-17.270160675048828,,-17.19344139099121,,,,5500,100.0,-47.016680400000006
0.19540412724018097,0.0003,5499,0.031301625072956085,100.0,-17.042213439941406,37,-17.398698806762695,56,-130.6976025,150,5600,,
0.17415684461593628,0.0003,5899,0.039004839956760406,,-15.83853816986084,,-18.1419620513916,,,,6000,100.0,-47.754984699999994
,,,,100.0,,36,,60,-128.30324355,162,6000,,
0.15537182986736298,0.0003,6299,0.02311180904507637,100.0,-14.702163696289062,38,-18.767253875732422,64,-125.982079890625,167,6400,,
0.15102365612983704,0.0003,6399,0.025177186354994774,,-14.308244705200195,,-18.929119110107422,,,,6500,100.0,-46.60822139999999
0.13874775171279907,0.0003,6699,0.023406680673360825,100.0,-13.217925071716309,37,-19.34014892578125,68,-123.31617860294118,179,6800,,
0.13116641342639923,0.0003,6899,0.021475061774253845,,-12.755956649780273,,-19.500423431396484,,,,7000,100.0,-44.184817360000004
0.1240292489528656,0.0003,7099,0.02542961575090885,100.0,-12.17242431640625,37,-19.87308120727539,72,-121.14932887500001,192,7200,,
0.11408492922782898,0.0003,7399,0.0238037072122097,,-10.990446090698242,,-20.198257446289062,,,,7500,100.0,-46.67878796
0.11096587777137756,0.0003,7499,0.0236424058675766,100.0,-10.83472728729248,37,-19.939273834228516,76,-118.85296838157896,205,7600,,
0.09934549778699875,0.0003,7899,0.020838702097535133,,-9.536735534667969,,-19.760576248168945,,,,8000,100.0,-43.61673652
,,,,100.0,,36,,80,-116.62523658750001,217,8000,,
0.08900868892669678,0.0003,8299,0.017481327056884766,100.0,-8.162274360656738,37,-20.587589263916016,84,-114.56846198809524,222,8400,,
0.08660385757684708,0.0003,8399,0.017165865749120712,,-8.174918174743652,,-20.188631057739258,,,,8500,100.0,-42.55786984
0.0798003152012825,0.0003,8699,0.018163349479436874,100.0,-6.943978309631348,37,-21.066003799438477,88,-112.38216402272725,235,8800,,
0.07557990401983261,0.0003,8899,0.018650516867637634,,-6.39447021484375,,-20.946739196777344,,,,9000,100.0,-43.08643951999999
0.07159396260976791,0.0003,9099,0.015725107863545418,100.0,-5.628323078155518,37,-20.188228607177734,92,-110.40605005434782,248,9200,,
0.06602930277585983,0.0003,9399,0.015342943370342255,,-4.875537872314453,,-20.29437828063965,,,,9500,100.0,-43.20670988
0.06428021937608719,0.0003,9499,0.0169980488717556,100.0,-4.262633323669434,36,-20.949604034423828,96,-108.25344128124999,261,9600,,
0.057765811681747437,0.0003,9899,0.016785986721515656,,-3.1791205406188965,,-19.636676788330078,,,,10000,100.0,-43.82708934
,,,,100.0,,36,,100,-106.15066155999999,273,10000,,
0.05195051059126854,0.0003,10299,0.01453796960413456,100.0,-2.059908628463745,37,-19.75383949279785,104,-102.52490685000002,277,10400,,
0.05059807002544403,0.0003,10399,0.016496704891324043,,-1.8365650177001953,,-20.423458099365234,,,,10500,100.0,-41.56232204
0.04675102233886719,0.0003,10699,0.016936182975769043,100.0,-0.9592857360839844,37,-19.32862091064453,108,-98.81380561,290,10800,,
0.04436090588569641,0.0003,10899,0.016923319548368454,,-0.42632508277893066,,-19.8843936920166,,,,11000,100.0,-38.79411322
0.042096685618162155,0.0003,11099,0.019687846302986145,100.0,0.3921528458595276,36,-18.953941345214844,112,-94.86289021000002,303,11200,,
0.03894885629415512,0.0003,11399,0.01593717932701111,,0.8824620246887207,,-18.69820785522461,,,,11500,100.0,-39.88082742
0.03795749321579933,0.0003,11499,0.018756331875920296,100.0,1.25852370262146,36,-18.613704681396484,116,-90.92473996000001,315,11600,,
0.03427203744649887,0.0003,11899,0.017926882952451706,,2.536517858505249,,-17.506637573242188,,,,12000,100.0,-38.11234674
,,,,100.0,,36,,120,-87.32077404000002,328,12000,,
0.030976582318544388,0.0003,12299,0.01814045011997223,100.0,3.303285598754883,37,-17.932741165161133,124,-83.54561928,332,12400,,
0.03021315671503544,0.0003,12399,0.014652092009782791,,3.5389091968536377,,-16.99272918701172,,,,12500,100.0,-37.78517652
0.028051169589161873,0.0003,12699,0.017518043518066406,100.0,4.058020114898682,37,-15.90013313293457,128,-79.73790807,345,12800,,
0.026707716286182404,0.0003,12899,0.014928233809769154,,4.530020236968994,,-16.267385482788086,,,,13000,100.0,-38.50407662
0.025434404611587524,0.0003,13099,0.015363693237304688,100.0,5.162802219390869,36,-15.692329406738281,132,-76.39638642,357,13200,,
0.02366037666797638,0.0003,13399,0.016999326646327972,,5.4615678787231445,,-14.726396560668945,,,,13500,100.0,-38.0893595
0.023101888597011566,0.0003,13499,0.014367733150720596,100.0,5.917325973510742,36,-14.204078674316406,136,-73.35972163,370,13600,,
0.02101907506585121,0.0003,13899,0.014868617057800293,,6.802403450012207,,-13.788034439086914,,,,14000,100.0,-38.4103914
,,,,100.0,,36,,140,-70.34424704999999,383,14000,,
0.019157519564032555,0.0003,14299,0.015033840201795101,100.0,7.422284126281738,37,-12.70309829711914,144,-67.74226331,387,14400,,
0.018718041479587555,0.0003,14399,0.015091264620423317,,7.775203227996826,,-12.595916748046875,,,,14500,100.0,-38.749833800000005
0.017479661852121353,0.0003,14699,0.014347011223435402,100.0,8.246167182922363,36,-11.500953674316406,148,-64.95223341,400,14800,,
0.016710814088582993,0.0003,14899,0.01764707639813423,,8.681709289550781,,-11.242777824401855,,,,15000,100.0,-38.13759626
0.0159866064786911,0.0003,15099,0.0132810203358531,100.0,8.819150924682617,36,-9.378767013549805,152,-62.576451199999994,413,15200,,
0.014975021593272686,0.0003,15399,0.015913818031549454,,9.136503219604492,,-8.345386505126953,,,,15500,100.0,-38.782067260000005
0.014660402201116085,0.0003,15499,0.01744505763053894,100.0,9.726642608642578,36,-9.135286331176758,156,-60.220221769999995,425,15600,,
0.013495379127562046,0.0003,15899,0.014429907314479351,,10.387879371643066,,-8.836681365966797,,,,16000,100.0,-41.010491380000005
,,,,100.0,,36,,160,-57.972927610000006,438,16000,,
0.012475901283323765,0.0003,16299,0.013333018869161606,100.0,10.88949966430664,37,-7.763571262359619,164,-56.06832021999999,443,16400,,
0.01223928015679121,0.0003,16399,0.01367107406258583,,11.071008682250977,,-5.917440414428711,,,,16500,100.0,-39.70379820000001
0.011586117558181286,0.0003,16699,0.011183374561369419,100.0,11.417535781860352,36,-5.750850200653076,168,-54.43716930999999,455,16800,,
0.011191130615770817,0.0003,16899,0.015792280435562134,,11.809638023376465,,-5.539022922515869,,,,17000,100.0,-38.67948522
0.010831628926098347,0.0003,17099,0.01627672277390957,100.0,12.118009567260742,36,-5.556868553161621,172,-52.605843140000005,468,17200,,
0.010350320488214493,0.0003,17399,0.015405700542032719,,12.442672729492188,,-4.422450065612793,,,,17500,100.0,-38.236715520000004
0.01020484883338213,0.0003,17499,0.015378519892692566,100.0,12.598566055297852,36,-3.6374974250793457,176,-51.31393402,481,17600,,
0.009686464443802834,0.0003,17899,0.013429176062345505,,13.058727264404297,,-2.360956907272339,,,,18000,100.0,-39.75408788
,,,,100.0,,36,,180,-50.19369568,494,18000,,
0.009268906898796558,0.0003,18299,0.012503712438046932,100.0,13.621081352233887,36,-1.2248578071594238,184,-48.997039839999985,498,18400,,
0.009172835387289524,0.0003,18399,0.013167503289878368,,13.874780654907227,,-1.7208030223846436,,,,18500,100.0,-37.7516067
0.008950999937951565,0.0003,18699,0.013538295403122902,100.0,14.110069274902344,36,0.05551966279745102,188,-48.118727150000005,511,18800,,
0.008828874677419662,0.0003,18899,0.013875789940357208,,14.415275573730469,,-0.6878446340560913,,,,19000,100.0,-39.94513458
0.008707012049853802,0.0003,19099,0.014819039031863213,100.0,14.702107429504395,36,-1.2267801761627197,192,-47.11217468999999,523,19200,,
0.008571772836148739,0.0003,19399,0.01687575876712799,,14.875000953674316,,0.08084496855735779,,,,19500,100.0,-38.5480566
0.008534703403711319,0.0003,19499,0.012429000809788704,100.0,15.345871925354004,36,-2.841277599334717,196,-46.41494454000001,536,19600,,
0.008436104282736778,0.0003,19899,0.013396041467785835,,15.667264938354492,,-0.5813106298446655,,,,20000,100.0,-39.23949854000001
,,,,100.0,,36,,200,-46.24568856,549,20000,,
0.008385630324482918,0.0003,20299,0.014983783476054668,100.0,16.008529663085938,36,-0.8733843564987183,204,-45.40763054,553,20400,,
0.008368577808141708,0.0003,20399,0.01245797611773014,,16.143611907958984,,-0.25037655234336853,,,,20500,100.0,-38.1252771
0.008377361111342907,0.0003,20699,0.013797547668218613,100.0,16.5628662109375,36,0.6443907618522644,208,-44.85708126,566,20800,,
0.00836816243827343,0.0003,20899,0.013349411077797413,,16.81540870666504,,-0.20590561628341675,,,,21000,100.0,-42.31771709999999
0.008368214592337608,0.0003,21099,0.013987108133733273,100.0,16.933073043823242,36,-0.9552024602890015,212,-44.49378401999999,579,21200,,
0.008385642431676388,0.0003,21399,0.012339428067207336,,17.219064712524414,,0.6058001518249512,,,,21500,100.0,-38.43027122
0.008383579552173615,0.0003,21499,0.013483718037605286,100.0,17.578027725219727,36,1.0237030982971191,216,-43.97636324999999,591,21600,,
0.008366822265088558,0.0003,21899,0.012482408434152603,,18.146465301513672,,-0.04497194290161133,,,,22000,100.0,-39.3967599
,,,,100.0,,36,,220,-43.50534208000001,604,22000,,
0.008416821248829365,0.0003,22299,0.01456978265196085,100.0,18.345260620117188,36,-0.05610246956348419,224,-43.18996268,608,22400,,
0.008410008624196053,0.0003,22399,0.014351984485983849,,18.758285522460938,,0.8831175565719604,,,,22500,100.0,-38.17444966
0.008426093496382236,0.0003,22699,0.012254152446985245,100.0,19.108036041259766,36,-0.3241279721260071,228,-42.83242571000002,621,22800,,
0.00842036958783865,0.0003,22899,0.014387132599949837,,18.904672622680664,,0.041145727038383484,,,,23000,100.0,-38.31088862000001
0.008450835943222046,0.0003,23099,0.010623205453157425,100.0,19.328140258789062,36,1.6577223539352417,232,-42.24544104,634,23200,,
0.008489933796226978,0.0003,23399,0.00929316971451044,,19.489410400390625,,-1.5741302967071533,,,,23500,100.0,-37.11817421999999
0.008524950593709946,0.0003,23499,0.009986448101699352,100.0,19.662288665771484,36,-0.42176324129104614,236,-42.123666379999996,647,23600,,
0.008540981449186802,0.0003,23899,0.013346526771783829,,20.516197204589844,,0.8751499056816101,,,,24000,100.0,-37.78062912
,,,,100.0,,36,,240,-41.995077030000004,659,24000,,
0.008579608052968979,0.0003,24299,0.013877896592020988,100.0,20.552215576171875,36,1.2726519107818604,244,-41.678843969999996,664,24400,,
0.00858346652239561,0.0003,24399,0.010568620637059212,,20.41386604309082,,0.1485649198293686,,,,24500,100.0,-37.080682440000004
0.00857434794306755,0.0003,24699,0.012813029810786247,100.0,21.1295166015625,36,0.564792275428772,248,-41.63451788,677,24800,,
0.008569750003516674,0.0003,24899,0.011164922267198563,,20.92250633239746,,0.865985631942749,,,,25000,100.0,-36.58397836
0.008599861524999142,0.0003,25099,0.011018812656402588,100.0,21.305328369140625,36,-0.5017003417015076,252,-41.47774275,689,25200,,
0.008550524711608887,0.0003,25399,0.011734041385352612,,21.68102264404297,,-0.34081101417541504,,,,25500,100.0,-37.54048182
0.008606581948697567,0.0003,25499,0.011197900399565697,100.0,21.708105087280273,36,-1.2485378980636597,256,-41.24416097,702,25600,,
0.008633463643491268,0.0003,25899,0.01075080968439579,,22.200634002685547,,0.5011296272277832,,,,26000,100.0,-37.51433954
,,,,100.0,,36,,260,-41.18971586,714,26000,,
0.0086429538205266,0.0003,26299,0.011832019314169884,100.0,22.501537322998047,36,0.8973454833030701,264,-41.06106536,719,26400,,
0.00864880345761776,0.0003,26399,0.02173510193824768,,22.949932098388672,,-1.2742674350738525,,,,26500,100.0,-37.364796059999996
0.008637165650725365,0.0003,26699,0.01698554866015911,100.0,23.15279197692871,36,-1.1899470090866089,268,-41.023548119999994,732,26800,,
0.008615368977189064,0.0003,26899,0.014970601536333561,,23.11440658569336,,0.07348144054412842,,,,27000,100.0,-36.88090416
0.008636720478534698,0.0003,27099,0.010292749851942062,100.0,23.23439598083496,36,-0.1593548208475113,272,-41.035814949999995,745,27200,,
0.008585906587541103,0.0003,27399,0.012750130146741867,,23.581886291503906,,-0.7869372963905334,,,,27500,100.0,-37.49979192
0.008611684665083885,0.0003,27499,0.011881455779075623,100.0,23.789392471313477,36,-0.47637510299682617,276,-40.97187339,758,27600,,
0.008563259616494179,0.0003,27899,0.013314103707671165,,24.205913543701172,,2.0220396518707275,,,,28000,100.0,-38.0244112
,,,,100.0,,36,,280,-40.586889660000004,770,28000,,
0.008622532710433006,0.0003,28299,0.013394475914537907,100.0,24.258819580078125,36,-0.21310123801231384,284,-40.35742536,775,28400,,
0.008616971783339977,0.0003,28399,0.010999368503689766,,24.626781463623047,,-2.7312045097351074,,,,28500,100.0,-38.01278112000001
0.008669700473546982,0.0003,28699,0.007938534021377563,100.0,24.618011474609375,36,0.6788097620010376,288,-40.15478734,787,28800,,
0.0086844926699996,0.0003,28899,0.012042203918099403,,24.818634033203125,,0.4352329969406128,,,,29000,100.0,-37.20746814
0.008703812025487423,0.0003,29099,0.010294943116605282,100.0,25.0352725982666,36,-1.3557591438293457,292,-40.03147585,800,29200,,
