time/episodes,time/fps,train/actor_loss,train/ent_coef,train/n_updates,time/time_elapsed,train/ent_coef_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
4,131,-9.946708679199219,0.9144408106803894,299,3,-1.0533325672149658,100.0,0.24401956796646118,400,0.0003,-151.96823799999999,,
,,-10.715167999267578,0.8874073624610901,399,,-1.402964472770691,,0.14424723386764526,500,0.0003,,-60.93691114,100.0
8,56,-13.1438627243042,0.8110911846160889,699,14,-2.4636988639831543,100.0,0.13551603257656097,800,0.0003,-151.177750875,,
,,-14.57656478881836,0.7638964653015137,899,,-3.162684440612793,,0.1833232194185257,1000,0.0003,,-53.28300855999999,100.0
12,45,-15.857599258422852,0.719429612159729,1099,26,-3.885678768157959,100.0,0.11277773976325989,1200,0.0003,-149.45649541666668,,
,,-17.47377586364746,0.6575518846511841,1399,,-4.91675329208374,,0.09086617082357407,1500,0.0003,,-50.68874632,100.0
16,40,-17.96526336669922,0.6381399035453796,1499,39,-5.269506931304932,100.0,0.09229081869125366,1600,0.0003,-147.53873475,,
,,-19.476741790771484,0.5661115050315857,1899,,-6.641236305236816,,0.08172213286161423,2000,0.0003,,-46.226954580000005,100.0
20,38,,,,51,,100.0,,2000,,-146.60862679999997,,
24,42,-20.382736206054688,0.5022887587547302,2299,56,-8.023770332336426,100.0,0.0803212895989418,2400,0.0003,-144.247985375,,
,,-20.70301055908203,0.487505167722702,2399,,-8.32181453704834,,0.09380222111940384,2500,0.0003,,-47.605396199999994,100.0
28,41,-21.05040740966797,0.4457723796367645,2699,68,-9.397634506225586,100.0,0.0996326357126236,2800,0.0003,-142.24792507142857,,
,,-21.360416412353516,0.4199824035167694,2899,,-10.073387145996094,,0.08297719061374664,3000,0.0003,,-46.29349353999999,100.0
32,39,-21.364715576171875,0.39572861790657043,3099,80,-10.691057205200195,100.0,0.058997415006160736,3200,0.0003,-140.93080234375,,
,,-21.29547119140625,0.36200150847435,3399,,-11.606215476989746,,0.061795227229595184,3500,0.0003,,-47.9021681,100.0
36,38,-21.247081756591797,0.35142624378204346,3499,93,-11.937406539916992,100.0,0.05857182294130325,3600,0.0003,-139.01630844444446,,
,,-20.656614303588867,0.31222471594810486,3899,,-13.117765426635742,,0.05467903986573219,4000,0.0003,,-48.28867094,100.0
40,37,,,,105,,100.0,,4000,,-137.511394325,,
44,39,-20.215389251708984,0.277553915977478,4299,110,-14.342117309570312,100.0,0.0529487244784832,4400,0.0003,-135.0404071590909,,
,,-19.94000244140625,0.26953569054603577,4399,,-14.619501113891602,,0.047023672610521317,4500,0.0003,,-48.125747280000006,100.0
48,39,-19.606063842773438,0.2468857318162918,4699,122,-15.424111366271973,100.0,0.048871126025915146,4800,0.0003,-132.90150364583334,,
,,-18.964466094970703,0.23290613293647766,4899,,-15.955599784851074,,0.03844631835818291,5000,0.0003,,-47.428608699999984,100.0
52,38,-18.360445022583008,0.21975402534008026,5099,135,-16.330333709716797,100.0,0.0454958938062191,5200,0.0003,-130.7148035,,
,,-17.656251907348633,0.2014821171760559,5399,,-17.008411407470703,,0.03458446264266968,5500,0.0003,,-45.226085760000004,100.0
56,37,-17.289085388183594,0.19575455784797668,5499,148,-17.073017120361328,100.0,0.039725422859191895,5600,0.0003,-128.32229953571428,,
,,-16.160930633544922,0.17450028657913208,5899,,-18.160402297973633,,0.027333911508321762,6000,0.0003,,-45.22406026000001,100.0
60,37,,,,160,,100.0,,6000,,-126.33077015,,
64,38,-14.974688529968262,0.15567326545715332,6299,165,-18.707983016967773,100.0,0.025734322145581245,6400,0.0003,-124.062591328125,,
,,-14.698570251464844,0.15131378173828125,6399,,-18.798599243164062,,0.02580317109823227,6500,0.0003,,-44.76629892,100.0
68,38,-13.734672546386719,0.1389741152524948,6699,178,-19.536296844482422,100.0,0.023558571934700012,6800,0.0003,-121.71170245588235,,
,,-13.163824081420898,0.1313590109348297,6899,,-19.458715438842773,,0.02083941549062729,7000,0.0003,,-45.855620980000005,100.0
72,37,-12.383895874023438,0.12417524307966232,7099,191,-19.884599685668945,100.0,0.01817016862332821,7200,0.0003,-119.58973066666668,,
,,-11.402145385742188,0.11418643593788147,7399,,-19.97339630126953,,0.019177719950675964,7500,0.0003,,-46.004869580000005,100.0
76,37,-11.131085395812988,0.11104466021060944,7499,203,-20.142467498779297,100.0,0.018181152641773224,7600,0.0003,-117.58276846052632,,
,,-9.640848159790039,0.09936849772930145,7899,,-20.410140991210938,,0.017480190843343735,8000,0.0003,,-45.27598574,100.0
80,36,,,,216,,100.0,,8000,,-115.48581931250001,,
84,37,-8.481969833374023,0.08899160474538803,8299,221,-20.321805953979492,100.0,0.01439655851572752,8400,0.0003,-113.54156845238094,,
,,-8.167303085327148,0.08658017963171005,8399,,-20.659072875976562,,0.01597818173468113,8500,0.0003,,-47.83513419999999,100.0
88,37,-7.402837753295898,0.07975837588310242,8699,233,-20.56829833984375,100.0,0.015186211094260216,8800,0.0003,-111.805322375,,
,,-6.4970598220825195,0.07552547007799149,8899,,-21.097591400146484,,0.011834811419248581,9000,0.0003,,-44.21891006,100.0
92,37,-5.815736770629883,0.07153066247701645,9099,246,-20.091087341308594,100.0,0.012644648551940918,9200,0.0003,-110.06147605434782,,
,,-5.202874660491943,0.06595409661531448,9399,,-20.76620864868164,,0.013248707167804241,9500,0.0003,,-41.0678776,100.0
96,37,-4.882302284240723,0.0641983151435852,9499,258,-20.68116569519043,100.0,0.013542971573770046,9600,0.0003,-108.08297165625,,
,,-3.577512264251709,0.0576709546148777,9899,,-20.706745147705078,,0.01163590420037508,10000,0.0003,,-41.23173455999999,100.0
100,36,,,,271,,100.0,,10000,,-106.27620024999999,,
104,37,-2.255648612976074,0.05184489116072655,10299,276,-20.310317993164062,100.0,0.01299644447863102,10400,0.0003,-102.50592768,,
,,-1.9404551982879639,0.05049026012420654,10399,,-20.39279556274414,,0.01183373760432005,10500,0.0003,,-40.37449718,100.0
108,37,-1.1621286869049072,0.046651460230350494,10699,289,-19.417922973632812,100.0,0.012572809122502804,10800,0.0003,-98.72839572999999,,
,,-0.4931808114051819,0.044272392988204956,10899,,-20.20764923095703,,0.01597117818892002,11000,0.0003,,-40.81935056,100.0
112,37,0.10350345075130463,0.042025014758110046,11099,302,-19.38421630859375,100.0,0.014666645787656307,11200,0.0003,-94.98180746000001,,
,,0.9474327564239502,0.0388912595808506,11399,,-18.20146942138672,,0.012403041124343872,11500,0.0003,,-40.66748844,100.0
116,36,1.228732705116272,0.03790806606411934,11499,314,-18.83956527709961,100.0,0.013452604413032532,11600,0.0003,-91.32638806000001,,
,,2.1737325191497803,0.03424612060189247,11899,,-17.927043914794922,,0.013086427003145218,12000,0.0003,,-39.903911560000004,100.0
120,36,,,,327,,100.0,,12000,,-87.57742674,,
124,37,2.917354106903076,0.030975038185715675,12299,332,-17.130870819091797,100.0,0.014314185827970505,12400,0.0003,-84.09333237999999,,
,,3.1756341457366943,0.030213363468647003,12399,,-17.059736251831055,,0.012220703065395355,12500,0.0003,,-39.5414448,100.0
128,37,3.974198818206787,0.028060439974069595,12699,344,-16.246707916259766,100.0,0.01580733247101307,12800,0.0003,-80.6584116,,
,,4.570621967315674,0.02672262117266655,12899,,-15.392399787902832,,0.01458777580410242,13000,0.0003,,-38.446345099999995,100.0
132,36,4.776932716369629,0.02545272931456566,13099,356,-15.468864440917969,100.0,0.017770854756236076,13200,0.0003,-77.25017942,,
,,5.813529014587402,0.023680610582232475,13399,,-14.859119415283203,,0.013024799525737762,13500,0.0003,,-38.71459038,100.0
136,36,5.786907196044922,0.023122476413846016,13499,369,-14.183723449707031,100.0,0.016588423401117325,13600,0.0003,-74.2422134,,
,,6.7131547927856445,0.021036552265286446,13899,,-13.471179008483887,,0.01604289561510086,14000,0.0003,,-39.050250219999995,100.0
140,36,,,,381,,100.0,,14000,,-71.10614629,,
144,37,7.451416969299316,0.019164929166436195,14299,386,-12.60015869140625,100.0,0.013385739177465439,14400,0.0003,-68.20208833,,
,,7.659720420837402,0.01872846484184265,14399,,-11.783437728881836,,0.011620590463280678,14500,0.0003,,-38.20448104,100.0
148,37,8.138374328613281,0.017502574250102043,14699,399,-11.130456924438477,100.0,0.011117433197796345,14800,0.0003,-65.81548292000001,,
,,8.397167205810547,0.01673344522714615,14899,,-10.955035209655762,,0.012938368134200573,15000,0.0003,,-38.341515959999995,100.0
152,36,8.857086181640625,0.01600545458495617,15099,412,-10.239046096801758,100.0,0.011316818185150623,15200,0.0003,-63.314711560000006,,
,,9.620149612426758,0.014991325326263905,15399,,-11.399876594543457,,0.012260221876204014,15500,0.0003,,-38.211889819999996,100.0
156,36,9.556116104125977,0.014669275842607021,15499,424,-9.676576614379883,100.0,0.015657544136047363,15600,0.0003,-60.93261798999999,,
,,10.483304977416992,0.01348438486456871,15899,,-7.257465839385986,,0.013569817878305912,16000,0.0003,,-38.53757598000001,100.0
160,36,,,,437,,100.0,,16000,,-58.642463099999986,,
164,37,10.994095802307129,0.012444986961781979,16299,442,-6.405406475067139,100.0,0.013548851013183594,16400,0.0003,-56.863329039999996,,
,,11.109704971313477,0.012208940461277962,16399,,-5.796128749847412,,0.01228239480406046,16500,0.0003,,-40.16919184,100.0
168,36,12.10724925994873,0.011534157209098339,16699,455,-6.848216533660889,100.0,0.013609892688691616,16800,0.0003,-55.31937714000001,,
,,12.089370727539062,0.011124926619231701,16899,,-6.349430561065674,,0.013320223428308964,17000,0.0003,,-40.01530446,100.0
172,36,12.368413925170898,0.010749684646725655,17099,467,-5.391533851623535,100.0,0.011381605640053749,17200,0.0003,-53.437649379999996,,
,,12.751279830932617,0.010228569619357586,17399,,-3.9449901580810547,,0.013464804738759995,17500,0.0003,,-38.39283556,100.0
176,36,12.678157806396484,0.010068266652524471,17499,480,-5.581445693969727,100.0,0.01338108815252781,17600,0.0003,-51.95555118,,
,,13.45920467376709,0.009481620974838734,17899,,-3.866544485092163,,0.013654837384819984,18000,0.0003,,-37.07157076,100.0
180,36,,,,493,,100.0,,18000,,-50.478644589999995,,
184,36,14.133827209472656,0.008984353393316269,18299,498,-2.8658742904663086,100.0,0.015112143941223621,18400,0.0003,-49.15983495,,
,,14.008464813232422,0.008872301317751408,18399,,-3.699944496154785,,0.012609213590621948,18500,0.0003,,-38.13999818,100.0
188,36,14.401538848876953,0.00859993975609541,18699,510,-2.2356038093566895,100.0,0.012480589561164379,18800,0.0003,-47.59519717999999,,
,,14.950279235839844,0.008454645052552223,18899,,-1.4173188209533691,,0.015281647443771362,19000,0.0003,,-37.3955951,100.0
192,36,15.063026428222656,0.008315910585224628,19099,523,-0.30765414237976074,100.0,0.012247191742062569,19200,0.0003,-46.409903699999994,,
,,15.451934814453125,0.008155894465744495,19399,,-2.0584030151367188,,0.01670767366886139,19500,0.0003,,-37.438554260000004,100.0
196,36,15.709333419799805,0.008114941418170929,19499,536,-1.1105642318725586,100.0,0.01506783813238144,19600,0.0003,-45.48780397,,
,,16.322364807128906,0.00802293885499239,19899,,-0.7034386396408081,,0.014179462566971779,20000,0.0003,,-37.897725460000004,100.0
200,36,,,,548,,100.0,,20000,,-44.40853492,,
204,36,16.555713653564453,0.007971462793648243,20299,553,0.10997186601161957,100.0,0.01377734262496233,20400,0.0003,-43.738809069999995,,
,,16.745792388916016,0.007952457293868065,20399,,-1.8366296291351318,,0.0127866230905056,20500,0.0003,,-37.64464634,100.0
208,36,17.067367553710938,0.007920347154140472,20699,566,0.529627799987793,100.0,0.012788450345396996,20800,0.0003,-42.904942130000016,,
,,17.41153335571289,0.00793016143143177,20899,,2.087188720703125,,0.015055635012686253,21000,0.0003,,-37.114735,100.0
212,36,17.69577407836914,0.007921635173261166,21099,579,-0.7965665459632874,100.0,0.01186072826385498,21200,0.0003,-42.32629801,,
,,17.744651794433594,0.007919768802821636,21399,,-0.005939662456512451,,0.012850621715188026,21500,0.0003,,-36.927008359999995,100.0
216,36,18.332122802734375,0.007918118499219418,21499,592,-0.43408334255218506,100.0,0.018376313149929047,21600,0.0003,-41.840144460000005,,
,,18.72403907775879,0.007900498807430267,21899,,1.3430967330932617,,0.024751348420977592,22000,0.0003,,-37.118021819999996,100.0
220,36,,,,604,,100.0,,22000,,-41.275041890000004,,
224,36,18.987911224365234,0.007947070524096489,22299,609,0.07885479927062988,100.0,0.01457593496888876,22400,0.0003,-41.01143866,,
,,19.31498908996582,0.007959160953760147,22399,,0.38208338618278503,,0.011010986752808094,22500,0.0003,,-36.60861414,100.0
228,36,19.587451934814453,0.007954675704240799,22699,622,-1.04183030128479,100.0,0.012684606947004795,22800,0.0003,-40.79037095,,
,,19.590862274169922,0.007943899370729923,22899,,0.3797360956668854,,0.014820058830082417,23000,0.0003,,-37.01510982,100.0
232,36,19.658309936523438,0.007993017323315144,23099,635,-0.02399420738220215,100.0,0.012077013961970806,23200,0.0003,-40.52139648,,
,,19.863483428955078,0.007956155575811863,23399,,-0.25338906049728394,,0.014140879735350609,23500,0.0003,,-37.050125359999996,100.0
236,36,20.072914123535156,0.007974584586918354,23499,647,-0.050553977489471436,100.0,0.010890016332268715,23600,0.0003,-40.162234430000005,,
,,20.95345687866211,0.008045204915106297,23899,,-1.021902322769165,,0.013482950627803802,24000,0.0003,,-37.10549666,100.0
240,36,,,,659,,100.0,,24000,,-39.92657842,,
244,36,20.953041076660156,0.008023662492632866,24299,664,-0.49081823229789734,100.0,0.01456141285598278,24400,0.0003,-39.912654360000005,,
,,21.16039276123047,0.008007369004189968,24399,,2.16610050201416,,0.012043126858770847,24500,0.0003,,-37.421227980000005,100.0
248,36,21.3519344329834,0.007957988418638706,24699,677,-0.03761160373687744,100.0,0.014254912734031677,24800,0.0003,-39.61331957,,
,,21.65483856201172,0.008053302764892578,24899,,0.7976474761962891,,0.012770535424351692,25000,0.0003,,-36.25983806,100.0
252,36,21.629961013793945,0.008044046349823475,25099,689,0.1538701355457306,100.0,0.01395377330482006,25200,0.0003,-39.51317367000001,,
,,21.932662963867188,0.008083623833954334,25399,,0.515439510345459,,0.012850227765738964,25500,0.0003,,-37.20389982,100.0
256,36,22.108287811279297,0.00811304897069931,25499,702,-0.3212398290634155,100.0,0.01579955592751503,25600,0.0003,-39.54225155,,
,,22.32063865661621,0.008202983066439629,25899,,0.519926905632019,,0.013888968154788017,26000,0.0003,,-36.8406039,100.0
260,36,,,,715,,100.0,,26000,,-39.36246545,,
264,36,22.815139770507812,0.008155844174325466,26299,720,1.0943467617034912,100.0,0.01117948442697525,26400,0.0003,-39.28548869,,
,,22.891902923583984,0.008153103291988373,26399,,0.08615237474441528,,0.011278390884399414,26500,0.0003,,-36.61060416,100.0
268,36,23.184907913208008,0.008105895482003689,26699,733,-1.0179334878921509,100.0,0.01601072959601879,26800,0.0003,-39.04476935,,
,,23.01361846923828,0.00814943015575409,26899,,1.8648768663406372,,0.013569489121437073,27000,0.0003,,-36.49110614,100.0
272,36,23.653230667114258,0.008180861361324787,27099,745,-0.724518895149231,100.0,0.01271117851138115,27200,0.0003,-39.21710777,,
,,23.838886260986328,0.008095300756394863,27399,,-0.7225122451782227,,0.01264120265841484,27500,0.0003,,-37.134420500000004,100.0
276,36,23.985740661621094,0.008095060475170612,27499,758,-0.37673264741897583,100.0,0.015107682906091213,27600,0.0003,-39.29157709,,
,,24.139877319335938,0.008116079494357109,27899,,-0.1740674376487732,,0.011586676351726055,28000,0.0003,,-36.934105759999994,100.0
280,36,,,,770,,100.0,,28000,,-39.29823516,,
284,36,24.52243423461914,0.00810836162418127,28299,776,0.47934776544570923,100.0,0.013724179938435555,28400,0.0003,-39.28440282,,
,,24.78173828125,0.008081480860710144,28399,,-0.7513155937194824,,0.01436655968427658,28500,0.0003,,-37.71082466,100.0
288,36,25.03116226196289,0.008174977265298367,28699,788,0.33390334248542786,100.0,0.01741660386323929,28800,0.0003,-39.33508914,,
,,25.041187286376953,0.008135383017361164,28899,,0.8019471764564514,,0.01388256810605526,29000,0.0003,,-37.61546576,100.0
292,36,25.143169403076172,0.008233906701207161,29099,800,0.030822962522506714,100.0,0.014046519063413143,29200,0.0003,-39.064353579999995,,
,,25.18470573425293,0.00822165422141552,29399,,0.6782864928245544,,0.009845968335866928,29500,0.0003,,-35.97843594,100.0
296,36,25.173627853393555,0.008284403011202812,29499,813,0.9329420328140259,100.0,0.01446457952260971,29600,0.0003,-38.91011913,,
,,25.78026008605957,0.008314923383295536,29899,,-0.5474556684494019,,0.011993497610092163,30000,0.0003,,-37.678417980000006,100.0
300,36,,,,826,,100.0,,30000,,-38.97583247,,
304,36,26.04063606262207,0.008361059240996838,30299,831,-0.10115766525268555,100.0,0.012443894520401955,30400,0.0003,-39.04130464,,
,,25.62185287475586,0.008358377031981945,30399,,-0.007517337799072266,,0.011318648234009743,30500,0.0003,,-35.98767994,100.0
308,36,26.227441787719727,0.008283987641334534,30699,843,-0.611023485660553,100.0,0.01229778677225113,30800,0.0003,-39.1276875,,
,,26.609851837158203,0.008295680396258831,30899,,1.7939965724945068,,0.014021787792444229,31000,0.0003,,-35.787161020000006,100.0
312,36,26.779430389404297,0.008333006873726845,31099,856,-0.8129861950874329,100.0,0.011283847503364086,31200,0.0003,-39.081971779999996,,
,,27.067630767822266,0.008392502553761005,31399,,0.3767303228378296,,0.01651826500892639,31500,0.0003,,-37.11528816,100.0
316,36,27.40275001525879,0.00839075818657875,31499,869,0.3705730438232422,100.0,0.017894694581627846,31600,0.0003,-39.19002763,,
,,27.340103149414062,0.008420228958129883,31899,,-1.487136960029602,,0.013527649454772472,32000,0.0003,,-36.97928428,100.0
320,36,,,,882,,100.0,,32000,,-39.30015782,,
324,36,27.0026798248291,0.00840713083744049,32299,887,0.5709177255630493,100.0,0.01278370525687933,32400,0.0003,-39.09438273999999,,
,,27.393877029418945,0.008449490182101727,32399,,-1.430540919303894,,0.012928614392876625,32500,0.0003,,-36.86618318,100.0
328,36,27.596426010131836,0.008486788719892502,32699,899,0.583764910697937,100.0,0.012322972528636456,32800,0.0003,-39.083155070000004,,
,,27.53388214111328,0.008525784127414227,32899,,-0.2212960422039032,,0.013048921711742878,33000,0.0003,,-36.928614259999996,100.0
332,36,28.040761947631836,0.008504601195454597,33099,912,0.15433768928050995,100.0,0.015858639031648636,33200,0.0003,-39.06040567,,
,,28.218711853027344,0.008520065806806087,33399,,1.2122929096221924,,0.010097694583237171,33500,0.0003,,-36.83754784,100.0
