train/learning_rate,train/ent_coef_loss,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/n_updates,train/actor_loss,time/total_timesteps,time/episodes,time/fps,rollout/ep_rew_mean,train/ent_coef,eval/mean_reward,eval/mean_ep_length
0.0003,-1.049318790435791,100.0,3,0.29757821559906006,299,-9.995790481567383,400,4,118,-157.117059,0.9144313931465149,,
0.0003,-1.4086077213287354,,,0.2039223313331604,399,-10.816183090209961,500,,,,0.8874123096466064,-56.377248519999995,100.0
0.0003,-2.4548277854919434,100.0,14,0.12297526001930237,699,-13.083073616027832,800,8,54,-153.4802535,0.8111026883125305,,
0.0003,-3.15653657913208,,,0.11935321986675262,899,-14.449552536010742,1000,,,,0.7639023661613464,-60.7295962,100.0
0.0003,-3.8689637184143066,100.0,27,0.095072440803051,1099,-15.653005599975586,1200,12,44,-153.6239211666667,0.7194122672080994,,
0.0003,-4.935912609100342,,,0.12942874431610107,1399,-17.278825759887695,1500,,,,0.6574944853782654,-58.93345858,100.0
0.0003,-5.276951789855957,100.0,39,0.09599646180868149,1499,-17.69061279296875,1600,16,40,-152.628989875,0.6380677819252014,,
0.0003,-6.667703628540039,,,0.10820509493350983,1899,-19.111072540283203,2000,,,,0.5659916400909424,-57.06578816000001,100.0
,,100.0,52,,,,2000,20,38,-150.9043428,,,
0.0003,-8.045062065124512,100.0,56,0.09013523161411285,2299,-20.157257080078125,2400,24,42,-149.35940816666667,0.5021378397941589,,
0.0003,-8.384063720703125,,,0.07515192031860352,2399,-20.250104904174805,2500,,,,0.4873507022857666,-51.04347195999999,100.0
0.0003,-9.402135848999023,100.0,69,0.07477526366710663,2699,-20.509963989257812,2800,28,40,-147.77725414285717,0.4455874264240265,,
0.0003,-10.104233741760254,,,0.07361914217472076,2899,-20.5345458984375,3000,,,,0.4197923243045807,-49.59049224,100.0
0.0003,-10.76705551147461,100.0,81,0.08041460812091827,3099,-20.693981170654297,3200,32,39,-146.25993643750002,0.39551255106925964,,
0.0003,-11.639403343200684,,,0.05737995356321335,3399,-20.43671417236328,3500,,,,0.36177194118499756,-48.14018365999999,100.0
0.0003,-12.058072090148926,100.0,94,0.0521615706384182,3499,-20.27690315246582,3600,36,38,-143.93015569444447,0.351195752620697,,
0.0003,-13.274425506591797,,,0.062122590839862823,3899,-19.91387176513672,4000,,,,0.3119773864746094,-49.47520511999999,100.0
,,100.0,106,,,,4000,40,37,-142.31744085,,,
0.0003,-14.44467544555664,100.0,111,0.05023548752069473,4299,-19.177688598632812,4400,44,39,-140.22207431818182,0.2772882580757141,,
0.0003,-14.615793228149414,,,0.04627794027328491,4399,-18.909862518310547,4500,,,,0.26926055550575256,-49.2018342,100.0
0.0003,-15.232083320617676,100.0,124,0.04060974717140198,4699,-18.059593200683594,4800,48,38,-137.95310958333334,0.24660949409008026,,
0.0003,-16.0146427154541,,,0.04398294538259506,4899,-17.61071014404297,5000,,,,0.23263029754161835,-48.951720800000004,100.0
0.0003,-16.586166381835938,100.0,136,0.03902731090784073,5099,-17.176551818847656,5200,52,38,-135.20804073076923,0.21948634088039398,,
0.0003,-17.272506713867188,,,0.04249262064695358,5399,-16.410343170166016,5500,,,,0.20122487843036652,-45.714525859999995,100.0
0.0003,-17.13031005859375,100.0,149,0.03272388130426407,5499,-15.88370132446289,5600,56,37,-132.80247598214285,0.1954990178346634,,
0.0003,-18.147987365722656,,,0.030830366536974907,5899,-14.539189338684082,6000,,,,0.1742691844701767,-46.20585188,100.0
,,100.0,161,,,,6000,60,37,-130.43544796666666,,,
0.0003,-18.904743194580078,100.0,166,0.027662474662065506,6299,-13.411994934082031,6400,64,38,-128.1158083125,0.15546788275241852,,
0.0003,-18.750364303588867,,,0.02157019078731537,6399,-13.063207626342773,6500,,,,0.15111222863197327,-47.885165099999995,100.0
0.0003,-19.424007415771484,100.0,178,0.025977984070777893,6699,-12.152853965759277,6800,68,38,-126.04800877941179,0.1388065665960312,,
0.0003,-19.638084411621094,,,0.019223075360059738,6899,-11.486459732055664,7000,,,,0.13119079172611237,-45.68251882,100.0
0.0003,-20.007221221923828,100.0,191,0.01957668736577034,7099,-10.68226432800293,7200,72,37,-123.74559851388888,0.1240125447511673,,
0.0003,-20.61425018310547,,,0.018705133348703384,7399,-9.837573051452637,7500,,,,0.11401885747909546,-43.95045148000001,100.0
0.0003,-20.864734649658203,100.0,203,0.023433856666088104,7499,-9.269041061401367,7600,76,37,-121.5284922368421,0.11088167130947113,,
0.0003,-20.924800872802734,,,0.017646566033363342,7899,-8.103944778442383,8000,,,,0.09922192990779877,-44.9903993,100.0
,,100.0,215,,,,8000,80,37,-119.604725325,,,
0.0003,-21.09795379638672,100.0,220,0.015043199062347412,8299,-6.719412803649902,8400,84,38,-117.51790911904762,0.08884267508983612,,
0.0003,-21.066743850708008,,,0.017534319311380386,8399,-6.483941078186035,8500,,,,0.08643260598182678,-40.735243499999996,100.0
0.0003,-21.275409698486328,100.0,233,0.017537560313940048,8699,-5.327422618865967,8800,88,37,-115.18737842045456,0.07962474972009659,,
0.0003,-20.495227813720703,,,0.0171299260109663,8899,-4.8867411613464355,9000,,,,0.07541307806968689,-42.7576937,100.0
0.0003,-21.19167137145996,100.0,246,0.016967346891760826,9099,-4.015406608581543,9200,92,37,-113.08882426086959,0.0714465007185936,,
0.0003,-21.13568115234375,,,0.015374795533716679,9399,-3.018468141555786,9500,,,,0.06591057032346725,-41.80863062,100.0
0.0003,-20.69353485107422,100.0,258,0.016103066504001617,9499,-2.743405818939209,9600,96,37,-110.91895823958335,0.06417181342840195,,
0.0003,-19.98788833618164,,,0.01612153835594654,9899,-1.5421481132507324,10000,,,,0.057696785777807236,-41.58899224000001,100.0
,,100.0,270,,,,10000,100,36,-108.79601326000004,,,
0.0003,-19.536399841308594,100.0,275,0.018595922738313675,10299,-0.5811402797698975,10400,104,37,-104.86766383,0.05191616341471672,,
0.0003,-20.140104293823242,,,0.018517402932047844,10399,-0.09673430770635605,10500,,,,0.050579734146595,-42.01001562,100.0
0.0003,-19.55937385559082,100.0,288,0.01799922063946724,10699,0.6708948016166687,10800,108,37,-101.02560863999999,0.0467812716960907,,
0.0003,-18.792491912841797,,,0.01591075025498867,10899,1.0062525272369385,11000,,,,0.044426146894693375,-40.63587,100.0
0.0003,-18.67607879638672,100.0,300,0.01583373360335827,11099,1.8396399021148682,11200,112,37,-97.10260147999999,0.04219774156808853,,
0.0003,-17.921947479248047,,,0.015323389321565628,11399,2.6411733627319336,11500,,,,0.03907712548971176,-40.340637980000004,100.0
0.0003,-18.662155151367188,100.0,313,0.01826622150838375,11499,2.984703540802002,11600,116,37,-93.36271303999996,0.038092754781246185,,
0.0003,-18.528968811035156,,,0.016550512984395027,11899,3.7497358322143555,12000,,,,0.03441084176301956,-39.82865204,100.0
,,100.0,325,,,,12000,120,36,-89.81003019000002,,,
