time/time_elapsed,train/n_updates,train/ent_coef,train/learning_rate,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,rollout/ep_len_mean,time/episodes,train/actor_loss,time/fps,train/ent_coef_loss,eval/mean_ep_length,eval/mean_reward
381,,,,-71.48364304,14000,,100.0,140,,36,,,
386,14299,0.019190821796655655,0.0003,-68.74131639000001,14400,0.015352842397987843,100.0,144,8.747943878173828,37,-12.793844223022461,,
,14399,0.018759850412607193,0.0003,,14500,0.015109192579984665,,,8.953926086425781,,-12.377021789550781,100.0,-41.151168580000004
398,14699,0.01752999611198902,0.0003,-65.92362858,14800,0.014846369624137878,100.0,148,9.843268394470215,37,-10.997917175292969,,
,14899,0.0167673509567976,0.0003,,15000,0.016601834446191788,,,10.025066375732422,,-10.109853744506836,100.0,-41.247919519999996
411,15099,0.016047433018684387,0.0003,-63.80498376999999,15200,0.016494613140821457,100.0,152,10.642475128173828,36,-10.205279350280762,,
,15399,0.015049341134727001,0.0003,,15500,0.014574945904314518,,,11.019845962524414,,-8.456880569458008,100.0,-44.289444239999995
423,15499,0.014737661927938461,0.0003,-62.01475488999999,15600,0.015235505066812038,100.0,156,11.071504592895508,36,-8.102204322814941,,
,15899,0.013583296909928322,0.0003,,16000,0.014799613505601883,,,11.993224143981934,,-8.282804489135742,100.0,-39.67922744
436,,,,-59.90412637,16000,,100.0,160,,36,,,
441,16299,0.012553974986076355,0.0003,-57.97936664000001,16400,0.012189213186502457,100.0,164,12.477224349975586,37,-9.029613494873047,,
,16399,0.01232160720974207,0.0003,,16500,0.013328488916158676,,,12.812630653381348,,-7.979388236999512,100.0,-40.030744920000004
453,16699,0.011661146767437458,0.0003,-56.24871307999999,16800,0.014644077979028225,100.0,168,13.597684860229492,37,-5.207635879516602,,
,16899,0.01125350408256054,0.0003,,17000,0.013351354748010635,,,13.386971473693848,,-4.872747421264648,100.0,-39.66941582
466,17099,0.010865828953683376,0.0003,-54.821798480000005,17200,0.014814984984695911,100.0,172,14.055562019348145,36,-4.545626640319824,,
,17399,0.010339743457734585,0.0003,,17500,0.012313330546021461,,,14.359949111938477,,-4.837172508239746,100.0,-40.150752559999994
478,17499,0.010175912640988827,0.0003,-53.61601345,17600,0.012987400405108929,100.0,176,14.485833168029785,36,-3.545377016067505,,
,17899,0.009584072977304459,0.0003,,18000,0.014182544313371181,,,15.220878601074219,,-1.3950350284576416,100.0,-40.68138156
490,,,,-52.03272889,18000,,100.0,180,,36,,,
495,18299,0.009097199887037277,0.0003,-51.14905668999999,18400,0.015583822503685951,100.0,184,15.75250244140625,37,-2.7183938026428223,,
,18399,0.008989761583507061,0.0003,,18500,0.015922416001558304,,,15.66636848449707,,-1.7588779926300049,100.0,-39.709003700000004
508,18699,0.008721056394279003,0.0003,-50.09899253,18800,0.014757177792489529,100.0,188,16.257349014282227,36,-3.3334879875183105,,
,18899,0.008572320453822613,0.0003,,19000,0.017084652557969093,,,16.5155029296875,,-1.2942637205123901,100.0,-40.27504994
520,19099,0.008442683145403862,0.0003,-49.39920447,19200,0.014220405369997025,100.0,192,16.656408309936523,36,0.043668851256370544,,
,19399,0.008294356055557728,0.0003,,19500,0.016373854130506516,,,17.076431274414062,,0.5835340619087219,100.0,-42.17902189999999
533,19499,0.008261254988610744,0.0003,-48.461555440000005,19600,0.018097201362252235,100.0,196,17.29846954345703,36,0.7126883864402771,,
,19899,0.008144868537783623,0.0003,,20000,0.01394770946353674,,,17.698705673217773,,-0.6051714420318604,100.0,-43.04158261999999
545,,,,-47.61656821999999,20000,,100.0,200,,36,,,
550,20299,0.008105837740004063,0.0003,-46.70132524,20400,0.013484930619597435,100.0,204,18.475311279296875,37,2.4027373790740967,,
,20399,0.008098926395177841,0.0003,,20500,0.01422752533107996,,,18.515832901000977,,0.6164323091506958,100.0,-40.83423088
563,20699,0.008087560534477234,0.0003,-46.055880020000004,20800,0.014630899764597416,100.0,208,18.81136703491211,36,-0.1256639063358307,,
,20899,0.00810265727341175,0.0003,,21000,0.012662745080888271,,,18.75497817993164,,-0.3198850452899933,100.0,-42.14245728
575,21099,0.008125961758196354,0.0003,-45.677567520000004,21200,0.01833547279238701,100.0,212,19.161252975463867,36,-0.34484702348709106,,
,21399,0.008098307996988297,0.0003,,21500,0.015253793448209763,,,19.597394943237305,,0.602665901184082,100.0,-40.92961244
588,21499,0.008076662197709084,0.0003,-45.196747880000004,21600,0.013958458788692951,100.0,216,20.010986328125,36,0.6909967064857483,,
,21899,0.008071414195001125,0.0003,,22000,0.016188887879252434,,,20.1680908203125,,2.0804593563079834,100.0,-40.58685864
600,,,,-44.61240181,22000,,100.0,220,,36,,,
605,22299,0.008094269782304764,0.0003,-44.3736166,22400,0.018417101353406906,100.0,224,20.530559539794922,36,-0.03870517015457153,,
,22399,0.008119811303913593,0.0003,,22500,0.015180584974586964,,,20.965131759643555,,0.47087034583091736,100.0,-39.79274954
618,22699,0.008105679415166378,0.0003,-44.130140280000006,22800,0.015524083748459816,100.0,228,21.062971115112305,36,-1.3147011995315552,,
,22899,0.008078287355601788,0.0003,,23000,0.015274859964847565,,,21.32408905029297,,1.5016366243362427,100.0,-41.86019217999999
631,23099,0.008105064742267132,0.0003,-43.874103520000006,23200,0.01681741699576378,100.0,232,21.52556037902832,36,0.9015991687774658,,
,23399,0.008108203299343586,0.0003,,23500,0.020155631005764008,,,21.682607650756836,,-0.06130248308181763,100.0,-40.373342380000004
643,23499,0.008120391517877579,0.0003,-43.80049450000001,23600,0.013179049827158451,100.0,236,21.87396240234375,36,-0.21024048328399658,,
,23899,0.008160621859133244,0.0003,,24000,0.013368372805416584,,,22.326488494873047,,0.8798633217811584,100.0,-41.35294894
655,,,,-43.76458614999999,24000,,100.0,240,,36,,,
660,24299,0.00815541297197342,0.0003,-43.715698890000006,24400,0.016916664317250252,100.0,244,22.642383575439453,36,-1.7860777378082275,,
,24399,0.00814309436827898,0.0003,,24500,0.014134597033262253,,,23.0191593170166,,-0.34395352005958557,100.0,-40.00119824
673,24699,0.008181224577128887,0.0003,-43.705470829999996,24800,0.013605707325041294,100.0,248,23.32862091064453,36,-2.10406756401062,,
,24899,0.008140066638588905,0.0003,,25000,0.01330037135630846,,,23.759660720825195,,-1.502987027168274,100.0,-42.12681971999999
