rollout/ep_rew_mean,train/n_updates,train/actor_loss,time/time_elapsed,train/learning_rate,time/episodes,time/total_timesteps,rollout/ep_len_mean,time/fps,train/critic_loss,eval/mean_reward,eval/mean_ep_length
,8399,14.38830852508545,,0.001,,8500,,,0.032114915549755096,-61.92409534,100.0
-64.41320192045454,8699,14.882913589477539,112,0.001,88,8800,100.0,78,0.02989753894507885,,
,8899,15.235544204711914,,0.001,,9000,,,0.028915083035826683,-57.35257089999999,100.0
-63.88112683695651,9099,15.628944396972656,118,0.001,92,9200,100.0,77,0.025402426719665527,,
,9399,15.916770935058594,,0.001,,9500,,,0.024058278650045395,-58.80385314000001,100.0
-63.30520383333333,9499,16.044933319091797,124,0.001,96,9600,100.0,77,0.028314869850873947,,
,9899,16.533405303955078,,0.001,,10000,,,0.027368221431970596,-60.63963718,100.0
-63.01210639000001,,,130,,100,10000,100.0,76,,,
-60.585616419999994,10299,17.18096160888672,132,0.001,104,10400,100.0,78,0.025812136009335518,,
,10399,17.106042861938477,,0.001,,10500,,,0.02561096101999283,-51.38497039999999,100.0
-59.481846289999986,10699,17.451496124267578,138,0.001,108,10800,100.0,77,0.02261301688849926,,
,10899,17.6903076171875,,0.001,,11000,,,0.02356898970901966,-50.10641328,100.0
-58.84070704,11099,18.098230361938477,144,0.001,112,11200,100.0,77,0.03611185774207115,,
,11399,18.293048858642578,,0.001,,11500,,,0.027267422527074814,-49.19541168000001,100.0
-57.91988877000001,11499,18.383073806762695,150,0.001,116,11600,100.0,76,0.03885236382484436,,
,11899,18.866561889648438,,0.001,,12000,,,0.03484267741441727,-49.395675780000005,100.0
-57.06131270000001,,,156,,120,12000,100.0,76,,,
-56.62171748,12299,19.249267578125,159,0.001,124,12400,100.0,77,0.03142465278506279,,
,12399,19.42123031616211,,0.001,,12500,,,0.03298451006412506,-56.18286492,100.0
-56.22974931000001,12699,19.395523071289062,165,0.001,128,12800,100.0,77,0.0334339439868927,,
,12899,20.14720916748047,,0.001,,13000,,,0.053266044706106186,-53.37585348,100.0
-56.09159192,13099,20.13637351989746,171,0.001,132,13200,100.0,77,0.0474880076944828,,
,13399,20.585281372070312,,0.001,,13500,,,0.03562137857079506,-48.00525154000001,100.0
-55.560463809999995,13499,20.76808738708496,177,0.001,136,13600,100.0,76,0.035346515476703644,,
,13899,21.145166397094727,,0.001,,14000,,,0.0315016508102417,-48.97863785999999,100.0
-55.04356591,,,183,,140,14000,100.0,76,,,
-54.2527888,14299,21.73605728149414,185,0.001,144,14400,100.0,77,0.04152819514274597,,
,14399,21.71323013305664,,0.001,,14500,,,0.042577892541885376,-48.548986140000004,100.0
-53.858718659999994,14699,22.306480407714844,191,0.001,148,14800,100.0,77,0.03703868389129639,,
,14899,21.95167350769043,,0.001,,15000,,,0.03865513950586319,-49.573849599999996,100.0
-53.35495118,15099,22.584701538085938,197,0.001,152,15200,100.0,76,0.04919889569282532,,
,15399,22.878074645996094,,0.001,,15500,,,0.04580550268292427,-47.04034694,100.0
-52.574949540000006,15499,22.79229164123535,203,0.001,156,15600,100.0,76,0.03812777251005173,,
,15899,23.262907028198242,,0.001,,16000,,,0.046698104590177536,-55.09893991999999,100.0
-52.13076084,,,209,,160,16000,100.0,76,,,
-51.73641462,16299,23.385578155517578,211,0.001,164,16400,100.0,77,0.04220764338970184,,
,16399,23.36196517944336,,0.001,,16500,,,0.0555185005068779,-54.15370712,100.0
-51.5922335,16699,24.031272888183594,217,0.001,168,16800,100.0,77,0.05755114555358887,,
,16899,24.03497314453125,,0.001,,17000,,,0.048955038189888,-56.153792919999994,100.0
-51.36444063999999,17099,24.483469009399414,223,0.001,172,17200,100.0,76,0.0768870934844017,,
,17399,24.540279388427734,,0.001,,17500,,,0.06420885026454926,-51.47454064000001,100.0
-51.21535949000001,17499,24.761871337890625,229,0.001,176,17600,100.0,76,0.10177712142467499,,
,17899,24.79444122314453,,0.001,,18000,,,0.06721983850002289,-49.88935288,100.0
-51.2411863,,,235,,180,18000,100.0,76,,,
-51.09248597,18299,25.535717010498047,237,0.001,184,18400,100.0,77,0.059633202850818634,,
,18399,25.638946533203125,,0.001,,18500,,,0.07480709254741669,-53.05342358000001,100.0
-50.60419912,18699,25.82137680053711,243,0.001,188,18800,100.0,77,0.06997978687286377,,
,18899,26.089181900024414,,0.001,,19000,,,0.05185367166996002,-49.638811880000006,100.0
-50.60016145999999,19099,26.036975860595703,249,0.001,192,19200,100.0,76,0.05451846122741699,,
,19399,26.359832763671875,,0.001,,19500,,,0.11987215280532837,-49.91817252,100.0
-50.42855254999999,19499,26.659643173217773,255,0.001,196,19600,100.0,76,0.06737665832042694,,
,19899,27.03463363647461,,0.001,,20000,,,0.06961628794670105,-50.79213717999999,100.0
-50.381075919999994,,,261,,200,20000,100.0,76,,,
-50.31072273000001,20299,27.314136505126953,263,0.001,204,20400,100.0,77,0.06719499081373215,,
,20399,27.619373321533203,,0.001,,20500,,,0.07720862329006195,-47.60834350000001,100.0
-50.3747951,20699,28.054536819458008,270,0.001,208,20800,100.0,77,0.06098511070013046,,
,20899,27.906457901000977,,0.001,,21000,,,0.08958812057971954,-55.01869348,100.0
-50.5322171,21099,28.096893310546875,275,0.001,212,21200,100.0,76,0.06750544905662537,,
,21399,28.449460983276367,,0.001,,21500,,,0.07405687868595123,-49.569053479999994,100.0
-50.389953010000006,21499,28.27877426147461,281,0.001,216,21600,100.0,76,0.07340720295906067,,
,21899,28.72235107421875,,0.001,,22000,,,0.075459785759449,-46.32709162000001,100.0
-50.213310729999996,,,287,,220,22000,100.0,76,,,
-49.940998489999984,22299,29.007797241210938,290,0.001,224,22400,100.0,77,0.06000750511884689,,
,22399,29.276432037353516,,0.001,,22500,,,0.06978848576545715,-46.29016612,100.0
-49.86413357999999,22699,29.546852111816406,296,0.001,228,22800,100.0,77,0.07831520587205887,,
,22899,29.608989715576172,,0.001,,23000,,,0.06492535024881363,-55.49422522,100.0
-49.54047892,23099,29.93701934814453,301,0.001,232,23200,100.0,76,0.08995403349399567,,
,23399,30.017650604248047,,0.001,,23500,,,0.06400787830352783,-47.16590418,100.0
-49.595142960000004,23499,30.162534713745117,307,0.001,236,23600,100.0,76,0.06811705231666565,,
,23899,30.208057403564453,,0.001,,24000,,,0.07946477830410004,-50.25625522,100.0
-49.423828979999996,,,313,,240,24000,100.0,76,,,
-49.7290894,24299,30.804542541503906,316,0.001,244,24400,100.0,77,0.07608188688755035,,
,24399,30.81020164489746,,0.001,,24500,,,0.09199173748493195,-48.01759367999999,100.0
-49.522156560000006,24699,30.972782135009766,322,0.001,248,24800,100.0,77,0.07586744427680969,,
,24899,31.101438522338867,,0.001,,25000,,,0.08126459270715714,-49.489875440000006,100.0
-49.52652404,25099,31.002567291259766,328,0.001,252,25200,100.0,76,0.0873248279094696,,
,25399,31.329069137573242,,0.001,,25500,,,0.12669174373149872,-49.381544379999994,100.0
-50.035418840000006,25499,31.590476989746094,333,0.001,256,25600,100.0,76,0.07420212775468826,,
,25899,32.05432891845703,,0.001,,26000,,,0.08861691504716873,-50.438204639999995,100.0
-50.03821759,,,339,,260,26000,100.0,76,,,
-50.13249867000001,26299,32.427757263183594,342,0.001,264,26400,100.0,77,0.09420987963676453,,
,26399,32.66500473022461,,0.001,,26500,,,0.10006539523601532,-52.266738919999995,100.0
-49.95105219,26699,32.86383819580078,348,0.001,268,26800,100.0,76,0.10135487467050552,,
,26899,33.18358612060547,,0.001,,27000,,,0.09117968380451202,-52.90242130000001,100.0
-49.93183575,27099,32.99872970581055,354,0.001,272,27200,100.0,76,0.09595365822315216,,
,27399,32.70701599121094,,0.001,,27500,,,0.09804819524288177,-50.47453203999999,100.0
-49.91073362,27499,33.31453323364258,360,0.001,276,27600,100.0,76,0.11104120314121246,,
,27899,33.480804443359375,,0.001,,28000,,,0.12892302870750427,-50.50429217999999,100.0
-49.47682662000001,,,366,,280,28000,100.0,76,,,
-49.68312712,28299,33.56402587890625,368,0.001,284,28400,100.0,77,0.1077616959810257,,
,28399,33.43116760253906,,0.001,,28500,,,0.1036878302693367,-46.74872802,100.0
-49.74947826,28699,34.27999496459961,374,0.001,288,28800,100.0,76,0.11181052029132843,,
,28899,34.140098571777344,,0.001,,29000,,,0.07991474866867065,-47.15799006,100.0
-49.609198549999995,29099,34.16659164428711,380,0.001,292,29200,100.0,76,0.09921832382678986,,
,29399,34.38352966308594,,0.001,,29500,,,0.1568998098373413,-47.08865368,100.0
-49.6303326,29499,34.742225646972656,386,0.001,296,29600,100.0,76,0.09062624722719193,,
,29899,34.60352325439453,,0.001,,30000,,,0.11862903833389282,-48.442263839999995,100.0
-49.33869677,,,392,,300,30000,100.0,76,,,
-49.215890099999996,30299,35.26982879638672,394,0.001,304,30400,100.0,76,0.1003236174583435,,
,30399,35.28184509277344,,0.001,,30500,,,0.13106000423431396,-47.535197239999995,100.0
-49.22297487,30699,35.68071365356445,400,0.001,308,30800,100.0,76,0.06469026207923889,,
,30899,35.330142974853516,,0.001,,31000,,,0.1056128740310669,-48.2826215,100.0
-48.84266735999999,31099,35.87591552734375,406,0.001,312,31200,100.0,76,0.09447351098060608,,
,31399,35.81221008300781,,0.001,,31500,,,0.10676530003547668,-47.76305715999999,100.0
-48.91514359999999,31499,36.525699615478516,412,0.001,316,31600,100.0,76,0.1238873302936554,,
,31899,36.617366790771484,,0.001,,32000,,,0.09516797214746475,-49.96236612,100.0
-48.83920104,,,418,,320,32000,100.0,76,,,
-48.90502474,32299,36.80959701538086,421,0.001,324,32400,100.0,76,0.08679768443107605,,
,32399,37.259254455566406,,0.001,,32500,,,0.09744653105735779,-45.06544949999999,100.0
-48.857247459999996,32699,37.224159240722656,427,0.001,328,32800,100.0,76,0.10576924681663513,,
,32899,37.25929641723633,,0.001,,33000,,,0.1080971285700798,-46.96571734,100.0
-48.908839279999995,33099,37.48686981201172,432,0.001,332,33200,100.0,76,0.09608536213636398,,
,33399,37.46378707885742,,0.001,,33500,,,0.06329980492591858,-45.756422140000005,100.0
