time/time_elapsed,train/n_updates,train/ent_coef,train/learning_rate,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,rollout/ep_len_mean,time/episodes,train/actor_loss,time/fps,train/ent_coef_loss,eval/mean_ep_length,eval/mean_reward
3,299,0.9144408106803894,0.0003,-151.96823799999999,400,0.24401956796646118,100.0,4,-9.946708679199219,109,-1.0533325672149658,,
,399,0.8874073624610901,0.0003,,500,0.14424723386764526,,,-10.715167999267578,,-1.402964472770691,100.0,-60.93691114
16,699,0.8110911250114441,0.0003,-151.17018737499998,800,0.13287211954593658,100.0,8,-13.137681007385254,49,-2.4636030197143555,,
,899,0.7638982534408569,0.0003,,1000,0.18735584616661072,,,-14.575586318969727,,-3.1625633239746094,100.0,-52.09776006
28,1099,0.7194385528564453,0.0003,-149.58061291666664,1200,0.11089684069156647,100.0,12,-15.902332305908203,41,-3.883070230484009,,
,1399,0.6575633883476257,0.0003,,1500,0.08207076787948608,,,-17.50015640258789,,-4.919397354125977,100.0,-49.948485039999994
41,1499,0.6381517648696899,0.0003,-147.684936375,1600,0.09926250576972961,100.0,16,-17.98413848876953,38,-5.271604537963867,,
,1899,0.5661123394966125,0.0003,,2000,0.08393774926662445,,,-19.48305892944336,,-6.644556522369385,100.0,-45.64525254000001
53,,,,-146.8728231,2000,,100.0,20,,37,,,
58,2299,0.5022709965705872,0.0003,-144.60523916666668,2400,0.07859765738248825,100.0,24,-20.359621047973633,41,-8.033382415771484,,
,2399,0.4874815344810486,0.0003,,2500,0.09883541613817215,,,-20.722450256347656,,-8.32584285736084,100.0,-48.74877064
70,2699,0.445742666721344,0.0003,-142.79006564285714,2800,0.09470485150814056,100.0,28,-21.016077041625977,39,-9.40176773071289,,
,2899,0.4199467897415161,0.0003,,3000,0.08320218324661255,,,-21.352561950683594,,-10.080971717834473,100.0,-47.445437459999994
83,3099,0.3956911265850067,0.0003,-141.49745962499998,3200,0.06893571466207504,100.0,32,-21.24127960205078,38,-10.694095611572266,,
,3399,0.36197078227996826,0.0003,,3500,0.06561067700386047,,,-21.18602180480957,,-11.61077880859375,100.0,-48.6723955
96,3499,0.3514026701450348,0.0003,-139.7297577222222,3600,0.07125616818666458,100.0,36,-21.152088165283203,37,-11.947537422180176,,
,3899,0.31222003698349,0.0003,,4000,0.06259887665510178,,,-20.60838508605957,,-13.122579574584961,100.0,-47.89518233999999
108,,,,-138.12710307499998,4000,,100.0,40,,36,,,
113,4299,0.27756333351135254,0.0003,-135.54724638636364,4400,0.057415444403886795,100.0,44,-20.049617767333984,38,-14.33851432800293,,
,4399,0.2695435881614685,0.0003,,4500,0.05459431931376457,,,-19.879222869873047,,-14.632664680480957,100.0,-46.0536296
125,4699,0.24690236151218414,0.0003,-133.33860445833332,4800,0.04746026545763016,100.0,48,-19.53167152404785,38,-15.443214416503906,,
,4899,0.23292239010334015,0.0003,,5000,0.0377567782998085,,,-18.845407485961914,,-15.93651294708252,100.0,-45.46339032
138,5099,0.21977081894874573,0.0003,-131.0910908076923,5200,0.03442038968205452,100.0,52,-18.20741081237793,37,-16.310720443725586,,
,5399,0.20149801671504974,0.0003,,5500,0.04071243107318878,,,-17.478351593017578,,-17.037860870361328,100.0,-45.10102976
151,5499,0.19577071070671082,0.0003,-128.6992310357143,5600,0.030218034982681274,100.0,56,-17.240741729736328,36,-17.111068725585938,,
,5899,0.17451165616512299,0.0003,,6000,0.03141044080257416,,,-16.093711853027344,,-18.218021392822266,100.0,-45.93616596
163,,,,-126.7095148,6000,,100.0,60,,36,,,
168,6299,0.15567201375961304,0.0003,-124.33822135937501,6400,0.028347240760922432,100.0,64,-14.869821548461914,37,-18.733905792236328,,
,6399,0.1513119786977768,0.0003,,6500,0.023111676797270775,,,-14.652217864990234,,-18.801420211791992,100.0,-47.246139940000006
181,6699,0.1389758437871933,0.0003,-122.04150772058823,6800,0.024426648393273354,100.0,68,-13.578340530395508,37,-19.482547760009766,,
,6899,0.13135574758052826,0.0003,,7000,0.018726779147982597,,,-13.033458709716797,,-19.38730239868164,100.0,-47.36779838
193,7099,0.12416893243789673,0.0003,-119.92202609722224,7200,0.019798297435045242,100.0,72,-12.286636352539062,37,-19.956504821777344,,
,7399,0.11417499929666519,0.0003,,7500,0.017452701926231384,,,-11.23710823059082,,-19.95916175842285,100.0,-47.24076168
206,7499,0.11103415489196777,0.0003,-117.90695525000004,7600,0.016209676861763,100.0,76,-11.04096794128418,36,-20.195049285888672,,
,7899,0.09934720396995544,0.0003,,8000,0.020365135744214058,,,-9.501001358032227,,-20.439970016479492,100.0,-46.73704972
219,,,,-115.81546143750002,8000,,100.0,80,,36,,,
224,8299,0.08895078301429749,0.0003,-113.83761396428574,8400,0.017431890591979027,100.0,84,-8.26685905456543,37,-20.448556900024414,,
,8399,0.08654047548770905,0.0003,,8500,0.019015703350305557,,,-7.998452186584473,,-20.80144500732422,100.0,-48.25264652
236,8699,0.07971767336130142,0.0003,-112.09455385227271,8800,0.01632123813033104,100.0,88,-7.218300819396973,37,-20.85903549194336,,
,8899,0.0754794254899025,0.0003,,9000,0.015789160504937172,,,-6.261482238769531,,-20.885540008544922,100.0,-46.49223014000001
249,9099,0.07147757709026337,0.0003,-110.31032426086954,9200,0.014977991580963135,100.0,92,-5.615946292877197,36,-20.126249313354492,,
,9399,0.06590182334184647,0.0003,,9500,0.013786789029836655,,,-5.030537128448486,,-20.606077194213867,100.0,-42.30599524000001
261,9499,0.0641474574804306,0.0003,-108.4831846875,9600,0.012049454264342785,100.0,96,-4.637168884277344,36,-20.932466506958008,,
,9899,0.05761801451444626,0.0003,,10000,0.014884043484926224,,,-3.2503020763397217,,-20.82253074645996,100.0,-41.63313169999999
274,,,,-106.67223932,10000,,100.0,100,,36,,,
279,10299,0.05180983617901802,0.0003,-102.84866696999998,10400,0.014675213024020195,100.0,104,-2.1390767097473145,37,-20.59623908996582,,
,10399,0.050461236387491226,0.0003,,10500,0.014035757631063461,,,-1.7253949642181396,,-20.347930908203125,100.0,-40.68819296000001
