train/learning_rate,train/n_updates,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/actor_loss,time/total_timesteps,train/ent_coef,train/critic_loss,train/ent_coef_loss,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
0.0003,7399,,,,,-27.28260612487793,7500,0.1218373030424118,2.533170461654663,-18.68607521057129,,-137.42004572,328.1
0.0003,7899,,,,,-25.445480346679688,8000,0.10593143850564957,2.4202842712402344,-17.7515926361084,,-125.32024971999999,354.7
0.0003,8278,44,-130.55426554545457,190.4318181818182,15,-23.512821197509766,8379,0.09537003189325333,2.712749481201172,-18.92603302001953,534,,
0.0003,8399,,,,,-23.213890075683594,8500,0.09223731607198715,2.4236702919006348,-19.12701416015625,,-120.92654822,346.0
0.0003,8899,,,,,-21.538650512695312,9000,0.08037731796503067,2.0999207496643066,-19.84868621826172,,-145.21473714,379.4
0.0003,9399,,,,,-20.365283966064453,9500,0.07007566094398499,1.9344433546066284,-18.84577178955078,,-117.82101744000002,374.64
0.0003,9507,48,-134.51217047916666,200.16666666666666,16,-19.997392654418945,9608,0.06805088371038437,2.0770552158355713,-18.44261932373047,599,,
0.0003,9899,,,,,-18.747400283813477,10000,0.061153508722782135,2.3505289554595947,-19.10584259033203,,-102.51435,375.1
0.0003,9908,52,-130.28489855769232,192.48076923076923,16,-18.87005043029785,10009,0.06100303679704666,1.9633066654205322,-18.558582305908203,621,,
0.0003,10399,,,,,-17.440370559692383,10500,0.05339856073260307,2.115110397338867,-19.50741958618164,,-87.15009149999997,373.26
0.0003,10899,,,,,-15.671914100646973,11000,0.046730831265449524,2.360403299331665,-19.098962783813477,,-106.75358782,436.76
0.0003,11399,,,,,-13.668426513671875,11500,0.040982842445373535,1.923946738243103,-17.47585105895996,,-56.87589674,325.02
0.0003,11443,56,-137.08926201785715,206.14285714285714,16,-14.361019134521484,11544,0.04051432013511658,1.8235663175582886,-17.207427978515625,691,,
0.0003,11782,60,-130.612671,198.05,17,-12.803326606750488,11883,0.0370902493596077,1.7484732866287231,-18.64278793334961,694,,
0.0003,11899,,,,,-12.862842559814453,12000,0.0359797403216362,2.349743604660034,-15.567153930664062,,-51.712236880000006,367.98
0.0003,12399,,,,,-11.060930252075195,12500,0.031672507524490356,1.7312389612197876,-15.51618766784668,,-53.38914820000001,453.32
0.0003,12899,,,,,-10.17447280883789,13000,0.027959980070590973,2.002267837524414,-15.232087135314941,,-52.82638578000001,426.46
