train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss,rollout/ep_len_mean,train/actor_loss,time/fps,train/ent_coef_loss,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,eval/mean_ep_length,eval/mean_reward
0.9144220352172852,0.0003,299,0.23508021235466003,100.0,-10.046932220458984,127,-1.055356740951538,4,-154.11380549999998,3,400,,
0.8873912692070007,0.0003,399,0.20433221757411957,,-10.782350540161133,,-1.39884352684021,,,,500,100.0,-59.64010712
0.81107097864151,0.0003,699,0.15180331468582153,100.0,-13.110649108886719,59,-2.451007843017578,8,-152.76745262499998,13,800,,
0.7639070153236389,0.0003,899,0.15462937951087952,,-14.614883422851562,,-3.1788456439971924,,,,1000,100.0,-54.540905820000006
0.7194562554359436,0.0003,1099,0.11900963634252548,100.0,-15.806142807006836,50,-3.866372585296631,12,-153.47434366666667,23,1200,,
0.6575673818588257,0.0003,1399,0.09101283550262451,,-17.246742248535156,,-4.914536476135254,,,,1500,100.0,-53.27152736000001
0.638139009475708,0.0003,1499,0.09198422729969025,100.0,-17.83945083618164,46,-5.26430606842041,16,-151.5867130625,34,1600,,
0.5660152435302734,0.0003,1899,0.09142982959747314,,-19.214595794677734,,-6.648942947387695,,,,2000,100.0,-49.54577781999999
,,,,100.0,,44,,20,-150.7264854,44,2000,,
0.5021376013755798,0.0003,2299,0.08211886137723923,100.0,-20.122297286987305,49,-8.061124801635742,24,-148.649665875,48,2400,,
0.48735326528549194,0.0003,2399,0.10508814454078674,,-20.38277244567871,,-8.38309383392334,,,,2500,100.0,-44.260996520000006
0.44560593366622925,0.0003,2699,0.0772576853632927,100.0,-20.907161712646484,47,-9.34920883178711,28,-145.93473271428573,58,2800,,
0.41981935501098633,0.0003,2899,0.07386115938425064,,-20.83877944946289,,-10.036245346069336,,,,3000,100.0,-45.060020460000004
0.3955623209476471,0.0003,3099,0.07373109459877014,100.0,-20.770740509033203,46,-10.724803924560547,32,-144.11939287500002,69,3200,,
0.3618508279323578,0.0003,3399,0.06437425315380096,,-20.793447494506836,,-11.696249961853027,,,,3500,100.0,-48.3549761
0.3512814939022064,0.0003,3499,0.06601506471633911,100.0,-20.79123306274414,45,-12.056364059448242,36,-141.58115252777782,79,3600,,
0.3120810091495514,0.0003,3899,0.05573529377579689,,-20.462690353393555,,-13.251174926757812,,,,4000,100.0,-48.08917403999999
,,,,100.0,,44,,40,-139.7545743,89,4000,,
