train/critic_loss,time/total_timesteps,train/actor_loss,eval/mean_ep_length,train/learning_rate,train/n_updates,eval/mean_reward,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/episodes,time/time_elapsed
4.028145790100098,500,-98.87789916992188,1000.0,0.001,399,36047.458319800004,,,,,
5.52724552154541,1000,-151.97647094726562,1000.0,0.001,899,35812.27592088,,,,,
16.40576171875,1500,-200.1173858642578,1000.0,0.001,1399,35660.10954322,,,,,
12.253326416015625,2000,-250.0197296142578,1000.0,0.001,1899,35661.61329306001,,,,,
19.81438446044922,2500,-288.39996337890625,1000.0,0.001,2399,35886.030505480005,,,,,
11.506750106811523,3000,-323.33465576171875,1000.0,0.001,2899,35853.15423002,,,,,
81.69967651367188,3500,-358.8472595214844,1000.0,0.001,3399,35853.15424746,,,,,
18.05668067932129,4000,-411.72332763671875,1000.0,0.001,3899,35853.15423002,,,,,
,4000,,,,,,41686.12616225,8,1000.0,4,464
40.57828903198242,4500,-440.09033203125,1000.0,0.001,4399,35853.154246900005,,,,,
195.07699584960938,5000,-479.4937744140625,1000.0,0.001,4899,36196.898696000004,,,,,
26.41044044494629,5500,-539.371337890625,1000.0,0.001,5399,36221.84261176,,,,,
58.59357833862305,6000,-591.6961669921875,1000.0,0.001,5899,36241.7920012,,,,,
57.369483947753906,6500,-656.072998046875,1000.0,0.001,6399,36241.74360654,,,,,
44.000118255615234,7000,-669.2669067382812,1000.0,0.001,6899,36241.193613940006,,,,,
35.86472702026367,7500,-714.5841674804688,1000.0,0.001,7399,36241.99304862,,,,,
160.54800415039062,8000,-768.888427734375,1000.0,0.001,7899,36241.66313934,,,,,
,8000,,,,,,39026.3373635,8,1000.0,8,923
37.65680694580078,8500,-814.8505859375,1000.0,0.001,8399,36241.66360676,,,,,
54.50065612792969,9000,-833.1896362304688,1000.0,0.001,8899,36241.66368728,,,,,
27.401538848876953,9500,-840.0750732421875,1000.0,0.001,9399,36241.66380920001,,,,,
92.7833251953125,10000,-888.615234375,1000.0,0.001,9899,36241.65504906,,,,,
41.36311340332031,10500,-911.6812744140625,1000.0,0.001,10399,36241.65517844,,,,,
60.02998352050781,11000,-967.4405517578125,1000.0,0.001,10899,36241.664001540004,,,,,
64.92900848388672,11500,-999.6710815429688,1000.0,0.001,11399,36241.6640969,,,,,
48.617042541503906,12000,-1020.3311157226562,1000.0,0.001,11899,36241.664180399996,,,,,
,12000,,,,,,38090.63884691667,8,1000.0,12,1384
76.72930145263672,12500,-1059.084228515625,1000.0,0.001,12399,36241.66398742,,,,,
43.02863311767578,13000,-1092.6990966796875,1000.0,0.001,12899,36241.7852436,,,,,
25.359699249267578,13500,-1107.081298828125,1000.0,0.001,13399,36241.19446454,,,,,
168.86363220214844,14000,-1141.116455078125,1000.0,0.001,13899,36241.19410534,,,,,
94.52011108398438,14500,-1178.1005859375,1000.0,0.001,14399,36241.739494479996,,,,,
26.99149513244629,15000,-1182.7822265625,1000.0,0.001,14899,36241.8558131,,,,,
89.15730285644531,15500,-1224.888427734375,1000.0,0.001,15399,36241.86235646,,,,,
200.96026611328125,16000,-1242.523193359375,1000.0,0.001,15899,36241.81892078,,,,,
,16000,,,,,,37614.872667062504,8,1000.0,16,1847
22.784231185913086,16500,-1303.055419921875,1000.0,0.001,16399,36241.681321280004,,,,,
68.16473388671875,17000,-1308.1285400390625,1000.0,0.001,16899,36242.00176318,,,,,
116.0860366821289,17500,-1334.99462890625,1000.0,0.001,17399,36242.0863428,,,,,
40.38793182373047,18000,-1367.4422607421875,1000.0,0.001,17899,36242.03556264,,,,,
40.90509033203125,18500,-1393.8818359375,1000.0,0.001,18399,36242.010566499994,,,,,
252.84695434570312,19000,-1409.656982421875,1000.0,0.001,18899,36241.76173192,,,,,
112.98664093017578,19500,-1438.330810546875,1000.0,0.001,19399,36242.0902282,,,,,
50.8099365234375,20000,-1462.9521484375,1000.0,0.001,19899,36242.1058724,,,,,
,20000,,,,,,37332.76398855,8,1000.0,20,2332
65.9087142944336,20500,-1488.1318359375,1000.0,0.001,20399,36241.83773202,,,,,
141.59652709960938,21000,-1521.92431640625,1000.0,0.001,20899,36241.81633692,,,,,
34.75025177001953,21500,-1529.0853271484375,1000.0,0.001,21399,36241.58767,,,,,
52.395103454589844,22000,-1568.691650390625,1000.0,0.001,21899,36241.58778578,,,,,
112.35293579101562,22500,-1582.3558349609375,1000.0,0.001,22399,36241.96405296,,,,,
100.29005432128906,23000,-1604.286865234375,1000.0,0.001,22899,36241.92718206,,,,,
433.7255554199219,23500,-1641.8072509765625,1000.0,0.001,23399,36241.31322302,,,,,
141.09136962890625,24000,-1640.04443359375,1000.0,0.001,23899,36241.527697679994,,,,,
,24000,,,,,,37137.779426416666,8,1000.0,24,2867
24.98305892944336,24500,-1680.7979736328125,1000.0,0.001,24399,36241.90649642,,,,,
43.779666900634766,25000,-1677.541015625,1000.0,0.001,24899,36241.97211062,,,,,
222.69053649902344,25500,-1712.455810546875,1000.0,0.001,25399,36241.97220424,,,,,
50.45735549926758,26000,-1715.7286376953125,1000.0,0.001,25899,36241.972566360004,,,,,
93.27676391601562,26500,-1722.7906494140625,1000.0,0.001,26399,36241.97258812,,,,,
38.6942138671875,27000,-1769.217041015625,1000.0,0.001,26899,36241.97268244,,,,,
115.5538558959961,27500,-1778.3236083984375,1000.0,0.001,27399,36241.97271466,,,,,
44.89978790283203,28000,-1793.97705078125,1000.0,0.001,27899,36241.9727565,,,,,
,28000,,,,,,37000.00154607143,8,1000.0,28,3401
63.989383697509766,28500,-1795.747802734375,1000.0,0.001,28399,36241.9733177,,,,,
93.35873413085938,29000,-1843.368896484375,1000.0,0.001,28899,36241.9733177,,,,,
229.14016723632812,29500,-1872.897216796875,1000.0,0.001,29399,36241.9733177,,,,,
48.16613006591797,30000,-1878.00439453125,1000.0,0.001,29899,36241.9733177,,,,,
61.9331169128418,30500,-1899.556640625,1000.0,0.001,30399,36241.9733177,,,,,
120.1682357788086,31000,-1910.502685546875,1000.0,0.001,30899,36241.9733177,,,,,
453.2213134765625,31500,-1909.36474609375,1000.0,0.001,31399,36241.9733177,,,,,
82.14976501464844,32000,-1957.47607421875,1000.0,0.001,31899,36241.9733177,,,,,
,32000,,,,,,36917.2815385,8,1000.0,32,3932
30.941972732543945,32500,-1964.4051513671875,1000.0,0.001,32399,36241.9733177,,,,,
81.3497085571289,33000,-1965.275146484375,1000.0,0.001,32899,36241.9733177,,,,,
74.28299713134766,33500,-1987.7734375,1000.0,0.001,33399,36405.0336053,,,,,
91.92050170898438,34000,-2053.110107421875,1000.0,0.001,33899,36407.3766011,,,,,
