train/critic_loss,eval/mean_ep_length,train/actor_loss,time/total_timesteps,train/learning_rate,eval/mean_reward,train/n_updates,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/episodes
4.002300262451172,1000.0,-101.20549011230469,500,0.001,36264.043360020005,399,,,,,
11.103857040405273,1000.0,-154.1302032470703,1000,0.001,44514.16084484,899,,,,,
4.148756504058838,1000.0,-209.5292205810547,1500,0.001,35648.50093772,1399,,,,,
33.71045684814453,1000.0,-256.97650146484375,2000,0.001,35648.82824688,1899,,,,,
18.577133178710938,1000.0,-292.93109130859375,2500,0.001,35648.49823226,2399,,,,,
7.174762725830078,1000.0,-330.10723876953125,3000,0.001,35648.4979806,2899,,,,,
42.75141906738281,1000.0,-360.94964599609375,3500,0.001,35648.828162080004,3399,,,,,
20.068096160888672,1000.0,-424.4652099609375,4000,0.001,35079.436621019995,3899,,,,,
,,,4000,,,,1000.0,413,42990.6520155,9,4
33.12676239013672,1000.0,-446.27728271484375,4500,0.001,34997.94867582,4399,,,,,
41.42917251586914,1000.0,-486.2248229980469,5000,0.001,36394.09973652,4899,,,,,
113.33504486083984,1000.0,-546.2099609375,5500,0.001,36382.8769294,5399,,,,,
68.92058563232422,1000.0,-598.3304443359375,6000,0.001,36382.833146000004,5899,,,,,
77.33793640136719,1000.0,-674.88427734375,6500,0.001,36382.8331033,6399,,,,,
97.90811157226562,1000.0,-696.897705078125,7000,0.001,36382.83305064,6899,,,,,
44.009254455566406,1000.0,-749.2726440429688,7500,0.001,36382.83297128,7399,,,,,
112.72346496582031,1000.0,-806.6903076171875,8000,0.001,36382.824775040004,7899,,,,,
,,,8000,,,,1000.0,899,39591.91078425,8,8
85.58527374267578,1000.0,-856.9415283203125,8500,0.001,36382.943976380004,8399,,,,,
150.6210174560547,1000.0,-892.8695678710938,9000,0.001,27783.334631439997,8899,,,,,
24.238582611083984,1000.0,-894.45361328125,9500,0.001,44028.640163280004,9399,,,,,
37.680885314941406,1000.0,-946.368408203125,10000,0.001,54692.29122505999,9899,,,,,
98.78317260742188,1000.0,-980.0169677734375,10500,0.001,53239.91510165999,10399,,,,,
104.45230102539062,1000.0,-1061.2041015625,11000,0.001,54858.85639167999,10899,,,,,
53.3283576965332,1000.0,-1098.5338134765625,11500,0.001,52944.254721,11399,,,,,
184.14996337890625,1000.0,-1153.27001953125,12000,0.001,44150.14061906,11899,,,,,
,,,12000,,,,1000.0,1411,41839.461708916664,8,12
85.71028900146484,1000.0,-1209.7974853515625,12500,0.001,52931.122809340006,12399,,,,,
115.34886169433594,1000.0,-1222.521240234375,13000,0.001,52512.46790406,12899,,,,,
69.23833465576172,1000.0,-1261.6785888671875,13500,0.001,52518.566673639994,13399,,,,,
208.13009643554688,1000.0,-1321.34716796875,14000,0.001,52525.768384719995,13899,,,,,
82.7359619140625,1000.0,-1373.796142578125,14500,0.001,52516.33284536,14399,,,,,
57.343017578125,1000.0,-1432.541259765625,15000,0.001,52494.763857679995,14899,,,,,
180.28128051757812,1000.0,-1451.2877197265625,15500,0.001,52493.50615719999,15399,,,,,
139.7059326171875,1000.0,-1500.496337890625,16000,0.001,47270.973250359995,15899,,,,,
,,,16000,,,,1000.0,1919,42262.6478000625,8,16
121.0782699584961,1000.0,-1493.731201171875,16500,0.001,50880.31064398,16399,,,,,
152.22308349609375,1000.0,-1548.414306640625,17000,0.001,35843.89613706,16899,,,,,
75.97162628173828,1000.0,-1592.099853515625,17500,0.001,38760.99440886,17399,,,,,
89.02816772460938,1000.0,-1615.3935546875,18000,0.001,38760.904648699994,17899,,,,,
130.28587341308594,1000.0,-1609.336669921875,18500,0.001,38760.91473698,18399,,,,,
363.92529296875,1000.0,-1691.203857421875,19000,0.001,38760.91473698,18899,,,,,
409.5870361328125,1000.0,-1704.7401123046875,19500,0.001,38760.91532262,19399,,,,,
73.3822021484375,1000.0,-1708.2745361328125,20000,0.001,38760.83397278,19899,,,,,
,,,20000,,,,1000.0,2408,41825.56525635,8,20
99.62655639648438,1000.0,-1706.59619140625,20500,0.001,38760.827302339996,20399,,,,,
322.5926513671875,1000.0,-1758.39599609375,21000,0.001,38760.417938319995,20899,,,,,
59.36081314086914,1000.0,-1764.1326904296875,21500,0.001,38760.418006399996,21399,,,,,
141.8667449951172,1000.0,-1850.037353515625,22000,0.001,38760.418266559995,21899,,,,,
206.9438934326172,1000.0,-1845.9130859375,22500,0.001,38760.41826414,22399,,,,,
181.19110107421875,1000.0,-1834.1214599609375,23000,0.001,38760.418504459994,22899,,,,,
278.76226806640625,1000.0,-1909.056884765625,23500,0.001,38760.41188646,23399,,,,,
246.2537384033203,1000.0,-1861.2529296875,24000,0.001,38760.41199832,23899,,,,,
,,,24000,,,,1000.0,2898,40555.637552875,8,24
118.68014526367188,1000.0,-1903.08251953125,24500,0.001,38760.412057839996,24399,,,,,
101.38075256347656,1000.0,-1905.0718994140625,25000,0.001,38760.41183302,24899,,,,,
234.90841674804688,1000.0,-1897.708740234375,25500,0.001,38760.41183302,25399,,,,,
140.43614196777344,1000.0,-1860.142822265625,26000,0.001,38760.41184126,25899,,,,,
383.6356201171875,1000.0,-1953.85009765625,26500,0.001,38760.41853264,26399,,,,,
119.0947265625,1000.0,-2012.0032958984375,27000,0.001,38760.411854319995,26899,,,,,
254.2567138671875,1000.0,-2022.3524169921875,27500,0.001,38760.41856462,27399,,,,,
223.70693969726562,1000.0,-2032.3983154296875,28000,0.001,38760.41852957999,27899,,,,,
,,,28000,,,,1000.0,3383,40450.57574546429,8,28
