rollout/ep_len_mean,train/ent_coef_loss,time/fps,train/actor_loss,rollout/ep_rew_mean,time/episodes,train/ent_coef,time/total_timesteps,train/critic_loss,time/time_elapsed,train/n_updates,train/learning_rate,eval/mean_ep_length,eval/mean_reward
100.0,,36,,-131.33638491666667,60,,6000,,163,,,,
100.0,-18.974782943725586,37,-14.134689331054688,-129.24812903125002,64,0.1553366780281067,6400,0.02978966385126114,169,6299,0.0003,,
,-19.118202209472656,,-13.99998664855957,,,0.15097714960575104,6500,0.029273372143507004,,6399,0.0003,100.0,-48.44580182
100.0,-19.178247451782227,37,-12.916059494018555,-127.28941680882356,68,0.13865941762924194,6800,0.029016077518463135,181,6699,0.0003,,
,-20.02957534790039,,-12.382431030273438,,,0.13104811310768127,7000,0.023741621524095535,,6899,0.0003,100.0,-46.19660637999999
100.0,-19.93284034729004,37,-11.500778198242188,-124.8245061111111,72,0.12387622892856598,7200,0.026158086955547333,193,7099,0.0003,,
,-20.24772071838379,,-10.493789672851562,,,0.11391467601060867,7500,0.022947080433368683,,7399,0.0003,100.0,-45.56464218
100.0,-20.117473602294922,36,-10.259735107421875,-122.40257894736841,76,0.11078669130802155,7600,0.022036239504814148,206,7499,0.0003,,
,-20.550655364990234,,-8.849761009216309,,,0.09916744381189346,8000,0.022273799404501915,,7899,0.0003,100.0,-46.3891752
100.0,,36,,-120.01619586249998,80,,8000,,218,,,,
100.0,-20.474090576171875,37,-7.405893325805664,-117.90494214285711,84,0.08884076774120331,8400,0.01816616579890251,223,8299,0.0003,,
,-20.277233123779297,,-7.068672180175781,,,0.0864434689283371,8500,0.019567066803574562,,8399,0.0003,100.0,-44.66799804
100.0,-21.08397674560547,37,-6.097208023071289,-115.83525795454544,88,0.07964975386857986,8800,0.020057812333106995,235,8699,0.0003,,
,-21.275205612182617,,-5.48812198638916,,,0.07543036341667175,9000,0.017494190484285355,,8899,0.0003,100.0,-43.12666536
100.0,-21.455324172973633,37,-4.781506061553955,-113.7876304347826,92,0.07145284116268158,9200,0.015992142260074615,248,9099,0.0003,,
,-20.308879852294922,,-4.033748626708984,,,0.06589394807815552,9500,0.01737133041024208,,9399,0.0003,100.0,-42.69493437999999
100.0,-20.459741592407227,36,-3.5352542400360107,-111.72391633333332,96,0.06414427608251572,9600,0.01803906261920929,260,9499,0.0003,,
