train/learning_rate,train/n_updates,rollout/ep_rew_mean,time/total_timesteps,train/actor_loss,rollout/ep_len_mean,time/episodes,time/fps,train/critic_loss,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
0.001,299,-146.72638125,400,2.197976589202881,100.0,4,283,0.010421897284686565,1,,
0.001,399,,500,2.332350015640259,,,,0.00790441781282425,,-91.63461788,100.0
0.001,699,-117.182171875,800,2.8347206115722656,100.0,8,164,0.004112446680665016,4,,
0.001,899,,1000,3.1257948875427246,,,,0.00829857587814331,,-64.38381618,100.0
0.001,1099,-101.11422958333333,1200,3.2972888946533203,100.0,12,141,0.006927688140422106,8,,
0.001,1399,,1500,3.6506290435791016,,,,0.010327578522264957,,-60.81215518000001,100.0
0.001,1499,-91.38233775,1600,3.7685532569885254,100.0,16,124,0.009750775061547756,12,,
0.001,1899,,2000,4.456145286560059,,,,0.016420070081949234,,-56.71400054000001,100.0
,,-84.51311955,2000,,100.0,20,116,,17,,
0.001,2299,-80.02899679166667,2400,4.935454368591309,100.0,24,127,0.02185852825641632,18,,
0.001,2399,,2500,5.213892936706543,,,,0.01814960315823555,,-58.36036258,100.0
0.001,2699,-77.24297428571427,2800,5.634123802185059,100.0,28,118,0.01982257515192032,23,,
0.001,2899,,3000,5.9703288078308105,,,,0.0165218785405159,,-57.32188278,100.0
0.001,3099,-74.59240406250001,3200,6.318426132202148,100.0,32,111,0.019309671595692635,28,,
0.001,3399,,3500,6.6947784423828125,,,,0.02581125684082508,,-54.010494739999984,100.0
0.001,3499,-72.25728391666667,3600,6.922904014587402,100.0,36,106,0.021135788410902023,33,,
0.001,3899,,4000,7.438959121704102,,,,0.025294888764619827,,-50.08643532000001,100.0
,,-69.9947995,4000,,100.0,40,101,,39,,
0.001,4299,-67.84963970454545,4400,7.87733268737793,100.0,44,105,0.024781566113233566,41,,
0.001,4399,,4500,8.210988998413086,,,,0.03349878638982773,,-52.80534672000001,100.0
0.001,4699,-66.717679125,4800,8.770355224609375,100.0,48,99,0.02576163411140442,48,,
0.001,4899,,5000,8.932143211364746,,,,0.031916387379169464,,-46.354041880000004,100.0
0.001,5099,-65.0504749423077,5200,9.263822555541992,100.0,52,95,0.02783927693963051,54,,
0.001,5399,,5500,9.515066146850586,,,,0.025770951062440872,,-46.31500108,100.0
0.001,5499,-63.51676533928571,5600,9.68514633178711,100.0,56,91,0.030818454921245575,61,,
0.001,5899,,6000,10.35470962524414,,,,0.030320480465888977,,-47.80123544,100.0
,,-62.56763156666667,6000,,100.0,60,88,,67,,
0.001,6299,-61.29719003125,6400,10.983047485351562,100.0,64,91,0.03268902003765106,69,,
0.001,6399,,6500,11.060144424438477,,,,0.0282010268419981,,-47.835565859999996,100.0
0.001,6699,-60.09700013235293,6800,11.310905456542969,100.0,68,88,0.03035333938896656,76,,
0.001,6899,,7000,11.396919250488281,,,,0.05701133608818054,,-54.32165802,100.0
0.001,7099,-59.29402869444444,7200,11.841230392456055,100.0,72,86,0.026943925768136978,82,,
0.001,7399,,7500,12.212251663208008,,,,0.03306139260530472,,-50.70290610000001,100.0
0.001,7499,-58.909140802631576,7600,12.3985595703125,100.0,76,84,0.039405256509780884,89,,
0.001,7899,,8000,12.8965482711792,,,,0.03861035779118538,,-49.08969080000001,100.0
,,-58.394960425,8000,,100.0,80,83,,95,,
0.001,8299,-58.16136435714285,8400,13.32033920288086,100.0,84,85,0.032039009034633636,98,,
0.001,8399,,8500,13.465679168701172,,,,0.03174915537238121,,-53.34603018,100.0
0.001,8699,-57.816659249999994,8800,13.931427001953125,100.0,88,83,0.02926812693476677,104,,
0.001,8899,,9000,14.336210250854492,,,,0.03599260002374649,,-51.76826158,100.0
0.001,9099,-57.6352981521739,9200,14.466018676757812,100.0,92,82,0.04468800872564316,111,,
0.001,9399,,9500,14.736939430236816,,,,0.055105164647102356,,-52.48696832,100.0
0.001,9499,-57.31233360416667,9600,15.068513870239258,100.0,96,81,0.03770767152309418,117,,
0.001,9899,,10000,15.606489181518555,,,,0.035784922540187836,,-50.77161968,100.0
,,-57.2157847,10000,,100.0,100,80,,124,,
0.001,10299,-53.340718190000004,10400,16.04058074951172,100.0,104,82,0.04227037727832794,126,,
0.001,10399,,10500,16.33731460571289,,,,0.1203036904335022,,-46.592413379999996,100.0
0.001,10699,-51.72119810000001,10800,16.428564071655273,100.0,108,80,0.032756783068180084,133,,
0.001,10899,,11000,16.91303253173828,,,,0.036748744547367096,,-46.90281768,100.0
0.001,11099,-50.79603392,11200,17.003896713256836,100.0,112,80,0.03803946077823639,139,,
0.001,11399,,11500,17.535919189453125,,,,0.04428255558013916,,-45.34130982,100.0
0.001,11499,-50.23041264999999,11600,17.436376571655273,100.0,116,79,0.042653732001781464,146,,
0.001,11899,,12000,17.88802719116211,,,,0.03603438287973404,,-45.31722983999998,100.0
,,-49.87719262,12000,,100.0,120,78,,152,,
0.001,12299,-49.43101017,12400,18.542207717895508,100.0,124,79,0.03550036996603012,155,,
0.001,12399,,12500,18.470001220703125,,,,0.042390916496515274,,-44.527419120000005,100.0
0.001,12699,-48.7171274,12800,18.765060424804688,100.0,128,79,0.04524322599172592,161,,
0.001,12899,,13000,19.229232788085938,,,,0.04178205877542496,,-44.46379576,100.0
0.001,13099,-48.440094200000004,13200,19.230051040649414,100.0,132,78,0.04696068540215492,168,,
0.001,13399,,13500,19.56979751586914,,,,0.04856279492378235,,-46.934258039999996,100.0
0.001,13499,-48.151955459999996,13600,19.857006072998047,100.0,136,77,0.06642651557922363,175,,
0.001,13899,,14000,19.9931640625,,,,0.04745978116989136,,-44.887086679999996,100.0
,,-48.014777630000005,14000,,100.0,140,77,,181,,
0.001,14299,-48.0011179,14400,20.45954132080078,100.0,144,78,0.03654670715332031,184,,
0.001,14399,,14500,20.818561553955078,,,,0.033198267221450806,,-45.26748229999999,100.0
0.001,14699,-47.490871340000005,14800,20.911542892456055,100.0,148,77,0.057245731353759766,190,,
0.001,14899,,15000,20.968097686767578,,,,0.04279094561934471,,-44.89931594000001,100.0
0.001,15099,-47.456086959999986,15200,21.62451171875,100.0,152,77,0.05057642608880997,197,,
0.001,15399,,15500,21.41974639892578,,,,0.04026617482304573,,-44.98821228,100.0
0.001,15499,-47.50351213000001,15600,21.566364288330078,100.0,156,76,0.05071728304028511,203,,
0.001,15899,,16000,21.943763732910156,,,,0.05891673266887665,,-43.857300800000004,100.0
,,-47.156121920000004,16000,,100.0,160,76,,210,,
0.001,16299,-47.22268043000001,16400,22.416488647460938,100.0,164,77,0.04808136820793152,212,,
0.001,16399,,16500,22.829355239868164,,,,0.05346313491463661,,-44.476427300000005,100.0
0.001,16699,-47.29011428,16800,22.94164276123047,100.0,168,76,0.04970954731106758,219,,
0.001,16899,,17000,23.08013916015625,,,,0.07995937764644623,,-44.67773326,100.0
0.001,17099,-46.999439360000004,17200,23.289390563964844,100.0,172,76,0.05535494536161423,225,,
0.001,17399,,17500,23.732059478759766,,,,0.056604936718940735,,-44.896356239999996,100.0
0.001,17499,-46.91551744,17600,23.4626407623291,100.0,176,75,0.049330852925777435,232,,
0.001,17899,,18000,24.138938903808594,,,,0.0674540102481842,,-43.291416520000006,100.0
,,-46.67353634999999,18000,,100.0,180,75,,238,,
0.001,18299,-46.30521921,18400,24.46682357788086,100.0,184,76,0.04954637587070465,241,,
0.001,18399,,18500,24.59531021118164,,,,0.050696179270744324,,-44.2316102,100.0
0.001,18699,-45.882927710000004,18800,24.591245651245117,100.0,188,75,0.04851121827960014,247,,
0.001,18899,,19000,24.532588958740234,,,,0.04712417349219322,,-43.217359720000005,100.0
0.001,19099,-45.40736465999999,19200,25.096641540527344,100.0,192,75,0.0628090351819992,254,,
0.001,19399,,19500,25.465290069580078,,,,0.06133846193552017,,-41.89619080000001,100.0
0.001,19499,-45.015321240000006,19600,25.443614959716797,100.0,196,75,0.06136750429868698,260,,
0.001,19899,,20000,25.813690185546875,,,,0.05414256080985069,,-42.06741442,100.0
