time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
15,89.77533282352941,68,84,19.470588235294116,1324,0.0003,-68.92448425292969,17.598594665527344,1223,-10.284219741821289,0.689306914806366,,
16,88.90936265277777,72,84,19.291666666666668,1389,0.0003,-71.87440490722656,8.502942085266113,1288,-10.736652374267578,0.6761203408241272,,
17,88.80289318421052,76,84,19.263157894736842,1464,0.0003,-72.79898071289062,21.063941955566406,1363,-11.426984786987305,0.6612101197242737,,
,,,,,1500,0.0003,-75.74554443359375,16.893186569213867,1399,-11.68414306640625,0.6541600227355957,95.57645506,19.82
19,89.956323575,80,78,19.4875,1559,0.0003,-76.52696990966797,14.597381591796875,1458,-12.169700622558594,0.6427789330482483,,
20,91.15574947619048,84,79,19.714285714285715,1656,0.0003,-75.84130859375,18.52657699584961,1555,-12.897871017456055,0.6245414018630981,,
21,92.27583476136364,88,80,19.90909090909091,1752,0.0003,-80.23178100585938,10.155498504638672,1651,-13.71642017364502,0.6070365309715271,,
22,93.02708128260869,92,81,20.032608695652176,1843,0.0003,-81.47557067871094,19.017858505249023,1742,-14.367631912231445,0.5909237265586853,,
24,95.79600207291666,96,81,20.59375,1977,0.0003,-88.19352722167969,15.844461441040039,1876,-15.091099739074707,0.5681381821632385,,
,,,,,2000,0.0003,-83.5428466796875,14.20405387878418,1899,-15.360867500305176,0.5643211007118225,202.48130634000006,41.68
28,98.64163780000001,100,73,21.2,2120,0.0003,-88.4311294555664,16.807907104492188,2019,-16.273365020751953,0.5447790622711182,,
30,102.71997420000001,104,74,22.08,2283,0.0003,-88.89445495605469,14.486587524414062,2182,-17.33852767944336,0.5195285677909851,,
,,,,,2500,0.0003,-96.2140884399414,14.940614700317383,2399,-18.67616844177246,0.4880058169364929,305.88201024,59.6
37,110.30243217000002,108,66,23.58,2515,0.0003,-95.40668487548828,22.66599464416504,2414,-18.828628540039062,0.4859068691730499,,
40,115.45302450999999,112,67,24.58,2717,0.0003,-96.92390441894531,16.065391540527344,2616,-19.808664321899414,0.4586356580257416,,
42,122.07349995,116,69,25.99,2959,0.0003,-98.90814208984375,18.411638259887695,2858,-20.920211791992188,0.4282345771789551,,
,,,,,3000,0.0003,-108.74603271484375,22.793020248413086,2899,-20.771156311035156,0.42332345247268677,371.81180072,70.16
51,129.65878588,120,62,27.35,3202,0.0003,-108.1442642211914,24.76047134399414,3101,-21.837112426757812,0.40004152059555054,,
53,138.30347866,124,64,29.16,3465,0.0003,-115.96292114257812,32.62046813964844,3364,-23.406352996826172,0.3718810975551605,,
,,,,,3500,0.0003,-115.07233428955078,30.5438232421875,3399,-23.205432891845703,0.3682786524295807,254.20247722,51.84
60,142.91774744999998,128,60,30.12,3634,0.0003,-119.58717346191406,35.40896987915039,3533,-24.068323135375977,0.35488101840019226,,
62,147.0824101,132,61,31.03,3804,0.0003,-119.27894592285156,22.153671264648438,3703,-23.995929718017578,0.33872073888778687,,
,,,,,4000,0.0003,-122.98297119140625,39.50938415527344,3899,-25.143447875976562,0.3208845257759094,417.74245278,86.36
71,156.26557187000003,136,56,32.84,4054,0.0003,-122.96415710449219,48.1507682800293,3953,-24.70516586303711,0.3161555528640747,,
