train/learning_rate,time/time_elapsed,train/actor_loss,train/critic_loss,rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/ent_coef_loss,time/fps,eval/mean_ep_length,eval/mean_reward
0.0003,3,-9.946708679199219,0.24401956796646118,100.0,400,4,-151.96823799999999,0.9144408106803894,299,-1.0533325672149658,103,,
0.0003,,-10.715167999267578,0.14424723386764526,,500,,,0.8874073624610901,399,-1.402964472770691,,100.0,-60.93691114
0.0003,16,-13.1438627243042,0.13551603257656097,100.0,800,8,-151.177750875,0.8110911846160889,699,-2.4636988639831543,48,,
0.0003,,-14.57656478881836,0.1833232194185257,,1000,,,0.7638964653015137,899,-3.162684440612793,,100.0,-53.28300855999999
0.0003,29,-15.857599258422852,0.11277773976325989,100.0,1200,12,-149.45649541666668,0.719429612159729,1099,-3.885678768157959,41,,
0.0003,,-17.47377586364746,0.09086617082357407,,1500,,,0.6575518846511841,1399,-4.91675329208374,,100.0,-50.68874632
0.0003,41,-17.96526336669922,0.09229081869125366,100.0,1600,16,-147.53873475,0.6381399035453796,1499,-5.269506931304932,38,,
0.0003,,-19.476741790771484,0.08172213286161423,,2000,,,0.5661115050315857,1899,-6.641236305236816,,100.0,-46.226954580000005
,61,,,100.0,2000,20,-146.60862679999997,,,,32,,
0.0003,66,-20.382736206054688,0.0803212895989418,100.0,2400,24,-144.247985375,0.5022887587547302,2299,-8.023770332336426,36,,
0.0003,,-20.70301055908203,0.09380222111940384,,2500,,,0.487505167722702,2399,-8.32181453704834,,100.0,-47.605396199999994
0.0003,79,-21.05040740966797,0.0996326357126236,100.0,2800,28,-142.24792507142857,0.4457723796367645,2699,-9.397634506225586,35,,
0.0003,,-21.361574172973633,0.08309173583984375,,3000,,,0.41998234391212463,2899,-10.072958946228027,,100.0,-46.30673964
0.0003,91,-21.36080551147461,0.06024734303355217,100.0,3200,32,-140.9181245,0.39572873711586,3099,-10.691740036010742,34,,
0.0003,,-21.289642333984375,0.06397375464439392,,3500,,,0.3620021641254425,3399,-11.602405548095703,,100.0,-47.85667874
0.0003,103,-21.246620178222656,0.061158351600170135,100.0,3600,36,-139.05247036111112,0.351428359746933,3499,-11.933300018310547,34,,
0.0003,,-20.66797637939453,0.05416233837604523,,4000,,,0.312229722738266,3899,-13.13532829284668,,100.0,-48.26179462
,116,,,100.0,4000,40,-137.5544707,,,,34,,
0.0003,121,-20.209976196289062,0.05391149967908859,100.0,4400,44,-135.07684600000002,0.277560293674469,4299,-14.324507713317871,36,,
0.0003,,-19.946945190429688,0.04531768709421158,,4500,,,0.26954230666160583,4399,-14.622718811035156,,100.0,-48.154801739999996
0.0003,133,-19.635122299194336,0.04882575944066048,100.0,4800,48,-132.94728091666664,0.2468954622745514,4699,-15.431924819946289,35,,
0.0003,,-18.965927124023438,0.03664170578122139,,5000,,,0.23291398584842682,4899,-15.967430114746094,,100.0,-47.45677312
0.0003,146,-18.37692642211914,0.04688643291592598,100.0,5200,52,-130.77042678846152,0.21976260840892792,5099,-16.298969268798828,35,,
0.0003,,-17.668254852294922,0.03535344824194908,,5500,,,0.20149436593055725,5399,-17.018409729003906,,100.0,-44.61362774
0.0003,158,-17.305204391479492,0.03521568328142166,100.0,5600,56,-128.36064260714286,0.19576583802700043,5499,-17.090167999267578,35,,
0.0003,,-16.17009735107422,0.028867827728390694,,6000,,,0.1745111048221588,5899,-18.159299850463867,,100.0,-44.954024440000005
,170,,,100.0,6000,60,-126.39252535,,,,35,,
0.0003,176,-14.98122787475586,0.028396036475896835,100.0,6400,64,-124.117884109375,0.15568184852600098,6299,-18.7353458404541,36,,
0.0003,,-14.721981048583984,0.024125128984451294,,6500,,,0.15131902694702148,6399,-18.848127365112305,,100.0,-44.5385852
0.0003,188,-13.731765747070312,0.021079886704683304,100.0,6800,68,-121.7767298970588,0.13897888362407684,6699,-19.539575576782227,36,,
0.0003,,-13.19862174987793,0.02085796929895878,,7000,,,0.13136398792266846,6899,-19.41929817199707,,100.0,-45.50622096
