eval/mean_reward,eval/mean_ep_length,train/critic_loss,train/actor_loss,train/n_updates,time/total_timesteps,train/learning_rate,time/fps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/time_elapsed
72.97244610000001,1000.0,0.015781095251441002,0.3524778485298157,399,500,0.001,,,,,
-295.85579595999997,194.8,0.08855772018432617,1.3285956382751465,899,1000,0.001,,,,,
152.92834062,848.02,0.047627706080675125,1.7092406749725342,1399,1500,0.001,,,,,
-3.9292688999999967,401.06,0.1848549097776413,1.3642101287841797,1899,2000,0.001,,,,,
,,0.15975740551948547,1.6280313730239868,1949,2050,0.001,24,512.5,4,-296.76934775,82
87.90275023999999,443.9,0.16053050756454468,1.6409755945205688,2399,2500,0.001,,,,,
45.159463720000005,305.18,0.19265800714492798,0.6830065846443176,2899,3000,0.001,,,,,
49.67491903999999,517.32,0.2155607044696808,0.23219740390777588,3399,3500,0.001,,,,,
342.82471498,1000.0,0.4615710377693176,0.39406970143318176,3899,4000,0.001,,,,,
340.64130958000004,947.54,0.23097479343414307,-0.9928340911865234,4399,4500,0.001,,,,,
283.43330254,827.96,0.2640365660190582,-1.289912462234497,4899,5000,0.001,,,,,
276.32894555999997,708.34,0.2910158038139343,-1.391258716583252,5399,5500,0.001,,,,,
,,0.27848970890045166,-1.7215580940246582,5575,5676,0.001,18,709.5,8,-25.129381500000008,315
323.20087970000003,806.74,0.5027140974998474,-1.5498712062835693,5899,6000,0.001,,,,,
277.08691962,836.36,0.31963062286376953,-2.1461734771728516,6399,6500,0.001,,,,,
366.98119915999996,839.66,0.3607241213321686,-2.974757432937622,6899,7000,0.001,,,,,
530.4979499799999,981.66,0.5194973945617676,-2.9291927814483643,7399,7500,0.001,,,,,
484.71040442,943.92,0.34465017914772034,-3.1372134685516357,7899,8000,0.001,,,,,
,,0.3233262896537781,-3.4184906482696533,8371,8472,0.001,16,706.0,12,95.69606108333333,527
591.0524208799999,941.2,0.2847897410392761,-3.5795180797576904,8399,8500,0.001,,,,,
