time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,time/fps,train/actor_loss,time/total_timesteps,train/n_updates,time/episodes,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
3,-149.22879175,0.2415776252746582,103,-10.204719543457031,400,299,4,100.0,0.9143975973129272,-1.0557222366333008,0.0003,,
,,0.237240731716156,,-10.98696517944336,500,399,,,0.8873758912086487,-1.4079703092575073,0.0003,100.0,-53.4864104
16,-152.206942125,0.1267697513103485,48,-13.257362365722656,800,699,8,100.0,0.8110737800598145,-2.4554176330566406,0.0003,,
,,0.11858384311199188,,-14.801216125488281,1000,899,,,0.7639306783676147,-3.159836530685425,0.0003,100.0,-54.57306057999999
29,-150.39334675,0.1228388100862503,41,-16.089595794677734,1200,1099,12,100.0,0.7195302844047546,-3.859527587890625,0.0003,,
,,0.10624805837869644,,-17.811038970947266,1500,1399,,,0.657660961151123,-4.92122220993042,0.0003,100.0,-54.12292219999999
41,-150.1495048125,0.10886453092098236,38,-18.218704223632812,1600,1499,16,100.0,0.638221263885498,-5.2616987228393555,0.0003,,
,,0.10243387520313263,,-19.768712997436523,2000,1899,,,0.5661044716835022,-6.659255027770996,0.0003,100.0,-47.60835539999999
54,-149.20032350000002,,37,,2000,,20,100.0,,,,,
59,-147.79281225,0.10816244781017303,40,-20.804378509521484,2400,2299,24,100.0,0.502178430557251,-8.058429718017578,0.0003,,
,,0.07655155658721924,,-20.93331527709961,2500,2399,,,0.48737409710884094,-8.410138130187988,0.0003,100.0,-48.15993736
71,-145.88500557142856,0.09158473461866379,39,-21.269168853759766,2800,2699,28,100.0,0.4455660879611969,-9.432665824890137,0.0003,,
,,0.0882733017206192,,-21.451873779296875,3000,2899,,,0.4197440445423126,-10.119958877563477,0.0003,100.0,-49.33265332
84,-144.98129875,0.08823063969612122,38,-21.476795196533203,3200,3099,32,100.0,0.3954392969608307,-10.773199081420898,0.0003,,
,,0.07265567034482956,,-21.39370346069336,3500,3399,,,0.36165425181388855,-11.65573501586914,0.0003,100.0,-48.48806210000001
96,-143.6996381388889,0.06734950840473175,37,-21.259868621826172,3600,3499,36,100.0,0.3510702848434448,-12.05201530456543,0.0003,,
,,0.08250570297241211,,-20.64935302734375,4000,3899,,,0.311815470457077,-13.41940975189209,0.0003,100.0,-52.22990516000001
108,-141.706208925,,36,,4000,,40,100.0,,,,,
113,-139.62945752272728,0.06472747772932053,38,-20.042146682739258,4400,4299,44,100.0,0.27708518505096436,-14.439346313476562,0.0003,,
,,0.052605487406253815,,-19.438690185546875,4500,4399,,,0.26905518770217896,-14.794099807739258,0.0003,100.0,-50.552433279999995
126,-137.17594293750003,0.053936801850795746,38,-19.06951141357422,4800,4699,48,100.0,0.2463960498571396,-15.430076599121094,0.0003,,
,,0.046575747430324554,,-18.560651779174805,5000,4899,,,0.23241202533245087,-16.095294952392578,0.0003,100.0,-48.703551
138,-135.0869782692308,0.04284331202507019,37,-18.02042579650879,5200,5099,52,100.0,0.219261035323143,-16.448566436767578,0.0003,,
,,0.03608529269695282,,-17.008365631103516,5500,5399,,,0.20100164413452148,-17.206296920776367,0.0003,100.0,-45.32024512
150,-132.7752960357143,0.03314214572310448,37,-16.768333435058594,5600,5499,56,100.0,0.195281520485878,-17.13970947265625,0.0003,,
