train/learning_rate,train/n_updates,rollout/ep_rew_mean,time/total_timesteps,train/actor_loss,rollout/ep_len_mean,time/episodes,time/fps,train/critic_loss,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
0.001,299,-114.0140895,400,1.8069775104522705,100.0,4,227,0.0050758495926856995,1,,
0.001,399,,500,1.9373581409454346,,,,0.004270884208381176,,-80.25099352000001,100.0
0.001,699,-95.021555,800,2.2921435832977295,100.0,8,114,0.004330797120928764,6,,
0.001,899,,1000,2.467228412628174,,,,0.0041002267971634865,,-62.01787494,100.0
0.001,1099,-82.68912150000001,1200,2.7850422859191895,100.0,12,98,0.005404018796980381,12,,
0.001,1399,,1500,3.1826937198638916,,,,0.009213780984282494,,-66.33048748000002,100.0
0.001,1499,-78.0857654375,1600,3.3164830207824707,100.0,16,92,0.008703029714524746,17,,
0.001,1899,,2000,3.958536148071289,,,,0.012457560747861862,,-62.686494919999994,100.0
,,-75.46872429999999,2000,,100.0,20,88,,22,,
0.001,2299,-72.50844295833333,2400,4.5194501876831055,100.0,24,96,0.012024689465761185,24,,
0.001,2399,,2500,4.776169300079346,,,,0.01072786096483469,,-59.99115841999999,100.0
0.001,2699,-70.41377471428572,2800,5.292491912841797,100.0,28,92,0.011006677523255348,30,,
0.001,2899,,3000,5.375110626220703,,,,0.017808716744184494,,-58.16469966,100.0
0.001,3099,-68.25097553125,3200,5.729897499084473,100.0,32,90,0.01418955996632576,35,,
0.001,3399,,3500,6.308614730834961,,,,0.018300270661711693,,-57.169654980000004,100.0
0.001,3499,-67.43816505555556,3600,6.377146244049072,100.0,36,88,0.010467121377587318,40,,
0.001,3899,,4000,7.00118350982666,,,,0.01802833378314972,,-58.04731624000001,100.0
,,-66.61810204999999,4000,,100.0,40,86,,45,,
0.001,4299,-65.79780761363635,4400,7.650703430175781,100.0,44,91,0.016351496800780296,47,,
0.001,4399,,4500,7.83388614654541,,,,0.014670083299279213,,-57.452679399999994,100.0
0.001,4699,-65.21370560416666,4800,8.152684211730957,100.0,48,91,0.018286097794771194,52,,
0.001,4899,,5000,8.496126174926758,,,,0.020372290164232254,,-57.080605639999995,100.0
0.001,5099,-64.56067219230769,5200,8.857336044311523,100.0,52,92,0.017510950565338135,56,,
0.001,5399,,5500,9.341777801513672,,,,0.018883351236581802,,-53.91049196,100.0
0.001,5499,-63.83155346428571,5600,9.462631225585938,100.0,56,92,0.015435846522450447,60,,
0.001,5899,,6000,10.020063400268555,,,,0.020382167771458626,,-57.23879368,100.0
,,-63.355319933333334,6000,,100.0,60,92,,65,,
0.001,6299,-62.706731125,6400,10.701475143432617,100.0,64,95,0.017322957515716553,66,,
0.001,6399,,6500,10.739177703857422,,,,0.034754637628793716,,-54.89326534,100.0
0.001,6699,-62.267559455882356,6800,11.227962493896484,100.0,68,95,0.017848040908575058,71,,
0.001,6899,,7000,11.592101097106934,,,,0.02734728530049324,,-53.12379196,100.0
0.001,7099,-61.772504222222224,7200,11.801046371459961,100.0,72,95,0.025928989052772522,75,,
0.001,7399,,7500,12.213698387145996,,,,0.0301077738404274,,-50.521559780000004,100.0
0.001,7499,-60.93015652631579,7600,12.303725242614746,100.0,76,95,0.027695856988430023,79,,
0.001,7899,,8000,12.799330711364746,,,,0.017949841916561127,,-50.4279472,100.0
,,-60.359833287499995,8000,,100.0,80,95,,84,,
0.001,8299,-59.836583654761895,8400,13.250638961791992,100.0,84,97,0.026854313910007477,85,,
0.001,8399,,8500,13.31231689453125,,,,0.02498675137758255,,-48.20018984,100.0
0.001,8699,-59.19379598863636,8800,13.863471984863281,100.0,88,97,0.020013969391584396,90,,
0.001,8899,,9000,14.128089904785156,,,,0.025840699672698975,,-47.759256380000004,100.0
0.001,9099,-58.56789989130434,9200,14.196049690246582,100.0,92,97,0.025986533612012863,94,,
0.001,9399,,9500,14.625126838684082,,,,0.02502862550318241,,-50.5210184,100.0
0.001,9499,-58.219723875,9600,14.663195610046387,100.0,96,97,0.032340750098228455,98,,
0.001,9899,,10000,14.953170776367188,,,,0.03597869724035263,,-48.13067212,100.0
,,-57.626845839999994,10000,,100.0,100,96,,103,,
0.001,10299,-55.04493284,10400,15.597160339355469,100.0,104,99,0.02605615369975567,105,,
0.001,10399,,10500,15.774903297424316,,,,0.034609753638505936,,-46.40292426,100.0
0.001,10699,-53.788177889999986,10800,16.046611785888672,100.0,108,98,0.027141256257891655,109,,
0.001,10899,,11000,16.11695098876953,,,,0.020744945853948593,,-46.85163548,100.0
0.001,11099,-53.40577541,11200,16.483121871948242,100.0,112,98,0.02689005434513092,113,,
0.001,11399,,11500,16.655460357666016,,,,0.031347133219242096,,-45.452640720000005,100.0
0.001,11499,-52.636649150000004,11600,16.827030181884766,100.0,116,98,0.029012832790613174,118,,
0.001,11899,,12000,16.939767837524414,,,,0.04075155407190323,,-46.923717499999995,100.0
,,-51.93113461,12000,,100.0,120,98,,122,,
0.001,12299,-51.33696166000001,12400,17.522117614746094,100.0,124,99,0.032616883516311646,124,,
0.001,12399,,12500,17.844409942626953,,,,0.07019498944282532,,-44.75284473999999,100.0
0.001,12699,-50.68485097,12800,17.991344451904297,100.0,128,99,0.025400221347808838,128,,
0.001,12899,,13000,18.052906036376953,,,,0.027830585837364197,,-44.773445779999996,100.0
0.001,13099,-50.337369470000006,13200,18.441612243652344,100.0,132,99,0.03046664409339428,132,,
0.001,13399,,13500,18.657737731933594,,,,0.028457509353756905,,-47.591879840000004,100.0
0.001,13499,-49.9746768,13600,18.620990753173828,100.0,136,99,0.027400940656661987,137,,
0.001,13899,,14000,19.200603485107422,,,,0.031235257163643837,,-46.363941520000004,100.0
,,-49.49957008000002,14000,,100.0,140,98,,141,,
0.001,14299,-49.00206473999999,14400,19.73187828063965,100.0,144,100,0.037426065653562546,143,,
0.001,14399,,14500,19.634963989257812,,,,0.03839705139398575,,-57.33571859999999,100.0
0.001,14699,-48.65086291999999,14800,20.21971893310547,100.0,148,100,0.04823572188615799,147,,
0.001,14899,,15000,20.185365676879883,,,,0.042184218764305115,,-45.359942139999994,100.0
0.001,15099,-48.292862250000006,15200,20.481887817382812,100.0,152,99,0.05286886915564537,152,,
0.001,15399,,15500,20.5759334564209,,,,0.03842407464981079,,-46.56919181999999,100.0
0.001,15499,-47.93396748999999,15600,20.841602325439453,100.0,156,99,0.03251846879720688,156,,
0.001,15899,,16000,21.210540771484375,,,,0.04733949154615402,,-46.74592892,100.0
,,-47.27215373,16000,,100.0,160,99,,160,,
0.001,16299,-46.98686911000001,16400,21.61615562438965,100.0,164,100,0.037027012556791306,162,,
0.001,16399,,16500,21.834735870361328,,,,0.03232436627149582,,-45.31859011999999,100.0
0.001,16699,-46.59970078000001,16800,21.967517852783203,100.0,168,100,0.04017800837755203,166,,
0.001,16899,,17000,21.966922760009766,,,,0.04665624350309372,,-45.26914634,100.0
0.001,17099,-46.14171997000001,17200,22.36476707458496,100.0,172,100,0.038638241589069366,171,,
0.001,17399,,17500,22.511425018310547,,,,0.04663859307765961,,-45.41196526000001,100.0
0.001,17499,-46.10298345,17600,22.242156982421875,100.0,176,100,0.039242222905159,175,,
0.001,17899,,18000,22.62070083618164,,,,0.0465775802731514,,-46.082612680000004,100.0
,,-46.06741679000001,18000,,100.0,180,100,,179,,
0.001,18299,-45.97376611000001,18400,23.001861572265625,100.0,184,101,0.0437665656208992,181,,
0.001,18399,,18500,23.37838363647461,,,,0.04756270349025726,,-46.45231562,100.0
0.001,18699,-46.0834949,18800,23.80665397644043,100.0,188,100,0.048748500645160675,186,,
0.001,18899,,19000,24.01668930053711,,,,0.04291139543056488,,-47.015084980000005,100.0
0.001,19099,-46.3437537,19200,24.13045883178711,100.0,192,100,0.040347032248973846,190,,
0.001,19399,,19500,24.1273193359375,,,,0.04862748086452484,,-47.274774959999995,100.0
0.001,19499,-46.04570720999999,19600,24.51801300048828,100.0,196,100,0.05708549916744232,194,,
0.001,19899,,20000,24.88964080810547,,,,0.039756935089826584,,-44.52203532000001,100.0
,,-46.16002333999999,20000,,100.0,200,100,,199,,
0.001,20299,-46.03801342,20400,24.777172088623047,100.0,204,101,0.0666048526763916,201,,
0.001,20399,,20500,25.03702163696289,,,,0.05415309965610504,,-46.918806960000005,100.0
0.001,20699,-46.02061339,20800,25.435462951660156,100.0,208,101,0.052520107477903366,205,,
0.001,20899,,21000,25.474830627441406,,,,0.04053850471973419,,-44.72523160000001,100.0
0.001,21099,-45.79186145000001,21200,25.790206909179688,100.0,212,101,0.05008348077535629,209,,
0.001,21399,,21500,25.90526008605957,,,,0.038635313510894775,,-44.43926708,100.0
0.001,21499,-45.79418433,21600,26.355152130126953,100.0,216,100,0.08309972286224365,214,,
0.001,21899,,22000,26.243154525756836,,,,0.05526669695973396,,-44.10714307999999,100.0
,,-45.788129729999994,22000,,100.0,220,100,,218,,
0.001,22299,-45.67173411000001,22400,26.44345474243164,100.0,224,101,0.05071272701025009,220,,
0.001,22399,,22500,26.55792999267578,,,,0.05244138836860657,,-44.484730340000006,100.0
0.001,22699,-45.79826081,22800,26.544763565063477,100.0,228,101,0.050240177661180496,224,,
0.001,22899,,23000,27.042625427246094,,,,0.05734918639063835,,-44.38845740000001,100.0
