rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,eval/mean_reward,eval/mean_ep_length
100.0,2,1.8028090000152588,299,0.001,0.010902214795351028,-117.22918125000001,400,4,192,,
,,1.9424598217010498,399,0.001,0.005240888334810734,,500,,,-72.87082644,100.0
100.0,8,2.24239444732666,699,0.001,0.004318482242524624,-93.57435050000001,800,8,94,,
,,2.4716007709503174,899,0.001,0.004865690134465694,,1000,,,-64.76587885999999,100.0
100.0,14,2.777317523956299,1099,0.001,0.006658947095274925,-84.50589241666667,1200,12,80,,
,,3.228970527648926,1399,0.001,0.00587877444922924,,1500,,,-60.70607526,100.0
100.0,21,3.2706878185272217,1499,0.001,0.01150091364979744,-77.99680068749998,1600,16,75,,
,,3.8720529079437256,1899,0.001,0.011275841854512691,,2000,,,-60.06475692,100.0
100.0,27,,,,,-74.77786044999998,2000,20,72,,
100.0,30,4.534843444824219,2299,0.001,0.015014005824923515,-72.27628758333333,2400,24,79,,
,,4.6906023025512695,2399,0.001,0.011110208928585052,,2500,,,-61.422572900000006,100.0
100.0,36,5.124799728393555,2699,0.001,0.014292672276496887,-70.09244171428571,2800,28,76,,
,,5.390690803527832,2899,0.001,0.015181165188550949,,3000,,,-54.354334740000006,100.0
100.0,43,5.786415100097656,3099,0.001,0.013989206403493881,-68.46360809375,3200,32,74,,
,,6.165718078613281,3399,0.001,0.0204065702855587,,3500,,,-55.196139380000005,100.0
100.0,49,6.241796493530273,3499,0.001,0.017261967062950134,-67.04044108333333,3600,36,72,,
,,6.991364479064941,3899,0.001,0.02141960710287094,,4000,,,-53.49184012,100.0
100.0,55,,,,,-65.867879925,4000,40,71,,
100.0,58,7.589691162109375,4299,0.001,0.016218923032283783,-64.52316606818182,4400,44,75,,
,,7.579399108886719,4399,0.001,0.015766536816954613,,4500,,,-55.30809854,100.0
100.0,64,8.188190460205078,4699,0.001,0.02976866625249386,-63.76629552083333,4800,48,74,,
,,8.378898620605469,4899,0.001,0.01811828650534153,,5000,,,-57.26712948,100.0
100.0,71,8.716259002685547,5099,0.001,0.01734420284628868,-63.02815549999999,5200,52,73,,
,,9.101919174194336,5399,0.001,0.020497918128967285,,5500,,,-60.90607224,100.0
