train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss,rollout/ep_len_mean,train/actor_loss,time/fps,train/ent_coef_loss,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,eval/mean_ep_length,eval/mean_reward
0.9144536852836609,0.0003,299,0.24104852974414825,100.0,-9.99842357635498,104,-1.0530767440795898,4,-151.933669,3,400,,
0.8874273896217346,0.0003,399,0.19434000551700592,,-10.898663520812988,,-1.4025051593780518,,,,500,100.0,-61.50726564000001
0.8111483454704285,0.0003,699,0.13850095868110657,100.0,-13.291924476623535,49,-2.453869342803955,8,-152.73672875,16,800,,
0.7639957070350647,0.0003,899,0.16684839129447937,,-14.662101745605469,,-3.1513588428497314,,,,1000,100.0,-48.04793430000001
0.7195727229118347,0.0003,1099,0.14017397165298462,100.0,-15.750267028808594,42,-3.860290050506592,12,-153.12822350000002,28,1200,,
0.6576913595199585,0.0003,1399,0.1436777263879776,,-17.605640411376953,,-4.9004926681518555,,,,1500,100.0,-47.577122020000004
0.638254702091217,0.0003,1499,0.11915574967861176,100.0,-18.06061363220215,39,-5.263753890991211,16,-152.9012139375,40,1600,,
0.5661087036132812,0.0003,1899,0.09069495648145676,,-19.357046127319336,,-6.6665167808532715,,,,2000,100.0,-43.56066684
,,,,100.0,,37,,20,-151.341622,52,2000,,
0.5021694302558899,0.0003,2299,0.11440882086753845,100.0,-20.297088623046875,41,-8.042627334594727,24,-150.45970920833335,57,2400,,
0.48736006021499634,0.0003,2399,0.07902279496192932,,-20.44330596923828,,-8.38938045501709,,,,2500,100.0,-44.53451308
0.44555047154426575,0.0003,2699,0.06929471343755722,100.0,-20.879039764404297,39,-9.44538688659668,28,-148.82600792857144,70,2800,,
0.41973403096199036,0.0003,2899,0.08890065550804138,,-21.028396606445312,,-10.089254379272461,,,,3000,100.0,-43.30151947999999
0.3954423666000366,0.0003,3099,0.06041983142495155,100.0,-21.063600540161133,38,-10.730752944946289,32,-146.17289090625002,82,3200,,
0.36169612407684326,0.0003,3399,0.060754772275686264,,-21.077211380004883,,-11.67618179321289,,,,3500,100.0,-43.80918326
0.35112085938453674,0.0003,3499,0.0796608179807663,100.0,-20.892837524414062,37,-12.010980606079102,36,-144.32800597222226,94,3600,,
0.3119181990623474,0.0003,3899,0.05849286913871765,,-20.615406036376953,,-13.18351936340332,,,,4000,100.0,-45.30485686000001
,,,,100.0,,37,,40,-142.0317383,107,4000,,
0.2772880792617798,0.0003,4299,0.04746244102716446,100.0,-19.75307846069336,39,-14.490021705627441,44,-139.32021590909088,112,4400,,
0.2692749798297882,0.0003,4399,0.0575919970870018,,-19.484729766845703,,-14.578343391418457,,,,4500,100.0,-46.751184880000004
0.24666716158390045,0.0003,4699,0.052761271595954895,100.0,-19.292139053344727,38,-15.528099060058594,48,-136.77914997916668,124,4800,,
0.23269839584827423,0.0003,4899,0.045864447951316833,,-18.54979133605957,,-15.90112018585205,,,,5000,100.0,-48.683077059999995
0.21956408023834229,0.0003,5099,0.03737151622772217,100.0,-18.191728591918945,38,-16.252094268798828,52,-134.63271390384614,136,5200,,
0.20131546258926392,0.0003,5399,0.039045240730047226,,-17.2099552154541,,-17.106197357177734,,,,5500,100.0,-47.23039686000001
0.1955929398536682,0.0003,5499,0.031325533986091614,100.0,-16.97149085998535,37,-17.417795181274414,56,-132.37145775,149,5600,,
0.17434245347976685,0.0003,5899,0.034168533980846405,,-15.862735748291016,,-18.26825714111328,,,,6000,100.0,-46.975629559999994
,,,,100.0,,37,,60,-130.04708071666667,161,6000,,
0.15554268658161163,0.0003,6299,0.029852736741304398,100.0,-14.629634857177734,38,-19.019474029541016,64,-127.38856009374999,166,6400,,
0.15118886530399323,0.0003,6399,0.025939662009477615,,-14.186681747436523,,-18.774551391601562,,,,6500,100.0,-45.995619059999996
0.13889934122562408,0.0003,6699,0.027921617031097412,100.0,-13.258907318115234,38,-19.444652557373047,68,-124.92709132352941,178,6800,,
0.13129648566246033,0.0003,6899,0.02479904517531395,,-12.717439651489258,,-19.662715911865234,,,,7000,100.0,-46.44806002
0.12414705753326416,0.0003,7099,0.028750762343406677,100.0,-11.866145133972168,37,-20.29428482055664,72,-122.62509519444444,190,7200,,
0.114183709025383,0.0003,7399,0.024365244433283806,,-11.082828521728516,,-19.840412139892578,,,,7500,100.0,-42.72328382
0.1110515221953392,0.0003,7499,0.021140147000551224,100.0,-10.56834602355957,37,-20.08050537109375,76,-120.4450145,202,7600,,
0.09942366182804108,0.0003,7899,0.0177711620926857,,-9.508056640625,,-19.86852264404297,,,,8000,100.0,-40.83567668
