rollout/ep_rew_mean,train/n_updates,train/actor_loss,time/time_elapsed,train/learning_rate,time/episodes,time/total_timesteps,rollout/ep_len_mean,time/fps,train/critic_loss,eval/mean_reward,eval/mean_ep_length
-142.22000725,299,2.3186399936676025,2,0.001,4,400,100.0,191,0.009920945391058922,,
,399,2.371609926223755,,0.001,,500,,,0.01229768805205822,-107.87389124,100.0
-116.99176325,699,2.7704334259033203,9,0.001,8,800,100.0,86,0.007804088294506073,,
,899,3.1632509231567383,,0.001,,1000,,,0.004857879597693682,-66.16981782,100.0
-102.53104983333333,1099,3.3551058769226074,16,0.001,12,1200,100.0,73,0.02411341853439808,,
,1399,3.8487634658813477,,0.001,,1500,,,0.008740663528442383,-63.851169459999994,100.0
-92.20009081250001,1499,3.9400086402893066,23,0.001,16,1600,100.0,68,0.010425623506307602,,
,1899,4.6534013748168945,,0.001,,2000,,,0.014327313750982285,-62.46349219999999,100.0
-86.91561815000001,,,30,,20,2000,100.0,65,,,
-83.02140483333334,2299,5.309992790222168,33,0.001,24,2400,100.0,72,0.017018619924783707,,
,2399,5.317226409912109,,0.001,,2500,,,0.018877632915973663,-57.174774119999995,100.0
-79.68864042857145,2699,5.799052715301514,40,0.001,28,2800,100.0,69,0.015713099390268326,,
,2899,6.089670181274414,,0.001,,3000,,,0.025370214134454727,-63.31249934,100.0
-77.00293109375,3099,6.514239311218262,48,0.001,32,3200,100.0,66,0.021936409175395966,,
,3399,7.180715084075928,,0.001,,3500,,,0.019090719521045685,-64.57883421999999,100.0
-75.58248377777777,3499,7.140453338623047,55,0.001,36,3600,100.0,64,0.020389726385474205,,
,3899,7.893704414367676,,0.001,,4000,,,0.02275897189974785,-63.534725800000004,100.0
-74.54348337500001,,,62,,40,4000,100.0,63,,,
-73.03554529545455,4299,8.486735343933105,65,0.001,44,4400,100.0,67,0.022988274693489075,,
,4399,8.593940734863281,,0.001,,4500,,,0.023669227957725525,-56.164142379999994,100.0
-71.43842295833333,4699,9.103754997253418,72,0.001,48,4800,100.0,66,0.02265530824661255,,
,4899,9.46806812286377,,0.001,,5000,,,0.027637232095003128,-56.760050039999996,100.0
-70.137409,5099,9.8450927734375,79,0.001,52,5200,100.0,65,0.026174642145633698,,
,5399,10.201115608215332,,0.001,,5500,,,0.024364082142710686,-58.793765979999996,100.0
-69.56717380357144,5499,10.428958892822266,86,0.001,56,5600,100.0,64,0.03017505630850792,,
,5899,10.956977844238281,,0.001,,6000,,,0.028481587767601013,-59.704640039999994,100.0
-68.98767901666669,,,93,,60,6000,100.0,63,,,
-68.31791750000001,6299,11.633338928222656,96,0.001,64,6400,100.0,66,0.024774106219410896,,
,6399,11.855242729187012,,0.001,,6500,,,0.03137899190187454,-61.42085206000001,100.0
-67.74732960294118,6699,12.342727661132812,104,0.001,68,6800,100.0,65,0.027871329337358475,,
,6899,12.570037841796875,,0.001,,7000,,,0.023200146853923798,-61.2630613,100.0
-66.86739356944445,7099,12.912642478942871,111,0.001,72,7200,100.0,64,0.028243690729141235,,
,7399,13.162785530090332,,0.001,,7500,,,0.02705451473593712,-59.47984149999999,100.0
-66.17025143421053,7499,13.430729866027832,118,0.001,76,7600,100.0,64,0.030774079263210297,,
,7899,13.940593719482422,,0.001,,8000,,,0.029076673090457916,-55.04148403999999,100.0
-65.28222762499999,,,125,,80,8000,100.0,63,,,
-64.74644780952381,8299,14.622385025024414,128,0.001,84,8400,100.0,65,0.03362688422203064,,
,8399,14.76974868774414,,0.001,,8500,,,0.03572428226470947,-50.27123914,100.0
-63.940954431818184,8699,15.051362991333008,135,0.001,88,8800,100.0,64,0.039833806455135345,,
,8899,15.428010940551758,,0.001,,9000,,,0.0346999317407608,-49.63756522,100.0
-63.83193651086956,9099,15.585625648498535,142,0.001,92,9200,100.0,64,0.036994144320487976,,
,9399,16.125072479248047,,0.001,,9500,,,0.02929968759417534,-63.6114767,100.0
-63.88025671875,9499,16.225698471069336,150,0.001,96,9600,100.0,63,0.0389011986553669,,
,9899,16.827966690063477,,0.001,,10000,,,0.04279763251543045,-55.90877442000001,100.0
-63.43410011,,,157,,100,10000,100.0,63,,,
-59.73415627,10299,17.514862060546875,160,0.001,104,10400,100.0,64,0.04243998974561691,,
,10399,17.826196670532227,,0.001,,10500,,,0.04046571999788284,-49.64760045999999,100.0
-58.05710959999998,10699,17.945755004882812,167,0.001,108,10800,100.0,64,0.042544133961200714,,
,10899,18.37549591064453,,0.001,,11000,,,0.05609210580587387,-58.626891320000006,100.0
-57.293567970000005,11099,18.536823272705078,174,0.001,112,11200,100.0,64,0.03932566940784454,,
,11399,18.84061050415039,,0.001,,11500,,,0.04176924377679825,-50.53385938,100.0
-56.86907115000001,11499,18.936229705810547,181,0.001,116,11600,100.0,63,0.038030803203582764,,
,11899,19.286144256591797,,0.001,,12000,,,0.042853232473134995,-48.110922599999995,100.0
-56.31324074,,,189,,120,12000,100.0,63,,,
-55.46340490000001,12299,19.621490478515625,191,0.001,124,12400,100.0,64,0.04041893035173416,,
,12399,20.017322540283203,,0.001,,12500,,,0.05302587151527405,-48.11322132000001,100.0
-54.86655470000001,12699,20.12163543701172,199,0.001,128,12800,100.0,64,0.050898876041173935,,
,12899,20.44997215270996,,0.001,,13000,,,0.04010482504963875,-49.29582428,100.0
-54.51453374,13099,20.586322784423828,206,0.001,132,13200,100.0,63,0.04849417880177498,,
,13399,21.13219451904297,,0.001,,13500,,,0.03869413956999779,-50.258004359999994,100.0
-53.939114249999996,13499,21.08057403564453,213,0.001,136,13600,100.0,63,0.043192945420742035,,
,13899,21.38783073425293,,0.001,,14000,,,0.05175178498029709,-53.31400118,100.0
-53.58093403000001,,,220,,140,14000,100.0,63,,,
-53.295729599999994,14299,21.874889373779297,223,0.001,144,14400,100.0,64,0.05369705706834793,,
,14399,22.06700897216797,,0.001,,14500,,,0.04151706397533417,-56.96721008,100.0
-53.31728918000002,14699,22.031850814819336,230,0.001,148,14800,100.0,64,0.04758915305137634,,
,14899,22.389545440673828,,0.001,,15000,,,0.04337404668331146,-49.54609784,100.0
-53.259588330000014,15099,22.615360260009766,237,0.001,152,15200,100.0,63,0.04645630717277527,,
,15399,23.044464111328125,,0.001,,15500,,,0.05247393995523453,-55.98399434000001,100.0
-52.71155859,15499,22.78293228149414,245,0.001,156,15600,100.0,63,0.056151118129491806,,
,15899,23.416961669921875,,0.001,,16000,,,0.04504525661468506,-50.47097104,100.0
-52.282549470000006,,,252,,160,16000,100.0,63,,,
-52.210865999999996,16299,23.947647094726562,255,0.001,164,16400,100.0,64,0.06522185355424881,,
,16399,23.805253982543945,,0.001,,16500,,,0.06105766445398331,-55.99643012000001,100.0
-52.39843941999999,16699,23.984052658081055,262,0.001,168,16800,100.0,63,0.08252089470624924,,
,16899,24.55847930908203,,0.001,,17000,,,0.06711224466562271,-54.997692980000004,100.0
-52.36876614999999,17099,24.87920379638672,269,0.001,172,17200,100.0,63,0.05911698937416077,,
,17399,25.050222396850586,,0.001,,17500,,,0.05606263130903244,-54.96550453999999,100.0
-52.32009224,17499,25.022172927856445,276,0.001,176,17600,100.0,63,0.07460857927799225,,
,17899,25.50592041015625,,0.001,,18000,,,0.061922624707221985,-61.881077160000004,100.0
-52.71786941000001,,,284,,180,18000,100.0,63,,,
-52.83647112,18299,25.651493072509766,286,0.001,184,18400,100.0,64,0.06382406502962112,,
,18399,26.009891510009766,,0.001,,18500,,,0.0714011937379837,-55.71260918000001,100.0
-53.18520077,18699,26.019195556640625,294,0.001,188,18800,100.0,63,0.0768565833568573,,
,18899,26.544448852539062,,0.001,,19000,,,0.08144024014472961,-50.04846952,100.0
-52.76169779,19099,26.536012649536133,301,0.001,192,19200,100.0,63,0.11468948423862457,,
,19399,27.242101669311523,,0.001,,19500,,,0.08200836181640625,-52.1215585,100.0
-52.127528219999995,19499,26.94350242614746,309,0.001,196,19600,100.0,63,0.07445493340492249,,
,19899,26.945392608642578,,0.001,,20000,,,0.06873488426208496,-54.54645918,100.0
-51.86391056999999,,,316,,200,20000,100.0,63,,,
-51.86535690999999,20299,27.413236618041992,318,0.001,204,20400,100.0,63,0.08043017983436584,,
,20399,27.373504638671875,,0.001,,20500,,,0.07133232057094574,-46.84121058000001,100.0
-51.636211749999994,20699,27.832565307617188,326,0.001,208,20800,100.0,63,0.07758723944425583,,
,20899,28.027027130126953,,0.001,,21000,,,0.0759877860546112,-59.04434000000001,100.0
-51.68114088999999,21099,28.409208297729492,333,0.001,212,21200,100.0,63,0.057339467108249664,,
,21399,28.374267578125,,0.001,,21500,,,0.10308114439249039,-43.412214479999996,100.0
-51.65976196,21499,28.409236907958984,340,0.001,216,21600,100.0,63,0.08379852771759033,,
,21899,28.96114158630371,,0.001,,22000,,,0.07127472758293152,-45.497909119999996,100.0
-51.315905640000004,,,348,,220,22000,100.0,63,,,
-51.64333264000001,22299,29.082639694213867,350,0.001,224,22400,100.0,63,0.07233484089374542,,
,22399,29.06597137451172,,0.001,,22500,,,0.11803007125854492,-51.01595197999999,100.0
-52.00778507,22699,28.868507385253906,358,0.001,228,22800,100.0,63,0.09732359647750854,,
,22899,29.38058853149414,,0.001,,23000,,,0.07638342678546906,-60.958098639999996,100.0
-52.31489819,23099,29.688899993896484,365,0.001,232,23200,100.0,63,0.06393542140722275,,
,23399,29.922836303710938,,0.001,,23500,,,0.053728342056274414,-44.23569929999999,100.0
-52.00082831999999,23499,30.102828979492188,372,0.001,236,23600,100.0,63,0.06391581892967224,,
,23899,29.96480369567871,,0.001,,24000,,,0.06686422228813171,-46.223074100000005,100.0
