train/n_updates,train/learning_rate,train/critic_loss,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,time/episodes,eval/mean_ep_length,eval/mean_reward
,,,6000,88,67,-64.48800496666667,,100.0,60,,
6299,0.001,0.029054459184408188,6400,91,70,-63.19889737500001,11.13664436340332,100.0,64,,
6399,0.001,0.026285886764526367,6500,,,,11.271507263183594,,,100.0,-45.98427298000001
6699,0.001,0.028569694608449936,6800,97,69,-61.835475235294126,11.584394454956055,100.0,68,,
6899,0.001,0.10579699277877808,7000,,,,11.478724479675293,,,100.0,-58.80331
7099,0.001,0.02713431604206562,7200,104,69,-60.80036447222223,11.864444732666016,100.0,72,,
7399,0.001,0.03264164924621582,7500,,,,12.409889221191406,,,100.0,-44.90288436
7499,0.001,0.030621731653809547,7600,110,68,-60.04679961842106,12.537471771240234,100.0,76,,
7899,0.001,0.0328240767121315,8000,,,,13.060105323791504,,,100.0,-49.52406486000001
,,,8000,117,68,-59.4027320875,,100.0,80,,
8299,0.001,0.031537458300590515,8400,119,70,-58.9134813452381,13.452632904052734,100.0,84,,
8399,0.001,0.039735790342092514,8500,,,,13.534873008728027,,,100.0,-48.542470720000004
8699,0.001,0.041878920048475266,8800,126,69,-58.368139863636365,13.87014389038086,100.0,88,,
8899,0.001,0.027404850348830223,9000,,,,14.367629051208496,,,100.0,-52.95992671999999
9099,0.001,0.03862595930695534,9200,133,69,-57.86823090217392,14.43867301940918,100.0,92,,
9399,0.001,0.03487645834684372,9500,,,,14.664594650268555,,,100.0,-51.09023202
9499,0.001,0.03579585254192352,9600,139,68,-57.37822929166668,15.09002685546875,100.0,96,,
9899,0.001,0.03061758354306221,10000,,,,15.445272445678711,,,100.0,-45.290337259999994
,,,10000,146,68,-56.73555557,,100.0,100,,
10299,0.001,0.04347129911184311,10400,149,69,-52.92501566000001,15.775167465209961,100.0,104,,
10399,0.001,0.05216864496469498,10500,,,,16.01123809814453,,,100.0,-50.095535299999995
10699,0.001,0.03719407692551613,10800,156,69,-51.472758200000015,16.239553451538086,100.0,108,,
10899,0.001,0.03323100507259369,11000,,,,16.522743225097656,,,100.0,-46.18234418
11099,0.001,0.03801126778125763,11200,162,68,-50.50207811,16.91192054748535,100.0,112,,
11399,0.001,0.045268893241882324,11500,,,,17.253103256225586,,,100.0,-45.36661748
11499,0.001,0.05431500822305679,11600,169,68,-49.80264085000001,17.11730194091797,100.0,116,,
11899,0.001,0.036141350865364075,12000,,,,17.456262588500977,,,100.0,-42.53357182
,,,12000,176,68,-49.31895571000001,,100.0,120,,
12299,0.001,0.04009199142456055,12400,178,69,-48.63497587,18.224224090576172,100.0,124,,
12399,0.001,0.05218145251274109,12500,,,,18.336597442626953,,,100.0,-44.592425860000006
12699,0.001,0.040186330676078796,12800,185,69,-47.90774525,18.392135620117188,100.0,128,,
12899,0.001,0.04925081133842468,13000,,,,18.891250610351562,,,100.0,-42.83380442000001
13099,0.001,0.04166242107748985,13200,191,68,-47.54628158999999,18.782699584960938,100.0,132,,
13399,0.001,0.037360548973083496,13500,,,,19.36134910583496,,,100.0,-45.802800739999995
13499,0.001,0.043305739760398865,13600,198,68,-47.03132398999999,19.483421325683594,100.0,136,,
13899,0.001,0.04159244894981384,14000,,,,19.779376983642578,,,100.0,-43.87856221999999
,,,14000,204,68,-46.72427294,,100.0,140,,
