train/n_updates,train/learning_rate,train/critic_loss,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,time/episodes,eval/mean_ep_length,eval/mean_reward
184899,0.001,0.060075387358665466,185000,,,,48.174354553222656,,,100.0,-38.91776712
185099,0.001,0.050769954919815063,185200,2693,68,-38.432008020000005,48.48289108276367,100.0,1852,,
185399,0.001,0.03953675925731659,185500,,,,47.9805793762207,,,100.0,-38.516590699999995
185499,0.001,0.06554338335990906,185600,2700,68,-38.43915699000001,48.718048095703125,100.0,1856,,
185899,0.001,0.04277323558926582,186000,,,,48.67163848876953,,,100.0,-37.112120620000006
,,,186000,2707,68,-38.33568854,,100.0,1860,,
186299,0.001,0.04489710181951523,186400,2709,68,-38.16473951,48.3115234375,100.0,1864,,
186399,0.001,0.05958019196987152,186500,,,,48.289939880371094,,,100.0,-38.63443082
186699,0.001,0.2133287489414215,186800,2716,68,-38.116747030000006,48.34380340576172,100.0,1868,,
186899,0.001,0.11421604454517365,187000,,,,47.66041946411133,,,100.0,-39.21912156
187099,0.001,0.03846002370119095,187200,2723,68,-37.98307551,47.93215560913086,100.0,1872,,
187399,0.001,0.04650919884443283,187500,,,,48.32063293457031,,,100.0,-36.9447082
187499,0.001,0.05819617956876755,187600,2729,68,-37.90487657,48.258506774902344,100.0,1876,,
187899,0.001,0.03507586196064949,188000,,,,47.82933807373047,,,100.0,-37.407644420000004
,,,188000,2736,68,-37.88975886,,100.0,1880,,
188299,0.001,0.03619384765625,188400,2738,68,-37.64018603,47.982421875,100.0,1884,,
188399,0.001,0.049342505633831024,188500,,,,48.3194694519043,,,100.0,-36.028315039999995
188699,0.001,0.044733818620443344,188800,2745,68,-37.340475690000005,48.05741500854492,100.0,1888,,
188899,0.001,0.10507872700691223,189000,,,,48.1288948059082,,,100.0,-37.9303661
189099,0.001,0.03921275958418846,189200,2752,68,-37.383012349999994,47.852752685546875,100.0,1892,,
189399,0.001,0.04122283682227135,189500,,,,47.98773956298828,,,100.0,-37.00978346
189499,0.001,0.040923066437244415,189600,2758,68,-37.4072973,48.08353805541992,100.0,1896,,
189899,0.001,0.05261320620775223,190000,,,,47.82581329345703,,,100.0,-35.88608052
,,,190000,2765,68,-37.333700750000006,,100.0,1900,,
190299,0.001,0.04519686847925186,190400,2768,68,-37.31849409,47.785430908203125,100.0,1904,,
190399,0.001,0.035569239407777786,190500,,,,47.44331359863281,,,100.0,-36.41934502
190699,0.001,0.02778610959649086,190800,2774,68,-37.34045432999999,47.80360412597656,100.0,1908,,
190899,0.001,0.03980747610330582,191000,,,,47.4788818359375,,,100.0,-36.67509426
191099,0.001,0.038337066769599915,191200,2781,68,-37.13721280000001,47.75305938720703,100.0,1912,,
191399,0.001,0.03163261339068413,191500,,,,47.67594909667969,,,100.0,-35.17350622
191499,0.001,0.029704444110393524,191600,2787,68,-37.09487557,47.43578338623047,100.0,1916,,
191899,0.001,0.05819906294345856,192000,,,,47.691375732421875,,,100.0,-36.127814799999996
,,,192000,2794,68,-36.78573436,,100.0,1920,,
192299,0.001,0.038985725492239,192400,2797,68,-36.57259481,47.78495407104492,100.0,1924,,
192399,0.001,0.06046515703201294,192500,,,,47.75212097167969,,,100.0,-36.054177
192699,0.001,0.034996919333934784,192800,2803,68,-36.617745729999996,47.80537414550781,100.0,1928,,
192899,0.001,0.03831182420253754,193000,,,,47.646419525146484,,,100.0,-35.35427952
193099,0.001,0.04577789455652237,193200,2810,68,-36.336660939999994,47.61867141723633,100.0,1932,,
193399,0.001,0.07929594069719315,193500,,,,47.0985107421875,,,100.0,-37.9522055
193499,0.001,0.04140443354845047,193600,2817,68,-36.13735355,47.416168212890625,100.0,1936,,
193899,0.001,0.0379534512758255,194000,,,,47.27320861816406,,,100.0,-37.34888412
,,,194000,2823,68,-35.904497379999995,,100.0,1940,,
194299,0.001,0.035770200192928314,194400,2826,68,-35.65468478,47.3808708190918,100.0,1944,,
194399,0.001,0.04052566736936569,194500,,,,47.10972213745117,,,100.0,-37.1211735
194699,0.001,0.05882908031344414,194800,2832,68,-35.50107214,47.563507080078125,100.0,1948,,
194899,0.001,0.04567016661167145,195000,,,,47.82245635986328,,,100.0,-36.07425952
195099,0.001,0.04722030460834503,195200,2839,68,-35.624972199999995,47.414085388183594,100.0,1952,,
195399,0.001,0.06000757962465286,195500,,,,47.46065139770508,,,100.0,-35.978301179999995
195499,0.001,0.05859426409006119,195600,2846,68,-35.41023672000001,46.91062927246094,100.0,1956,,
195899,0.001,0.05685380473732948,196000,,,,47.1345100402832,,,100.0,-36.763107680000005
,,,196000,2853,68,-35.50329459,,100.0,1960,,
196299,0.001,0.06289274245500565,196400,2855,68,-35.554676210000004,47.508888244628906,100.0,1964,,
196399,0.001,0.061486419290304184,196500,,,,47.51887130737305,,,100.0,-36.778531539999996
196699,0.001,0.04487917944788933,196800,2862,68,-35.6017998,47.4681396484375,100.0,1968,,
196899,0.001,0.04766816645860672,197000,,,,47.20896911621094,,,100.0,-37.265148360000005
197099,0.001,0.0744795873761177,197200,2868,68,-35.62648257,47.73038101196289,100.0,1972,,
197399,0.001,0.06969058513641357,197500,,,,47.279563903808594,,,100.0,-38.76137232
197499,0.001,0.06241629645228386,197600,2875,68,-35.59789412,47.188133239746094,100.0,1976,,
197899,0.001,0.06384340673685074,198000,,,,46.83770751953125,,,100.0,-38.30629344
,,,198000,2881,68,-35.48888063,,100.0,1980,,
198299,0.001,0.05741862207651138,198400,2884,68,-35.64936701,47.590084075927734,100.0,1984,,
198399,0.001,0.05799767002463341,198500,,,,47.649986267089844,,,100.0,-36.97819808
198699,0.001,0.09976500272750854,198800,2891,68,-35.76102398,46.894004821777344,100.0,1988,,
198899,0.001,0.04921465367078781,199000,,,,47.59221649169922,,,100.0,-37.902858339999995
199099,0.001,0.04280858114361763,199200,2897,68,-35.4630681,47.10552978515625,100.0,1992,,
199399,0.001,0.0631757453083992,199500,,,,47.19884490966797,,,100.0,-39.469229
199499,0.001,0.06344257295131683,199600,2904,68,-35.55293767,47.21265411376953,100.0,1996,,
199899,0.001,0.10656020045280457,200000,,,,46.858341217041016,,,100.0,-38.88294592
,,,200000,2911,68,-35.51583593,,100.0,2000,,
200299,0.001,0.053759388625621796,200400,2913,68,-35.474745670000004,47.26636505126953,100.0,2004,,
200399,0.001,0.046623699367046356,200500,,,,47.497676849365234,,,100.0,-38.26553079999999
200699,0.001,0.06539188325405121,200800,2920,68,-35.65954967,47.19138717651367,100.0,2008,,
200899,0.001,0.06967897713184357,201000,,,,46.632728576660156,,,100.0,-38.180551099999995
201099,0.001,0.062230125069618225,201200,2926,68,-36.06477888,46.447940826416016,100.0,2012,,
201399,0.001,0.07342717796564102,201500,,,,47.577816009521484,,,100.0,-40.153945
201499,0.001,0.05743291974067688,201600,2933,68,-36.05635769,47.09758377075195,100.0,2016,,
201899,0.001,0.054625216871500015,202000,,,,46.92121505737305,,,100.0,-37.81605632
,,,202000,2940,68,-35.9974283,,100.0,2020,,
202299,0.001,0.068155437707901,202400,2942,68,-36.2422605,47.29304504394531,100.0,2024,,
202399,0.001,0.0648999959230423,202500,,,,46.7117919921875,,,100.0,-38.67340556
202699,0.001,0.08497283607721329,202800,2949,68,-36.316894299999994,47.45062255859375,100.0,2028,,
202899,0.001,0.0769820287823677,203000,,,,47.01658630371094,,,100.0,-39.809263740000006
203099,0.001,0.05340690538287163,203200,2956,68,-36.579930270000006,47.6363525390625,100.0,2032,,
203399,0.001,0.0643773227930069,203500,,,,47.25605010986328,,,100.0,-40.89558718
203499,0.001,0.07740428298711777,203600,2962,68,-36.953249400000004,47.276676177978516,100.0,2036,,
203899,0.001,0.06375762820243835,204000,,,,47.297603607177734,,,100.0,-36.98559736
,,,204000,2969,68,-37.246153420000006,,100.0,2040,,
204299,0.001,0.0726964920759201,204400,2972,68,-37.39097518,47.29669189453125,100.0,2044,,
204399,0.001,0.09981086850166321,204500,,,,47.18646240234375,,,100.0,-38.979543220000004
204699,0.001,0.06160824000835419,204800,2978,68,-37.58991078,47.114341735839844,100.0,2048,,
204899,0.001,0.06744854897260666,205000,,,,46.84950637817383,,,100.0,-38.035376299999996
205099,0.001,0.07058427482843399,205200,2985,68,-37.629249609999995,46.839439392089844,100.0,2052,,
205399,0.001,0.08446022868156433,205500,,,,47.64567184448242,,,100.0,-39.17709217999999
205499,0.001,0.10067973285913467,205600,2992,68,-37.84675101,46.78217315673828,100.0,2056,,
205899,0.001,0.06182190775871277,206000,,,,47.00392150878906,,,100.0,-38.58411912
,,,206000,2998,68,-37.8580423,,100.0,2060,,
206299,0.001,0.09012243151664734,206400,3001,68,-38.021690930000005,46.68889617919922,100.0,2064,,
206399,0.001,0.04312322288751602,206500,,,,47.03297424316406,,,100.0,-37.36551514
206699,0.001,0.058462344110012054,206800,3007,68,-37.8718279,46.88494110107422,100.0,2068,,
206899,0.001,0.06198272109031677,207000,,,,46.875030517578125,,,100.0,-38.59220826
207099,0.001,0.07914019376039505,207200,3014,68,-37.91093922,46.87696838378906,100.0,2072,,
207399,0.001,0.049430809915065765,207500,,,,47.0797119140625,,,100.0,-38.949406059999994
207499,0.001,0.0626702755689621,207600,3020,68,-38.144741790000005,47.375885009765625,100.0,2076,,
207899,0.001,0.049403924494981766,208000,,,,46.944068908691406,,,100.0,-37.761237480000005
,,,208000,3027,68,-38.05515017,,100.0,2080,,
208299,0.001,0.05205220729112625,208400,3029,68,-37.98236115,47.122314453125,100.0,2084,,
208399,0.001,0.0741388276219368,208500,,,,46.85688781738281,,,100.0,-38.51121518
208699,0.001,0.05306795984506607,208800,3037,68,-38.43630159,46.74029541015625,100.0,2088,,
208899,0.001,0.062319912016391754,209000,,,,47.391937255859375,,,100.0,-60.122955659999995
209099,0.001,0.05920867621898651,209200,3043,68,-39.57437422,47.324554443359375,100.0,2092,,
209399,0.001,0.044345829635858536,209500,,,,47.261566162109375,,,100.0,-52.74753946
209499,0.001,0.055001772940158844,209600,3050,68,-40.45256908,47.352359771728516,100.0,2096,,
209899,0.001,0.061301931738853455,210000,,,,47.150611877441406,,,100.0,-52.96321642
,,,210000,3056,68,-41.12298685,,100.0,2100,,
210299,0.001,0.09970034658908844,210400,3059,68,-41.43188104,47.168968200683594,100.0,2104,,
210399,0.001,0.08339609205722809,210500,,,,47.12205505371094,,,100.0,-48.799885679999996
210699,0.001,0.05372291058301926,210800,3065,68,-41.776684370000005,47.00360870361328,100.0,2108,,
210899,0.001,0.05236585810780525,211000,,,,46.69158172607422,,,100.0,-48.92374323999999
211099,0.001,0.07435744255781174,211200,3072,68,-42.067769500000004,46.793190002441406,100.0,2112,,
211399,0.001,0.054342616349458694,211500,,,,46.91075134277344,,,100.0,-47.001214260000005
211499,0.001,0.05906141549348831,211600,3079,68,-42.386024260000006,47.07163619995117,100.0,2116,,
211899,0.001,0.07304520905017853,212000,,,,46.79279327392578,,,100.0,-46.7739759
,,,212000,3085,68,-43.69336558,,100.0,2120,,
212299,0.001,0.048557594418525696,212400,3088,68,-44.263702650000006,46.830726623535156,100.0,2124,,
212399,0.001,0.09502974152565002,212500,,,,47.378326416015625,,,100.0,-46.15178208
212699,0.001,0.072196826338768,212800,3094,68,-44.212965700000005,46.81954574584961,100.0,2128,,
212899,0.001,0.07698947936296463,213000,,,,46.98678207397461,,,100.0,-45.194556299999995
213099,0.001,0.07721865922212601,213200,3101,68,-44.43128975999999,47.18415832519531,100.0,2132,,
213399,0.001,0.06461074948310852,213500,,,,47.051353454589844,,,100.0,-47.31243754
213499,0.001,0.06121489778161049,213600,3108,68,-44.596173830000005,46.86084747314453,100.0,2136,,
213899,0.001,0.0985230952501297,214000,,,,46.449344635009766,,,100.0,-49.2623326
,,,214000,3114,68,-44.724273790000005,,100.0,2140,,
214299,0.001,0.0567612424492836,214400,3117,68,-45.429393520000005,46.96968078613281,100.0,2144,,
214399,0.001,0.0661003589630127,214500,,,,46.90782165527344,,,100.0,-40.0280005
214699,0.001,0.05568704009056091,214800,3124,68,-45.26263232000001,46.755645751953125,100.0,2148,,
214899,0.001,0.08257591724395752,215000,,,,46.73945617675781,,,100.0,-42.5810812
215099,0.001,0.07400248944759369,215200,3131,68,-45.02593838,46.63090133666992,100.0,2152,,
215399,0.001,0.08546318113803864,215500,,,,47.181556701660156,,,100.0,-43.447519539999995
215499,0.001,0.09886719286441803,215600,3137,68,-45.365979540000005,46.6224479675293,100.0,2156,,
215899,0.001,0.07954160869121552,216000,,,,46.94396209716797,,,100.0,-41.3427351
,,,216000,3144,68,-45.476315940000006,,100.0,2160,,
216299,0.001,0.08318192511796951,216400,3146,68,-45.38408203,46.92263412475586,100.0,2164,,
216399,0.001,0.05593055859208107,216500,,,,46.85590362548828,,,100.0,-39.28176538
216699,0.001,0.0649450495839119,216800,3153,68,-45.631864560000004,46.793033599853516,100.0,2168,,
216899,0.001,0.061410024762153625,217000,,,,47.219017028808594,,,100.0,-40.364930900000004
217099,0.001,0.09325775504112244,217200,3159,68,-45.78026649,46.838165283203125,100.0,2172,,
217399,0.001,0.06548096984624863,217500,,,,47.39371871948242,,,100.0,-40.993283520000006
217499,0.001,0.06215831637382507,217600,3166,68,-45.576302880000014,47.051902770996094,100.0,2176,,
217899,0.001,0.058584049344062805,218000,,,,46.53316879272461,,,100.0,-38.84232272
,,,218000,3173,68,-45.70875872000001,,100.0,2180,,
218299,0.001,0.0654185488820076,218400,3176,68,-45.767264139999995,47.333984375,100.0,2184,,
218399,0.001,0.07311388850212097,218500,,,,46.853790283203125,,,100.0,-39.61017868
218699,0.001,0.08182205259799957,218800,3182,68,-45.305091299999994,47.29662322998047,100.0,2188,,
218899,0.001,0.07736748456954956,219000,,,,47.366859436035156,,,100.0,-40.19827746
219099,0.001,0.06631460785865784,219200,3189,68,-44.547372720000006,46.772705078125,100.0,2192,,
219399,0.001,0.07992476969957352,219500,,,,47.287139892578125,,,100.0,-40.78597764
219499,0.001,0.06583669781684875,219600,3195,68,-43.70999632000001,46.95331954956055,100.0,2196,,
219899,0.001,0.053170040249824524,220000,,,,47.445716857910156,,,100.0,-41.24821242
,,,220000,3202,68,-43.16535865,,100.0,2200,,
220299,0.001,0.09112729132175446,220400,3204,68,-42.957809469999994,46.89756774902344,100.0,2204,,
220399,0.001,0.05069693177938461,220500,,,,46.90216064453125,,,100.0,-40.04385042
220699,0.001,0.05354684591293335,220800,3211,68,-42.687800540000005,46.376277923583984,100.0,2208,,
220899,0.001,0.07454939931631088,221000,,,,46.51467514038086,,,100.0,-41.36291086
221099,0.001,0.07423447072505951,221200,3218,68,-42.141869369999995,46.97947311401367,100.0,2212,,
221399,0.001,0.06798115372657776,221500,,,,46.973419189453125,,,100.0,-40.90680312
221499,0.001,0.06376555562019348,221600,3225,68,-42.17166111999999,47.20528793334961,100.0,2216,,
221899,0.001,0.058374736458063126,222000,,,,46.745208740234375,,,100.0,-40.994511380000006
,,,222000,3231,68,-41.27709435999999,,100.0,2220,,
222299,0.001,0.061320722103118896,222400,3234,68,-40.81670363999999,47.282196044921875,100.0,2224,,
222399,0.001,0.07194244116544724,222500,,,,47.098609924316406,,,100.0,-40.200075059999996
222699,0.001,0.06399630010128021,222800,3241,68,-40.868053079999996,46.74384689331055,100.0,2228,,
222899,0.001,0.08845772594213486,223000,,,,46.93121337890625,,,100.0,-39.1641214
223099,0.001,0.08198343217372894,223200,3247,68,-40.722464450000004,47.0434455871582,100.0,2232,,
223399,0.001,0.0683509111404419,223500,,,,47.18046569824219,,,100.0,-39.0007334
223499,0.001,0.08100315928459167,223600,3254,68,-40.24438537,47.08698272705078,100.0,2236,,
223899,0.001,0.06267476081848145,224000,,,,47.041900634765625,,,100.0,-39.72312926
,,,224000,3261,68,-40.012808150000005,,100.0,2240,,
224299,0.001,0.05535354092717171,224400,3264,68,-39.484863340000004,47.58317947387695,100.0,2244,,
224399,0.001,0.06635969877243042,224500,,,,46.71931838989258,,,100.0,-39.1309167
224699,0.001,0.049725838005542755,224800,3270,68,-39.54537044,47.34947204589844,100.0,2248,,
224899,0.001,0.06615149974822998,225000,,,,46.559471130371094,,,100.0,-39.553861559999994
225099,0.001,0.05172109976410866,225200,3276,68,-39.73895509,46.85590744018555,100.0,2252,,
225399,0.001,0.07087419927120209,225500,,,,47.01612091064453,,,100.0,-38.29309728
225499,0.001,0.06853137910366058,225600,3283,68,-39.618451609999994,46.7022705078125,100.0,2256,,
225899,0.001,0.057806141674518585,226000,,,,46.785850524902344,,,100.0,-40.000998880000004
,,,226000,3289,68,-39.63875291,,100.0,2260,,
226299,0.001,0.07955552637577057,226400,3292,68,-39.57767492,46.51994323730469,100.0,2264,,
226399,0.001,0.08226833492517471,226500,,,,46.86973571777344,,,100.0,-41.94188222
226699,0.001,0.0692438930273056,226800,3298,68,-39.66853225,46.85616683959961,100.0,2268,,
226899,0.001,0.09217149019241333,227000,,,,46.918296813964844,,,100.0,-40.6054308
227099,0.001,0.08398421108722687,227200,3306,68,-39.553881430000004,47.39076232910156,100.0,2272,,
227399,0.001,0.07559946179389954,227500,,,,47.403202056884766,,,100.0,-40.912844559999996
227499,0.001,0.06943187862634659,227600,3312,68,-39.763791559999994,47.493324279785156,100.0,2276,,
227899,0.001,0.07566899061203003,228000,,,,47.386844635009766,,,100.0,-42.33821285999999
,,,228000,3319,68,-39.81609933,,100.0,2280,,
228299,0.001,0.09335488080978394,228400,3321,68,-39.929737020000005,47.31980895996094,100.0,2284,,
228399,0.001,0.06844119727611542,228500,,,,47.517005920410156,,,100.0,-41.515658820000006
228699,0.001,0.08046367019414902,228800,3328,68,-40.18548213,47.60986328125,100.0,2288,,
228899,0.001,0.09233428537845612,229000,,,,47.14691162109375,,,100.0,-40.431762
229099,0.001,0.0686604231595993,229200,3334,68,-40.13562865,47.642826080322266,100.0,2292,,
229399,0.001,0.1410834640264511,229500,,,,47.64442825317383,,,100.0,-39.694030700000006
229499,0.001,0.08757689595222473,229600,3341,68,-40.2359742,47.70311737060547,100.0,2296,,
229899,0.001,0.06757159531116486,230000,,,,47.20291519165039,,,100.0,-38.91634736
,,,230000,3348,68,-40.2992588,,100.0,2300,,
230299,0.001,0.061947330832481384,230400,3351,68,-40.472074760000005,47.519935607910156,100.0,2304,,
230399,0.001,0.07791683077812195,230500,,,,47.19837188720703,,,100.0,-41.52091154
230699,0.001,0.08167963474988937,230800,3357,68,-40.274957019999995,47.77857971191406,100.0,2308,,
230899,0.001,0.07831373810768127,231000,,,,47.510826110839844,,,100.0,-45.37876920000001
231099,0.001,0.08935195207595825,231200,3364,68,-40.574616490000004,47.81159591674805,100.0,2312,,
231399,0.001,0.07511673867702484,231500,,,,47.83452224731445,,,100.0,-41.60142892
231499,0.001,0.06382541358470917,231600,3371,68,-40.61926764,47.69404220581055,100.0,2316,,
231899,0.001,0.0850890725851059,232000,,,,47.8504524230957,,,100.0,-38.8951881
,,,232000,3377,68,-40.527892369999996,,100.0,2320,,
232299,0.001,0.07879150658845901,232400,3380,68,-40.46155809,47.7889518737793,100.0,2324,,
232399,0.001,0.08350419253110886,232500,,,,47.64702606201172,,,100.0,-38.892850960000004
232699,0.001,0.08030220866203308,232800,3386,68,-40.45461335,48.20601272583008,100.0,2328,,
232899,0.001,0.08403380215167999,233000,,,,48.133487701416016,,,100.0,-39.98356198
233099,0.001,0.0710359662771225,233200,3394,68,-40.43211193,47.46430206298828,100.0,2332,,
233399,0.001,0.11970804631710052,233500,,,,47.344017028808594,,,100.0,-39.677221599999996
233499,0.001,0.06987623870372772,233600,3400,68,-40.67151421,47.514747619628906,100.0,2336,,
233899,0.001,0.08125899732112885,234000,,,,48.31095886230469,,,100.0,-37.669103879999994
,,,234000,3406,68,-40.674480040000006,,100.0,2340,,
234299,0.001,0.08184216916561127,234400,3409,68,-40.42791158,47.81067657470703,100.0,2344,,
234399,0.001,0.06552118062973022,234500,,,,47.80392837524414,,,100.0,-38.952384939999995
234699,0.001,0.06396099925041199,234800,3415,68,-40.58608095,47.94041442871094,100.0,2348,,
234899,0.001,0.08053252100944519,235000,,,,47.396080017089844,,,100.0,-38.43236202
235099,0.001,0.12372976541519165,235200,3422,68,-40.53282474,47.42799377441406,100.0,2352,,
235399,0.001,0.09365449845790863,235500,,,,48.34465408325195,,,100.0,-38.6152271
235499,0.001,0.07634541392326355,235600,3428,68,-40.26085438,47.689002990722656,100.0,2356,,
235899,0.001,0.09329714626073837,236000,,,,47.77066421508789,,,100.0,-36.77817305999999
,,,236000,3436,68,-40.025704020000006,,100.0,2360,,
236299,0.001,0.10299968719482422,236400,3439,68,-40.09766371,47.970237731933594,100.0,2364,,
236399,0.001,0.0865069031715393,236500,,,,47.811119079589844,,,100.0,-40.80171102
236699,0.001,0.08454553037881851,236800,3445,68,-40.020689540000006,48.19917678833008,100.0,2368,,
236899,0.001,0.09942193329334259,237000,,,,47.63127136230469,,,100.0,-38.51439558
237099,0.001,0.09576475620269775,237200,3452,68,-40.16192357,47.93049621582031,100.0,2372,,
237399,0.001,0.08207283914089203,237500,,,,48.17314910888672,,,100.0,-39.01086422
237499,0.001,0.10567383468151093,237600,3458,68,-40.03848501,48.428550720214844,100.0,2376,,
237899,0.001,0.10451704263687134,238000,,,,48.16703796386719,,,100.0,-43.88102155999999
,,,238000,3465,68,-40.17557172,,100.0,2380,,
238299,0.001,0.11129797250032425,238400,3467,68,-40.212772490000006,48.71440124511719,100.0,2384,,
238399,0.001,0.09499894082546234,238500,,,,48.20361328125,,,100.0,-41.283711339999996
238699,0.001,0.09792529046535492,238800,3474,68,-40.140612610000005,47.941375732421875,100.0,2388,,
238899,0.001,0.0845361202955246,239000,,,,47.95893859863281,,,100.0,-42.07860036
239099,0.001,0.11347496509552002,239200,3481,68,-40.20049405,48.618717193603516,100.0,2392,,
239399,0.001,0.09440389275550842,239500,,,,48.392574310302734,,,100.0,-42.4205762
239499,0.001,0.11438027024269104,239600,3488,68,-40.22512485,48.32569885253906,100.0,2396,,
239899,0.001,0.08548654615879059,240000,,,,48.143768310546875,,,100.0,-44.21790476000001
,,,240000,3494,68,-40.20799743999999,,100.0,2400,,
240299,0.001,0.11702802777290344,240400,3497,68,-40.35547749,48.9140625,100.0,2404,,
240399,0.001,0.08623666316270828,240500,,,,48.712684631347656,,,100.0,-42.32792028
240699,0.001,0.10100296139717102,240800,3503,68,-40.80628371999999,48.394569396972656,100.0,2408,,
240899,0.001,0.1121993139386177,241000,,,,48.83856964111328,,,100.0,-40.64961038
241099,0.001,0.11026261746883392,241200,3510,68,-41.17170220999999,49.22157287597656,100.0,2412,,
241399,0.001,0.126506507396698,241500,,,,48.700469970703125,,,100.0,-40.175413840000004
241499,0.001,0.10909576714038849,241600,3516,68,-41.055595249999996,49.11235427856445,100.0,2416,,
241899,0.001,0.09624922275543213,242000,,,,49.115638732910156,,,100.0,-43.30154253999999
,,,242000,3523,68,-40.92013091,,100.0,2420,,
242299,0.001,0.11644411087036133,242400,3526,68,-41.05110801,49.037967681884766,100.0,2424,,
242399,0.001,0.09299531579017639,242500,,,,49.20611572265625,,,100.0,-43.36511092
242699,0.001,0.09650781750679016,242800,3533,68,-40.89665178999999,49.15587615966797,100.0,2428,,
242899,0.001,0.11041340231895447,243000,,,,48.98771667480469,,,100.0,-42.529647839999996
243099,0.001,0.12015771120786667,243200,3539,68,-40.82826504,48.52940368652344,100.0,2432,,
243399,0.001,0.16240519285202026,243500,,,,49.053314208984375,,,100.0,-42.37166266
243499,0.001,0.09188277274370193,243600,3546,68,-41.10504347999999,49.42638397216797,100.0,2436,,
243899,0.001,0.09650333970785141,244000,,,,49.56767272949219,,,100.0,-43.076935760000005
,,,244000,3552,68,-41.1828722,,100.0,2440,,
244299,0.001,0.10345356911420822,244400,3555,68,-41.43951301999999,48.517112731933594,100.0,2444,,
244399,0.001,0.07632063329219818,244500,,,,49.16014862060547,,,100.0,-41.15269582
244699,0.001,0.09456504136323929,244800,3561,68,-41.32217224,49.61985397338867,100.0,2448,,
244899,0.001,0.0813542827963829,245000,,,,49.585548400878906,,,100.0,-43.37605377999999
245099,0.001,0.09938996285200119,245200,3568,68,-41.48499064,49.24161148071289,100.0,2452,,
245399,0.001,0.10960128903388977,245500,,,,49.050079345703125,,,100.0,-41.0083416
245499,0.001,0.11285671591758728,245600,3576,68,-41.68333968000001,49.01850891113281,100.0,2456,,
245899,0.001,0.12689998745918274,246000,,,,49.23352813720703,,,100.0,-40.42633385999999
,,,246000,3582,68,-41.77610487,,100.0,2460,,
246299,0.001,0.09859800338745117,246400,3585,68,-41.725101370000004,49.312034606933594,100.0,2464,,
246399,0.001,0.09912115335464478,246500,,,,48.81313705444336,,,100.0,-42.246896559999996
246699,0.001,0.09041866660118103,246800,3591,68,-41.712172460000005,49.47837448120117,100.0,2468,,
246899,0.001,0.08392715454101562,247000,,,,49.06565856933594,,,100.0,-42.2578577
247099,0.001,0.0841703712940216,247200,3597,68,-41.58743364000001,49.56440734863281,100.0,2472,,
247399,0.001,0.11552664637565613,247500,,,,49.50656509399414,,,100.0,-45.942805180000015
247499,0.001,0.12856611609458923,247600,3604,68,-41.66916184000001,49.27747344970703,100.0,2476,,
247899,0.001,0.12251973152160645,248000,,,,49.71148681640625,,,100.0,-43.706360780000004
,,,248000,3611,68,-41.58446570000001,,100.0,2480,,
248299,0.001,0.08287100493907928,248400,3613,68,-41.680335379999995,49.87835693359375,100.0,2484,,
248399,0.001,0.06629607081413269,248500,,,,48.911903381347656,,,100.0,-41.44515374
248699,0.001,0.08260995894670486,248800,3620,68,-41.687405770000005,49.20332336425781,100.0,2488,,
248899,0.001,0.08969338238239288,249000,,,,49.403480529785156,,,100.0,-46.933169279999994
249099,0.001,0.10303664207458496,249200,3627,68,-41.74415368,48.891357421875,100.0,2492,,
249399,0.001,0.08465245366096497,249500,,,,48.996315002441406,,,100.0,-44.01396687999999
249499,0.001,0.07264227420091629,249600,3633,68,-41.84583936999999,49.31165313720703,100.0,2496,,
249899,0.001,0.07972826063632965,250000,,,,49.03120422363281,,,100.0,-42.78127816
,,,250000,3640,68,-41.747906230000005,,100.0,2500,,
250299,0.001,0.10234753787517548,250400,3643,68,-41.848032010000004,49.108848571777344,100.0,2504,,
250399,0.001,0.11375980824232101,250500,,,,49.229087829589844,,,100.0,-41.97307122000001
250699,0.001,0.07192589342594147,250800,3649,68,-41.442540230000006,49.41764831542969,100.0,2508,,
250899,0.001,0.0794282853603363,251000,,,,49.550758361816406,,,100.0,-40.93254193999999
251099,0.001,0.07498113811016083,251200,3656,68,-41.30974776,48.37275695800781,100.0,2512,,
251399,0.001,0.06664296984672546,251500,,,,48.96711730957031,,,100.0,-41.074263099999996
251499,0.001,0.08029809594154358,251600,3663,68,-41.35720114,49.467124938964844,100.0,2516,,
251899,0.001,0.08099780976772308,252000,,,,48.97293472290039,,,100.0,-40.064855460000004
,,,252000,3669,68,-41.533342839999996,,100.0,2520,,
252299,0.001,0.06728065758943558,252400,3672,68,-41.361210129999996,49.295658111572266,100.0,2524,,
252399,0.001,0.0926184207201004,252500,,,,49.4778938293457,,,100.0,-41.95831604
252699,0.001,0.06633737683296204,252800,3678,68,-41.40306025000001,48.841312408447266,100.0,2528,,
252899,0.001,0.08394657075405121,253000,,,,49.2575798034668,,,100.0,-41.86495272
253099,0.001,0.0609818771481514,253200,3685,68,-41.45595532,48.49580764770508,100.0,2532,,
253399,0.001,0.07302640378475189,253500,,,,48.805824279785156,,,100.0,-42.74146253999999
253499,0.001,0.08368384838104248,253600,3691,68,-41.34685654,48.44403076171875,100.0,2536,,
253899,0.001,0.05620885267853737,254000,,,,48.979549407958984,,,100.0,-42.409132039999996
,,,254000,3698,68,-41.479318819999996,,100.0,2540,,
