time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,time/fps,train/actor_loss,time/total_timesteps,train/n_updates,time/episodes,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
660,-41.10494881,0.010251609608530998,36,21.858745574951172,24400,24299,244,100.0,0.007889257743954659,-0.7515042424201965,0.0003,,
,,0.013629958033561707,,21.886154174804688,24500,24399,,,0.007899398915469646,0.15102840960025787,0.0003,100.0,-37.0288618
673,-40.84333020000001,0.010835599154233932,36,21.76777458190918,24800,24699,248,100.0,0.007886222563683987,-1.0656757354736328,0.0003,,
,,0.013002486899495125,,22.398508071899414,25000,24899,,,0.007901149801909924,-0.2756567895412445,0.0003,100.0,-36.963527
685,-40.57460213,0.01085518579930067,36,22.696828842163086,25200,25099,252,100.0,0.0078946053981781,0.025493979454040527,0.0003,,
,,0.013214990496635437,,22.957571029663086,25500,25399,,,0.007900114171206951,-0.8664369583129883,0.0003,100.0,-36.98193826
698,-40.75254925000001,0.01236023847013712,36,23.116100311279297,25600,25499,256,100.0,0.007898935116827488,0.07429317384958267,0.0003,,
,,0.01177145168185234,,23.356998443603516,26000,25899,,,0.00788850523531437,-0.7529947757720947,0.0003,100.0,-36.77586542
710,-40.593929349999996,,36,,26000,,260,100.0,,,,,
715,-40.423623219999996,0.010786589235067368,36,23.728988647460938,26400,26299,264,100.0,0.0078402915969491,-0.7609705924987793,0.0003,,
,,0.012408504262566566,,23.587444305419922,26500,26399,,,0.007849262095987797,-0.9399086833000183,0.0003,100.0,-37.15188974
728,-40.43863085,0.012119431979954243,36,24.127403259277344,26800,26699,268,100.0,0.0077718766406178474,1.16513991355896,0.0003,,
,,0.011233222670853138,,24.346195220947266,27000,26899,,,0.007768805138766766,0.49218448996543884,0.0003,100.0,-37.3088547
740,-40.16351867,0.013203250244259834,36,24.39008331298828,27200,27099,272,100.0,0.007736477535218,0.7221876382827759,0.0003,,
,,0.013971807435154915,,24.486629486083984,27500,27399,,,0.007744483184069395,2.110037326812744,0.0003,100.0,-37.21233512
753,-40.11262099,0.012192001566290855,36,24.728561401367188,27600,27499,276,100.0,0.007753284648060799,-0.2623381018638611,0.0003,,
,,0.014133981429040432,,25.10891342163086,28000,27899,,,0.007724607829004526,-1.0883140563964844,0.0003,100.0,-37.81189508
765,-39.799176870000004,,36,,28000,,280,100.0,,,,,
770,-40.228334360000005,0.013182589784264565,36,25.51041030883789,28400,28299,284,100.0,0.007620032411068678,3.2178313732147217,0.0003,,
,,0.013344679027795792,,25.441059112548828,28500,28399,,,0.007626011967658997,-0.6661943197250366,0.0003,100.0,-37.37097074
782,-40.25102598,0.01285272091627121,36,25.636274337768555,28800,28699,288,100.0,0.007624674588441849,3.1902425289154053,0.0003,,
,,0.012033544480800629,,25.907007217407227,29000,28899,,,0.007590882480144501,0.39962947368621826,0.0003,100.0,-38.02674184
795,-40.23594798,0.026012882590293884,36,25.955509185791016,29200,29099,292,100.0,0.007592236157506704,-1.3048136234283447,0.0003,,
,,0.011655431240797043,,25.8441162109375,29500,29399,,,0.007566514424979687,-0.8449721932411194,0.0003,100.0,-37.19206932
807,-40.32786842,0.011763330549001694,36,26.015953063964844,29600,29499,296,100.0,0.00755687290802598,0.19717669486999512,0.0003,,
,,0.013228495605289936,,26.328683853149414,30000,29899,,,0.007622944191098213,-0.1668880581855774,0.0003,100.0,-40.36264092
819,-40.123976049999996,,36,,30000,,300,100.0,,,,,
825,-40.02207249,0.014852447435259819,36,26.917064666748047,30400,30299,304,100.0,0.007597494404762983,1.4193543195724487,0.0003,,
,,0.01289604976773262,,26.819561004638672,30500,30399,,,0.007582102436572313,-1.7802519798278809,0.0003,100.0,-40.01214266
837,-40.061265410000004,0.011438957415521145,36,27.160131454467773,30800,30699,308,100.0,0.007593090645968914,-0.7295867800712585,0.0003,,
,,0.01707814633846283,,27.451934814453125,31000,30899,,,0.007601629476994276,-0.40992310643196106,0.0003,100.0,-38.86248612
850,-39.95612482999999,0.013560605235397816,36,27.407978057861328,31200,31099,312,100.0,0.007613023277372122,-0.26198965311050415,0.0003,,
,,0.014982717111706734,,27.770627975463867,31500,31399,,,0.007638702634721994,1.3570311069488525,0.0003,100.0,-41.47202386
