time/fps,train/actor_loss,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/episodes,time/total_timesteps,train/critic_loss,train/learning_rate,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
234,1.8028090000152588,-117.22918125000001,299,100.0,4,400,0.010902214795351028,0.001,1,,
,1.9424598217010498,,399,,,500,0.005240888334810734,0.001,,-72.87082644,100.0
104,2.24239444732666,-93.57435050000001,699,100.0,8,800,0.004318482242524624,0.001,7,,
,2.4716007709503174,,899,,,1000,0.004865690134465694,0.001,,-64.76587885999999,100.0
88,2.777317523956299,-84.50589241666667,1099,100.0,12,1200,0.006658947095274925,0.001,13,,
,3.228970527648926,,1399,,,1500,0.00587877444922924,0.001,,-60.70607526,100.0
81,3.2706878185272217,-77.99680068749998,1499,100.0,16,1600,0.01150091364979744,0.001,19,,
,3.8720529079437256,,1899,,,2000,0.011275841854512691,0.001,,-60.06475692,100.0
78,,-74.77786044999998,,100.0,20,2000,,,25,,
86,4.534843444824219,-72.27628758333333,2299,100.0,24,2400,0.015014005824923515,0.001,27,,
,4.6906023025512695,,2399,,,2500,0.011110208928585052,0.001,,-61.422572900000006,100.0
82,5.124799728393555,-70.09244171428571,2699,100.0,28,2800,0.014292672276496887,0.001,33,,
,5.390690803527832,,2899,,,3000,0.015181165188550949,0.001,,-54.354334740000006,100.0
79,5.786415100097656,-68.46360809375,3099,100.0,32,3200,0.013989206403493881,0.001,40,,
,6.165718078613281,,3399,,,3500,0.0204065702855587,0.001,,-55.196139380000005,100.0
77,6.241796493530273,-67.04044108333333,3499,100.0,36,3600,0.017261967062950134,0.001,46,,
,6.991364479064941,,3899,,,4000,0.02141960710287094,0.001,,-53.49184012,100.0
76,,-65.867879925,,100.0,40,4000,,,52,,
80,7.589691162109375,-64.52316606818182,4299,100.0,44,4400,0.016218923032283783,0.001,54,,
,7.579399108886719,,4399,,,4500,0.015766536816954613,0.001,,-55.30809854,100.0
79,8.188190460205078,-63.76629552083333,4699,100.0,48,4800,0.02976866625249386,0.001,60,,
,8.378898620605469,,4899,,,5000,0.01811828650534153,0.001,,-57.26712948,100.0
78,8.716259002685547,-63.02815549999999,5099,100.0,52,5200,0.01734420284628868,0.001,66,,
,9.101919174194336,,5399,,,5500,0.020497918128967285,0.001,,-60.90607224,100.0
77,9.311609268188477,-62.399280392857136,5499,100.0,56,5600,0.026377074420452118,0.001,72,,
,9.889017105102539,,5899,,,6000,0.019449206069111824,0.001,,-50.45992620000001,100.0
76,,-62.06305496666666,,100.0,60,6000,,,78,,
79,10.368358612060547,-60.95886245312501,6299,100.0,64,6400,0.02047836035490036,0.001,81,,
,10.500589370727539,,6399,,,6500,0.02661030739545822,0.001,,-57.57579111999999,100.0
78,10.975831985473633,-60.46036636764707,6699,100.0,68,6800,0.026289936155080795,0.001,86,,
,11.144275665283203,,6899,,,7000,0.03197706490755081,0.001,,-52.118835499999996,100.0
77,11.62750244140625,-59.923044458333344,7099,100.0,72,7200,0.025114543735980988,0.001,92,,
,11.786389350891113,,7399,,,7500,0.025607286021113396,0.001,,-50.74739522,100.0
76,12.074783325195312,-59.616358592105286,7499,100.0,76,7600,0.030555294826626778,0.001,98,,
,12.545848846435547,,7899,,,8000,0.04034140706062317,0.001,,-60.276998760000005,100.0
76,,-59.527424775,,100.0,80,8000,,,104,,
78,13.219013214111328,-59.36568351190476,8299,100.0,84,8400,0.028139235451817513,0.001,106,,
,13.336129188537598,,8399,,,8500,0.03688332438468933,0.001,,-54.82749617999999,100.0
77,13.758028030395508,-58.83238702272727,8699,100.0,88,8800,0.040226176381111145,0.001,113,,
,14.035871505737305,,8899,,,9000,0.027722572907805443,0.001,,-51.21058386000001,100.0
77,14.295848846435547,-58.46077533695651,9099,100.0,92,9200,0.06634828448295593,0.001,119,,
,14.626230239868164,,9399,,,9500,0.03661654517054558,0.001,,-52.7873491,100.0
76,14.758584976196289,-58.33506185416667,9499,100.0,96,9600,0.04871446639299393,0.001,125,,
,15.302926063537598,,9899,,,10000,0.03868761658668518,0.001,,-52.80377574,100.0
76,,-58.152540040000005,,100.0,100,10000,,,131,,
77,15.806501388549805,-55.293059189999994,10299,100.0,104,10400,0.04213043302297592,0.001,133,,
,15.941256523132324,,10399,,,10500,0.040758851915597916,0.001,,-52.948653240000006,100.0
77,16.332969665527344,-54.53723375,10699,100.0,108,10800,0.03962848708033562,0.001,139,,
,16.661544799804688,,10899,,,11000,0.04416143149137497,0.001,,-46.93531283999999,100.0
76,16.883808135986328,-53.74798924999999,11099,100.0,112,11200,0.08419597148895264,0.001,145,,
,17.211742401123047,,11399,,,11500,0.05290519818663597,0.001,,-49.9582431,100.0
76,17.291622161865234,-53.27271308,11499,100.0,116,11600,0.05670766904950142,0.001,151,,
,17.81540870666504,,11899,,,12000,0.04367519170045853,0.001,,-49.80191028,100.0
76,,-52.680950540000005,,100.0,120,12000,,,157,,
77,18.14467430114746,-51.96796710999999,12299,100.0,124,12400,0.060460593551397324,0.001,160,,
,18.253677368164062,,12399,,,12500,0.058720868080854416,0.001,,-48.10406319999999,100.0
77,18.732948303222656,-51.38904683999999,12699,100.0,128,12800,0.05340727046132088,0.001,166,,
,18.897672653198242,,12899,,,13000,0.1139095276594162,0.001,,-46.48549962,100.0
76,19.307140350341797,-50.9917465,13099,100.0,132,13200,0.057617031037807465,0.001,172,,
,19.455116271972656,,13399,,,13500,0.050856564193964005,0.001,,-49.42965618,100.0
76,19.545116424560547,-50.77074449999999,13499,100.0,136,13600,0.07249559462070465,0.001,178,,
,20.157934188842773,,13899,,,14000,0.06672259420156479,0.001,,-45.803907419999994,100.0
76,,-50.41492492,,100.0,140,14000,,,184,,
77,20.693754196166992,-49.88273058,14299,100.0,144,14400,0.053866274654865265,0.001,186,,
,20.803646087646484,,14399,,,14500,0.06900983303785324,0.001,,-49.0063332,100.0
76,21.129547119140625,-49.87500761999999,14699,100.0,148,14800,0.05898945778608322,0.001,192,,
,21.268524169921875,,14899,,,15000,0.06006484851241112,0.001,,-48.67424416,100.0
76,21.605819702148438,-49.69915572,15099,100.0,152,15200,0.08264841139316559,0.001,198,,
,21.788188934326172,,15399,,,15500,0.06265255063772202,0.001,,-49.166159099999994,100.0
76,22.025794982910156,-49.18864234999999,15499,100.0,156,15600,0.07201816886663437,0.001,204,,
,22.345699310302734,,15899,,,16000,0.07186998426914215,0.001,,-47.80836212,100.0
75,,-48.77446367,,100.0,160,16000,,,210,,
76,22.79131317138672,-49.04426667999999,16299,100.0,164,16400,0.07855734974145889,0.001,213,,
,22.794023513793945,,16399,,,16500,0.07567298412322998,0.001,,-46.49862155999999,100.0
76,23.27887725830078,-48.954346189999995,16699,100.0,168,16800,0.06491120159626007,0.001,219,,
,23.424741744995117,,16899,,,17000,0.0687403529882431,0.001,,-47.227582059999996,100.0
76,23.539804458618164,-48.59627622,17099,100.0,172,17200,0.10958655923604965,0.001,225,,
,24.260406494140625,,17399,,,17500,0.07388274371623993,0.001,,-48.75898087999999,100.0
76,23.961013793945312,-48.400548070000006,17499,100.0,176,17600,0.056214865297079086,0.001,231,,
,24.42731475830078,,17899,,,18000,0.07880660891532898,0.001,,-47.166941699999995,100.0
75,,-47.89944854000001,,100.0,180,18000,,,237,,
76,24.853565216064453,-47.608873730000006,18299,100.0,184,18400,0.09396043419837952,0.001,239,,
,24.880178451538086,,18399,,,18500,0.06680075824260712,0.001,,-46.18137864000001,100.0
76,25.3372745513916,-47.331036329999996,18699,100.0,188,18800,0.08140537142753601,0.001,246,,
,25.651792526245117,,18899,,,19000,0.07937899976968765,0.001,,-47.31940534000001,100.0
76,25.523887634277344,-47.273161359999996,19099,100.0,192,19200,0.0852765440940857,0.001,251,,
,25.81163215637207,,19399,,,19500,0.07689811289310455,0.001,,-46.60546067999999,100.0
76,25.88434410095215,-46.789412889999994,19499,100.0,196,19600,0.07155917584896088,0.001,257,,
,26.249048233032227,,19899,,,20000,0.11224295943975449,0.001,,-49.01078102,100.0
75,,-46.35371566,,100.0,200,20000,,,263,,
76,26.83991241455078,-46.35369874,20299,100.0,204,20400,0.0807906836271286,0.001,266,,
,27.147476196289062,,20399,,,20500,0.064854696393013,0.001,,-57.67922286,100.0
76,27.254531860351562,-46.20972173000001,20699,100.0,208,20800,0.07613196223974228,0.001,272,,
,26.9644832611084,,20899,,,21000,0.10009240359067917,0.001,,-58.63725348,100.0
76,27.283161163330078,-46.22398768,21099,100.0,212,21200,0.14037853479385376,0.001,278,,
,27.78022003173828,,21399,,,21500,0.06656360626220703,0.001,,-44.41929290000001,100.0
75,27.772830963134766,-46.212613250000004,21499,100.0,216,21600,0.088490791618824,0.001,284,,
,27.91153335571289,,21899,,,22000,0.08426927030086517,0.001,,-45.16819582000001,100.0
75,,-46.03522922000001,,100.0,220,22000,,,290,,
76,28.517908096313477,-46.15900345,22299,100.0,224,22400,0.09996449947357178,0.001,292,,
,28.71147918701172,,22399,,,22500,0.0583249032497406,0.001,,-45.609315560000006,100.0
76,28.662155151367188,-46.21184672,22699,100.0,228,22800,0.07308179140090942,0.001,298,,
,29.06719398498535,,22899,,,23000,0.09476689249277115,0.001,,-45.58319484,100.0
76,28.858802795410156,-46.07165862,23099,100.0,232,23200,0.07951237261295319,0.001,304,,
,29.29521942138672,,23399,,,23500,0.06828621029853821,0.001,,-47.33083991999999,100.0
75,29.393718719482422,-45.844859549999995,23499,100.0,236,23600,0.07639569044113159,0.001,310,,
,29.80866813659668,,23899,,,24000,0.06553056836128235,0.001,,-43.34564804000001,100.0
75,,-45.79913165,,100.0,240,24000,,,316,,
76,29.83768081665039,-46.03288562999999,24299,100.0,244,24400,0.07322849333286285,0.001,319,,
,29.984228134155273,,24399,,,24500,0.06402699649333954,0.001,,-42.54750013999999,100.0
76,30.165496826171875,-45.653914830000005,24699,100.0,248,24800,0.06459605693817139,0.001,325,,
,30.354877471923828,,24899,,,25000,0.07302723824977875,0.001,,-42.96243404,100.0
76,30.65176773071289,-45.38300454999999,25099,100.0,252,25200,0.08383798599243164,0.001,331,,
,30.866979598999023,,25399,,,25500,0.055752430111169815,0.001,,-41.63433442,100.0
75,30.94877815246582,-45.43520222,25499,100.0,256,25600,0.05867680907249451,0.001,337,,
,30.962913513183594,,25899,,,26000,0.07583053410053253,0.001,,-41.234215400000004,100.0
75,,-45.097912879999996,,100.0,260,26000,,,343,,
76,31.469388961791992,-44.84977075,26299,100.0,264,26400,0.06980612874031067,0.001,345,,
,31.782207489013672,,26399,,,26500,0.06127169728279114,0.001,,-39.998563919999995,100.0
76,31.440942764282227,-44.36155388,26699,100.0,268,26800,0.07655017077922821,0.001,351,,
,31.67905044555664,,26899,,,27000,0.09119973331689835,0.001,,-40.518663540000006,100.0
76,31.782379150390625,-44.37463060000001,27099,100.0,272,27200,0.09409414976835251,0.001,357,,
,31.897743225097656,,27399,,,27500,0.11324511468410492,0.001,,-40.919030479999996,100.0
75,32.12062454223633,-44.262136319999996,27499,100.0,276,27600,0.09446268528699875,0.001,363,,
,32.34772491455078,,27899,,,28000,0.0713106244802475,0.001,,-42.30192282,100.0
75,,-44.11510984,,100.0,280,28000,,,369,,
76,33.00598907470703,-43.941264419999996,28299,100.0,284,28400,0.09303034842014313,0.001,372,,
,33.230979919433594,,28399,,,28500,0.07332754135131836,0.001,,-41.36443383999999,100.0
76,32.68620681762695,-43.89960142000001,28699,100.0,288,28800,0.11019354313611984,0.001,378,,
,33.31759262084961,,28899,,,29000,0.08817199617624283,0.001,,-43.74468338,100.0
76,33.158599853515625,-43.46096789,29099,100.0,292,29200,0.08071159571409225,0.001,384,,
,33.295265197753906,,29399,,,29500,0.09750092029571533,0.001,,-42.87443324000001,100.0
