time/episodes,rollout/ep_len_mean,train/actor_loss,train/learning_rate,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,time/fps,time/time_elapsed,train/n_updates,eval/mean_ep_length,eval/mean_reward
,,21.97136878967285,0.001,,16000,0.06924323737621307,,,15899,100.0,-46.10100098
160,100.0,,,-49.21566767,16000,,70,225,,,
164,100.0,22.28655242919922,0.001,-49.036317630000006,16400,0.05560767278075218,71,228,16299,,
,,22.390274047851562,0.001,,16500,0.04724464938044548,,,16399,100.0,-47.039461120000006
168,100.0,23.047447204589844,0.001,-48.82413127999999,16800,0.039613306522369385,71,234,16699,,
,,22.66867446899414,0.001,,17000,0.0459359735250473,,,16899,100.0,-49.67244828
172,100.0,23.077896118164062,0.001,-48.81324002999999,17200,0.05885928124189377,71,241,17099,,
,,23.4300537109375,0.001,,17500,0.0676160603761673,,,17399,100.0,-49.401565579999996
176,100.0,23.749977111816406,0.001,-48.78974853999999,17600,0.06241505965590477,71,247,17499,,
,,23.811487197875977,0.001,,18000,0.07591058313846588,,,17899,100.0,-48.0821951
180,100.0,,,-48.469448780000015,18000,,70,253,,,
184,100.0,24.38619613647461,0.001,-48.64295563,18400,0.05669251084327698,71,256,18299,,
,,24.357162475585938,0.001,,18500,0.05959157645702362,,,18399,100.0,-50.51335614
188,100.0,24.82131004333496,0.001,-48.61520063,18800,0.05939460173249245,71,262,18699,,
,,25.057971954345703,0.001,,19000,0.06312355399131775,,,18899,100.0,-49.22740508000001
192,100.0,25.081756591796875,0.001,-48.44897879000001,19200,0.0738389790058136,71,269,19099,,
,,25.309152603149414,0.001,,19500,0.05214736610651016,,,19399,100.0,-55.45279834
196,100.0,25.22826385498047,0.001,-47.99846433999999,19600,0.07230290025472641,70,276,19499,,
,,26.107053756713867,0.001,,20000,0.07338244467973709,,,19899,100.0,-48.42430816
200,100.0,,,-47.629232659999985,20000,,70,282,,,
204,100.0,26.133148193359375,0.001,-47.763726500000004,20400,0.07595378160476685,71,285,20299,,
,,26.075542449951172,0.001,,20500,0.08061274886131287,,,20399,100.0,-47.024645580000005
208,100.0,26.613954544067383,0.001,-47.39807399999999,20800,0.059677280485630035,71,291,20699,,
,,26.63775634765625,0.001,,21000,0.07632860541343689,,,20899,100.0,-47.299866300000005
212,100.0,26.878921508789062,0.001,-47.21711871999999,21200,0.07555979490280151,71,297,21099,,
,,27.225727081298828,0.001,,21500,0.07518124580383301,,,21399,100.0,-46.05245436000001
216,100.0,27.208328247070312,0.001,-46.73594330000001,21600,0.06621731072664261,70,304,21499,,
,,27.405858993530273,0.001,,22000,0.08445652574300766,,,21899,100.0,-53.733089580000005
220,100.0,,,-46.86832891,22000,,70,310,,,
224,100.0,27.772098541259766,0.001,-46.71546313999999,22400,0.08724625408649445,71,313,22299,,
,,27.749969482421875,0.001,,22500,0.09174838662147522,,,22399,100.0,-49.415674640000006
228,100.0,28.034297943115234,0.001,-46.61854034000001,22800,0.07181257009506226,71,319,22699,,
,,28.361068725585938,0.001,,23000,0.06028113514184952,,,22899,100.0,-50.811706359999995
232,100.0,28.427265167236328,0.001,-46.456295470000015,23200,0.05860923230648041,71,326,23099,,
,,28.552974700927734,0.001,,23500,0.06559428572654724,,,23399,100.0,-48.24565766
236,100.0,29.125112533569336,0.001,-46.57823769000001,23600,0.05584585666656494,70,332,23499,,
,,29.306808471679688,0.001,,24000,0.06819380074739456,,,23899,100.0,-49.13911332
240,100.0,,,-46.38463431,24000,,70,339,,,
244,100.0,29.654953002929688,0.001,-46.630547580000005,24400,0.05782495439052582,71,341,24299,,
,,29.665794372558594,0.001,,24500,0.09185843169689178,,,24399,100.0,-47.726112359999995
248,100.0,29.76333236694336,0.001,-46.73227004,24800,0.05720280855894089,71,347,24699,,
,,29.805130004882812,0.001,,25000,0.08232466131448746,,,24899,100.0,-50.351850160000005
252,100.0,29.945968627929688,0.001,-46.64672305,25200,0.09958875179290771,71,354,25099,,
,,30.40459442138672,0.001,,25500,0.06956024467945099,,,25399,100.0,-48.70723522
256,100.0,30.437007904052734,0.001,-46.858438480000004,25600,0.0702587142586708,70,360,25499,,
,,30.777477264404297,0.001,,26000,0.06384193897247314,,,25899,100.0,-49.192253900000004
260,100.0,,,-46.93110062999999,26000,,70,367,,,
264,100.0,30.920942306518555,0.001,-47.124663440000006,26400,0.09460319578647614,71,369,26299,,
,,31.248119354248047,0.001,,26500,0.08008689433336258,,,26399,100.0,-47.935634580000006
268,100.0,31.101045608520508,0.001,-47.2068782,26800,0.06281360983848572,71,375,26699,,
,,31.53995704650879,0.001,,27000,0.13190479576587677,,,26899,100.0,-46.90574397999999
272,100.0,31.630142211914062,0.001,-47.01767200000001,27200,0.10065533965826035,71,382,27099,,
,,32.00662612915039,0.001,,27500,0.08337537199258804,,,27399,100.0,-50.49602436
276,100.0,31.705690383911133,0.001,-47.12768177,27600,0.09935028851032257,70,388,27499,,
,,31.863737106323242,0.001,,28000,0.08999448269605637,,,27899,100.0,-50.72403316
280,100.0,,,-47.37622267,28000,,70,395,,,
284,100.0,32.42218780517578,0.001,-47.32608365,28400,0.09361591935157776,71,397,28299,,
,,32.21831512451172,0.001,,28500,0.09996291249990463,,,28399,100.0,-50.17934052
288,100.0,32.63823699951172,0.001,-47.23973272,28800,0.09408635646104813,71,404,28699,,
,,32.72520065307617,0.001,,29000,0.08673983812332153,,,28899,100.0,-49.5218603
292,100.0,33.17790222167969,0.001,-47.19424677999999,29200,0.11874295771121979,71,410,29099,,
,,33.22230529785156,0.001,,29500,0.08540371060371399,,,29399,100.0,-45.939173339999996
296,100.0,33.598880767822266,0.001,-47.086723039999995,29600,0.09312748908996582,70,416,29499,,
,,33.6052360534668,0.001,,30000,0.09212939441204071,,,29899,100.0,-51.68783814
300,100.0,,,-47.15052629000001,30000,,70,423,,,
304,100.0,33.8662223815918,0.001,-47.11018365999999,30400,0.08898653835058212,71,425,30299,,
,,34.089012145996094,0.001,,30500,0.11728187650442123,,,30399,100.0,-51.80355743999999
308,100.0,34.14304733276367,0.001,-47.27520426,30800,0.14529848098754883,71,432,30699,,
,,34.4375,0.001,,31000,0.09484735131263733,,,30899,100.0,-47.021524140000004
312,100.0,35.001914978027344,0.001,-47.360572940000004,31200,0.11540746688842773,71,438,31099,,
,,35.26862335205078,0.001,,31500,0.1182982474565506,,,31399,100.0,-46.80755854
316,100.0,34.69618225097656,0.001,-47.59220673,31600,0.09317485988140106,70,445,31499,,
,,35.10487365722656,0.001,,32000,0.09896776080131531,,,31899,100.0,-48.348380580000004
320,100.0,,,-47.685048269999996,32000,,70,451,,,
