train/learning_rate,train/ent_coef_loss,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/n_updates,train/actor_loss,time/total_timesteps,time/episodes,time/fps,rollout/ep_rew_mean,train/ent_coef,eval/mean_reward,eval/mean_ep_length
0.0003,-1.0490484237670898,100.0,3,0.23382385075092316,299,-9.917162895202637,400,4,110,-151.52543025,0.9144083857536316,,
0.0003,-1.410531759262085,,,0.2193475365638733,399,-10.676352500915527,500,,,,0.8873878717422485,-54.64388724000001,100.0
0.0003,-2.4572434425354004,100.0,16,0.13883495330810547,699,-13.119617462158203,800,8,49,-154.413068875,0.8110982775688171,,
0.0003,-3.151115655899048,,,0.1487915962934494,899,-14.667712211608887,1000,,,,0.7639195322990417,-57.390734939999994,100.0
0.0003,-3.849945545196533,100.0,28,0.11265350878238678,1099,-15.73733139038086,1200,12,41,-153.59334883333335,0.7194876074790955,,
0.0003,-4.909753799438477,,,0.09597630798816681,1399,-17.307588577270508,1500,,,,0.6576030254364014,-60.82735248,100.0
0.0003,-5.278417587280273,100.0,41,0.1056724563241005,1499,-17.887845993041992,1600,16,38,-151.8424054375,0.6381690502166748,,
0.0003,-6.651075839996338,,,0.07978741079568863,1899,-19.301231384277344,2000,,,,0.5660349726676941,-57.393450980000004,100.0
,,100.0,53,,,,2000,20,37,-151.54647525000001,,,
0.0003,-8.072076797485352,100.0,58,0.08014731109142303,2299,-20.263294219970703,2400,24,40,-149.9407545,0.502116322517395,,
0.0003,-8.394980430603027,,,0.09101049602031708,2399,-20.283388137817383,2500,,,,0.48731428384780884,-57.58125344,100.0
0.0003,-9.430843353271484,100.0,71,0.07177437841892242,2699,-20.681550979614258,2800,28,39,-149.18639660714285,0.44552305340766907,,
0.0003,-10.091663360595703,,,0.07820536196231842,2899,-20.709718704223633,3000,,,,0.4197092652320862,-57.76458598,100.0
0.0003,-10.734638214111328,100.0,83,0.06391695141792297,3099,-20.74532699584961,3200,32,38,-147.92023671875,0.3954195976257324,,
0.0003,-11.78232479095459,,,0.06239122897386551,3399,-20.6893367767334,3500,,,,0.361666202545166,-57.81127292,100.0
0.0003,-12.061751365661621,100.0,96,0.06887800991535187,3499,-20.467891693115234,3600,36,37,-145.4630143055556,0.3510865569114685,,
0.0003,-13.343822479248047,,,0.06049230694770813,3899,-20.111005783081055,4000,,,,0.31186643242836,-55.970441019999996,100.0
,,100.0,108,,,,4000,40,36,-143.35525555,,,
0.0003,-14.534865379333496,100.0,113,0.0433596707880497,4299,-19.391326904296875,4400,44,38,-141.3807295909091,0.27717646956443787,,
0.0003,-14.834077835083008,,,0.05099082738161087,4399,-19.101457595825195,4500,,,,0.26915743947029114,-50.985307160000005,100.0
0.0003,-15.635910987854004,100.0,126,0.04174014925956726,4699,-18.317419052124023,4800,48,38,-139.2555257291667,0.24650005996227264,,
0.0003,-16.117267608642578,,,0.05178549885749817,4899,-18.036094665527344,5000,,,,0.23251961171627045,-49.27881418,100.0
0.0003,-16.49272918701172,100.0,138,0.04270259290933609,5099,-17.102014541625977,5200,52,37,-137.11767421153849,0.21936476230621338,,
0.0003,-17.30136489868164,,,0.03906523436307907,5399,-16.460376739501953,5500,,,,0.20110754668712616,-50.776280879999995,100.0
0.0003,-17.17916488647461,100.0,150,0.032315462827682495,5499,-16.24811553955078,5600,56,37,-134.73786839285714,0.19538624584674835,,
0.0003,-18.27730941772461,,,0.03319656848907471,5899,-15.088298797607422,6000,,,,0.17417770624160767,-49.95724456000001,100.0
,,100.0,163,,,,6000,60,36,-132.31324473333333,,,
0.0003,-19.016983032226562,100.0,168,0.026398461312055588,6299,-13.70018482208252,6400,64,38,-129.85566478125,0.1554075926542282,,
0.0003,-18.82089614868164,,,0.031976863741874695,6399,-13.22471809387207,6500,,,,0.15106013417243958,-51.40584804,100.0
0.0003,-19.235889434814453,100.0,180,0.03110438771545887,6699,-12.240580558776855,6800,68,37,-127.27687639705883,0.13877734541893005,,
0.0003,-19.57784080505371,,,0.03197459876537323,6899,-11.912580490112305,7000,,,,0.13120298087596893,-51.48621670000001,100.0
0.0003,-19.79636573791504,100.0,193,0.025171302258968353,7099,-11.020343780517578,7200,72,37,-124.92784231944445,0.12405809015035629,,
0.0003,-20.170345306396484,,,0.021842261776328087,7399,-10.261167526245117,7500,,,,0.1141178235411644,-48.84147614,100.0
0.0003,-20.260629653930664,100.0,205,0.02328399382531643,7499,-9.82589340209961,7600,76,36,-122.8498010263158,0.11099376529455185,,
0.0003,-19.965688705444336,,,0.021107498556375504,7899,-8.229546546936035,8000,,,,0.09937131404876709,-46.983924079999994,100.0
,,100.0,218,,,,8000,80,36,-120.60173360000002,,,
0.0003,-20.574337005615234,100.0,223,0.018969722092151642,8299,-7.043655872344971,8400,84,37,-118.0826447857143,0.08903702348470688,,
0.0003,-20.877079010009766,,,0.019983235746622086,8399,-6.723938465118408,8500,,,,0.08663362264633179,-48.17849122,100.0
0.0003,-20.620624542236328,100.0,235,0.01612977869808674,8699,-5.630438804626465,8800,88,37,-115.96240606818182,0.07982726395130157,,
0.0003,-20.41905975341797,,,0.01689239591360092,8899,-5.18535852432251,9000,,,,0.07559998333454132,-43.91159826,100.0
0.0003,-20.528127670288086,100.0,247,0.018594399094581604,9099,-4.308765888214111,9200,92,37,-113.74360997826085,0.07161083072423935,,
0.0003,-20.531429290771484,,,0.018069416284561157,9399,-3.265775442123413,9500,,,,0.06604210287332535,-44.497924139999995,100.0
0.0003,-20.23751449584961,100.0,260,0.019702456891536713,9499,-3.1271305084228516,9600,96,36,-111.69601576041667,0.06429172307252884,,
0.0003,-19.529884338378906,,,0.017298540100455284,9899,-1.735736608505249,10000,,,,0.05777016654610634,-44.394634860000004,100.0
,,100.0,272,,,,10000,100,36,-109.53952921,,,
0.0003,-20.200531005859375,100.0,277,0.016354531049728394,10299,-0.42970383167266846,10400,104,37,-105.81470259999998,0.051948923617601395,,
0.0003,-19.992895126342773,,,0.017857305705547333,10399,-0.2827051877975464,10500,,,,0.05059236288070679,-43.84848263999999,100.0
0.0003,-18.8581600189209,100.0,290,0.026969071477651596,10699,0.47685953974723816,10800,108,37,-101.67919399000002,0.04675823450088501,,
0.0003,-19.573352813720703,,,0.01470852643251419,10899,0.9074453115463257,11000,,,,0.04437588155269623,-50.08143672,100.0
0.0003,-19.44300079345703,100.0,302,0.015561899170279503,11099,1.4773056507110596,11200,112,37,-98.06530792999997,0.04212601110339165,,
0.0003,-18.777198791503906,,,0.019741240888834,11399,2.5615200996398926,11500,,,,0.03898593783378601,-51.670051459999996,100.0
0.0003,-18.198078155517578,100.0,315,0.01790323667228222,11499,2.525279998779297,11600,116,36,-94.62093121000002,0.037996187806129456,,
0.0003,-18.456809997558594,,,0.016563352197408676,11899,3.698683261871338,12000,,,,0.03430787846446037,-44.609299,100.0
,,100.0,327,,,,12000,120,36,-90.66072669000003,,,
0.0003,-17.365280151367188,100.0,332,0.018953487277030945,12299,4.541268348693848,12400,124,37,-87.16171313999999,0.03103143908083439,,
0.0003,-16.069698333740234,,,0.018369214609265327,12399,5.197661399841309,12500,,,,0.03026842698454857,-48.99181498,100.0
0.0003,-16.57520866394043,100.0,344,0.015332674607634544,12699,5.533386707305908,12800,128,37,-83.50252643,0.02811005711555481,,
0.0003,-15.31765365600586,,,0.016678037121891975,12899,5.98392391204834,13000,,,,0.02676803059875965,-43.23246549999999,100.0
0.0003,-15.332229614257812,100.0,357,0.016713399440050125,13099,6.462162017822266,13200,132,36,-80.00863392000001,0.025492819026112556,,
0.0003,-15.046086311340332,,,0.015556123107671738,13399,7.006352424621582,13500,,,,0.02370724454522133,-40.2026099,100.0
0.0003,-14.239523887634277,100.0,369,0.01436458621174097,13499,7.534903049468994,13600,136,36,-77.04894265000001,0.023143865168094635,,
0.0003,-13.761798858642578,,,0.016502032056450844,13899,8.231870651245117,14000,,,,0.021034320816397667,-40.24383866,100.0
,,100.0,382,,,,14000,140,36,-73.99213122,,,
0.0003,-12.371246337890625,100.0,387,0.015775762498378754,14299,9.131667137145996,14400,144,37,-70.81269318,0.01915605738759041,,
0.0003,-11.881440162658691,,,0.018050897866487503,14399,9.160115242004395,14500,,,,0.018716707825660706,-40.64042088,100.0
0.0003,-10.240588188171387,100.0,399,0.018430832773447037,14699,9.894966125488281,14800,148,37,-68.03036309000001,0.01748078130185604,,
0.0003,-11.382844924926758,,,0.018564730882644653,14899,10.419331550598145,15000,,,,0.01672225445508957,-40.48609862,100.0
0.0003,-10.43643569946289,100.0,412,0.013947000727057457,15099,10.516599655151367,15200,152,36,-65.39855232999999,0.016007721424102783,,
0.0003,-8.917142868041992,,,0.016091857105493546,15399,11.264824867248535,15500,,,,0.015012565068900585,-38.93282276,100.0
0.0003,-8.180694580078125,100.0,424,0.015152295120060444,15499,11.223050117492676,15600,156,36,-63.04838889999999,0.014701984822750092,,
0.0003,-8.000622749328613,,,0.018389496952295303,15899,12.249591827392578,16000,,,,0.013549148105084896,-38.876285759999995,100.0
,,100.0,437,,,,16000,160,36,-60.738628469999995,,,
0.0003,-7.745521545410156,100.0,442,0.014796532690525055,16299,12.608613967895508,16400,164,37,-58.74502879,0.012553113512694836,,
0.0003,-6.620219707489014,,,0.013182240538299084,16399,12.748729705810547,16500,,,,0.012323210947215557,-39.93704776,100.0
0.0003,-6.781182289123535,100.0,454,0.012671868316829205,16699,13.270886421203613,16800,168,36,-57.11904311,0.011687427759170532,,
0.0003,-4.504428863525391,,,0.012386609800159931,16899,13.411245346069336,17000,,,,0.011302855797111988,-39.528315,100.0
0.0003,-4.017984390258789,100.0,467,0.012187859043478966,17099,13.68852424621582,17200,172,36,-55.25550929,0.010948951356112957,,
0.0003,-2.597320079803467,,,0.01715340092778206,17399,14.398392677307129,17500,,,,0.010478186421096325,-38.5367409,100.0
0.0003,-3.817337989807129,100.0,479,0.011800417676568031,17499,14.148600578308105,17600,176,36,-53.48791005000001,0.010327016934752464,,
0.0003,-3.5946407318115234,,,0.013482767157256603,17899,14.895861625671387,18000,,,,0.009796524420380592,-41.13494250000001,100.0
,,100.0,492,,,,18000,180,36,-51.94223236,,,
0.0003,-3.012204170227051,100.0,497,0.016185671091079712,18299,15.718770980834961,18400,184,36,-50.90407084999999,0.009382186457514763,,
0.0003,-3.305035352706909,,,0.01241435669362545,18399,15.328166961669922,18500,,,,0.00928403902798891,-40.00168328,100.0
0.0003,-1.7854599952697754,100.0,509,0.02054731361567974,18699,15.943071365356445,18800,188,36,-49.67863446999999,0.009036844596266747,,
0.0003,-2.7955222129821777,,,0.013170246034860611,18899,16.265413284301758,19000,,,,0.008923839777708054,-38.54300156,100.0
0.0003,-1.1771470308303833,100.0,522,0.016398165374994278,19099,16.468097686767578,19200,192,36,-48.62249016999999,0.00883004441857338,,
0.0003,0.5644849538803101,,,0.01563691720366478,19399,16.989303588867188,19500,,,,0.008712460286915302,-39.09215802,100.0
0.0003,-1.529468059539795,100.0,534,0.01419776864349842,19499,17.040081024169922,19600,196,36,-47.79937213000001,0.008686261251568794,,
0.0003,-0.039450764656066895,,,0.016423746943473816,19899,17.369003295898438,20000,,,,0.008663357235491276,-41.6892008,100.0
,,100.0,546,,,,20000,200,36,-47.12166854,,,
0.0003,0.0019787847995758057,100.0,551,0.012760038487613201,20299,18.167705535888672,20400,204,36,-46.48480452,0.008679425343871117,,
0.0003,-0.11627838015556335,,,0.012519031763076782,20399,18.1444091796875,20500,,,,0.00869833491742611,-37.94879006000001,100.0
0.0003,0.6082701086997986,100.0,564,0.012627137824892998,20699,18.597681045532227,20800,208,36,-45.94501066,0.008669734001159668,,
0.0003,0.7240543365478516,,,0.01178273931145668,20899,18.808582305908203,21000,,,,0.008699135854840279,-38.10533988,100.0
0.0003,-0.27251455187797546,100.0,576,0.012319179251790047,21099,18.970802307128906,21200,212,36,-45.0495479,0.008709179237484932,,
0.0003,-1.0609002113342285,,,0.012328658252954483,21399,19.246126174926758,21500,,,,0.008737277239561081,-39.36629456,100.0
0.0003,1.339806079864502,100.0,588,0.01587863266468048,21499,19.535310745239258,21600,216,36,-44.061043979999994,0.00870395265519619,,
0.0003,-0.6667019724845886,,,0.01361867506057024,21899,19.967376708984375,22000,,,,0.008747678250074387,-37.5419407,100.0
,,100.0,601,,,,22000,220,36,-43.65667894,,,
0.0003,-0.5220863819122314,100.0,606,0.015589958056807518,22299,20.399959564208984,22400,224,36,-43.08417674000001,0.008821156807243824,,
0.0003,0.0961351990699768,,,0.01347566582262516,22399,20.412094116210938,22500,,,,0.008834230713546276,-38.36309226,100.0
0.0003,0.037394605576992035,100.0,618,0.01299266330897808,22699,20.640335083007812,22800,228,36,-42.67142495,0.008792310953140259,,
0.0003,1.8628640174865723,,,0.01850862056016922,22899,21.091503143310547,23000,,,,0.008856095373630524,-38.38406214,100.0
0.0003,0.9192004799842834,100.0,631,0.01695811003446579,23099,21.166913986206055,23200,232,36,-42.352138910000015,0.008827156387269497,,
0.0003,-0.6597493886947632,,,0.016194578260183334,23399,21.819286346435547,23500,,,,0.008845489472150803,-37.0953043,100.0
0.0003,-0.1584443300962448,100.0,643,0.014693021774291992,23499,21.715133666992188,23600,236,36,-41.98677053,0.008878530003130436,,
0.0003,-0.1608726978302002,,,0.014709524810314178,23899,21.745357513427734,24000,,,,0.008907167240977287,-37.91227052,100.0
,,100.0,656,,,,24000,240,36,-41.74938873,,,
0.0003,0.40815919637680054,100.0,660,0.014557665213942528,24299,22.494712829589844,24400,244,36,-41.747843309999986,0.008892503567039967,,
0.0003,1.6989879608154297,,,0.011641550809144974,24399,22.559093475341797,24500,,,,0.008904185146093369,-38.560210860000005,100.0
0.0003,-1.8422240018844604,100.0,673,0.015295671299099922,24699,22.783523559570312,24800,248,36,-41.490367209999995,0.008912133052945137,,
0.0003,0.4803162217140198,,,0.01628565415740013,24899,22.658710479736328,25000,,,,0.008883447386324406,-38.672750400000005,100.0
0.0003,0.04021075367927551,100.0,685,0.013520698994398117,25099,23.316537857055664,25200,252,36,-41.29355613,0.00887248758226633,,
0.0003,-0.004029005765914917,,,0.01353741716593504,25399,23.483352661132812,25500,,,,0.008830604143440723,-38.604410060000006,100.0
0.0003,0.2696363031864166,100.0,698,0.011218649335205555,25499,23.631343841552734,25600,256,36,-41.16817139,0.008803890086710453,,
0.0003,0.27554410696029663,,,0.01446911133825779,25899,24.058748245239258,26000,,,,0.008746431209146976,-45.468516599999994,100.0
,,100.0,710,,,,26000,260,36,-41.27148830999999,,,
0.0003,1.3161437511444092,100.0,715,0.014412780292332172,26299,24.296907424926758,26400,264,36,-41.527462390000004,0.008770754560828209,,
0.0003,-0.2866538465023041,,,0.013975466601550579,26399,24.314697265625,26500,,,,0.008829434402287006,-45.37638421999999,100.0
0.0003,-0.10264590382575989,100.0,728,0.013922270387411118,26699,24.577367782592773,26800,268,36,-41.775568529999994,0.00877070426940918,,
0.0003,0.5257855653762817,,,0.014384131878614426,26899,24.72179412841797,27000,,,,0.008740444667637348,-45.1950561,100.0
0.0003,0.5073503851890564,100.0,740,0.016607431694865227,27099,25.060720443725586,27200,272,36,-42.01542711,0.008806472644209862,,
0.0003,-0.11708453297615051,,,0.018520550802350044,27399,25.04360580444336,27500,,,,0.008858608081936836,-45.107164680000004,100.0
0.0003,0.24064981937408447,100.0,752,0.013944398611783981,27499,25.378032684326172,27600,276,36,-42.387929289999995,0.008852722123265266,,
0.0003,-1.1356414556503296,,,0.013795637525618076,27899,25.83867835998535,28000,,,,0.008798397146165371,-45.0556675,100.0
,,100.0,765,,,,28000,280,36,-42.7978091,,,
0.0003,0.3086719512939453,100.0,770,0.015652336180210114,28299,25.980867385864258,28400,284,36,-42.825295829999995,0.008814231492578983,,
0.0003,-0.5769500732421875,,,0.013060038909316063,28399,26.032577514648438,28500,,,,0.008805578574538231,-44.670305799999994,100.0
0.0003,-0.6123906970024109,100.0,782,0.014612522907555103,28699,26.22763442993164,28800,288,36,-43.14499325999999,0.00880208145827055,,
0.0003,0.3330674171447754,,,0.012632380239665508,28899,26.459705352783203,29000,,,,0.008780521340668201,-45.021474180000006,100.0
0.0003,2.0405702590942383,100.0,794,0.017263486981391907,29099,26.48806381225586,29200,292,36,-43.54924539999999,0.008750995621085167,,
0.0003,-1.0547137260437012,,,0.012594562023878098,29399,27.136974334716797,29500,,,,0.008731383830308914,-44.303779680000005,100.0
0.0003,-0.8250517249107361,100.0,807,0.01602025143802166,29499,27.12334632873535,29600,296,36,-43.741734179999995,0.008718682453036308,,
0.0003,-0.1171727180480957,,,0.013209816068410873,29899,27.057281494140625,30000,,,,0.008645237423479557,-44.15658773999999,100.0
,,100.0,819,,,,30000,300,36,-44.03550537000001,,,
0.0003,0.2014974057674408,100.0,824,0.013460561633110046,30299,27.21949005126953,30400,304,36,-44.14777234000001,0.008581625297665596,,
0.0003,0.29155969619750977,,,0.012206828221678734,30399,27.732994079589844,30500,,,,0.0085764704272151,-41.83135594,100.0
0.0003,-0.24914610385894775,100.0,836,0.015426674857735634,30699,28.29244041442871,30800,308,36,-44.39661088999999,0.008557593449950218,,
0.0003,-0.2591816782951355,,,0.013951379805803299,30899,28.34435272216797,31000,,,,0.008516750298440456,-42.956046740000005,100.0
0.0003,-0.5463514924049377,100.0,849,0.013642298057675362,31099,28.4968204498291,31200,312,36,-44.599871269999994,0.008512930013239384,,
0.0003,-0.10384571552276611,,,0.013643618673086166,31399,28.365201950073242,31500,,,,0.008604185655713081,-43.0335502,100.0
0.0003,-0.6101343035697937,100.0,861,0.016068780794739723,31499,28.422325134277344,31600,316,36,-45.01669075000001,0.008631939999759197,,
0.0003,-0.643379807472229,,,0.013308409601449966,31899,29.154495239257812,32000,,,,0.008603730238974094,-40.907215400000005,100.0
,,100.0,874,,,,32000,320,36,-44.966660899999994,,,
0.0003,0.8106483221054077,100.0,879,0.016372540965676308,32299,28.905479431152344,32400,324,36,-45.02322703000001,0.008549856022000313,,
0.0003,0.915106475353241,,,0.013852493837475777,32399,29.10167694091797,32500,,,,0.008540671318769455,-40.80465354,100.0
0.0003,0.7914210557937622,100.0,891,0.013776273466646671,32699,29.068382263183594,32800,328,36,-45.036666370000006,0.0085217310115695,,
0.0003,0.6023871898651123,,,0.013364974409341812,32899,29.568084716796875,33000,,,,0.008511700667440891,-40.5403751,100.0
0.0003,2.2556073665618896,100.0,904,0.014678075909614563,33099,29.714828491210938,33200,332,36,-45.10147073,0.008516677655279636,,
0.0003,1.3016986846923828,,,0.014110743999481201,33399,30.202320098876953,33500,,,,0.008502001874148846,-40.48490438,100.0
0.0003,-1.4110844135284424,100.0,916,0.017534006386995316,33499,30.063884735107422,33600,336,36,-44.94405132,0.00851962249726057,,
0.0003,0.5742172002792358,,,0.014562372118234634,33899,30.109786987304688,34000,,,,0.008548257872462273,-40.62107162,100.0
,,100.0,928,,,,34000,340,36,-45.10631175,,,
0.0003,0.09471475332975388,100.0,933,0.015355427749454975,34299,30.610700607299805,34400,344,36,-44.974860660000004,0.008512845262885094,,
0.0003,-0.8330013155937195,,,0.013354317285120487,34399,30.413829803466797,34500,,,,0.008528649806976318,-39.8090597,100.0
0.0003,-1.7093636989593506,100.0,946,0.014806804247200489,34699,31.044864654541016,34800,348,36,-45.17119497000001,0.008556678891181946,,
0.0003,-0.7700550556182861,,,0.01394740492105484,34899,31.10909652709961,35000,,,,0.008497664704918861,-39.151760180000004,100.0
0.0003,-0.49140283465385437,100.0,958,0.013640890829265118,35099,30.9549617767334,35200,352,36,-45.15771601999999,0.008525990881025791,,
0.0003,1.5259811878204346,,,0.014954064972698689,35399,31.149703979492188,35500,,,,0.008604723028838634,-39.20154708,100.0
0.0003,-0.02781522274017334,100.0,971,0.01481727883219719,35499,31.07195281982422,35600,356,36,-45.15589983999999,0.008608091622591019,,
0.0003,-0.2768275737762451,,,0.016572333872318268,35899,32.09769058227539,36000,,,,0.00863448902964592,-37.56639556,100.0
,,100.0,983,,,,36000,360,36,-45.05848517999999,,,
0.0003,0.6142666935920715,100.0,988,0.01836373284459114,36299,31.60611915588379,36400,364,36,-44.76657869999999,0.008568286895751953,,
0.0003,1.520672082901001,,,0.01833265647292137,36399,32.050540924072266,36500,,,,0.008603882044553757,-38.37908128,100.0
0.0003,1.2541649341583252,100.0,1000,0.015581578947603703,36699,32.09547424316406,36800,368,36,-44.16989167,0.008558633737266064,,
0.0003,0.08802951872348785,,,0.013054830953478813,36899,32.04975509643555,37000,,,,0.008541982620954514,-37.1442658,100.0
0.0003,0.7054934501647949,100.0,1013,0.014135586097836494,37099,32.356529235839844,37200,372,36,-43.95214814999999,0.008571201004087925,,
0.0003,-1.1832431554794312,,,0.014776166528463364,37399,32.54700469970703,37500,,,,0.008614317514002323,-37.45844664,100.0
